awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
22K21350,大学共同利用機関法人高エネルギー加速器研究機構,三原 智,国際協力によるミューオン素粒子物理研究の新展開,本研究では、新たに構築する国際協力体制によりミューオン素粒子物理を強力に推進する。3つの世界最高感度のミューオン素粒子実験であるg-2/EDM実験、MEG II実験、COMET実験において新物理発見を目指すとともに、大強度・高輝度ミュー オン源と測定技術の開発を行い、新物理全容解明を可能にする次世代実験の実現を目指す。更には、こういった国際的な共同研究を通じて次世代実験を担う優秀な若手人材の育成も実施する。,国際共同研究加速基金(国際先導研究),理工系,大強度ミューオンビーム,ミューオン冷却,ミューオン加速,ミューオン稀崩壊粒子測定技術,ミューオンコライダー,ミューオン崩壊粒子測定技術,ミューオン,レプトンフレーバー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21349,国立天文台,宮崎 聡,宇宙における天体と構造の形成史の統一的理解,本事業では、宇宙の最初に誕生した星を、世界最高精度の望遠鏡を駆使して探査し、その後どのような過程を経て、我々が住む銀河系や銀河団が誕生したのかを多角的にアプローチする。日本が持つ高い技術開発力と、すばる望遠鏡のユニークなデータセットを武器に、これから主導を取る海外の巨大望遠鏡を利用した国際共同研究に参画し、その中で日本の若手研究者を中堅的な役割を果たせるよう育成していく。,国際共同研究加速基金(国際先導研究),理工系,天文学,宇宙論,宇宙物理学,銀河形成,銀河,ブラックホール,宇宙の大規模構造,ELT,初代星,銀河進化,構造形成,可視赤外望遠鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21348,大阪大学,林 高史,触媒概念の融合に基づく分子設計と持続可能な物質変換・材料開発,持続可能な社会における物質変換には触媒は欠くことのできないツールである。化学およびバイオのそれぞれの分野で独自に高いレベルで発展を遂げている触媒開発について、両分野の協働がさらなる大きなインパクトを与えるものと期待される。本研究では、学際的な化学とバイオの国際共同研究を通じて、最新の触媒技術を用いた物質変換、エネルギー獲得をめざした小分子変換、データサイエンスに基づく触媒設計、生体適合性医療材料の開発を精力的に実施し、触媒の学術的概念融合をめざす。また、本研究遂行に際して、若手研究者および博士後期課程学生の参画を積極的に行い、国際感覚を有する若手人材育成を弾力的に進める。,国際共同研究加速基金(国際先導研究),理工系,触媒,酵素,持続可能物質変換,化学エネルギー源,バイオエコノミー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21347,名古屋大学,飯嶋 徹,スーパーBファクトリー研究による素粒子物理学フロンティアの開拓と若手研究者の育成,日本がホストするスーパーBファクトリー（SuperKEKB/Belle II）実験に関して、国内外の実験-加速器-理論の研究グループ間の強固な連携により、同実験の衝突性能と物理探索能力を究極的に高め、標準理論を超える物理の発見を目指す。そのために、国内外の研究機関の間での双方向の研究交流や人材還流を強化して、KEKでの実験遂行と地球規模での機器開発や物理研究を進める。以上の研究をとおして、将来の国際共同加速器プロジェクトをリードする人材を育成する。,国際共同研究加速基金(国際先導研究),理工系,素粒子（実験）,素粒子（理論）,加速器,粒子測定技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21346,名古屋大学,山口 茂弘,動的元素効果デザインによる未踏分子機能の探究,本研究では，有用物質の高効率合成を実現する触媒の開発，材料科学・生命科学研究の革新的進歩をもたらす機能性マテリアルの創製，さらには生体分子システムの機能制御を掲げ，未踏分子機能の実現に挑む．特に，元素効果のダイナミックな変化と分子性機能との相関を深く理解し，その変化を統合的にデザインし得る「動的元素効果デザイン」をもとに，触媒，マテリアル，バイオ機能に関わる分子機能の学際的追求に挑む．,国際共同研究加速基金(国際先導研究),理工系,元素効果,触媒,機能性材料,生体機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21345,名古屋大学,塩川 和夫,国際地上観測網と人工衛星観測・モデリングに基づくジオスペース変動の国際共同研究,地球のまわりの宇宙空間（ジオスペース）は、太陽から常に吹き付けている太陽風や下層大気から伝わってくる大気波動によって、常に大きく変動している。本研究では、日本が保有する国際地上多点ネットワーク観測網と欧米の最新の科学衛星による観測・グローバルなモデリングを組み合わせ、ジオスペース変動研究とその予測のさらなる国際化・高度化をはかり、安全・安心な宇宙利用に貢献する。また、若手研究者や大学院生を本研究に参加させることにより、地上観測・衛星観測・モデリングを組み合わせた研究を通して将来のジオスペース研究開発の中核を担う研究者・技術者を育成し、この分野の国際共同研究の中長期的な発展につなげていく。,国際共同研究加速基金(国際先導研究),理工系,ジオスペース,宇宙天気予報,オーロラ,プラズマバブル,電離圏,宇宙科学,地球科学,地上観測ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21344,東京工業大学,廣瀬 敬,太陽系に広がる惑星環境における前生命化学進化と分子システム誕生の多様性の解明,本研究では、地球惑星環境の形成とそこでの化学反応・分子システム形成を記述する理論と、それに対応する多岐にわたる惑星探査による実証の両輪により、原始地球・火星・小惑星など太陽系に広がる環境に応じた有機化学進化の多様性を理解することを目的とする。地球科学、化学、生命科学の融合を推進してきた東工大・地球生命研究所が中核となり、これに「はやぶさ２」探査メンバーと、NASAジェット推進研究所、コートダジュール天文台など海外拠点を加えた国際体制を構築する。海外派遣については常時30名を超える若手研究者が参画し、我々が獲得した地球-生命の起源論を宇宙に展開し、宇宙における生命の探求に格段の発展をもたらす。,国際共同研究加速基金(国際先導研究),理工系,惑星形成・進化,固体惑星探査,生命起源,非平衡・複雑系,固体惑星・衛星・小惑星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21343,東京大学,染谷 隆夫,全身電子皮膚による人間のデジタル化,本研究では、人間の生体情報を全身で高精度に計測し、かつフィードバック機能を有する全身電子皮膚システムを実現し、行動変容を促すためのフィードバック機構を提供することを目的とする。全身電子皮膚システムは、服型の情報プラットフォームであり、不快感なく装着でき、日常的な活動中に、複数の生体情報を高精度で長期間計測できる。長期間のデータ計測により、様々な生体情報や行動変化の正確な解析が可能であり、解析結果に基づいて人にフィードバックすることで行動変容を促す。フィードバックが行動変容に及ぼす効果や生体情報の変化を長期間追跡して国際比較できるため、多方面の学術分野へ大きな波及効果が期待される。,国際共同研究加速基金(国際先導研究),理工系,電子デバイス,ウェアラブル,ヘルスケアIoT,機械学習,生体信号計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K21342,北海道大学,グン 剣萍,低エントロピー高分子網目材料の設計と機能創出,本プロジェクトでは、北海道大学、米国デューク大学、欧州ESPCIをそれぞれ中心とした3つの世界最先端ソフトマター研究組織の相互協力のもとで、新材料概念「低エントロピー高分子網目（LeNet）」を確立し、新材料として社会に送り出す。LeNetとは、ゲル・エラストマーの網目鎖が極度に伸長し、低エントロピー状態を取っている高分子材料である。３組織の得意分野を活かし、日本は主に材料合成と構造解析を、米国は高分子理論と化学構造設計を、欧州は力学・破壊測定を担当する。さらにソフトマター研究を横断的に理解した優れた若手研究者を海外拠点に２年程度派遣し、現地の研究手法を学ぶことにより拠点横断的に育成する。,国際共同研究加速基金(国際先導研究),理工系,高分子網目,ゲル,エラストマー,大変形,低エントロピー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20039,九州大学,安達 千波矢,先端材料化学と量子物性物理の融合による量子分子エレクトロニクスの創製,本国際先導研究では、有機化学研究者と量子物性研究者を融合し、有機CTの科学技術の深化と次世代量子分子エレクトロニクスの創成を進める。第一の目標は、CT現象を基軸に新しい発光分子の創製と発光デバイスへの応用、有機センシングデバイス等への展開を進める。同時に、基礎的な視点から超高速分光、1分子計測技術等による分子の本質的な光電子物性の解明を進める。第二の目標として、封止技術によらず、本質的に水・酸素等と親和性の高い材料・デバイスの構築を進め、自然エネルギー・環境エネルギーで動作するデバイスや自己修復・回復の実現等により、メンテナンスフリーで長期間動作する低環境負荷のデバイスの実現を目指す。,国際共同研究加速基金(国際先導研究),理工系,量子分子エレクトロニクス,OLED,有機半導体レーザー,先進有機デバイス,有機量子物性,有機CT,有機発光デバイス,材料化学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20038,大阪大学,兒玉 了祐,パワーレーザー極限状態の固体とプラズマにおける物質と場の構造変化に関する学理探究,本計画では、パワーレーザーによって生成される非平衡極限状態の場と物質の構造の遷移を調べ、一般性を明らかにし、普遍性を探求することを目的とする。,国際共同研究加速基金(国際先導研究),理工系,パワーレーザー,高エネルギー密度状態,エネルギー散逸機構,高圧物質材料,核融合プラズマ,宇宙プラズマ,粒子加速プラズマ,非平衡状態,構造変化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20037,京都大学,辻 伸泰,変形機構の高次制御による超高強度・高延性金属の創成：実験＋計算二刀流人材の育成,輸送機器の軽量化や建築物等の巨大化のもと、構造材料には従来にはない超高強度が要求されている。一方、超高強度と高延性・靱性の両立は、現在の構造材料における最も重要かつ困難な課題である。本研究では、研究代表者・分担者らが最近見出した、材料のナノ組織制御を通じて高強度と高延性を両立する新たな戦略に基づき、最先端の実験手法と最新の計算材料科学的手法を融合し、世界をリードするトップ研究者間の国際共同研究を実施する。若手研究者が海外の実験・計算サイトの両方で武者修行を積む経験を提供し、構造材料の科学と工学における実験・計算の二刀流人材を育成する。,国際共同研究加速基金(国際先導研究),理工系,金属材料,超高強度,変形モード制御,原子シミュレーション,力学,計算実験の二刀流,加工硬化,延性・靱性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20036,名古屋大学,笠原 次郎,デトネーションエンジンの物理解明：宇宙飛行実証国際共同研究,デトネーション（極超音速）燃焼を用いた推進機構が航空宇宙工学分野に革新をもたらしている。本研究では、日本、米国、ドイツのデトネーションエンジン研究をリードする研究機関で強力な共同研究を実施し、多数の若手研究者の活発な３カ国交流を実施する。米国（Purdue大：先導的PGCガスタービン研究を実施）、欧州（ベルリン工科大：先導的PGC解析研究を実施）と国際共同で強く連携しながら、動的な回転デトネーションエンジン、液体推進剤回転デトネーションエンジン、システムインテグレーション、宇宙飛行実証の関連研究を実施する。,国際共同研究加速基金(国際先導研究),理工系,デトネーションエンジン,推進工学,航空宇宙工学,観測ロケット,デトネーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20035,東京大学,河野 孝太郎,超伝導工学・大規模数値計算・データ科学で解明する宇宙最初期の重元素生成過程,生命や惑星を構成する重元素が宇宙史の中でいかに形成・集積されたかという根源的な疑問に迫るため、炭素や酸素のイオンから放射されるスペクトル線に着目したサブミリ波帯での輝線強度マッピングを行う。超伝導ナノエレクトロニクス・大規模宇宙論シミュレーション・データ科学・観測天文学の緊密な連携により、既存計画と比して1桁以上の性能飛躍をもたらず次世代3次元分光撮像器TIFUUNを開発し、その性能を引き出す新たな観測およびデータ解析の戦略を策定する。ASTEでの輝線強度マッピング観測に加え、LMT-FINER等を用いた個別観測とあわせ、宇宙最初の20億年間における塵に隠された星形成史の全貌を明らかにする。,国際共同研究加速基金(国際先導研究),理工系,輝線強度マッピング,集積超伝導分光,疎性モデリング,深層学習,サブミリ波,サブミリ波輝線強度マッピング,宇宙における重元素生成集積史,集積超伝導分光器,大規模宇宙論シミュレーション,データ科学に基づく観測・解析手法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20034,東北大学,冨重 圭一,カーボンニュートラルを志向した作動状態解析に基づく固体触媒設計,カーボンニュートラルの実現には脱化石資源が不可欠である。このことは、燃料や化学品中の炭素源を、石油などの化石資源から二酸化炭素やバイオマスへとシフトさせることを意味する。そのため、従来技術を流用できず、大きなイノベーションが求められている。特に、触媒の開発がキーになると考えられている。本研究では、カーボンニュートラルへの寄与が期待できる触媒反応を、二酸化炭素の還元および非還元的変換、バイオマスの還元および非還元的変換、という4つのカテゴリーに分け、作動状態解析を活用した新しい触媒の設計・開発することができる人材を育成することを目標とする。,国際共同研究加速基金(国際先導研究),理工系,カーボンニュートラル,二酸化炭素,バイオマス,触媒,作動状態解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K23939,大学共同利用機関法人高エネルギー加速器研究機構,花垣 和則,力の統一的理解に向けたエネルギーフロンティアの次世代への展開と国際的人材育成,エネルギーフロンティア研究を主導してきた提案者らが，海外の一流研究者と協働し，ヒッグス機構の全貌解明および宇宙誕生直後の高エネルギー世界で成立する時空と力を統一的に記述する物理法則の発見に向けて，フェルミオンの世代構造の解明，ヒッグスポテンシャルそのものの理解，未知重粒子探索に挑む。並行して，次世代ヒッグスファクトリー実現の鍵となる測定器技術開発を推進する。以上の研究活動と各種教育プログラムにより，物理的センス，先端技術，国際的素養，高い観点と広い視野を持つ若手研究者を育成し，我が国がヒッグスファクトリー等の次期エネルギーフロンティア計画を主導する礎を築く。,国際共同研究加速基金(国際先導研究),理工系,エネルギーフロンティア実験,超伝導技術,素粒子測定器開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K23938,京都大学,中家 剛,国際共同研究に基づくニュートリノによる宇宙創生の解明,宇宙初期の「量子のゆらぎ」から現在の宇宙がどう進化してきたのか、「宇宙創生の謎」を、ニュートリノ研究を基軸として素粒子物理学と宇宙物理学の研究から解明する。本国際共同研究では、 初期宇宙の研究に残った課題:インフレーション、暗黒物質の正体、物質と反物質の非対称性の起源、大質量ブラックホールの進化、にニュートリノ研究の最先端から迫っていく。最先端研究とそこで開発される実験技術(検出器、電子回路、大規模データ、AIの開発と解析)を通して若手人材を育成し、「専門性」、「国際性」、「広い視野」を兼ね備えた次世代リーダーを創出する。,国際共同研究加速基金(国際先導研究),理工系,ニュートリノ,宇宙,素粒子,インフレーション,反物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
