awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0078,広島大学,鈴木 孝至,多極子とキラリティーの相関が創発する新奇強相関電子状態の実証,"エネルギーが等価でありながら右手系と左手系の両方が存在できることを対掌性（Chirality）という。有機物や遷移金属化合物の物性にChiralityが重要であることは認識されているが，希土類化合物ではまだ実験的な例が無い。本研究では，希土類カゴ状化合物RET2Zn20 (RE = Pr, Nd)および希土類Chiral磁性体RNi3X9 (R=Dy, Yb; X=Al, Ga)等について，国内では実施不可能な実験・研究をドイツ連邦共和国，英国，チェコ共和国等の一級研究機関と共同研究を行うことによって多極子とChiralityの相関という新しい物理概念を発見・提案し，公表した。",国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,多極子格子相関,新奇chiral量子状態,2チャンネル近藤効果,chiralソリトン,量子臨界,磁気相図,極低温熱膨張磁歪測定,超音波分光,新奇強相関電子状態の実証,キラリティー,多極子,希土類カゴ状化合物,希土類Chiral磁性体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0076,岡山大学,横谷 尚睦,第三世代放射光先端顕微分光によるエキゾティック超伝導候補物質の電子／局所構造研究,実験的な制約のために分光研究の難しいエキゾティック超伝導候補物質に対して、顕微光電子分光を主とした先端顕微分光によって、電子構造（および必要に応じて局所構造）の解明を目指して国際共同研究を行った。chiral d-波超伝導候補物質SrPtAsについて、フェルミ面とバンド構造の直接観測に成功し、実験的にStPtAsの電子状態がエキゾチック超伝導を発現しうる変数領域に位置することを示すなど、複数の試料についてこれまで未解明であった電子構造や局所構造を実験的に明らかにする事に成功した。これらの成果は、超伝導機構の理解につながる。加えて、関連する超伝導体の合成においても進展があった。,国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,エキゾティック超伝導,電子構造,局所構造,電子構,超伝導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0075,京都大学,菅瀬 謙治,Rheo-NMRによる乱流の速度イメージング,Rheo-NMRはNMR管内にガラス棒を挿入し、そのガラス棒を回転させることで流れを発生させながらNMR測定ができる装置である。本研究ではガラス棒の回転軸をずらすことでNMR管内にどのような流れが発生するのか、さらには回転軸をずらした状態で高感度・高分解能NMR測定ができる新しいRheo-NMR装置を製作することを目的として研究を行った。共同研究先のドイツのポリマー研究所において水の流れをイメージングした結果、ガラス棒とは逆方向に回転する流れが部分的に生じることが分かった。また、新しいRheo-NMR装置については、NMR装置に装着してテストを行える段階まで開発が進んだ。,国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,Rheo-NMR,速度イメージング,off-center Couette cell,乱流,タンパク質凝集,線維化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0070,九州工業大学,美藤 正樹,高圧力下におけるランタノイド系希土類金属強磁性元素の磁気構造の究明,本申請課題で、希土類強磁性体の高圧物性における未解決問題に決着を付ける。磁気測定の結果は、5-15 GPaの高圧力下でランタノイド系強磁性元素の磁気秩序が消失するであろうことを示唆している。しかし、常圧で磁気測定と一致する温度で異常を示す電気抵抗では、特徴的な抵抗異常は100 GPaでも観測されている。本研究は、我々の世界最高レベルの「高圧力下磁気測定」と、スペインがLaue-Langevin研究所で進行中の“Xtreme-Dプロジェクト”の協力を得て進める世界最先端の高圧・低温中性子回折との共同研究によって、希土類強磁性元素の高圧力下での磁性状態を徹底的に解明する。,国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,高圧実験,磁気測定,中性子回折実験,希土類強磁性元素,高圧力下中性子回折,高圧力下磁気測定,ランタノイド系単一元素強磁性体,ランタノイド系,強磁性,希土類金属,高圧力,中性子回折,希土類,強磁性体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0069,東北大学,佐藤 卓,マルチアナライザー冷中性子分光による磁気準粒子の非相反性とトポロジカル保護の研究,磁性体中の協力的なスピン揺動はマグノンやトリプロン等の素励起(磁気準粒子)を形成する。最近それらの素励起がスピン量子を運搬することが再認識され、スピントロニクスデバイスの観点から注目を集めている。本研究で我々は表面状態のトポロジカル保護や反転対称性の破れに伴う非相反性を用いたスピン量子流の方向制御と散逸抑制の学理構築を目指す。この目的達成に必要な超高効率高エネルギー分解能中性子非弾性散乱測定を可能にする新世代マルチアナライザー冷中性子分光法を米国研究者と共同でオークリッジ国立研究所(ORNL)にて開発する。開発の主要な複数の過程で日本側研究者がORNLに滞在し研究活動を実施する。,国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,冷中性子分光,マルチアナライザー,磁性準粒子,非相反性,トポロジカル保護,multianalyzer,cold neutron scattering,inelastic scattering,magnetic quasiparticle,spion,magnon,triplon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0061,国立研究開発法人日本原子力研究開発機構,徳永 陽,ウランが創発するスピン三重項超伝導の新しい物理,"核燃料としての応用が知られるウランは, 次世代超伝導の基礎研究においても極めて重要な戦略元素である. ウランを含む化合物では, 強磁性超伝導, 磁場誘起超伝導, 超伝導多重相など, 新奇な超伝導現象が次々と発見されており, その背景には従来の超伝導とは異なる, スピン三重項超伝導という新しい超伝導の物理が広がっている. 本研究では主に研究代表者及び研究分担者が, 海外の先端実験施設においてスピン三重項超伝導体の実験研究を実施する. 試料の相互提供を軸とした新たな共同研究の枠組みを確立することで,  スピン三重項超伝導の機構解明に向けた国際研究を加速させる.",国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,スピン三重項超伝導,強磁性超伝導,ウラン化合物,超伝導多重相,磁場誘起超伝導,ウラン系超伝導体,純良単結晶育成,強相関電子系,純良単結晶,トポロジカル超伝導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0060,東京大学,宮川 和也,強相関ディラック－ワイルフェルミオン系の強磁場NMR研究,"我々は、これまでの研究で、トポロジカル物質に対して核磁気共鳴(NMR)が電子相関効果を直接検出する極めて有効な実験手法であること、磁場がトポロジカル物質における電子相関効果を劇的に変え得ることを実証してきた。そこで、NMRを実験技法の基軸に据え, (i) 強磁場領域への展開と(ii)多彩なトポロジカル系への研究対象の拡張を図り、ディラック電子系をはじめとするトポロジカル物質における強相関物理学の開拓を目指す。",国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,ディラック電子系,核磁気共鳴,ノーダルディラックライン,ワイル電子系,ディラック-ワイルフェルミオン系,強磁場,ディラック-ワイルフェルミオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21KK0047,福井大学,藤井 裕,超低温パルス磁気共鳴法の開発と希薄ドープ半導体を用いた量子計算モデルへの応用,本研究ではフィンランドとの国際共同研究により、極小の共振器を開発することで、超低温かつ強磁場での高周波パルス磁気共鳴法の技術開発を行う。開発した装置を用いて、希薄にリンをドープした純良なシリコン半導体を用いた量子計算に必要とされる超低温・強磁場下でのスピン状態の自在な制御を目指す。,国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,パルス電子スピン共鳴,極小共振器,ミリ波,核磁気共鳴,二重磁気共鳴,希薄ドープ半導体,希釈冷凍機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21KK0046,北海道大学,柳澤 達也,ウランを含む強相関電子系化合物の国際先端研究協力ネットワークの持続的発展と強化,放射性元素のウランを含む化合物は新奇量子物性を示すものが多数見つかっており、将来の新たな機能性材料としての応用が期待される。しかしながら、ウラン化合物は国際規制物資であることから研究用試料であってもその輸出入には極めて厳しい規制が課されており、国際共同研究を推進する上での大きな障壁となっている。本研究では若手研究者が欧米で枢要な位置を占めている研究施設に滞在し、直接現地でウラン化合物を作成し、最先端の物性研究を行うことで法規制の障壁を突破する。各々の国の強みを生かしたボーダレスな日米欧の研究チームが一丸となり、マクロとミクロの双方からの研究アプローチにより、ウラン化合物の未解決問題に取り組む。,国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,ウラン化合物,超音波物性,多極子,強磁場,極低温,アシンメトリ量子,超音波測定,アクチノイド化合物,ウラン,超伝導,拡張多極子,超音波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KK0037,国立研究開発法人理化学研究所,東 俊行,高エネルギー重イオンの結晶光子場コヒーレント共鳴励起を用いた原子物理,量子電磁力学(QED)の検証は，基礎原子物理学における最重要課題の一つである。このなかで，超強電場下のQEDの検証手法としては，重い原子核近傍に位置する束縛電子の結合エネルギーの精密測定が最も有望である。研究代表者は，単結晶中を通過する重イオンが感じる振動電場を利用して束縛電子を選択的に励起するコヒーレント共鳴励起を，世界に先駆けて独自に実証してきた。本研究では，この手法を ドイツ・GSI/FAIRで供給される高エネルギー (45 GeV) の Li 様 (3 個の束縛電子を伴う) U89+イオンに適用し，分光ペクトルからQED効果をこれまでにない精度で観測する。,国際共同研究加速基金(国際共同研究強化(B)),中区分13:物性物理学およびその関連分野,重イオン,コヒーレント共鳴励起,原子物理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
