awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0090,国立天文台,秦 和弘,地球規模電波望遠鏡ネットワークで挑む巨大ブラックホールジェット生成機構,巨大ブラックホールから噴出するジェットの発生機構の解明は天文学における最難問の1つである。本研究では、日本・韓国・中国を含む東アジアおよびイタリアと共同で地球規模の電波望遠鏡ネットワークを形成し、M87をはじめとする巨大ブラックホール天体のジェット発生領域を高い視力で詳しく高頻度モニター観測した。その結果、ブラックホールからわずか２０倍程度の重力半径で超光速運動を検出するなど、これまで考えられていたよりも大きな初速度を示唆する観測結果を得た。 本研究成果は、ジェットの発生メカニズムにスピンや磁場が関与していることを強く示すものであり、ブラックホールの多様な活動性の理解を前進させるものとなった。,国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,電波天文学,ブラックホール,ジェット,VLBI,活動銀河核,超長基線電波干渉計（VLBI）,相対論的ジェット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0089,東北大学,津村 耕司,観測ロケット実験CIBER-2による赤外線背景放射観測で探る隠された星形成史,"我々はNASAの観測ロケットを用いた国際共同実験CIBER-2(Cosmic Infrared Background　Experiment-2)による銀河系外背景光(EBL, Extragalactic Background Light)の超過の観測により、宇宙の隠された星形成史を探ることを目指している。",国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,赤外線背景放射,黄道光,ロケット観測,宇宙望遠鏡,赤外線天文学,観測ロケット,宇宙背景放射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0082,国立研究開発法人宇宙航空研究開発機構,鈴木 大介,氷境界外側における惑星質量関数の解明,重力マイクロレンズ法による太陽系外惑星探査は、氷境界外側において地球質量まで探査可能な唯一の手法である。しかし、従来は主星・惑星の質量の絶対値を決めることが困難だった。本研究では、海外の研究者と協力し、MOA-IIなどの従来からのマイクロレンズ観測に加え、大口径望遠鏡の補償光学系を用いて主星を直接観測することで、質量の絶対値を決定する。これにより、氷境界外側の冷たい惑星の質量分布及び、その主星質量依存性を初めて明らかにする。本研究により、他の系外惑星探査手法を用いた氷境界内側の観測統計結果や惑星形成理論モデルとの直接比較が可能となり、惑星形成過程の理解が大幅に進む。,国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,系外惑星,光赤外線天文学,重力マイクロレンズ,太陽系外惑星,惑星形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0081,国立天文台,本間 希樹,事象の地平線スケールの動画解析で探る巨大ブラックホールの動的描像,人類史上初めて巨大ブラックホールの影を静止画で捉えたEHT（Event Horizon Telescope）による観測的研究を発展させ、さらなる観測データの蓄積と画像解析方法の向上により画像に時間軸を導入した動画撮影を目指す。それによって、ブラックホール周辺で起こるガスの運動やジェットの放出現象などさまざまな物理現象の時間変動を捉え、ブラックホールおよびその周辺の動的な姿を明らかにする。,国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,巨大ブラックホール,超長基線干渉計,動画解析,超長基線電波干渉計,超長電波基線電波干渉計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0080,東京大学,松永 典之,近赤外線分光観測で探る銀河系円盤の未開拓領域における中性子捕獲元素の合成,銀河の中で生まれる星は前の世代が生成した重元素を取り込み、徐々に重元素の多い星が増える。どの元素がどれだけ多いかという銀河の化学進化の詳細は、超新星爆発や中性子星合体など多様な現象の起こり具合に応じて変わるため、銀河の場所によっても異なる。本研究では、銀河系円盤のセファイド変光星の中性子捕獲元素の組成を測定し、銀河系円盤がどのような核合成過程の影響を受けてきたかを探る。星間減光・赤化の大きい銀河系円盤にある天体に対しては赤外線観測が有効であるので、我々が開発したWINERED赤外線分光器をマゼラン望遠鏡(口径6.5m、チリ)に設置して観測を行う。,国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,近赤外線高分散分光,恒星化学組成,中性子捕獲元素,銀河系円盤,チリ共和国,近赤外高分散分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0072,国立研究開発法人宇宙航空研究開発機構,鳥海 森,超大型太陽望遠鏡DKISTで迫るプラズマ加熱の新たな物理的描像,2020年に初期科学観測を開始する超大型太陽望遠鏡DKIST（Daniel K. Inouye Solar Telescope：米国ハワイ)は、既存の太陽望遠鏡を遥かに上回る口径4mを活かした圧倒的な集光力により、光球・彩層の高精度な磁場診断を初めて実現する。本研究では、DKISTとの共同研究体制を構築し、我々の強みである「ひので」衛星観測・彩層磁場診断手法・輻射磁気流体シミュレーションをDKISTデータと組み合わせることで、彩層磁場の高精度測定を行う。これにより、光球～彩層のエネルギー輸送の担い手と熱化の現場を特定し、その散逸量を評価することで、プラズマ加熱問題を定量的に解明する。,国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,超大型太陽望遠鏡DKIST,太陽観測衛星ひので,光球・彩層磁場,輻射磁気流体シミュレーション,偏光分光観測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0071,関東学院大学,中嶋 大,遠方AGN探査による宇宙再電離光子源解明のための革新的X線撮像分光器の開発研究,宇宙再電離期のAGN光度関数を世界で初めて測定することで、再電離へのAGNの寄与を観測的に明らかにすることが本研究の最終目標である。そのために、独マックスプランク地球外物理学研究所(MPE) が開発しているセンサDepFETと、応募者らがこれまでのX 線天文衛星搭載検出器開発で培った低雑音の検出器電源回路およびセンサ駆動回路を持ち寄って結合させる。国内で回路を製作したのち、研究代表者と若手研究者がMPE に出向き、センサと回路を結合した状態で、X 線に対する応答評価を行う。これにより、検出器のエンジニアリングモデルを完成させ、フライトモデル製作への準備を整える。,国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,X線天文学,CMOS,X線イメージャ,光子計数,X線,天文学,衛星搭載機器,AGN,DepFET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21KK0054,関西学院大学,松浦 周二,ロケット実験CIBER-2による近赤外宇宙背景放射の強度とゆらぎ超過の起源解明,我々は，NASAの観測ロケットを用いた国際共同実験CIBER: Cosmic Infrared Background Experiment により近赤外域の銀河系外背景放射を観測した結果，その強度と空間的ゆらぎが通常銀河の積算光から超過していることを発見した．この超過は未知天体の存在を示唆しており，宇宙初期やダークハロー浮遊星が起源の候補である．我々はCIBERより一桁高い感度で超過原因を特定しうる新たなロケット実験CIBER-2を計画し2021年6月に第１回の打上げに成功した．本研究では，パラシュート回収した観測装置を次回実験に再利用するサイクルを複数回行い背景放射の超過問題を解明する．,国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,宇宙背景放射,赤外線,ロケット実験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21KK0053,名古屋大学,金田 英宏,日印共同気球観測を軸とする遠赤外線天文学による星形成研究の推進,本研究は、日本とインドの国際共同気球観測を軸に、遠赤外線による星形成の研究を推進することを目的とする。具体的には、我々が所有する遠赤外線アレイ分光器と、インドが所有する口径1 mの気球望遠鏡システムを組み合わせ、インドのハイデラバード気球放球基地から大質量星形成領域の観測を実施する。遠赤外線[CII]放射を検出し、星間雲フィラメント・ハブ構造と大質量星形成との関連性を探る。4年間で代表的な大質量星形成領域を網羅的に観測する。また、気球観測と並行して現地滞在中に、将来の遠赤外線による星形成研究のために、インド宇宙研究機関ISRO主導の天文衛星による遠赤外線偏光撮像ミッションの概念検討を進める。,国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,遠赤外線,星形成,気球観測,[CII]放射,衛星ミッション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KK0043,東北大学,富田 賢吾,,星形成は銀河スケールから星スケールまで、非常に大きなスケールの範囲に渡る現象であり、これらのスケール間は双方向かつ密接に関係している。更に、星形成は重力をはじめとして磁気流体力学、輻射輸送、乱流、化学反応、非理想磁気流体効果など非常に多様な物理過程が絡み合う極めて複雑なシステムである。本研究では国際共同研究で新たなシミュレーションコードを開発し、これを用いて銀河系全体から原始惑星系円盤に至るマルチスケールなシミュレーションにより星形成過程の一貫したモデルを構築する。,国際共同研究加速基金(国際共同研究強化(B)),中区分16:天文学およびその関連分野,星形成,分子雲,銀河系,磁気流体シミュレーション,分子雲形成,原始惑星系円盤,磁気流体力学,数値シミュレーション,銀河,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
