awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0112,九州大学,長島 一樹,超多チャンネルセンサアレイによる多成分同時分子識別デバイスの創製,本研究では、多元素機能傾斜膜形成技術・ナノ微細加工技術・高速電子回路技術を融合することで、特性の異なる金属酸化物センサ素子が面内集積化された‘高堅牢性異種集積化センサアレイ’を創製し、全1024センサ素子のリアルタイム計測機能、及び多成分標的分子群の同時検出・識別機能の原理実証に成功した。加えて、堅牢な有機分子によるセンサ表面の化学特性改質へ向けて、固体表面上におけるクリック反応制御メカニズムを解明すると共に高効率反応へ向けた設計指針構築に成功した。,国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,金属酸化物,センサ,分子識別,揮発性分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0111,大阪大学,浜屋 宏平,ホイスラー型新機能スピントロニクス材料の薄膜実証とその応用,スピンギャップレス半導体(SGS)実証に向けた物性探索を目的に，未だ合成例がなく，SGSとしてのバンド構造が予想されている四元等組成ホイスラー合金CoFeVSiに注目し，分子線エピタキシー法を用いた薄膜合成とその磁気伝導特性の調査を行った．研究代表者らが独自に開発した非化学量論組成蒸着法を用いることで，等組成CoFeVSi薄膜の合成に成功した．異常分散XRD測定による構造解析から，作製したCoFeVSi薄膜は，CoとFeがランダムに配置したL21B構造であることが判明した．作製したCoFeVSi薄膜の物性評価を進めていくと，低温で正の線形的なMRを観測した．詳細な電気・磁気伝導特性の評価とバンド計算の結果から，CoFeVSiにおける正の線形的なMRの起源は，フェルミ準位(EF)付近の少数スピンバンドのV由来のギャップレス構造に起因した量子MR効果と考察し，CoFeVSiにおいてはSGSでなくても正の線形的なMRが発現する可能性を示した．しかし，この考察には実験的な証拠が乏しいため，CoFeVSiのVをMnに置換したCoFe(V1-xMnx)Si薄膜を作製し，その磁気伝導特性の評価から，CoFeVSiにおける正の線形的なMRの起源にアプローチした．CoFe(V1-xMnx)Si薄膜のMRの温度依存性から，Mn濃度の増加に伴って正の線形的なMRの大きさは次第に小さくなり，x=0.75で消失した．バンド計算の結果から，CoFeVSiのVをMnに置換すると，EF付近の少数スピンバンドのV由来のギャップレス構造がバンドギャップへ変化することが判った．以上のMRの振る舞いとバンド構造の関係から，CoFeVSiにおける正の線形的なMRはフェルミ準位付近のV由来のギャップレス構造の存在が起源であると結論づけた．,国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,ホイスラー合金,スピントロニクス,分子線エピタキシー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0110,富山大学,長谷川 英之,動脈硬化症診断のための超音波高精度血管動態計測法の開発,"動脈硬化症は，心筋梗塞や脳梗塞などの主たる原因であるが，生活習慣病であり，長い時間をかけて徐々に進展するため，繰り返し診断による経時変化の観察が重要である．本研究における海外共同研究者は，動脈の動態が，動脈硬化の進展に関わる内分泌系の変化と関係するという知見を有している．研究代表者は，毎秒最高10,000枚の超高速撮像を可能とする超高速超音波イメージング法を実現しており，繰り返し診断に適した非侵襲な超音波を用いて動脈壁のひずみや血流などの重要な動態を高精度に計測する手法の研究開発を行った．",国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,超音波,循環動態,イメージング,超高速イメージング,血管動態,循環器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0109,東京農工大学,梅林 健太,学習に基づく多次元無線環境認識によるスマートスペクトラム,高効率な周波数共用には、周波数利用の詳細な把握が必要であるが、現在の観測及びモデリング技術ではその精度が不足しており、把握が困難とされている。本研究課題では、各端末での周波数利用観測結果に対し、多次元の無線物理量(受信電力、周波数利用率等)及び通信品質メトリックを推定する手法を提案してきた。加えて、観測及び認識で得た情報を基に、適切な周波数資源管理法と、高効率な無線通信ネットワークの運用(スペクトラム活用法)の検討に取り組み、セキュアなRadio Environment Mapに基づく周波数利用の把握方法の確立、機械学習技術を用いた高度な周波数利用観測方の設計法を確立させてきた。,国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,スマートスペクトラム,ダイナミック周波数アクセス,コグニティブ無線,周波数利用観測,周波数共用,周波数資源マネジメント,周波数管理,機械学習,MEC,ダイナミックスペクトラムアクセス,周波数利用モデル化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0104,筑波大学,末益 崇,電流駆動超高速磁壁移動を実現する窒化物スピントロニクス材料,AIやビックデータ用に大容量で低消費電力のメモリーが必須であり、究極の情報記録素子として、電流駆動磁壁移動デバイスの研究が盛んに行われている。このデバイスでは、磁性細線の磁区の磁化方向を情報の0 又は 1に対応させ、磁区の境界である磁壁を電流で高速に移動して情報の書込み・読み出しを行う。このため、小さな電流で、つまり、小電力で高速の磁壁移動を達成することが求められる。申請者は、フェリ磁性体Mn4Nに注目し、比較的低い電流密度で900 m/sに達する超高速の磁壁移動を達成してきた。本研究では、フランス側研究者との共同研究により、Niを少量添加することで角運動量補償を達成し、格段の超高速駆動を実証する。,国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,スピントロニクス,フェリ磁性体,磁化補償,x線磁気円二色性,エピタキシャル成長,分子線エピタキシー,垂直磁気異方性,スピントロ二クス,磁壁,電流駆動磁壁移動,スピン移行トルク,電流誘起磁壁移動,第一原理計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0103,東北大学,加納 剛史,バクテリアのバイオフィルム形成現象から切り拓く超サバイバルシステムの革新的設計論,本研究では，環境への適応戦略を自律的に創出し，過酷な環境下でも機能する「サバイバビリティ」の高い人工物システムの革新的設計論構築を目指す．目的達成のため，複数のバクテリアの相互作用により自己組織的に形成された構造体であるバイオフィルムに着目する．バクテリアを用いた生物実験と数理モデリングによりサバイバル戦略を創発可能なシステムの設計論を構築し，さらにその設計論を用いて過酷な環境に耐え得る人工物を実世界実現する．,国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,自律分散制御,バイオフィルム,サバイバビリティ,イトミミズ,チスイコウモリ,COVID-19,蝋燭振動子,バクテリア,自律分散システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0102,東北大学,佐藤 源之,人道的目的レーダのコロンビア現地展開のためのアンテナ工学的アプローチ,地中レーダと金属探知機を複合した地雷検知用「デュアルセンサ」ALISを利用し、コロンビア国立大学と協同し、レーダデータの効率的な取得法とCS法に代表される新しいレーダ画像再構成アルゴリズムを利用した近距離合成開口レーダの信号処理理論を発展させる。また媒質との相互作用を考慮したレーダ計測のため、土壌の性状評価手法と空間分布の統計的モデリングを提案し、その知見に基づき地雷検知センサ評価用のテストサイトを現地に設置する。地雷原とテストサイトで取得したデータを利用し検知対象に適合的なレーダ信号処理法を開発し、コロンビアで人道的地雷除去を実践によりODAによる本格的な導入を学術的に支援する。,国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,GPR,地中レーダ,人道的地雷除去,コロンビア,合成開口レーダ,ODA,土壌,爆発物,電磁波散乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0101,東北大学,福島 誉史,マルチスケール応力エンジニアリングが拓く高集積フレキシブルエレクトロニクス,本研究の高集積FHEでは、厚さ100μm程の微小Siチップ(チップレット)をエラストマーに埋め込み、ウエハレベルで高密度配線を形成してチップ間を接続する集積形態をとり、フレキシブルデバイスの性能とスケーラビリティを格段に高めることができる。本研究では、分子レベル、材料レベル、システムレベルの階層的なマルチスケール応力エンジニアリングを駆使し、機械的／電気的信頼性を解析してこの高集積FHEの有用性を工学的に体系化する。我々のSi貫通配線(TSV)を用いた三次元積層チップ(3D-IC)技術とUCLAのシステム集積技術を融合させ、我々の高集積フレキシブル人工網膜システムを動物実験にまで到達させる。,国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,フレキシブルデバイス,半導体パッケージ,チップレット,応力制御,材料力学,マイクロLEDディスプレイ,3D-IC,FOWLP,常温接合,FHE,人工網膜,三次元実装,TSV,無線給電,埋め込みデバイス,応力解析,応力エンジニアリング,ウエハレベルパッケージ,PDMS,マイクロXRD,応力,高分子材料,フレキシブルコイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0100,東北大学,金井 浩,内膜弾性板の表面粗さの高精度超音波計測による動脈硬化症の極早期診断法,超音波を用い，頸動脈や腹部大動脈などの内膜弾性板の表面粗さをサブミクロンオーダで，皮膚から非侵襲的に計測・可視化するため，超音波計測でRF受信信号の位相まで活用すれば，空間分解能をサブミクロンオーダまで向上できる。しかし超音波プローブと動脈壁間の脂肪などの組織は，音速が場所によって不均一であるため，超音波ビームの走査では，動脈内膜の表面粗さの高精度な計測はできない。,国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,動脈内膜弾性板,表面粗さ計測,超音波医学,粥状動脈硬化症,医用超音波計測,非侵襲的早期診断,超音波工学,位相差トラッキング法,動脈内膜弾性板表面粗さ,血管内膜弾性板欠損,動脈硬化症,内膜弾性板,位相計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0089,成蹊大学,村上 朝之,薬剤耐性菌に挑む、低温大気圧プラズマによる細菌不活化作用機序の解明,薬剤耐性菌への対策が急務となっている現在、従来型抗生物質に代わる手段として低温大気圧プラズマが注目されている。本課題では、低温大気圧プラズマの細菌不活化効果の作用機序を解明することを目的とし、海外研究機関において国際標準プラズマデバイスを用いたバイオフィルム状細菌群不活性化実験を行う。多くのプラズマデバイス作動変数を調整することで細菌群に対して非特異的な効果を与えつつ、細菌細胞内のDNA・蛋白質の分子生物学的変化および細菌細胞群の細胞生物学的変化（非耐性菌あるいは耐性菌の死滅や出現の挙動）を解明する。また、細胞内生体反応および細胞群挙動シミュレーションを相補的に用い実験を支援する。,国際共同研究加速基金(国際共同研究強化(B)),中区分21:電気電子工学およびその関連分野,プラズマ医療,低温プラズマモデリング,生体化学モデリング,低温大気圧プラズマモデリング,大気圧プラズマ,薬剤耐性菌,細菌不活性化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
