awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0142,熊本大学,高藤 誠,閉鎖性ナノ・サブミクロン空間の構造制御と機能開発,本研究では、マイクロ粒子界面でのナノ・サブミクロンサイズのポッド状空間の創成ならびにポッドの形状、内部界面構造の制御による特異的空間の創出を目指し、（１）シリカナノ粒子を分散させた重合性モノマーの懸濁重合によるポリマー粒子界面へのシリカナノ粒子の集積化、（２）界面シリカ粒子の化学的溶解除去により、界面にポッド空間をもつポリマー粒子を作製した。ポッドの開口部や内部空間サイズは調製条件により様々に制御可能である。また、内部空間に色素分子からナノ粒子まで様々な物質を格納させることができたことから、空間内部は拡散性・流動性が高く、閉鎖性の高い空間であることが示唆された。,国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,マイクロ粒子,閉鎖性空間,ディンプル構造,コアシェル粒子,ナノ空間,ナノ粒子,ナノ・マイクロ粒子,コアシェル微粒子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0141,神戸大学,藤井 稔,,本研究は，研究代表者のグループが開発してきた新しいタイプの水分散性コア/シェルシリコン量子ドット及び可視光領域にMie共鳴を有する結晶シリコンナノ粒子の基礎物性解明と応用探索を目的とする．シリコン量子ドットについては，オーストラリア及び欧州のグループと共同で，構造解析，電子状態の解明，プラズモニックナノ粒子との複合構造の形成等の研究を実施した．Mie共鳴シリコンナノ粒子に関しては，USA及び欧州のグループと共同で，基礎物性の解明と2次元半導体との複合構造の形成等の研究を行った．本プロジェクトにより，欧米とオーストラリアの多数の研究機関と共同研究を行い共著論文を発表した．,国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,シリコン,ナノ粒子,量子ドット,シリコンナノ粒子,シリコン量子ドット,Mie共鳴,シリコンナノ結晶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0140,大阪大学,斗内 政吉,低次元ナノ材料における局所場光テラヘルツ波変換の科学,半導体カーボンナノチューブ（CNT）を用いて光スイッチを開発し、そのフェムト秒レーザー励起によるテラヘルツ波の観測に成功し、非平衡数値シミュレーションを組み合わせて、その特性からエキシトンの乖離ダイナミクスを解明し、CNT配列の程度が励起された準粒子ダイナミクスに大きく寄与し、その熱化経路の迂回などを明らかにした。,国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,テラヘルツ波,ナノカーボン,フェムト秒パルスレーザー,励起子,2次元原子層物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0139,京都大学,遠藤 政幸,設計したDNAナノスケール空間が生体分子の物性に与える影響とその機構の解明,本研究では、ナノスケール空間が生体分子に与える影響と空間-分子間に働く相互作用の解明を目指した。DNAオリガミによって作成したナノ空間にグアニン四重鎖やi-モチーフを配置し、これらのDNA構造が大きく安定化されること、その原因が空間内の水分子の状態に由来することを明らかにした。また、ナノ空間内では二本鎖DNAは不安定化され、空間の化学修飾によって分子の安定性に影響が生じることも明らかにした。一方で、生体分子反応をナノ空間で制御する系の構築やDNAオリガミの機械的な制御も成功した。これらのナノ空間の物性の理解によって生体分子を制御するための大きな知見が得られた。,国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,DNAナノテクノロジー,DNAオリガミ,光ピンセット,高速原子間力顕微鏡,ナノ空間,ナノ構造,酵素反応,転写反応,グアニン四重鎖,i-モチーフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0129,大阪府立大学,許 岩,１細胞情報の二次元化による細胞内分子計数,精密かつ系統的，網羅的に健康を理解し疾患を個人レベルで最適な診断，観察，治療するためには，１細胞レベルで人体の包括的な生体分子情報が求められる．しかし，既存技術では１細胞分子情報の全容が抽出できない．そこで，我々は独自のナノ流体デバイス技術に基づいて，１細胞の生体分子情報を容易に高精度・ハイスループットで抽出できる「１細胞情報の二次元化」戦略を提案した。本研究では，北米・アジアの研究グループとの共同研究を通じてこの戦略確立へのボトルネック的な課題を解決する．本研究が実現すれば，生命科学だけではなく情報科学も革新することが期待され，幅広い領域への学術的・科学技術的・社会的波及効果をもたらす．,国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,ナノ流体デバイス,アプタマー,生体分子捕捉,１分子,分子動力学シミュレーション,細胞膜透過性,ナノ粒子,光ピンセット,表面増強ラマン散乱(SERS),シミュレーション,ナノ加工,1分子検出,１細胞,生体分子計数,情報,3Dナノ電気穿孔法,細胞内送達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0128,埼玉大学,吉川 洋史,レーザー技術による機能性分子の秩序構造形成制御,本国際共同研究では、レーザーの電場やエネルギーの特性を駆使して「集める・回す・壊す」工作的アプローチを実現し、様々な機能性分子の秩序構造形成を自在制御する技術基盤を開拓することを目指している。本目的実現のため、台湾と日本が独自に開発してきた２種類のレーザー結晶化制御技術を組み合わせ、分子間の相互作用を動的かつ厳密に制御する方法を開発する。さらに、レーザー技術により様々な材料の秩序構造作製に挑む。,国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,レーザーアブレーション,レーザートラッピング,結晶化,自己組織化,秩序構造形成,生体分子,誘電体メタ表面,細胞骨格,分子構造,有機・生体分子,無機塩,有機バイオ材料,キラリティ,金属粒子,タンパク質,核発生,プラズモン,結晶多形,有機結晶,無機結晶,有機・バイオマテリアル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0116,大阪市立大学,吉田 朋子,光触媒活性サイトその場分析法開発に関する国際共同研究,本提案では，反応中に刻々と変化する固体光触媒活性サイトを抽出し，その場観察するための分析法を世界に先駆けて構築する．具体的には，触媒の局所構造・化学状態解析に有用なＸ線吸収分光法（XAFS）を活性サイト分析法に発展させるために，化学状態を選別した測定法や定量的解析法を共同開発する．この方法論を電子線エネルギー損失分光法（EELS）に応用し，固体光触媒の活性サイトの分布を定量的，且つ原子レベルで可視化する高空間分解分析法へと発展させる．本提案では，研究代表者を中心としてイタリア側研究拠点に出向き，国際共同研究を強力に推進すると共に，国際的に活躍する若手研究者を育成することも大きな目標としている．,国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,XAFS,EELS,光触媒,X線励起発光,定量的構造解析,XAFS測定,XANES解析法,X線発光,放射光分光,電子分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0115,静岡大学,朴 龍洙,蚊媒介性ウイルス疾患の診断に向けた選択的かつ高感度多検体ウイルス検出技術の開発,主に熱帯・亜熱帯地域を中心に発症するデング熱やチクングニア熱は、年間約３億人が媒介蚊によって感染し、常に脅威に曝されている。このような感染症関連疾患はグローバル化社会、地球温暖化などを背景に、今後増え続けると考えられる。本研究では、ウイルスの存在を電気シグナルとして捉える独創的な電極を用いて、公衆衛生上重要と考えられる蚊媒介性疾患関連ウイルスを高感度かつ迅速に検出を可能にする技術を開発し、実際のヒト検体における有用性を示す。そのためには、国を超えてグローバルな見地から対処することが必要であり、海外の研究機関との緊密な連携が必要不可欠である。,国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,virus detection,impedance,amperometry,dengue,zika,chikungunya,Dengue,Zika virus,Chikungunya,蚊媒介性疾患原因ウイルス,インピーサンス,ウイルス検出,デングウイルス,ディスポーザブル電極,ジカウイルス,インピーダンス,チクングニアウイルス,電気化学的ウイルス検出,Zika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0114,東京大学,項 栄,,"Li-S battery is a next-generation secondary battery which possesses a high specific energy density. However, because of the electric insulation of S, a conductive material, mostly carbon materials, is needed in the cathode to form conduction networks. Here we propose to use our recently developed vertically aligned 1D van der Waals heterostructures in the cathode of Li-S battery. Besides the conventional advantages like high surface area and high axial electron conductance, 1D vdWH arrays may further improve the performance by enhancing the Li-S reaction and refraining the shuttle effect.",国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,一次元ファンデルワールスヘテロ構造,カーボンナノチューブ,透過型電子顕微鏡,リチウム‐硫黄電池,電子顕微鏡,CVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0113,筑波大学,黒田 眞司,格子歪による単一スピン状態の制御とフォノン媒介スピン間相互作用,我々はこれまで自己形成CdTeドット中に含まれる遷移元素Crの原子1個のスピンを対象とした研究を行い、ドット中の単一Crスピンは励起子との交換相互作用を通じて光によりアクセス可能であり、かつ格子歪と強く結合しているという特性を明らかにした。本研究課題は、これらの特性を活かして、Crスピンと格子振動との相互作用の様相を解明し、格子振動によるスピンの変調および制御を実験的に検証することを目的とする。,国際共同研究加速基金(国際共同研究強化(B)),中区分28:ナノマイクロ科学およびその関連分野,量子ドット,単一スピン,表面弾性波,スピントロニクス,交換相互作用,スピン-歪結合,量子ビット,スピンー歪結合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
