awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0012,国立民族学博物館,菊澤 律子,時空間を融合する：GISと数理モデルを用いた新たな言語変化へのアプローチ,・「国際シンポジウム・ワークショップ　“GISを用いて言語情報と非言語情報をつなぐ”」（https://www.minpaku.ac.jp/ai1ec_event/46676）の実施,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,Language GIS,地理情報システム,方言データベース,言語変化と空間,言語分布と時間軸,ジオ・リファレンス,手書き地図データの電子化,言語変化,ヒトの移動誌,フィジー語,言語接触,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0011,国文学研究資料館,神作 研一,在米日本古典籍（リチャードレインコレクション）の調査研究と教育活用に関する研究,新型コロナの影響を強く受けたものの、当初の計画通りレインＣの基礎的な書誌データの著録を完了した。オンラインによって頻繁に国際共同研究会を開催、ハワイ大学マノア校のヒューイ教授のお力添えによって毎回２０名前後のメンバーが参集し、全員で日本古典籍および日本古典文学研究の最前線を共有できたことも大きな達成であった。ヒューイ教授らとともに、国際学会ＡＡＴＪ２０２２（アメリカ日本語教育学会）にてパネル発表が叶ったことも特記しておく。,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,リチャードレインコレクション,ホノルル美術館,ハワイ大学,在米日本古典籍,リチャードレイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0010,九州大学,中里見 敬,周作人宛書簡の整理・目録作成と保存状態の改善,2019年9月を最後に、新型コロナウィルスによる出入国制限により、北京での書簡データの採取は実施できない状況が続いている。そのため、本研究課題の中心である周作人宛日本語書簡の整理、および書簡の実験調査に基づく目録作成の作業は、停滞を余儀なくされている。,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,周作人,書簡,日中関係史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0009,山口大学,乾 秀行,エチオピア諸語の記述とドキュメンテーション：ソーシャル・イノベーションにむけて,本研究はエチオピアの少数言語に焦点を当てて、3つの相互に関連する研究を行った。(1)エチオピアの少数言語の文法記述、(2)少数言語の言語学的及び文化的遺産である民話などの談話資料を収集し、そこに音転写・翻訳・形態素の注釈をつけたコーパスおよびドキュメンテーションの作成、(3)収集した民話などのコーパスに基づいて読み物テキスト、3言語（英語、アムハラ語、少数言語）の語彙集、絵付き単語カードを作成し、少数民族に母語教材として提供することで、少数民族の言語共同体のソーシャル・イノベーションを図った。,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,エチオピア,少数言語,ドキュメンテーション,母語教材,社会言語学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0008,神戸大学,増本 浩子,多言語多文化芸術運動としてのトビリシ・アヴァンギャルドの歴史的資料調査と考察,ジョージアでのアーカイブ調査で、20世紀初頭にトビリシに滞在したロシア・アヴァンギャルド芸術家たちに関する貴重な資料が見つかった。これらの資料を分析することによって、ロシア未来派の詩人たちがトビリシでグループ「41°」を結成した事情や、このグループの主要メンバーだったイリヤ・ズダニエヴィチが後にシュルレアリストとなる過程を跡付けることができた。また、作家・批評家ユーリ・デーゲンが残した遺稿なども見つかった。彼はトビリシで国際的芸術家交流の中心的人物だったが、その後の政治的情勢によって忘却されてしまった人物で、彼の生前の著作や遺稿をまとめた著作集を出版し、新たに見つかった資料を広く公開した。,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,トビリシ・アヴァンギャルド,多言語多文化主義,コスモポリタニズム,亡命文学,アーカイブ調査,ユーリ・デーゲン,イリヤ・ズダニエヴィチ,トビリシ,グリゴル・ロバキゼ,セルゲイ・トレチャコフ,ベルトルト・ブレヒト,ソ連映画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0007,名古屋大学,飯田 祐子,1930年代における東アジア女性雑誌の比較研究,2023年度も四つの班による報告を、三回の研究会にて行った。本年度第１回めは、中国班が担当し、2023年11月26日に開催した（14:00~17:00、Zoomミーティング）。尹シセキ「雑誌『女性満州』における女性文学と「満州娘」言説」の報告を行い、『女性満洲』が文化雑誌からプロパガンダ雑誌へと転換する過程、『女人芸術』など日本の女性雑誌との継続性や、満州に流れ込んだ左翼思想における女性像の翼賛体制下での変質などについて議論が行われた。第二回は、日本班と韓国班が担当し、2023年12月17日（日）に開催した（14:00~17:00、Zoomミーティング）。日本班から、飯田祐子「『働く婦人』における「国際性」」の報告を行い、同誌における国際関係の情報を精査し、『女人芸術』における国際記事の傾向との比較を行い、左翼的国際生について検討した。韓国班からは、孫知延・光石亜由美「雑誌『女人』」の報告を行い、左翼文化運動の流れと女性雑誌の流れとの交差性が検討された。第三回は、台湾班が担当し、2024年3月16日（土）に開催した（14:00~17:30、Zoomミーティング）。陳 奕汎「植民地台湾初商業女性雑誌『婦人と家庭』の概観」の報告を行い、『台湾愛国婦人』と『台湾婦人界』の間における台湾での女性雑誌をめぐる問題について検討した。加えて、書籍化した際における年表作成に向けて、光石亜由美「1930年代の女性雑誌」の報告を行い、方向性について検討した。また、各回において、2024年度8月に開催するシンポジウムに向けて、シンポジウムの目的や構成、また招待研究者の人選などについて、議論を重ねた。,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,女性雑誌,1930年代,東アジア,左翼雑誌,商業雑誌,読者,1930年前後,女性知識人,女性文学,左翼文化運動,女性表現者,女性作家,近代,メディア,ジェンダー,文化生産,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0006,東京外国語大学,中川 裕,カラハリ・コエにおける言語と音楽の相互関係：クリックとポリリズム,本研究は、グイ語とガナ語を事例として、カラハリ・コエの言語と歌の相互関係を解明することを目的とした。コロナ禍で現地調査は遅延したが、オンライン調査や東京滞在中の母語話者の協力によりデータ分析とアーカイブを拡充した。最終年度には現地調査を再開し、音楽と韻文の資料収集を完了した。特に、音素体系・音素配列論とポリリズムの関係に焦点を当て、音楽的および韻文的リズムと音韻構造の相互作用を明らかにした。また、シドニー大学やボツワナ大学の研究者との協働により、パンデミック対応の研究手法も模索した。この研究は、言語の維持や伝統的な歌の復興を含め、少数言語研究と民族音楽研究に新たな知見を提供するものである。,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,Kalahari Khoe,ethnomusic,phonology of songs,click,Kalahari hunter-gatherer,カラハリ狩猟採集民,音楽,歌,韻文,民族音楽,コイサン,ブッシュマン,クリック子音,音楽人類学,クリック,音韻論,カラハリ,言語学,phonology,musicology,Khoisan,ethnopoetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0012,京都大学,千田 俊太郎,パプア諸語の記録言語学的研究―三地域の諸言語の直示表現を中心に―,シンブー州、ブーゲンビル自治州、サンダウン州の三地域のパプア諸語の多様な資料を対象に、オーストラリアの記録言語学・パプア諸語の記述研究を専門とする研究者たちの協力のもと、テキストコーパスを構築し、それらのテキストに見られる統語・談話レベルの文法現象の記述と対照言語学的分析を進める。直示表現の面で共通点と相違点をもつパプア諸語の直示表現の振る舞いに着目して研究を進める。データを共同で編集・分析し、アーカイブに長期保存する。,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,パプア諸語,アーカイブ,シンブー,ブーゲンビル,サンダウン,記録言語学,パプア・ニューギニア,言語資料,直示表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0011,東京外国語大学,塩原 朝子,インドネシア・フィリピンにおける少数言語の記録とコーパス構築に基づく研究,本研究ではインドネシア・フィリピンの少数言語の記録のため現地機関と共同で少数言語のデータを収集・分析し、言語使用を反映したコーパスを構築し公開する。さらに、コーパスを利用したtext-based な文法研究を行う。対象地域では多くの少数言語が話されているが、それらの言語の多くが国語などの影響により急速に話者数を減らしつつある。多様な言語・文化の記録を人類共通の財産として残すことは言語学者に課された急務である。本研究はそのミッションを達成するためのインドネシア・フィリピンの研究機関との国際共同研究を行うともに、構築したコーパスの利用に関してドイツ・オーストラリアの研究機関とも共同研究を行う。,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,言語学,コーパス言語学,インドネシア語,アルタ語,マレー語,スンバワ語,オーストロネシア諸語,危機言語,少数言語,イロカノ語,コーパス,クイ語,インドネシア,フィリピン,談話研究,ナラティブ研究,形態統語論,インドネシアの言語,フィリピンの言語,談話論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0010,筑波大学,吉原 ゆかり,冷戦期東アジアにおける創作教育、文学、大衆文化,冷戦期東アジアで、アメリカ主導で展開された文化外交（文化を通した国際関係の設立）においては、文学・大衆文化・文学創作教育は、芸術的な喜びやクリエイティヴィティ育成などのためにだけあったのではない。アメリカに親近感をもち民主的で反共産主義的な人材を育成するという使命を持たされていた。冷戦期ソフト・パワー外交の武器であった文学・大衆文化・文学創作教育につき、一次資料の調査・関係者の聞き取りを行う。文学創作教育の一大中心地で、数多くの日本人作家が滞在したアイオワ大学のインターナショナル・ライターズ・プログラムについては、同大学関係者の全面的支援を受け、集中的な調査を行う。,国際共同研究加速基金(国際共同研究強化(B)),中区分2:文学、言語学およびその関連分野,創作教育,冷戦,英語文学,大衆文化,文化冷戦,東アジア,人種,出版文化,翻訳,アイオワ大学,科学小説,モダニズム,文化外交,アメリカ研究,アーカイブ,文学,ジェンダー,図書館行政,英米文学,地政学,文学創作教育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
