awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0176,九州工業大学,花田 耕介,バナナの抗菌性ペプチドの網羅的探索,本研究では、フザリウムに耐性を持つ品種を探し出し、その品種のトランスクリプトームで、耐性に関わると考えられるペプチド候補を探索する。マレーシアの共同研究者グループによって、フザリウムへの抗菌性が高い品種と低い品種を選んだ。選抜した品種に、フザリウムを感染させた後、トランスクリプトーム解析用サンプルとして全RNAを抽出し、日本で、トランスクリプトーム解析を実施した。特に、抗菌性が低い品種で高誘導されている26個の分泌性ペプチドをコードする遺伝子に着目し、そのペプチドをフザリウムに添加することで抗菌活性を調べた。その結果、2個のペプチドで、抗菌活性を示すことを明らかにした。,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,バナナ,抗菌性ペプチド,フザリウム,短い遺伝子,抗菌ペプチド,ペプチド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0173,神戸大学,森 直樹,野生コムギ集団に眠る未知の多様性の発掘と評価：栽培化過程解明と育種利用基盤構築,コムギは、約1万年前に肥沃な三日月地帯の北部で栽培化された。栽培化起源地であるトルコ南部に自生する祖先野生種はこの地域の多様な環境に適応しており、集団内・集団間で非常に高い多様性をもつ。しかし、これらの野生コムギ集団は近年拡大する人為的環境破壊によって消失の危機にある。本研究では、集団内に眠る遺伝的多様性の持続的・発展的な利用基盤を確立するため、1）自然集団から任意抽出して作出した「疑似自然集団群」を整備することを主目的とし、これに加えて以下の目標を設定して進めてきた。2）適応形質と中立的DNA変異の両面からみた集団内および集団間の遺伝的構成の解明、3）栽培化に寄与した祖先集団の特定、4）栽培化に寄与した集団の遺伝的特徴の解明。,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,遺伝資源,野生コムギ,遺伝的多様性,自然集団,擬似自然集団,栽培化,疑似自然集団,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0172,京都大学,安井 康夫,中国雲南省の野生ソバ遺伝資源を活用した栽培化関連遺伝子の網羅的同定,本研究ではソバの栽培化遺伝子の同定を目的として、１）中国雲南省の野生ソバと栽培ソバの種子収集を行い、ゲノム配列を取得し、２）栽培ソバと野生ソバの集団間での変異量が極端に異なるゲノム領域（人為選抜領域）を検出した。この結果、チベット南東部の祖先野生種の集団が栽培種と最も近縁であることを確認した。さらに、栽培種の第一染色体の52-53 Mb領域には明瞭な人為選抜の痕跡がみられ、チベット南東部の祖先野生種の集団から選抜された特定の遺伝子型が世界中の栽培ソバに広がっていることが明らかになった。また、NGS-TILLING法をソバに応用し、変異導入システムを構築した。,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,栽培植物起原,ソバ,変異導入技術,ゲノム,遺伝資源,孤児作物,栽培植物起原学,栽培ソバ,野生ソバ,ゲノムスキャン,中国,雲南省,四川省,チベット自治区,東チベット,ソバの起原,栽培化,栽培化関連遺伝子,NGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0171,名古屋大学,千葉 壮太郎,東南アジアにおけるイネオレンジ葉ファイトプラズマ病の発生拡大メカニズム,気候変動による寒冷感受性昆虫の活動地域拡大に伴い、これらに媒介される熱帯・亜熱帯地域のファイトプラズマ関連病害が今後北上すると考えられ、東南アジア諸国で発生するイネオレンジ葉ファイトプラズマ（ROLP）の国内侵入が危惧される。そこで本研究では、東南アジア諸国での病害発生状況とROLP遺伝型を調査した結果、これがタイ周辺国を起源とし、特に東アジア近傍においては特定の遺伝型のROLPが既報の昆虫に加えてタイワンツマグロヨコバイ等の新規媒介昆虫によって感染地域を拡大していることが明らかとした。また、病原体の植物体内での挙動、罹病植物の生理学的変化の一端を明らかにし、病害制御に向けて重要な知見を得た。,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,イネオレンジ葉ファイトプラズマ,ROLP,発生分布,拡散メカニズム,イネ,ファイトプラズマ,東南アジア,伝播,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0170,東京大学,矢守 航,植物の水利用効率：スクリーニングのための可視化技術の開発とその利用,灌漑水を節減した条件下で、生産性を維持・向上する節水型農業が求められており、植物の水利用効率の向上に関する研究は必須である。本研究課題では、節水条件において高い生産性を示す植物の創成を目指し、基盤研究を行った。クロロフィル蛍光パラメータと葉温の画像を同時計測するシステムを開発し、水利用効率の形質計測と遺伝子のスクリーニングに適用できることを明らかにした。また、植物の水利用効率の遺伝的改良に向けた基盤研究を行った結果、灌漑水の節減条件下における物質生産能力の強化に有効な因子を複数見出すことができた。,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,光合成,水利用効率,可視化,クロロフィル蛍光,環境応答,乾燥ストレス,気孔,サーモグラフィ,蒸散,電子伝達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0169,東京大学,加藤 洋一郎,熱帯アジア不良環境下の直播稲作体系改善のための国際研究ネットワーク構築,熱帯アジアの水田生態系を対象に直播稲作研究の基礎知見の応用展開、そして国際稲研究所（IRRI）を中心とする国際研究連携体制確立を目指した。具体的には、熱帯イネ・熱帯直播稲作に有用な準遺伝子系統を開発・評価し（DNAマーカー選抜）、IRRI育種プログラムとタイアップして有望系統を選抜した。また、栽培技術に関して、施肥管理技術および播種管理技術の改善効果を熱帯アジア現地の農家ほ場において実証した。国際共同研究の成果を論文報告にまとめるだけでなく、第10回アジア作物学会議（2021年）においてアジア・オセアニア地域の直播稲作研究の現状を取りまとめた。,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,イネ直播栽培,イネ,直播稲作,直播栽培,気候変動適応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0158,近畿大学,飯嶋 盛雄,半乾燥地における水環境変動を克服しうる混作農法の創出,本研究は、申請代表らが提案した接触混植と亀裂施肥を基礎概念として、半乾燥地における洪水と干ばつの連続発生を克服しうる新規な農法を創出することを目指す。接触混植は、洪水環境では畑作物の耐湿性を、干ばつ環境では水田作物の耐乾性を強化する。また、亀裂施肥により、湿害ストレスが緩和されるという現象を利用し、マメ科作物を導入した接触混植に亀裂施肥を行えば、肥沃度を維持しつつ、極端な水環境の連続発生に対応できよう。そこで、ナミビアに造成した水環境制御圃場や農家圃場でイネとカウピ－等を供試し、新規な農法を提案する。本研究実施により、気候変動に対応しうる穀物生産の国際協同研究拠点の形成にも貢献する。,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,close-mixed planting,接触混植,crack treatment,亀裂処理,crack fertilization,亀裂施肥,ultra-fine bubble,超微細気泡,イネ,メタン抑制,ウルトラファインバブル,混作,季節湿地,メタン放出,洪水,干ばつ,根粒着生制御,ソルガム,パ-ルミレット,カウピー,湛水ストレス,乾燥ストレス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0157,福井県立大学,松岡 由浩,日本のコムギ研究リソースと国際農業研究機関の連結による新遺伝資源創出と育種展開,本研究は、6倍性パンコムギ（AABBDDゲノム）に祖先野生種タルホコムギ（DD）のコアコレクションを交配・胚培養して、多数の「8倍性合成コムギ（AABBDDDD）」を作出する。そして、タルホコムギの多様なアリルをパンコムギに導入して利用する新技術を開発し確立する。過去100年、コムギ染色体数の発見、倍数性進化の解明等、日本は世界の研究をリードしており、最高水準の研究リソース（人材、技術、遺伝資源）を有する。本研究は、ゲノム解読が完了した好機に、研究リソースを結集し、気候変動下の食糧生産問題の解決に向けて、国際トウモロコシ・コムギ改良センター（CIMMYT、メキシコ）との共同研究を推進する。,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,タルホコムギ,パンコムギ,八倍性合成コムギ,国際トウモロコシ・コムギ改良センター,ナショナルバイオリソース・プロジェクト,国際トウモロコシ・コムギ研究センター,ナショナル・バイオリソース・プロジェクト,8倍性合成コムギ,CIMMYT,NBRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0156,京都大学,田尾 龍太郎,ゲノム科学と認知科学の融合による消費者指向型高品質ブルーベリー育種の基盤整備,本研究では，USDAの保有する多様なサザンハイブッシュブルーベリーの遺伝資源を活用し，高品質品種の開発を加速化するための基盤整備を行う．認知科学の手法を取り入れ，嗜好・分析型の官能評価試験を実施し，高品質果実生産のための品種育成に活用する．また，ゲノムワイドな解析によりサザンハイブッシュブルーベリーの育種成立過程を解明する．さらに果実の生化学的特性に基づいてゲノム多型と嗜好性要因を紐付けする．ゲノムワイドな解析は，開花期など暖地栽培に関連する農業形質の解明にも適用する．以上より，日本独自の高品質ブルーベリー育成のための育種体系を確立し，消費者を指向する暖地適応型ブルーベリー育種に応用する．,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,果樹,園芸,嗜好性,栽培化,倍数体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0155,東京大学,練 春蘭,インドのフィールドと遺伝資源を利用したトウジンビエのゲノミクスの促進,トウジンビエは高い耐乾性・耐暑性・貧栄養耐性を持ち、持続的な生物生産に資するものである。本研究においては、インドの研究機関であるICRISAT及びタミルナードゥ農業大学と共同でこれらの根の構造、微生物メタゲノム、窒素利用動態を解析し、これを基にゲノムワイド関連解析を行い、それらに関連するDNA多型や遺伝子を見出し、それらの効果を検証する。また、ICRISATと共に、トウジンビエや関連作物種のゲノム情報の整備・統合・データベース化を進め、本研究で得られるデータによりこれを拡充し、研究者・育種家・農家が利用しやすいような形で公開する。これによりトウジンビエのゲノミクスの促進を図る。,国際共同研究加速基金(国際共同研究強化(B)),中区分39:生産環境農学およびその関連分野,トウジンビエ,ストレス,遺伝子,GWAS,転写因子,アブシシン酸,インド,ストレス耐性,バイオインフォマティクス,ゲノム,根,データベース,微生物,栄養,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
