awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0182,国立研究開発法人水産研究・教育機構,長井 敏,チリ沿岸に貝毒原因藻と薬剤耐性菌はいつ出現し、どう分布を拡大させたのか？,日本、韓国、ベーリング海、チャクチ海、北米西岸、チリ沿岸から単離した有毒渦鞭毛藻Alexandrium catenellaの複数の培養株（250株）を対象に、ゲノムワイドな解析手法として知られているMIG-seqを用いた集団遺伝学解析を実施し、大きく分けて、日本・韓国・ベーリング海・チャクチ海の集団で一つのグループ、北米西岸・チリでもう一つのグループに区分され、これら2つのグループの間に大きな遺伝障壁の有ることが示唆された。北海道の厚岸の集団が、ベーリング海・チャクチ海の集団と遺伝的に近く、日本国内の集団の起源が北方起源である可能性が示されるなど、新たな知見を得ることができた。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,分布拡大,Alexandrium catenella,集団遺伝学,有毒渦鞭毛藻,遺伝的多様性,サケ養殖,チリ,ショットガンシーケンス,薬剤耐性菌,麻痺性貝毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0181,東京農業大学,山崎 晃司,気候変動が森林性大型動物（ツキノワグマとヒグマ）の土地利用に与える影響の評価,過去に収集したクマ類2種のGPS行動軌跡を深層学習（Deep Learning）による解析を進め，両種の移動パターンの相違を検討したものの，現地の教師データが不足しており，現在までのところ考察できる相違を抽出するには至っていない。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,ツキノワグマ,ヒグマ,ロシア沿海州,気候変動,温暖化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0180,神戸大学,黒田 慶子,樹木病原菌と養菌性キクイムシの遭遇から協働への源流を探る,デイゴの病原菌F. pseudensiformeは台湾から南西諸島への移入と推測された。マンゴー等の熱帯樹木で両地域に共通するキクイムシと共生菌の繁殖が発見され、人為的な病原菌移動を防ぐ防疫態勢が必要である。南西諸島ではEuwallacea属のキクイムシが複数の樹種で繁殖し、感染拡大への加担が推測された。鹿児島のアボカド、沖縄のコーヒーノキからもAFCの菌が検出された。樹皮や果実表面、土壌に生息するFSSCがキクイムシ類と遭遇して共生菌になった可能性がある。キクイムシ類と菌類が熱帯ー亜熱帯地域で遭遇し、双方に利点のある協働から共生へと進化したという仮説は、本研究により可能性が示された。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,養菌性キクイムシ,共生,ambrosia Fusarium,台湾,デイゴ,マンゴー,アボカド,コーヒー,Fusarium solani 種複合体,Euwallacea,Ambrosia Fusarium,南西諸島,Fusarium,Fusarium kuroshium,ナンヨウキクイムシ,Xylosandrus,樹皮下キクイムシ,Hypocryphalus,Fusarium solani,付随菌,沖縄,樹木,病原菌,熱帯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0179,京都大学,北島 薫,固有の動物による種子散布と実生定着を通してマダガスカルの森を理解する,本研究は、マダガスカル北西部アンカラファンツィカ国立公園内の熱帯乾燥林にて、マダガスカル初の長期森林動態調査区（15 ha）を設定し、胸高直径5 cm以上の全ての木本にアルミの番号札を付け、種名、胸高直径および位置置情報（0.1 mの精度）を記録した。これに基づき、樹木種多様性（143種）、森林構造（2400 本／ha、平均樹高8.8 m）、地上部バイオマスなどを定量的に評価し、森林の炭素貯蔵機能や果実食の動物への食料供給などの生態系サービスを評価する基盤を構築した。また、15ha 区画内に配置した120の種子トラップによって、種子・果実・葉リター生産の量と季節性の長期モニタリングを開始した。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,熱帯乾燥林,生物多様性,マダガスカル,動物植物相互作用,生態系サービス,樹木群集,種子散布,フェノロジー,森林構造,樹木種多様性,キツネザル,森林動態,実生更新,鳥類,熱帯林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0178,京都大学,本田 与一,東アジア域における食用担子菌栽培が引き起こす遺伝子汚染の実態とメカニズムの解明,農業活動による遺伝子汚染の実態に関する調査のため、海外調査サイトを設けて栽培きのこ種の遺伝的多様性を調査を開始すると共に国際ワークショップを開催した。しかし、コロナ禍のため予定していた海外でのサイト研究が、研究期間を一年延長したにもかかわらず最終的に殆どできなかった。この為、研究の方向性を将来の汚染を阻止するための解決策の実用化を目指した対応策の開発に振り向け、ヒラタケ低胞子株の単離、食用担子菌へのゲノム編集系の導入に初めて成功した。これらの具体的成果により、遺伝子汚染問題に対応する国際国際コンソーシアムが立ち上げられ、将来の遺伝子汚染を阻止するために必要な基盤技術が開発された。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,担子菌,きのこ,遺伝子汚染,木材腐朽菌,ゲノム解析,生物多様性,持続可能農業,食用担子菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0164,国立研究開発法人森林研究・整備機構,上田 明良,衛星画像から広大な熱帯林の生物多様性を推定するモデルの開発と多様性情報の地図化,熱帯林の生物多様性保全は重要であるが、多様性を広域で明らかにした研究例はない。地上調査で得た多様性データと衛星画像の関係を解析し、当てはまりのよいモデル式が得られれば、地上調査ぬきで、多様性の推定が可能となる。本研究では、インドネシア共和国東カリマンタン州で、現地大学との協力のもと、簡易で安価な方法で動植物データの収集を行い、無償提供の衛星画像との関係を解析し、森林の成熟度、昆虫類の多様性およびオランウータンの分布を推定するモデルを開発する。さらに推定値を広域にあてはめて地図化することで、保護林の制定等に貢献する情報を提供する。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,ボルネオ島,東カリマンタン州,リモートセンシング,GIS,生物多様性,ハチ類,糞虫,熱帯低地林,ＧＩＳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0163,京都大学,上高原 浩,オレフィンメタセシスを鍵反応とした多糖系ブロックコポリマーの合成と物性評価,本研究では社会的要請が強い生分解性を有する天然物を原料とする機能性多糖系ブロックコポリマーの合成法を確立し、フィルム等としての物性、ガスの選択透過性などを評価し、これまで様々な用途で利用されている石油由来の難生分解性汎用ポリマーを代替する材料を開発することを目指す。具体的にはセルロースやデキストランのエチルエーテル誘導体をブロックポリマーの第一成分とし、第二成分としてオリゴ糖、多糖、オリゴペプチド、ポリアミノ酸、天然ゴム、ポリエステルや生分解性が期待できる合成ポリマーを想定し、ブロックコポリマー合成法として有用なオレフィンメタセシス反応を利用したブロックコポリマーの合成を行う。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,セルロース,ブロックコポリマー,多糖,オレフィンメタセシス,セルロースエステル,セルロースエーテル,デキストラン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0162,京都大学,小野田 雄介,光競争と撹乱から捉える新熱帯と旧熱帯の森林構造の違いの解明,同等の年降水量や気温をもつ熱帯林であっても、東南アジア（旧熱帯）では、中南米（新熱帯）に比べ、突出木（超高木）が多いなど森林構造に有意な違いがあることが近年わかってきた。この原因は謎である。種による樹高の違いは、光を巡る進化的軍拡競争の結果であると考えられるため、中南米ではアジアよりも光を巡る競争が弱い可能性がある。本研究では、中南米の熱帯林を代表するパナマの熱帯雨林と熱帯季節林において、林冠クレーンを用いて、森林構造や個体間の光競争の評価・解析を行う。また東南アジアの既存データと比較することにより、熱帯の森林構造の地域差を生み出す原因に迫る。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,熱帯林,森林構造,パナマ,多種共存,森林光環境,競争,ツル,樹高,気候,樹冠構造,光競争,撹乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0161,東京大学,木下 滋晴,ゼブラフィッシュ野生個体や近縁種を用いた魚の成長と寿命に関する研究,ゼブラフィッシュには様々な野生集団と共に、ゼブラフィッシュより体長が4倍程大きいGiant danioなど大きさの異なる近縁種が存在する。これらはスリランカやバングラディシュで捕獲、飼育できる。そこで現地共同研究者の協力を得て、これらゼブラフィッシュ野生個体や近縁種の野外採取と飼育を行う。これらゼブラフィッシュの野生個体同士を掛け合わせて次世代を作り、個体ごとの成長や老化の違いと遺伝子の特徴の相関解析を行う。また、ゼブラフィッシュと近縁種を掛け合わせて次世代を得ることで種間の成長度や寿命の違いと遺伝子の特性との相関解析を行う。これらデータを総合し、成長や寿命の違いに関わる遺伝子を同定する。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,ゼブラフィッシュ,近縁種,Devario属,ゲノム解析,成長,老化,筋肉,終生成長,寿命,体サイズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0160,東京大学,岩滝 光儀,東南アジア沿岸域に潜在する小型有害渦鞭毛藻の個体群分布,東南アジア沿岸域では小型渦鞭毛藻による有害赤潮と漁業被害が頻発し，この対策が喫緊の課題となっている。本研究ではこれまで調査対象外となっていた小型種を選択的に検出することで，近年有害赤潮を形成するようになったカレニア科，そして出現情報が全くないアンフィドマ科渦鞭毛藻を対象に，種組成，毒組成，個体群分布を明らかにする。東南アジアにおける有害藻類研究者の連携体制を強化しながら，潜在する小型有害渦鞭毛藻の種組成と強毒個体群の分布海域を把握することで，被害対策に資する学術基盤を構築する。,国際共同研究加速基金(国際共同研究強化(B)),中区分40:森林圏科学、水圏応用科学およびその関連分野,赤潮,貝毒,渦鞭毛藻,系統分類,微細構造,カレニア科,アンフィドマ科,東南アジア,有害藻類,毒分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
