awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0211,国立研究開発法人産業技術総合研究所,菊池 義智,全地球規模で解き明かすカメムシ共生細菌の多様性と進化,本研究全体を通して、国内に生息しないために内部共生系の実態が未調査のままとなっているカメムシ下目25科にターゲットを絞り、それらカメムシ類の共生様式について世界的調査を目的に研究を行った。新型コロナ感染症の蔓延により共同研究先の新規開拓は困難だったが、本課題の主要共同研究先である米国アリゾナ大学、及びフランスCNRSとの連携を大幅に強化し、①カメムシにおける新規共生関連遺伝子の解明、②国際的侵入害虫マツヘリカメムシの腸内共生細菌の大陸間比較、③任意共生細菌Lariskellaの機能解析、④ナガカメムシ上科のミトコンドリアゲノム解析と未調査分類群クロマダラナガカメムシ科の共生系解明、を行った。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,共生,進化,微生物,昆虫,多様性,共生細菌,細菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0210,独立行政法人国立科学博物館,田中 伸幸,ミャンマーにおける生物インベントリーとABSに基づく共同研究体制の基盤構築,アジアの中で自然史の理解が著しく遅れているミャンマーで、植物、菌類、昆虫（ハチ類）、貝類、および鯨類各分野の連携による生物インベントリー調査を現地の天然資源・環境保全省森林研究所と大学などとも国際共同研究として実施し、複数の分類群からなるミャンマーの標本・資料及び DNA 解析用試料などを収集し、各分類群で多数の新産種の報告、新属を含む多数の生物種の記載を行い、同地域の生物多様性について解明を進め、自然史解明に貢献するとともに、中長期的視野の自然史研究のために、日本およびミャンマー両国においてこの分野の人材育成を図るとともに、ABSに基づく確固たる共同研究体制を構築した。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,生物多様性,インベントリー,分類学,記載,ABS,分類,植物相,種多様性,国際共同研究,flora,fauna,inventory,taxonomy,国際協力,ミャンマー,記載分類,生物相,フロラ,ファウナ,東南アジア大陸部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0208,龍谷大学,丸山 敦,アフリカの二つの古代湖におけるシクリッド科魚類の摂食戦略の多様化と多種共存機構,群集レベルでは、種の食性と口部骨の左右性強度の関係についてデータ蓄積が進んだ一方、希少な食性の新発見にも恵まれた。現地調査制限下ながた、既存の群集動態データをEDM解析に供し、種間の因果関係を抽出した。生息場所選択性の知見更新も行えた。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,シクリッド,摂食形態,左右性,マイクロフォーカスCT,CCM,3Dモデル,micro CT,GIS,feeding morphology,laterality,African cichlid,古代湖,摂食戦略,多種共存,東アフリカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0207,武蔵野美術大学,小薮 大輔,頭蓋骨解剖学体系の枠組みから外れた未知の新奇形質「耳舌骨」の多角的解明,本研究では従来の解剖学体系では記載されてこなかった骨、「耳舌骨」について多角的に研究を行なった。動物系統X（論文発表後に公表）のなかで発見した「耳舌骨」はXの中で完全に硬骨化した骨を持つXaと、成体でも軟骨のままであるXb系統がいることを突き止めた。胎児期サンプルを用いて発生学的観察を行なったところ、作業仮説は否定される結果となった。当初は舌骨の原基であるライヘルト軟骨の外側端が分離し、骨化することで耳舌骨へと分化するとの仮説を立てていたが、耳介軟骨の腹側基部が骨化したものであることがわかった。遺伝子発現を解析したところ、BMP、FGF、Sox9の動態に大きく関与していることが判明した。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,進化,舌骨,耳,比較解剖学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0206,京都大学,北山 兼弘,窒素とリンの非対称性による多様な熱帯降雨林生態系の形成,古い地質を持つボルネオ島などでは多様な熱帯降雨林生態系が成立している。それを説明する新たな仮説として、必須元素の中で最も生産を制限するNとPの非対称な関係性を考えた。ボルネオ島に多数の森林調査区を置き、樹木群集組成と土壌のジチオナイト抽出Fe濃度、可給態N、可溶性Pを調べた。その結果、土壌にはFe酸化物濃度の幅広い変異が存在し、Fe酸化物の溶脱が進むにつれて土壌は相対的P欠乏から相対的N欠乏にシフトした。この土壌傾度に沿って、樹木群集は連続的に変化した。樹木の栄養塩欠乏への適応（応答）はNとPで異なるために、この土壌傾度に沿って優占する樹木属の交代が起こり植生は連続的に変化した、と解釈した。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,生態系生態学,群集生態学,生物地球化学,生理学,元素欠乏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0205,京都大学,森 哲,ヒキガエル利用からホタル利用へ：毒源を変化させたヘビ類の進化過程の探求,中国に分布するミゾクビヤマカガシ種群の分子系統解析の結果、これらは大きく７つのクレードに分けられ、このうち１種を新種記載した。これらの頸腺毒成分から毒源動物を推定したところ、ほとんどをヒキガエルに依存する種、ほとんどホタルに依存する種、および、両者に依存する種が存在することが明らかになった。しかし、捕食に関わる頭骨形態は必ずしも主要な毒源の摂食に適応した様相をしておらず、毒餌利用と捕食形態は呼応していないことが示唆された。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,防御行動,ホタル毒,頸腺,進化,爬虫類,防御機構,毒,防御器官,ヘビ,餌毒利用,ホタル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0204,京都大学,橋本 千絵,ヒト科における閉経の進化：野生類人猿の老齢メスの性ホルモン動態と繁殖戦略の研究,メスが寿命よりも数十年も早く繁殖を終えるという「閉経」は、これまでヒトとクジラ類でしか確認されたことのない非常に稀な進化しにくい形質で、ヒトでなぜ閉経が進化したかについては未だに解明されていない。ヒトに最も系統的に近いチンパンジー・ボノボにおいても、閉経の有無は未だに決着がついていない。本研究は、これまで長期継続調査を続けたウガンダ共和国カリンズ森林保護区の野生チンパンジーとコンゴ民主共和国ルオー科学保護区の野生ボノボを対象に、非侵襲的に収集する尿試料による性ホルモンの動態分析を行い、加齢による性生理の変化と閉経の有無について明らかにするものである。。さらに、閉経の進化に関係する社会的・繁殖戦略的な要因、つまり、老齢メスの子どもの生存率や母親から子どもへのサポートによる孫世代の繁殖成功度の増加などについても調べ、大きな議論を呼んでいる「おばあさん仮設」の検証を行う。2023年度においては、研究協力者の竹元博幸、古市剛史をウガンダ共和国カリンズ森林保護区に派遣し、野生チンパンジーを対象とした現地調査補助員によるホルモン試料収集と老齢メスの行動記録を行った。また、コンゴ民主共和国ルオー科学保護区においては、海外研究協力者と連携をとりながら、現地調査補助員による野生ボノボを対象としたホルモン試料収集と老齢メスの行動記録を継続して行った。さらに、分担者の宮部と研究協力者の毛利がホルモン試料の分析について実験を行った。また、これまでに採取した尿試料についてのホルモン分析を行った。また野生ボノボのホルモン動態分析について本の分担執筆を行った。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,性の進化,不妊,性ホルモン動態,チンパンジー,ボノボ,ヒト科,ウガンダ共和国カリンズ森林,コンゴ民主共和国ルオー科学保護区,老齢,閉経,おばあちゃん仮説,おばあさん仮説,老齢メス,繁殖成功度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0203,筑波大学,稲垣 祐司,海洋原生生物に共生する細菌多様性の実態解明,メタバーコーディング（MB）データにより海洋中の細菌多様性を評価する際、これまで実験室内での培養された既知種由来配列に類似性のないMB配列も数多く検出される。海洋中には多様な細菌が生息しており、MB配列はこれまで培養されたことがなく実態が不明な細菌も網羅していると考えられている。しかし、今日のMB法により予想された海洋中の細菌多様性でさえ、方法論上の問題から真核生物と共生する細菌が十分に網羅されているとはいえない。本研究では、広範な海産原生生物と共生関係にある細菌のゲノムシーケンスを行った。特にディノフィシス目渦鞭毛藻と共生関係にあるシアノバクテリアについて、それらのゲノム解読に成功した。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,原生生物－細菌共生系,細胞内共生,生物多様性,海洋生態系,生態地理,原生生物‐細菌共生系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0191,中部大学,松田 一希,霊長類の性的二型の進化要因の解明,本研究では、アジア産の霊長類種を対象に、特殊化したオス形質発現に潜む、行動生態基盤や性認知、進化原理について、蓄積された長期生態観測と認知行動実験を融合して探索する。また、アジアを舞台とした、新しい国際拠点形成も目標とする。性淘汰原理の理解には、生態学や認知科学、数理モデルなど、領域横断的方法が不可欠である。これを契機として、既にアジア各国に調査基盤を構築している日濠の研究者網を拡充発展させ、アジア霊長類学会の発足とけん引を目指す。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,霊長類,東南アジア,性的二型,重層社会,犬歯,性選択,自然選択,アジア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0190,名古屋市立大学,熊澤 慶伯,淡水・沿岸魚類の系統地理構造に基づくインドネシア島嶼域の生物地理区境界線の検証,本研究では、ワラセアと呼ばれる動物相の遷移帯を中心に、インドネシア島嶼域の淡水魚と汽水・沿岸魚を野外採集し、分類学的検討を行うとともに、最新の分子的アプローチを用いた系統・集団解析を行う。その結果に基づき、塩水中の分散特性が異なる魚類の種（集団）分布や系統地理構造を古環境学的背景と関連づけて理解し、生物地理区境界線との関わりを高精度に検証する。インドネシア島嶼域では、近年の環境破壊で生態系の持続性に深刻な懸念が持たれている。本研究は、生物地理学を格段に発展させるのみならず、東南アジア諸国で生物多様性の保全と生物資源の持続的利用を図るうえで必要な研究人材とそのネットワークを育てることに繋がる。,国際共同研究加速基金(国際共同研究強化(B)),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,インドネシア,生物地理学,魚類,系統分類,ウォレス線,分子系統,淡水魚類,汽水魚類,沿岸魚類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
