awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0235,国立研究開発法人国立がん研究センター,塩谷 文章,ゲノム不安定性を制御するDNA複製ストレス応答機構の解明,ゲノム不安定性は正常細胞の発がん過程において遺伝子変異・欠失・増幅・転座を獲得する上で必要な性質であり、ほぼすべてのがん細胞で認められるがんの特徴の一つである。本研究は、変異型KRASG12V発現によって転写依存的なゲノムDNAのヘテロクロマチン化の促進がDNA複製ストレス要因となること、またDNA複製ストレス応答因子であるATRの発現上昇がDNA複製ストレス耐性を制御し変異型KRASG12Vによるゲノム不安定性を獲得しながらクローン拡大すること、更にはATR高発現がKRAS変異肺がんの悪性化と関連することが明らかにした。,国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,DNA複製ストレス,ゲノム不安定性,RNA転写,ヘテロクロマチン,ATR,PrimPol,KRAS,肺がん,発がん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0234,北海道大学,田守 洋一郎,新規腫瘍原性ニッチである上皮内在性Tumor Hotspotの構造解析,ショウジョウバエの上皮組織（翅原基）をモデルとした実験で、がん原性変異細胞が、同上皮組織内に点在する微小環境（浸潤ホットスポット）において基底膜を破り間質への浸潤行動を始めることを発見した。流体解析を応用したTCPDプログラム（本研究で開発した組織内構造的特異点を予測するプログラム）による解析の結果、組織内の特異点（鞍点・吸引点）として検出される場所がこれらの浸潤ホットスポットと一致することが明らかとなった。これは、がん細胞の間質への浸潤は、上皮組織に内在する特異的構造から始まるという新しい考え方を示すものであり、同様の現象が起こっている可能性をマウスの上皮組織でも観察した。,国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,腫瘍形成,上皮組織,細胞増殖,組織構造,腫瘍浸潤,平面内細胞極性,ショウジョウバエ,浸潤性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0233,東京医科歯科大学,中山 恒,低酸素性がんの悪性化に働く遺伝子群の3D核内配置機構の包括的解析,生体は酸素の少ない低酸素環境に曝されると、代謝、呼吸などの生理応答を調節して、適応する（低酸素応答）。低酸素応答はさまざまな遺伝子の発現を上昇させる、動的な応答である。本研究では、複数の低酸素応答性遺伝子のクロマチン構造を明らかにするために、イメージングを用いた網羅的な解析を実施した。その結果、低酸素下において、低酸素応答性遺伝子のクロマチン構造変化が活発に起きていることが明らかになった。一方で、クロマチン構造変化を引き起こした遺伝子の発現には、増加するものと、減少するものが存在しており、その法則性について今後の解析で明らかにしたい。,国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,低酸素応答,遺伝子発現,クロマチン構造,HIF,CREB,核内遺伝子配置,ヒストンメチル化,染色体構造,代謝酵素,代謝,がん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0210,首都大学東京,廣田 耕志,革新的ガン治療に向けた遺伝子シナジー解明のための国際共同研究ネットワーク,本研究では、遺伝子―遺伝子間のシナジー効果を「遺伝子シナジー」と定義し、ゲノム維持における遺伝子シナジーの分子レベルでの包括的理解を目指し研究する。首都大及び広島大からなる国内研究グループは、包括的スクリーニングによって新規の遺伝子シナジーの抽出を行う。イタリアIFOM研究所は、ゲノム構造異常を電子顕微鏡を用いて調査する独自の技術を持つ。米国NIH研究所は、世界最大の化合物ライブラリーを持ち、スクリーニング用ロボットを用いたハイスループットスクリーニング法を確立している。本研究で抽出した遺伝子シナジーの分子レベルでの作動機構の理解のためにイタリアIFOM研究所と共同研究を推進する。,国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,DNA損傷,DNA修復,ヌクレオシドアナログ,チェックポイント,遺伝子シナジー,ゲノム編集細胞コレクション,癌治療,ガン,ゲノム不安定化,がん治療,合成致死,化学物質,スクリーニング,相同組換え,損傷,分子標的,ガン治療,DNA複製,ゲノム維持,腫瘍,治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0209,名古屋大学,新城 恵子,膵臓がんのがん間質ダイナミクスを制御する機能性RNAの同定と標的化,"がん細胞に対する分子標的薬の開発が目覚ましく進む中、膵臓がんにはいまだに有効な治療法がない。その原因の一つとしてがん細胞の周囲に存在するがん関連線維芽細胞（CAF)の存在が指摘されている。CAFはがん細胞の増殖および進展に促進的に働くことや、がん組織内の細胞へ薬物送達を妨げているなど、様々な機能を果たしていることが考えられる。CAFの性格を決める分子として長鎖非翻訳RNA (long non-coding RNA, lncRNA) に注目し、国際共同研究を推進する。膵臓がんマウスモデルを用いて、実際の生体内で膵臓がんの進展に関わるCAFを同定し、その機能を解析する。",国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,がん関連線維芽細胞,膵臓がん,長鎖非翻訳RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0208,信州大学,佐藤 隆,免疫チェックポイント阻害乳酸菌による肺癌発癌予防・進展予防効果の検証,本研究は、気道粘膜免疫を標的とする「微生物由来合成核酸の経気道治療の研究」と、「有用微生物である乳酸菌由来高分子・抗体医薬の経気道治療の研究」成果を基盤とし、免疫チェックポイント阻害作用を有する乳酸菌による肺癌発癌・進展予防効果を検証する内容である。本研究は、早期の臨床試験への導出を目的として、癌研究と治療開発で世界最先端の米国テキサス大学MDアンダーソンがんセンターとの国際共同研究として計画した。申請者が所属する信州大学の乳酸菌研究のエキスパートと若手研究者の参画に加えて、国際的に高い信頼と臨床導出の実績がある癌専門研究機関の参画により、早期に次世代治療として確立を目指す内容である。,国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,遺伝子組換え乳酸菌,肺がん,免疫チェックポイント阻害,経気道治療,生物資源医薬,経気道的標的治療,肺癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0187,国立研究開発法人国立がん研究センター,大橋 紹宏,BRCA2非翻訳領域上に存在する新規生殖細胞突然変異のメカニズム解析,"我々が同定した新規BRCA2変異とHBOC症候群の病的変異との関連を明らかとするために、日本国内の3施設、4名の共同研究者（向原、桑田、鹿島、堀居）および海外共同研究者（Dr. Fergus Couch, Mayo Clinic）と研究協力体制を構築し、各研究者の強みを生かした国際競争力のある統合解析を進めていく予定である。各研究分担者の強みを発揮した「研究拠点型」かつ「国境横断型」を両立させたグローバル研究マネージメントを推進させる。日本国内では「臨床データ・基礎データの収集」、海外の研究では「検証・比較実験」に焦点を置いた研究役割分担を予定している。",国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,BRCA2,意義不明変異（VUS）,家族性乳癌・卵巣癌症候群（HBOC）,5’非翻訳領域に位置する新規BRCA2変異,スプライシング異常,新規生殖細胞突然変異,家族性乳がん・卵巣がん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0186,国立研究開発法人理化学研究所,村川 泰裕,発癌関連転写制御領域（エンハンサー）の網羅的同定の為の国際共同研究,ヒト遺伝子の発現は、エンハンサー配列が制御する。そして、既知のエンハンサーの10倍以上の未知エンハンサーが存在することが示唆されている。申請者は、世界最高感度で機能的なエンハンサーを検出する手法を開発した。本課題では、NYメモリアルスローンケタリング癌研究病院とのタイトな国際共同研究のもと、乳がんや精巣腫瘍のエンハンサー解析を通して、発がんプロセスの根本的な理解を目指す。,国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,エンハンサー,発現,早期転写応答,乳がん,c-MYC,ATM,エストロゲン,ノンコーディングRNA,遺伝子発現,発がん,ヒトゲノム科学,遺伝子発現制御,発癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0185,熊本大学,中尾 光善,タイ肝吸虫感染による胆管細胞癌のエピゲノムと代謝表現型の解析,胆管細胞癌（CCA）は胆管上皮に由来する悪性腫瘍であり、臨床的に予後不良である。タイ肝吸虫の高感染地域でCCAの発症が極めて多く、社会的に重大な課題である。コンケン大学のSopit教授は本疾患の第一人者であり、研究代表者・共同研究者および若手研究者が双方に直接出向いた国際共同研究を実施する。患者検体から樹立したCCA細胞株を調べたところ、解糖優位または酸化的リン酸化優位の異なる代謝表現型に分類できて、外因性の乳酸アシドーシスと内因性のエピゲノム機構が重要であることを見出したため、エピゲノム機構による代謝表現型について解析し、分子病態に基づく診断法・制御法の開発に臨む。,国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,胆管細胞癌,エピゲノム,遺伝子,代謝,高血糖,乳酸アシドーシス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0184,名古屋大学,日野原 邦彦,エピゲノムダイナミクスに基づくがん多様性の新たな理解,本研究課題では、クロマチン制御因子SWI/SNF複合体の遺伝子変異によって生じるエピジェネティクス制御機構の破綻が、発がん、治療耐性、再発といった悪性形質獲得に至る過程においてどのようにがん細胞の多様性を造出し、悪性化進展基盤を成すのかを１細胞エピゲノム解析技術によって解き明かす。１細胞エピゲノム情報を取り入れた統合解析を推進することにより、遺伝的要因とは異なるエピゲノム制御の側面からがん多様性の新たな理解を試み、エピゲノムのダイナミクスから生み出されるがんの不均一性を制御する革新的方法論の創出を目指す。,国際共同研究加速基金(国際共同研究強化(B)),中区分50:腫瘍学およびその関連分野,エピゲノム,ARID2,SWI/SNF,乳がん,メラノーマ,がん細胞多様性,薬剤耐性,多様性,がん,１細胞解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
