awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0248,大阪市立大学,金子 明,熱帯アフリカのマラリア撲滅に向けたアルテミシニンとイベルメクチンによる集団投薬,我々は本研究計画において、ケニア・ヴィクトリア湖周辺地域における抗マラリア薬による集団投薬法の効果を検証し、対象地のような高度マラリア流行地に位置する地域においても集団投薬は有用であるが、伝播再興のリスクがあることを明らかにした。同時に、主要な媒介蚊対策法の一つである室内残留型殺虫剤噴霧の効果についても検証を行い、高度マラリア流行を抑制することはできるが、持続的でなく、また費用対効果に課題があることを示唆する結果を得た。これらの研究成果は、天井式蚊帳と呼ばれる新たな介入策の構築とその検証を実施する別の研究計画へとつながった。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,マラリア,伝播,分子疫学,ケニア,媒介蚊対策,天井式蚊帳,イベルメクチン,媒介化対策,集団投薬,アルテミシニン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0247,東京大学,高田 龍平,遺伝的背景の違いを利用した新規尿酸輸送体の探索：チェコ共和国との国際共同研究,尿酸トランスポーターに関する国際共同研究の結果、1)痛風患者および高尿酸血症患者に機能低下を伴うABCG2の新たな遺伝子変異が存在すること、2)ゲノムワイド関連解析により、高尿酸血症の各病型分類特有の遺伝子多型や、無症候性高尿酸血症から痛風の発症に関連する遺伝子多型が多数存在すること、3)家族性若年性高尿酸血症・痛風と関連する遺伝子変異としてABCG2の機能欠損型変異が存在すること、4)臨床診断された痛風に関するゲノムワイドメタ解析により、痛風の発症に関連する新規４遺伝子座を見出すとともに、ABCG2・ALDH2の２つの遺伝子が適応進化の主な対象となっていたこと、などを見出すことができた。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,尿酸,遺伝子多型,トランスポーター,人種差,国際共同研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0222,東京理科大学,伊川 友活,ノンコーディングRNAによるT細胞分化および発がん抑制制御機構の解明,T細胞は感染防御だけでなく、がん、アレルギー、生活習慣病など多くの疾患に関わる。T細胞がその機能を発揮するためには分化過程において細胞の運命が厳格に制御されなければならない。これは様々な転写調節因子によって制御されているが、詳細は明らかでない。申請者らは以前、転写因子Bcl11bがT細胞分化に必須であることを報告した。さらにBcl11bのエンハンサー領域から転写される非コードRNA（ThymoD）を発見し、これがT細胞の運命制御に重要であることを示した。ThymoD欠損マウスではT細胞性白血病を発症する。そこで本研究では、ThymoDによるT細胞分化および白血病抑制機構を解明することを目指す。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,非コードRNA,T細胞分化,胸腺,エピジェネティクス,転写因子,白血病,転写制御,がん化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0221,順天堂大学,田部 陽子,高齢者白血病幹細胞の排除を目的とした治療標的遺伝子同定のための国際共同研究,本研究は、AI-DNN解析技術とsingle cell RNA-seq技術を軸とした複数の先端技術を統合した技術プラットフォームをMD Anderson Cancer Centerに構築し、現在進行中の多施設臨床研究白血病幹細胞の精密なプロファイリングを実施する。研究代表者及び研究者グループはMD Anderson Cancer Center等に直接出向いて研究を遂行し、難治性白血病の治療効果を予測・評価するバイオマーカーを決定する。本プラットフォームを通じて持続可能な国際共同研究基盤を確立し、臨床試験における技術活用、検体バンクの連携、人材交流の促進に資するネットワーク強化に活用する。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,急性骨髄性白血病,BCL-2 阻害剤,DNAメチル化阻害剤,インターフェロン誘導遺伝子,シングルセル解析,骨髄微小環境,BCL-2阻害剤,メチル化アレイ解析,RNA-seq解析,BCL-2,DNAメチル化,single cell RNA-seq,single cell ATAC-seq,RNA-seq,難治性白血病,DNAメチル基転移酵素,Single-Cell ATAC-Seq,バイオマーカー,白血病幹細胞,高齢者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0220,長崎大学,金子 修,アフリカ型アルテミシニン耐性マラリアの耐性機序の解明,第一線抗マラリア薬のアルテミシニンに対して、東南アジアでK13と呼ばれる遺伝子の変異による耐性熱帯熱マラリア原虫が出現した。一方、アフリカではK13の変異がないにもかかわらず、アルテミシニン耐性を示すマラリアが最近報告された。本研究では、未だ明らかでないK13非依存性アフリカ型アルテミシニン耐性のマラリア原虫における決定遺伝子を同定する事を目的とする。目的達成のために、ケニアにてアルテミシニン臨床耐性調査を行い、耐性を示した患者から耐性型K13変異がないアルテミシニン耐性原虫を分離し、感受性株との交配による連鎖解析を行う。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,マラリア,薬剤耐性,分子機序,アルテミシニン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0199,京都府立医科大学,大道寺 智,新興感染症パンデミック予防に向けたタイ国における未知病原体の潜在的蔓延状況調査,今や感染症の流行はグローバル化により世界規模で起こるようになっている。予防には初期の対応も重要であるが、今後起こる感染症を予測し把握することが発生予防への第一歩であると考えられる。本研究は、タイにおける病原体の保有状況を把握し、新興感染症を起こす可能性がある病原体を検出することを目的とする。本成果はタイ国内の衛生環境の整備だけでなく、世界的規模で流行する感染症予防対策へ貢献できる。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,新興感染症,国際感染症,病原体検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0198,神戸大学,小川 渉,運動と不動化による筋量とエネルギー代謝の制御機構の解析,加齢による骨格筋量の減少と身体活動力の低下はサルコペニアと呼ばれ、わが国における健康寿命短縮の重要な原因である。また、骨格筋は生体最大の糖処理能を持つ代謝制御臓器であり、筋量減少や身体活動の低下は糖尿病を始めとした代謝異常症の原因となる。本研究では国際的な共同研究により、運動や不動化による筋量制御のメカニズムを明らかとすることにより、筋量減少予防薬・筋量増加薬の開発に資する知見を得ることを目指す。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,運動,不動化,骨格筋量,サルコペニア,肥満,骨格筋,炎症,筋萎縮,筋量制御,KLF15,代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21KK0150,熊本大学,滝澤 仁,効率的な生体防御を目指した血液幹細胞の免疫記憶の解明とその制御,血液幹細胞は一生を通じて血液と免疫を作り出す源泉となる細胞であり、骨髄内で自分自身を作り出す自己複製能と様々な細胞へと分化する多分化能を持つ。本研究計画では自然免疫シグナルが高齢血液幹細胞に免疫記憶を誘導し、感染症や炎症に対してより応答性のある血液・免疫系を構築するという“幹細胞の免疫能再活性化（プライミング）”という仮説を検証する。幹細胞、自然免疫、炎症、情報技術を専門とする若手研究者が国際的、学際的かつ多様性に富んだチームを編成し、血液・免疫老化を攻略する革新的な研究成果に繋げる。同時に、国や研究室を跨いだボーダーレスな人事交流を行うことで、世界の舞台で戦える次世代研究者の育成を進める。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,造血幹細胞,自然免疫シグナル,免疫記憶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21KK0149,神戸大学,坂東 弘教,先駆的解析法に基づく先天性下垂体機能低下症の病因解明と新規疾患概念の創出,先天性下垂体機能低下症(CPHD)は下垂体ホルモンの低下により、全身の代謝異常やQOLの異常などを発症する疾患です。稀な疾患ではありませんが、原因が不明な点も多く、診断に苦慮することが多いのが現状です。本研究ではCPHD患者における、原因遺伝子の新しい手法による同定や、母体内での環境因子曝露によるCPHDの原因解明などを目標とし、診断の向上、疾患発症予防に向けた取り組みを目指します。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,下垂体機能低下症,先天性下垂体機能低下症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KK0130,独立行政法人国立病院機構三重病院(臨床研究部),谷口 清州,ハンセン病ゼロに向かうエンドゲームのための包括的対策研究モデルの構築,ハンセン病は顧みられない熱帯病の一つであり、WHOはハンセン病ゼロを目指しているものの、ここ10年間はほぼ横ばいである。これを達成するためには、現状の種々の課題を解決するための包括的 サーベイランスと対応モデルが必要である。本研究においては、症候群アプローチを用いて、皮膚関連疾患を包括的に探知し、臨床疫学的な評価と微生物学的検査により早期診断を行い、治療と管理を行いつつ、分子生物学的な病原体解析や宿主因子のための検体を採取して研究につなげるようなモデルを構築する。,国際共同研究加速基金(国際共同研究強化(B)),中区分54:生体情報内科学およびその関連分野,ハンセン病,サーベイランス,Stigma,らい反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
