awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0256,順天堂大学,荒木 慶彦,受精/初期発生の場としての卵管：その生理機能の分子論的検証と臨床応用への基盤構築,本研究では卵管液性因子と受精・初期胚の連関を、OVGP1（卵管液性因子の一つ）ノックアウト（KO）ハムスターの生殖能について解析し、以下のことを明らかにした: (1) 雌KOハムスターは完全不妊になり産仔は得られない; (2) 雄KO精子は正常妊孕性を有す; (3) その受精は成立するものの、受精卵は光顕・電顕レベルで異常所見が認められる; (4) その着床数は明らかに少なくなる（初期胚発生は異常が多いが一部は着床する）; (5) 着床しても胚は異常発育し、最終的には胚性致死になるため産仔は得られない; (6) KO 卵巣をWTへ移植するとKO卵由来の産仔は生まれるが、逆の実験では生まれない。,国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,哺乳類,卵管,ハムスター,遺伝子編集,受精,着床,初期胚発生,初期発生,ゴールデンハムスター,OVGP1,初期胚発育,ゴールデン・ハムスター,Ovgp1,遺伝子欠損ハムスター,CRISPR-Cas9システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0255,金沢大学,堀 修,RAGEシグナルを標的とした脳血管障害創薬の為の国際共同研究,くも膜下出血(SAH)後の脳血管攣縮及び症状増悪を防止する為、米国ニューヨーク大学のAnn Marie Schmidt教授と共同で、新規RAGE阻害化合物compound11をマウスに投与し、SAH後の病態への影響を検討した。その結果、同化合物が顕著に神経症状及び脳血管攣縮を改善することを確認した。更に、細胞特異的なRAGEコンディショナルノックアウト(cKO)マウスを用いて検討を行った結果、好中球由来のRAGEがSAH後の病態形成に重要な働きをしていることが明らかになった。,国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,脳血管障害,RAGE,RAGEシグナル,炎症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0254,東京大学,齋藤 琢,Prg4に立脚した、細胞・分子の多層的アプローチによる関節形成・維持機構の解明,国際共同研究先で開発されたPrg4CreERt2マウスを用い、関節形成におけるPrg4発現細胞は軟骨基質の形成に影響しないが、関節軟骨層の軟骨細胞の成熟に関与すること、腱・靱帯に発現するPrg4陽性細胞は軟骨や骨に分化するのを防ぎ、適切に腱・靱帯に分化するよう誘導していることを明らかにした。Prg4CreERt2マウスと軟骨分化に必須のシグナルや遺伝子floxマウスと掛け合わせ、変形性膝関節症モデルマウスを作成し解析すると、Wnt シグナルはCreb1を介しPrg4 の発現を上昇させること、転写因子Runx3は軟骨保護因子のAcanやPrg4の発現を誘導することで軟骨保護的に働くと示唆された。,国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,ルブリシン,Prg4,変形性関節症,運動器疾患,関節軟骨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0253,東京大学,朝岡 亮,深層学習、光干渉断層計測定結果を用いた変分近似ベイズ視野進行予測モデルの拡張,2616眼の緑内障眼の視野を用いて、光干渉断層計の計測結果から視野感度を推測するタスクと、時系列視野進行を推測するタスクをジョイントさせたマルチテスク学習モデルを構築した。このモデルでは早期と進行期での推測を別個に行う改善が図られている。この結果予測精度は既存のモデルに比べて有意に改善していた。この結果については論文投稿中である（Under Review）。,国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,緑内障,視野,光干渉断層計,深層正則化潜在線形回帰法,視野、光干渉断層計データの収集,深層学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0229,公益財団法人東京都医学総合研究所,原田 高幸,神経保護・再生関連因子の眼内インプラントを用いた緑内障に対する新規治療法の開発,緑内障は我が国で最大の失明原因であるが、現状では眼圧を低下させる点眼薬の使用や手術以外には治療法がない。一方、神経栄養因子の産生細胞をデバイス内に封入し、眼内に留置することによって視機能を改善するという画期的な治療法が米国で検討されている。そこで本研究では同治療法の開発者と共同研究を行い、日本における導入を目標に検討を行う。,国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,緑内障,神経栄養因子,遺伝子治療,眼内インプラント,Spermidine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0228,名古屋大学,夏目 敦至,悪性脳腫瘍のエピゲノム異常が誘導するネオアンチゲンを標的とした新規治療戦略の開発,"本研究では脳腫瘍のオルガノイドモデルを作成し、詳細な分子解析を行うことで、脳腫瘍の悪性性質に関わるエピゲノム異常とネオアンチゲン形成のクロストークメカニズムの解明を目指す。悪性脳腫瘍の免疫治療研究の第一人者である米国University of California, San Francisco　(UCSF) 岡田秀穂教授、脳腫瘍の分子解析研究の第一人者であるカナダ・トロントのLabatt Brain Tumor Research Centre（LBTRC）Michael Taylor 教授との共同研究にてエピゲノム治療と免疫治療を組み合わせた治療法の前臨床研究を目指す。",国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,脳腫瘍,ネオアンチゲン,細胞免疫療法,キメラ抗原受容体T細胞,ポドプラニン,シングルセル解析,マウスモデル,染色体構造異常,エピゲノム異常,悪性脳腫瘍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0227,東京医科歯科大学,淺原 弘嗣,ヒト組織バンクと創薬を結ぶ国際研究ステーション構築による炎症性疾患と再生医学研究,変形性関節症、関節リウマチ等の関節疾患は、患者に運動機能への大きな障害とはかり知れない苦痛を与えるが、その炎症性関節組織破壊を抑え、関節組織を再生・再構築する医学・医療はまだ十分でなく、世界的な高齢化社会の到来とともに大きな課題となっている。この解決のため、米国ラホヤ地区の大学・研究施設における、ヒト組織バンクおよび創薬システムと、日本におけるシステム医学研究を組み合わせた、国際研究システムを構築し、申請者を中心とする日本の若手研究者とともに、国際共同研究を遂行する。これによって、関節疾患をモデルとした炎症性疾患の解明・治療と再生医療研究を進める。,国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,ヒト組織バンク,関節組織,創薬スクリーニング,炎症性疾患,再生医学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0226,東京大学,小俣 康徳,次世代シングルセル解析技術を用いた破骨細胞分化の制御機構の解明,骨は力学的構成要素としての役割だけではなく、免疫細胞の分化や様々なサイトカイン産生の場となっている。骨・関節を構成する細胞は、免疫細胞による制御を受けてその恒常性を保っている。生体内には様々な免疫細胞が存在し、免疫細胞による骨・関節の恒常性調節機構は一層複雑さを増している。その根本的な要因の一つとして個々の細胞の持つ多様性やばらつきがあげられる。本研究では免疫細胞や骨・関節構成細胞に対して、最新の研究機器を用いた単一細胞解析を行う。均一化された免疫細胞集団が骨・関節を構成する細胞をどのように制御するか一細胞レベルで解析する。,国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,破骨細胞,シングルセル解析,次世代シーケンサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0208,日本医科大学,森田 明夫,くも膜下出血はなぜ日本人に多いか？：脳血管障害をきたす体内細菌叢の国際間比較研究,くも膜下出血(以下SAH)は、重篤な脳血管障害である。その原因となる動脈瘤が発生し破裂する要因として、遺伝的素因、生活習慣などが考えられてきたが、近年特殊な細菌や炎症の関与が明らかとなりつつある。SAHは日本人では欧米人に比して約3倍発生する。本研究は、このSAH頻度の差が何に起因するのかを、特に体内細菌叢の日本人と欧米人の差、また細菌叢に大きく影響する食生活等の生活習慣を含めた疫学データや遺伝的因子の差の検討も行い、明らかにすることである。本研究では研究代表者および若手分担研究者が現地に赴き海外のチームと協働して新しい欧州人の脳動脈瘤データ・バイオバンクを構築し、日本人との比較研究を進める。,国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,Subarachnoid hemorrhage,Oral bacteria,Intersitinal flora,Ruputre risk,Intracranial aneurysm,Finland,Swiss,International study,subarachnoid hemorrhage,intracranial aneurysms,oral flora,intestinal flora,incidence difference,bioinfromatics,data trnasfer,くも膜下出血,未破裂脳動脈瘤,腸内細菌叢,う蝕原性細菌,バイオインフォマティクス,国際比較,代謝産物,腸ー能相関,脳動脈瘤,口腔内細菌叢,遺伝子,intracranial aneurysm,bacterial flora,international,control,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0207,順天堂大学,猪俣 武範,オミクス機械学習によるドライアイ微小環境における免疫細胞の可塑性・不均一性の解明,ドライアイ症状による視覚の質の低下や仕事・学業の作業効率低下による経済損失が問題になっている。しかし未だ点眼による対症療法が主体であり、ドライアイを「治療」する方法は存在しない。その一方でドライアイの原因として涙液層の安定性の低下や高浸透圧による眼微小環境の変化により、炎症・免疫細胞の表現系が時空間的に変化する「可塑性と不均一性」が明らかになってきた。そこで本研究では、ドライアイ微小環境における免疫細胞の全ての遺伝子発現情報に対し、マルチオミクス機械学習を導入することにより、免疫細胞の可塑性・不均一性に関する分子プロファイルの挙動を解明し、ドライアイに対する新規免疫抑制薬の開発に挑戦する。,国際共同研究加速基金(国際共同研究強化(B)),中区分56:生体機能および感覚に関する外科学およびその関連分野,ドライアイ,マルチオミクス機械学習,炎症,制御性T細胞,可塑性,不均一性,多様性,眼免疫,マルチオミクス,機械学習,免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
