awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18KK0035,早稲田大学,青木 則幸,東アジア金融取引市場における担保法の位相,本研究は、動産債権担保法の東アジア金融取引市場における位相を意識しつつも、東アジア域内における相違に目を向けるだけでなく、むしろ、広く世界の動産債権担保法の立法論の動向における、東アジア地域の立法動向の位相を明らかにすべく展開された。この領域の国際水準となることを目指す北米・オセアニア、EU圏内での統一性を意識する独仏圏とは異なり、東アジア諸法域は、民法体系を維持しつつ、国内および国際的な実務の要請をふまえ、比較法上機能的に吸収すべき規範を模索する立法論を経験してきたといってよい。近時のわが国の立法論もそのような東アジアの立法動向を象徴する展開を示しているといってよい。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,担保法,民法,比較法,譲渡担保,所有権留保,UNCITRAL担保取引モデル法,東アジア法,立法論,動産,債権,国際的位相,UNCITRAL,UCC第９編,モダン・プリンシプル,東アジア,対抗要件,実行制度,UNCITRALモデル法,統一法,UCC第9編,担保,公示,中国法,韓国法,登記,東アジア市場,ABL,金融,市場,,,,,,,,,,,,,,,,,,,,,,,,,,,
18KK0033,神戸大学,角松 生史,人口減少時代における東アジア４法域（日韓台中）の土地収用制度の比較研究,土地の「過剰利用」をコントロールする仕組みを中心としていた土地法は，人口減少を背景とする「過少利用」状況に対する対応に困難を抱えている。私人の所有地を「公共の利益」のために「正当な補償」の下に用いる仕組みである土地収用制度も例外でない。本研究は，人口減少が土地収用制度にもたらす諸課題について，特に「私益収用」と「損失補償」に焦点を当て、東アジア４法域（日本・韓国・台湾・中国）の比較法的考察を行った。文献調査・研究会開催に加えて韓国・台湾・中国の現地調査を行い、成果を国際ワークショップ及び英文図書・雑誌特集等で公表した。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,土地収用,東アジア,韓国,台湾,中国,補償,私益収用,生活再建補償,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0030,京都大学,西谷 祐子,国際的な子の保護と児童の権利条約――学際的な視点から,本研究課題は，児童の権利条約30周年を機に（1）国際的な家族の離別と子どもの保護，（2）外国人の子どもの保護について研究することを目的としている。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,児童の権利条約,子どもの権利,子の奪い合い,ハーグ条約,子の意見聴取,移民,社会統合,外国人の子ども,子の保護,子の連れ去り,子の権利,国際私法,学際研究,アイデンティティ,国際的な子どもの保護,国際的な子の連れ去り,難民,国際共同研究,子の奪取に関するハーグ条約,社会的統合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0029,名古屋大学,石川 知子,新たな安全保障上の脅威と経済グローバライゼーションの展開,本研究は、クロスボーダーの経済活動がもたらす新たな安全保障上の脅威の増大及び、現在の貿易・投資をめぐる国際的枠組みが、かかる安全保障上の脅威に対応していないとの問題意識に基づき、国際社会が、今後さらに高まることが予想される経済グローバライゼーションと安全保障との間の緊張関係に効果的に対処するためには、この問題に係る国際協力の枠組みの構築が不可欠であると考え、この問題に係る国際協力の枠組みとして考え得る複数の理論的可能性、かつ、その実践に係る実務的な問題を、国際法学及び国際政治学双方の視点から検討する。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,サイバーセキュリティ,安全保障,経済グローバライゼーション,国際法,経済安全保障,ロシア・ウクライナ戦争,データ保護,サイバーをめぐる官民協働,対内直接投資規制,ミャンマー人道危機,経済グローバリゼーション,対内直接投資,外国投資,外国貿易,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19KK0028,北海道大学,児矢野 マリ,グローバル時代における漁業法政策の日韓比較研究―国際規範の受容と伝統的秩序の変動,近年日本は、漁業に関して厳しい状況にある（国際的批判・措置の頻発、漁獲量の減少傾向、漁業就労人口の減少・高齢化等）が、韓国は異なる。ゆえに、漁業に関する国際規範の受容と伝統的秩序の変動という視点で、韓国の研究者と協力し、日本との比較で韓国の漁業法政策の構造と特徴を明らかにし、国際的な公益とされる「生態系に配慮した持続可能な漁業」の実現に照らして評価し、日本にとり有益な示唆を得る。また、両国が東アジア地域及び地球規模で持続可能な漁業の発展に資するための方途を探ると共に、日韓で漁業に係る社会科学系の学術ネットワークを構築し、将来の東アジア・環太平洋地域の学術交流に係るプラットフォーム作りに繋げる。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,漁業法政策,韓国,比較,国際法,漁業資源管理,IUU漁業規制,海洋保護区,漁業外交,持続可能な漁業,国際比較,伝統的秩序の変動,国際規範の受容,国際規範,伝統的秩序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0023,大阪大学,伊達 規子,タイにおけるコミュニティ参加型水・森林管理法の執行強化に関する制度的・実態的研究,タイ憲法は，自然資源に係るコミュニティの管理・利用権と参加権を保障している。従来そのための具体的な法律は未整備であったが，2019年に水資源法とコミュニティ・フォレスト法が相次いで制定され，新法の具体的な執行方法が喫緊の課題となっている。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,環境法,環境政策,タイ,コニュニティ,参加,自然資源,森林管理,水管理,コミュニティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20KK0022,横浜国立大学,関 ふ佐子,パンデミック下での高齢者の保護と年齢差別,新型コロナウィルス感染症は、高齢者といったもっともか弱いバルネラブル（脆弱）な人たちを苦境に立たせている。とりわけ海外においては、高齢者関連施設が多くの死者を出しているのみならず、人工呼吸器を装着する順番が年齢により決められた。これまでも存在した高齢者の保護の必要性と年齢差別をめぐる課題が明確化した。本研究では、こうした保護と差別をめぐる課題を検討し、高齢者をめぐる法理論を考察していく。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,パンデミック,高齢者法,保護と年齢差別,社会保障法,労働法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21KK0018,同志社大学,川和 功子,デジタル取引に係る契約法及び消費者法の再構築に向けた比較法的研究,近年、ソフトウェア、ゲーム、動画や音楽の配信、ソーシャル・ネットワーキング・サービス（SNS）、クラウドサービスといったデジタル技術を用いた取引（以下「デジタル取引」という）において多くの消費者がトラブルを経験している。このようなデジタル取引について先進的な制度を構築しつつあるEU法・加盟国法、アメリカ法等と日本法との比較検討を現地の研究者と協働して行うことによって、消費者の利益保護を図ると同時にデジタル取引を産業として健全に発展させることに配慮した、あるべき法的枠組みを探究する。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,消費者法,EU法,アメリカ法,契約法,不法行為法,デジタル社会,デジタルプラットフォーム,ダークパターン,製造物責任法,デジタルコンテンツ,プラットフォーム,オンライン取引,デジタル・コンテンツ,デジタル・サービス,民法,イギリス法,ドイツ法,救済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21KK0017,北海道大学,吉田 邦彦,グローバル時代における先住民族の権利推進のための比較法域的・学際的・実証的研究,世界中の先住民族への過去の不正義の理論的・比較法的研究は、国連の先住民族の権利宣言に基づく漸進的進展がある。法的問題としては、土地・環境問題、遺骨返還、知的所有権、先住権（漁撈権など）などがあり、日本の状況は諸外国からは学ぶところが多い。他方で、国際政治の大きな変化で、民族紛争は分散的継続で、強制移民や先住民族の周縁化・深刻化も見逃せない。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,先住民族,国際人権,UNDRIP,補償,歴史的不正義,入植植民主義,遺骨返還,伝統知識,入植植民地主義,環境保護,気候変動,脱植民地化,ポスト・ウェストファーリア,自己決定権,所有権,遺伝的知識,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KK0015,早稲田大学,中村 信男,会社等の実質支配者に係る開示規制の導入・進展と会社法法制および会社法理論への展開,本研究は、株式会社その他の法人企業における実質的支配の透明化の確保と実質的支配者に対する体系的規律の構築が国際的な共通課題であるとの認識のもと、この面における法制化や実効性確保等の点で先行する英独仏の実質的支配者開示制度および同制度と機能的に連動する英独仏の支配株主責任法制・法理との比較法研究を、日本のみならず英独仏における会社法研究への理論的貢献を目指す観点から、展開するものである。本研究は、会社等における実質的支配者の開示制度を支える理論的根拠を明らかにするとともに、同制度の会社法制としての位置づけおよび支配株主責任法制等との接合の可能性・必要性を解明しようとする国際共同研究である。,国際共同研究加速基金(国際共同研究強化(B)),中区分5:法学およびその関連分野,会社の実質的支配者,実質的支配者開示制度,支配株主の義務・責任,Beneficial Owner,実質株主開示,証券市場の透明性,会社と株主間のエンゲージメント向上,実質株主の権利行使,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
