awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03668,早稲田大学,Guest Martin,The tt* equations: a bridge between the differential geometry of moduli spaces and classical isomonodromy theory,"本研究課題の下、tt*-戸田方程式に関して新しい結果が得られ、超対称性の理論的側面についてより深い理解に達した。リー群G = SL(n,C)に対するtt*-戸田方程式のC*上の解がすべて得られ、その漸近データとモノドロミーデータがすべて求まった。一般の単純リー群Gに対しては、無限遠における漸近データをストークスデータとの関係と共に、リー理論の概念を用いて解明した。また、このストークスデータの物理的解釈を見いだした。対外活動については、セミナー、ワークショップ、研究集会などを共同研究者と共に行なった。その結果、古典的手法を用いる研究者と現代的手法を用いる研究者との間の交流を促進することが出来た。",基盤研究(A),中区分11:代数学、幾何学およびその関連分野,Integrable systems,Quantum cohomology,tt* equations,Isomonodromy,Geometry,tt＊ equations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03667,東北大学,都築 暢夫,p進的手法による数論幾何学の研究,数論幾何学において重要な不変量の一つであるフロべニウス作用のスロープとその多様体上の変動を主なテーマとして研究を行い、いくつかの新たな成果を得た。最も重要な結果は、K.Kedlaya氏が提唱した「最小スロープ予想」を肯定的に解決したことである。最小スロープ予想は、既約な過収束F-アイソクリスタルの最小スロープ部分に対応する基本群の巨大なp進表現が既約な幾何学的対象を決定することを主張するもので、これはp進的に捉えることが自然な現象である。さらに、正標数代数多様体上のFアイソクリスタルのスロープの定値性やp進コホモロジーの新たな展開ついて成果を得ることができた。,基盤研究(A),中区分11:代数学、幾何学およびその関連分野,p進コホモロジー,過収束Fアイソクリスタル,スロープの変動,最小スロープ予想,p進表現,数論的D加群,mod p 表現,過収束F-アイソクリスタル,リジッド・コホモロジー,Newton多角形,mod 2 表現,F-アイソクリスタル,スロープ,p進的手法,p進微分方程式,p進線形微分方程式系,mod 2ガロア表現,相互律,Dwork族Calabi-Yau多様体,mod 2ガロア表現の決定,Dwork予想,代数曲線の族,isotrivial,楕円曲面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00637,大阪大学,日比 孝之,シチジー理論とシンボリック冪の現代的潮流を踏襲する可換環論の戦略的研究の展開,可換環論の現代的潮流の主流である symbolic 冪と syzygy 理論を飛躍的に発展させる。その戦略を列挙する。,基盤研究(A),中区分11:代数学、幾何学およびその関連分野,シチジー理論,シンボリック冪,Cox 環,シンボリック Rees 環,離散ポリマトロイド,Hibi 環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00636,京都大学,小野 薫,Floer 理論とシンプレクティック構造、接触構造の研究,"Floer 理論、正則曲線の理論の深化とシンプレクティック構造、接触構造、ミラー対称性への応用を研究する。シンプレクティックオービフォルドの中のラグランジアンに対する Floer 理論を Bohui Chen, Bai-Ling Wang の両氏と共同研究をする。この場合の twisted sector の定式化は準備的考察で目処がついているので、正則曲線のモデュライを使って理論をまとめる。深谷圏の分裂生成条件に関する Abouzaid, 深谷、Oh、太田の諸氏との共同研究は、大枠ができているが、符号を含めて細部を詰めて完成させることを計画している。倉西構造の理論とその応用の普及にも努める。",基盤研究(A),中区分11:代数学、幾何学およびその関連分野,シンプレクティック構造,接触構造,ラグランジュ部分多様体,正則曲線の理論,倉西構造,Floer 理論,オービフォルド,正則曲線,シンプレクティク orbifold,ミラー対称性,orbifold,倉西構造と仮装基本類・基本鎖,シンプレクティック 構造,symplectic 構造,Lagrange 部分多様体,正則写像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00115,大阪大学,中村 博昭,数論トポロジーと種々のモノドロミー不変量の新たな展開,本研究では，ガロア・タイヒミュラー群の普遍モノドロミー表現，正則逆ガロア問題に関わるリフトと特殊化，モノドロミー不変量としての種々の数論的関数の醸成，の三つの柱に集約される新しい観点からの方法を導入し，数論トポロジーに対する有機的な構造解析を進める．理論的考察とともに計算機による実例計算とを総合して数論側とトポロジー側との類似性比較に関する詳細な理解を追求するとともに，両者を繋ぐバイパス構築の手がかりに関わる数学的構造の理解の深化を目指す．,基盤研究(A),中区分11:代数学、幾何学およびその関連分野,数論トポロジー,数論的基本群,ジョンソン準同形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00114,京都大学,藤原 耕二,幾何学的群論における新しい指導的理論の確立,幾何学的群論は１９８０年代にグロモフが双曲群の理論を創出したことに始まり、新たな研究分野として確立し多くの成果を生んできた。顕著な成果として、Selaによる自由群のロジックについてのTarski予想の解決、Agol-Wiseによる、３次元双曲多様体に関するバーチャルHaken予想をふくむいくつかの予想の解決などがある。,基盤研究(A),中区分11:代数学、幾何学およびその関連分野,幾何学的群論,作用素環論,リーマン幾何,距離幾何,双曲群,作用素環,増大度,相対双曲群,ファレル・ジョーンズ予想,写像類群,アレクサンドロフ空間,漸近次元,双曲幾何,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00112,名古屋大学,金銅 誠之,格子、保型形式とK3曲面、エンリケス曲面の研究,"2017年に8次元および24次元の球充填問題が解決されたことは記憶に新しい。定値の格子の一つであるLeech格子が24次元の解を与えている。この問題は3次元以下を除けば未解決であったことを考えれば、24次元の世界が特に興味深いと考えられる。一方、K3曲面のオイラー数は24であり、全コホモロジー群は符号が (4,20) の不定値の24次元格子である。不思議なことにK3曲面の幾何学と定値の24次元格子とは相性が良いことが分かってきた。K3曲面やその商であるエンリケス曲面の幾何学と24次元格子が深く関係していると考えられる。この観点を取り入れ、総合的にK3曲面、エンリケス曲面の研究を進める。",基盤研究(A),中区分11:代数学、幾何学およびその関連分野,K3曲面,Enriques曲面,モジュライ空間,保型形式,自己同型群,Kummer曲面,コンパクト化,混合ホッジ構造,実直線配置,有界対称領域,エンリケス曲面,格子理論,モジュラー形式,格子,特異点,Coble曲面,自己同型,モジュライ,小平次元,商特異点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00111,東京大学,小木曽 啓示,代数多様体の自己写像に関する多角的研究,豊富な群対称性をもった代数多様体の研究である。そのための決まった道具はないため、代数多様体の群対称性を明らかにする試みは、様々な視点からの柔軟なアプローチが不可欠であり、一般論の発展のよい試金石になるとともに、一般論構築の視点を提供するという点でも意味のある研究である。また、そのための研究者交流は欠かせないものとなる。本研究の目的は、国際共同研究を通して、代数多様体の離散的全自己同型群の（非）有限生成性と実形式、錐予想、エントロピー零の無限対称性を有する代数多様体の構造とwildな対称性及び関連する諸問題を、双有理代数幾何、複素・算術力学系、非可換代数等とのかかわりの中で調べることである。,基盤研究(A),中区分11:代数学、幾何学およびその関連分野,代数力学系,双有理自己同型群,力学次数,カラビヤウ多様体と錐予想,数論力学系,実形式と錐予想,双有理代数幾何学,複素力学系,実形式,自己同型群,カラビヤウ多様体,有理曲面,実形式の非有限性,自己射のエントロピー,Slow dynamics,力学次数とエントロピー,非可換代数幾何学,有限生成性,自己写像力学次数,代数多様体の実形式,捻じれ斉次座標環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H04430,九州大学,金子 昌信,多重ゼータ値がかくも多方面に現れるのはなぜか ― 複シャッフルの観点から迫る ―,数学や物理学の様々な分野に登場する多重ゼータ値について，その遍在性の理由の探求を，「複シャッフル現象の解明」という視点を中心に据えて研究を行うものである．より具体的な目標として，三つの副目的（I）モチビック－アデリック描像の深化， (II) q-化，楕円化による理解の深化と広角化， (III) 母関数を通した超幾何からのフィードバック，を掲げ，研究代表者，研究分担者，研究協力者が互いに協力しながら，背後に潜む共通の原理を明らかにするべく研究を遂行する．Broadhurst-Kreimer 予想やKaneko-Zagier 予想といった未解決問題への打開点を探ることも重要な課題である．,基盤研究(A),中区分11:代数学、幾何学およびその関連分野,多重ゼータ値,複シャッフル関係式,有限多重ゼータ値,超幾何関数,シューア多重ゼータ値,q-類似,Mould,調和積,正規化基本定理,川島関係式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H04429,京都大学,並河 良典,シンプレクティック代数幾何とモジュライ空間,"シンプレクティック型式をもった代数多様体は,数学のいろいろな場面に登場する.K3 曲面上の連接層のモジュライ空間,複素半単純リー環のベキ零多様体,アファイン平面のn-点ヒルベルト概型, 代数曲線上のHiggs 束のモジュライ空間などがその典型例である.これらは,代数幾何のみならず, 幾何学的表現論, 数理物理などでも重要な働きをする.  本研究では,こうした対象を代数幾何,幾何学的表現論,代数解析,微分幾何,数論幾何等の多角的な観点から研究して, シンプレクティック代数幾何とでもよべる分野を構築, 発展させる.",基盤研究(A),中区分11:代数学、幾何学およびその関連分野,シンプレクティック代数幾何,超ケーラー多様体,モジュライ空間,シンプレクティック特異点,ポアソン変形,複素シンプレクティック多様体,双有理幾何,トーリック超ケーラー多様体,べき零軌道,小林-ヒッチン対応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
