awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03754,大阪大学,山村 和也,プラズマナノ製造プロセスによる機能性材料の高能率ダメージフリー加工,プラズマ援用研磨においてボンド主成分がSiO2であるビトリファイドボンド砥石を用いると、ボンド材成分が表面改質に用いるフッ素ラジカルによりエッチングされることで自動的にドレス現象が生じることを見出した。本現象の適用により、研磨効率が低下するドレッシングを行うことなく研磨プロセスの持続が可能となった。また、ドレスフリーのプラズマ援用研磨を焼結AlN基板の研磨に適用した結果、脱粒ピットが生じることなく算術平均粗さとして3 nmを達成した。本結果は、従来の機械研磨技術で得られる値を大きく下回るものであり、基板表面のフッ化により、通常では研磨できない極低研磨圧力でも研磨が可能になったためと考えられる。,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,プラズマ援用研磨,プラズマ改質,ワイドギャップ半導体基板,ドレスフリー,窒化アルミニウム基板,脱粒フリー,ビトリファイドボンド砥石,プラズマ,難加工材料,研磨,ダメージフリー,ワイドギャップ半導体,金型材料,表面改質,スラリーレス,形状創成,表面仕上げ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03753,京都大学,澄川 貴志,金属ナノ材料の疲労とその力学,本研究では、マイクロ～ナノサイズの純金属材料の引張圧縮疲労のメカニズムを明らかにすることを目的とした。銅マイクロ単結晶試験片を用いた実験によって、繰り返し数の増加とともに突き出し/入り込みが成長し、入り込み底から疲労き裂が発生する様子を確認した。また繰り返し加工硬化は生じず、突き出し/入り込みの様相もマクロ材のそれとは異なっていた。ニッケル単結晶試験片に低応力振幅試験を実施した結果、マクロ材の疲労限以下でも疲労損傷を生じた。寸法の異なる試験片を用いた実験から、疲労挙動に及ぼす材料寸法影響を明らかにした。透過型電子顕微鏡観察の結果、内部の転位構造は表面の影響を強く受けていることを明らかにした。,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,Fatigue,Micro-sized metals,Tension-compression,In situ observation,Single crystal,ナノ疲労,引張圧縮疲労試験,その場観察,電子顕微鏡,転位構造,電視顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03752,名古屋大学,松本 健郎,生物のかたちづくりを利用したものづくり：力学的適応現象を利用した最適構造構築,３テーマで研究を進めた：Ａ．組織に作用する力の分布を細胞レベルで明らかにする手法の開発では，FRET型張力センサ遺伝子の血管組織への導入を目指したが成功せず，センサを安定して発現する細胞をひずみゲージ細胞として組織に注入する方法を思いついた．Ｂ．幼若骨組織の力学負荷下培養系の確立と最適構造の自発創生では，幼若鶏雛脛骨薄切片を顕微鏡下で引張りながら培養し，石灰化は引張で促進，コラーゲン線維の配向方向に進行すること等が判明した．Ｃ．珪藻の形態形成に及ぼす力学刺激の影響の検討では，アウラコセイラの成長時の伸長力の計測や培養液浸透圧と成長速度の関係から細胞内圧が200kPa以上であると見積もった．,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,バイオメカニクス,力学的適応,ものづくり,骨,珪藻,形態形成,FRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03751,名古屋大学,梅原 徳次,カーボン系硬質膜摩擦時ナノ構造層・潤滑油層誘電率その場評価での超低摩擦指針の提案,機械の耐摩耗・超低摩擦材としてカーボン系硬質膜の応用が進められている．潤滑油中超低摩擦発現のために、摩擦面のナノ構造変化層と吸着潤滑油層の誘電率が重要と考え、「潤滑油中超低摩擦発現ナノ構造変化層と境界潤滑層の誘電率のその場評価装置」を試作し、カーボン系硬質膜摩擦面のナノ構造層と吸着油層の誘電率と摩擦係数の関係を明らかにした。具体的には、ナノ構造層と吸着油膜の体積分極率が1.4倍増加する事で摩擦係数が20％減少することが明らかとなった。また、摩擦後のナノ構造層と吸着潤滑層のXPS分析と、カーボン系硬質膜の摩擦によるナノ構造層のシミュレーションを行い、誘電率と摩擦係数の関係の妥当性を明らかにした。,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,カーボン系硬質膜,摩擦面その場評価,誘電率,ナノ構造層,潤滑油,摩擦面その場観察,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03750,東京農工大学,安藤 泰久,表面3次元ナノ構造による自己修復性固体潤滑膜の形成と境界潤滑性能の向上,ナノストライプ構造をベースとした表面3次元ナノ構造を作製した。これらを油潤滑条件下で摩擦したときに、境界潤滑領域においては、ナノ溝の密度が高いほど摩擦係数が低くなること、直線パターン面同士を組み合わせた時には、溝の相対的な角度を変化させることで摩擦係数が制御可能であることを明らかにした。またこれらの条件で、摩耗してもナノ溝が再生または維持されることを確認した。一方、真空環境においては、軟質金属薄膜の補修的形成により、低摩擦が維持されること、同種材料を摩擦したときに原子間隔を変化させることで、摩擦力が低下すること等を明らかにした。,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,トライボロジー,MEMS,ナノストライプ構造,固体潤滑,境界潤滑,原子間隔,自己再生,多層膜,表面テクスチャリング,摩擦係数,流体動圧,歪み,原子間力顕微鏡,ナノストライプ,流体潤滑,油膜厚さ,数値計算,温度,粘度,薄膜固体潤滑,自己修復,ナノパターン,動圧効果,カーボン膜,雰囲気,凝着力,摩擦力,添加剤,膜厚比,移着膜,比摩耗量,摩耗低減効果,アモルファスカーボン,,,,,,,,,,,,,,,,,,,,,,,
18H03749,千葉大学,森田 昇,透明材料の破壊過程の学理解明とそのためのオプティカルアナリシスベースの構築,本年は主に解明段階として以下の項目を実施した．,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,透明材料,ガラス,割断,光弾性,特殊加工,亀裂進展,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03748,北海道大学,中村 孝,放射光顕微CT解析に基づく超高サイクル疲労破壊の機構解明と評価法構築,材料内部からき裂が発生し，長寿命域で疲労強度が低下する現象（超高サイクル疲労）のメカニズムを明らかにするために，SPring-8の放射光X線CTを用いて数十マイクロメートル程度の微小き裂の非破壊検出技術を構築した．これを用いた観察の結果，内部き裂の進展速度は表面き裂よりはるかに低く，高真空中のそれにほぼ等しいことが明らかとなった．内部き裂は真空に類似した環境を極低速で進むために，超高サイクル域で破壊が生じると推定された．,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,ギガサイクル疲労,内部起点型破壊,真空,放射光,き裂進展,き裂伝搬,疲労,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00742,京都工芸繊維大学,森脇 一郎,歯車表面へのin-situセンサシステムの印刷によるスマートギヤの実現,本研究では，歯車の稼働状態をin-situ（本来の場所）で測定できる機能を持たせた「スマートギア」を開発する．「スマートギヤ」とは，歯車表面に構成したセンサからひずみや振動などの情報を取得し，アンテナを介して，高速運転中に外部の受信システムによって非接触で，取得した情報をモニタリングできるものである．機械装置が，自らの「インテグリティ（完全性）」を高精度に「自覚」し，自身を構成する要素の損傷や劣化を「予見」する生物的な能力を持つことができれば，機械装置の可用性を高度に保ちつつ，保全を効率的に行うことが可能となる．この具現化を目指す研究である．,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,損傷検知,スマートギヤ,導電性インク,印刷センサ,樹脂歯車,歯車,ヘルスモニタリング,アンテナ,き裂検知センサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00740,名古屋大学,松本 敏郎,局所共振現象を取り入れた弾性波動・電磁メタマテリアル構造の創成,本研究ではトポロジー最適化を用いて、局所共振現象を組み込んだ新しい特性を有するメタマテリアルの創成を試みる。多材料からなる単位構造の周期構造に対し、波動問題の解析手法として適した境界要素法を用い、周期構造の解析に必要な高速化を行い、多材料に対するトポロジー最適化アルゴリズムや新しい形状表現法を開発する。これらを基に局所共振弾性波動・電磁メタマテリアルのトポロジー最適化法を開発し、弾性波ダイオード、波動変換、クローキングデバイス等のメタマテリアルを創成する。,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,topology optimization,phononic material,boundary element method,finite element method,フォノニック構造,トポロジー最適化,フォトニック構造,局所共振,フォトニックメタマテリアル,境界要素法,フォノニックメタマテリアル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00739,名古屋大学,奥村 大,ゲル材料モデリングの高度化と成長誘起形態形成の分岐座屈解析フロンティア,現在，分岐座屈解析をフロンティアと考える理由は，分岐座屈の発生がモノづくりの設計段階における単なる回避事項ではなく，生物の進化や成長の歴史に極めて重要な役割を果たしているという検証実験に基づいている．生体軟組織のような柔らかい材料に生じる分岐座屈は，成長に伴いプログラムされたかのように連続して発生し，形態の複雑化による組織の高度化と結びついている．進化の歴史に刻み込まれた固体力学的寄与の大きさや機構を明らかにすることは，将来的に生物模倣した能動的システム開発を進める上でも基礎的で重要な研究未開拓領域を提供している．本研究では，理論と実験，解析を組み合わせ，この未開拓分野の研究基盤構築を目指す．,基盤研究(A),中区分18:材料力学、生産工学、設計工学およびその関連分野,固体力学,材料力学,ゲル,高分子合成,不安定変形,膨潤,パターン変態,形態形成,材料モデリング,高分子ゲル,分岐座屈,表面不安定,分子設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
