awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03817,日本大学,宮崎 康行,大型ゴッサマー宇宙構造物システムの構築理論の確立と実現シナリオの探求,膜やケーブルといった極めて柔軟な部材から成る展開構造はゴッサマー構造と呼ばれる。本研究は、ゴッサマー構造で大型柔軟宇宙構造物を構築する方法を研究した。その結果、自己展開膜面トラスと呼ばれる構造を軌道上で複数結合したモジュール構造が有効であることを示した。また、実現に向けた技術的課題、すなわち、モーター等のアクチュエータを使わずに、安定かつ確実に展開させる方法、展開後にラッチをかける方法、膜面の折り畳み方法等について研究し、解決方法を示した。そして、この構造をソーラー電力セイル、スターシェード、SSPSに適用することを検討し、実現に向けたシナリオ（ロードマップ）を示した。,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,大型宇宙構造システム,ゴッサマー構造物,構造解析理論,構造設計論,構築シナリオ,大型宇宙構造物システム,ゴッサマー宇宙構造物,高精度計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03816,東京理科大学,藤井 孝藏,電気的マイクロデバイスによる動的空力制御の研究とフライト実証,小型デバイス（DBDプラズマアクチュエータ）による翼周り流れ制御に関する研究で，既存の風洞試験や数値シミュレーションの知見をもとに，模型飛行機にこのデバイスを設置し，さまざまな乱れを含む大気中でのフライト試験により実環境下でのこのデバイスの流れ制御効果を評価・確認した．単なるデモフライトではなく，（１）失速遅延の効果，（２）多様な条件下での失速前流れ制御効果（抵抗低減による揚抗比改善）という２つの目的に即したフライト試験シナリオを作成，過去にない多くの取得データによってそれぞれに効果を確認した．あわせて小型電源の開発やDBDプラズマアクチュエータと翼端干渉などの要素研究も進めた．,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,流体制御,プラズマアクチュエータ,飛行試験,数値シミュレーション,風洞試験,失速,塗布電極,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03815,九州大学,山本 直嗣,ホールスラスタにおける異常輸送現象の解明,ホールスラスタの推力電力比向上を阻害する電子の異常輸送に関して、異常輸送の物理機構解明のために、プラズマ揺動と異常輸送の関係を調査した。ある特定のプラズマ揺動は乱流の様相を示し、この揺動が放電電流と相関関係があることを明らかにした。さらにこの揺動は電離不安定性とも非線形結合していることが明らかになった。並行して数百Hzの低周波揺動も観察され、この低周波揺動がプラズマの乱流を抑制することを示唆された。並行して、これまで困難であったホールスラスタ内部のプラズマ諸量計測のために、ピコ秒レーザー診断法を開発し、その優位性を示した。本手法により、異常輸送と揺動間の定量的な関係解明に貢献する。,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,ホールスラスタ,異常輸送,プラズマ揺動,レーザー診断,マイクロ波干渉計測計,ピコ秒レーザー,プラズマ乱流,電気推進,プラズマ計測,揺動,原動機・推進,宇宙推進,プラズマ,擾乱,電気推進機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03814,岡山大学,河内 俊憲,先進流体計測が解き明かす後退翼における遷音速バフェットのメカニズム,本研究では，航空機の翼を簡素化した後退角付き翼模型を作製し，機体運用限界を決定する翼上面に形成される衝撃波と境界層の干渉現象（バフェット）に着目した風洞実験を行った．本研究では新たに流れの空間情報を15kHz以上で取得可能な可視化装置を開発し，これと壁面情報を5 kHzで取得可能な装置を組み合わせた計測を行った．その結果，世界で初めて，バフェットにおける翼表面と翼周りの流れの時間的・空間的に高解像度の同時データの取得に成功した．そして，このデータをもとに後退翼バフェットの発生・維持に関する新たな知見を得ることができた．,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,非定常空気力学,先進光学計測,高レイノルズ数流れ,非定常空力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03813,名古屋大学,佐宗 章弘,平面衝撃波‐等方性乱流干渉の可視化実測および統計量データの活用,独自開発した「対向衝撃波管」を用いて、衝撃波‐乱流の状態を独立に変化させた干渉実験を実施した。衝撃波マッハ数、乱流マッハ数、干渉距離を独立に変化させた干渉実験を行った結果、衝撃波面の変形に対して、干渉距離が大きく影響することが示され、従来の定常状態を扱う概念から、非定常性を導入することの重要性を示すことができた。比較的衝撃波マッハ数が低く、乱入マッハ数が高い場合、干渉距離が積分スケールの10倍程度以上になると、シュリーレン画像において衝撃波面が消失することが示された。この事実は、リーマン問題をベースとしたモデルによって良く説明できることが示された。,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,衝撃波,乱流,衝撃波管,圧力場,光学可視化計測,対向衝撃波管,ソニックブーム,圧縮性流体力学,非定常,光学可視化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03812,静岡大学,松井 信,半導体レーザー維持プラズマの高効率化機構の解明と宇宙推進機への応用,宇宙推進機の熱源としてのレーザー維持プラズマ特性について実験，数値計算両面から検証した．4kW半導体レーザーを用いた実験ではXe，Kr及びAr単体でのLSP生成及びそれらをベースとした混合ガスでのLSP生成に成功した．Xeに比べ安価なArでのLSP生成例は半導体レーザーでは初めての報告例であり，また原子線吸収の影響により電離電圧がより低いKrよりAr-LSPの生成しきい値が低くなることが実験，CFDにより実証された．発光分光法による温度計測の結果，LSP温度は12000K程度（Ar）とアーク放電より高く，推進機に適用することで従来のアークジェットより高い比推力が得られることがわかった．,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,レーザー維持プラズマ,大気圧プラズマ,半導体レーザー,宇宙推進,プラズマ診断,レーザー分光,高出力半導体レーザー,非平衡計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03811,東京大学,柴沼 一樹,大規模構造体の脆性亀裂停止性能評価の一般化：破壊力学モデルと合理的試験体系の確立,本研究では、大型構造物における脆性亀裂伝播停止性能評価の一般化に向けた研究として、(1) 継手等の複雑な構造因子が亀裂伝播に与える影響の解明、(2) 局所限界破壊応力理論を実装した数値解析手法の開発、を行った。構造不連続を含む継手構造に対し、高速度カメラ計測拡張有限要素法による数値解析を行った結果、構造因子によるアレスト性能向上効果が極めて高いことが明らかとなった。さらに、実用性の高い構造設計手法の確立に向けて重合メッシュに基づく高速亀裂伝播モデルを開発した結果、提案手法は極めて高い精度と計算効率の両立を達成した。,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,破壊力学,脆性破壊,高速亀裂伝播,アレスト,有限要素法,重合メッシュ法,アレスト設計,設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03810,東京大学,ソーントン ブレア,レーザ分光を用いた海中浮遊粒子の現場計測の技術基盤に関する研究,有機炭素・無機炭素・マイクロプラスチック・鉱物など海を浮遊する粒子が、様々な空間スケールの化学循環にどう影響しているかを調べるため、海中粒子の化学成分をその場で計測できる新たなセンシング手法を開発した。センサーはレーザを海に照射し、自然な状態で浮遊する粒子に一度当たった光を分析することで、粒子の化学成分を特定することができ、機械学習を用いることで粒子の種類を自動分類するできることを実験および実海域試験において検証した。試薬を使わず、物理的にサンプルを取る必要がないため、調査する環境への影響が少なく、電力供給のみで長期的なモニタリングに導く技術基盤を構築することに成功した。,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,レーザ分光,ラマン分光,ホログラフィック,化学分析,現場計測,粒子分析,センシング,レーザー分光,粒子計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03809,東北大学,大林 茂,非定常３次元渦流れの計測融合シミュレーション法の開発,風洞内に模型を磁気浮揚させて流体力や流れ場を計測する技術を開発・改良して、円柱にはたらく流体力や円柱から放出される渦の様子を調べて基礎流体力学の知識を増やし、槍投げ競技の導入として有益なターボジャブ活用法を提案するなどスポーツ工学に応用した。また、コンピュータ上で流れを再現するシミュレーションが風洞内の流れを忠実に再現できるように、計測値を利用するデータ同化技術を効率化したり、計測位置の最適化をしたりして実用性を高めた。,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,風洞,磁力支持,天秤,データ同化,非定常３次元渦流れ,非定常3次元渦流れ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00805,国立研究開発法人宇宙航空研究開発機構,森田 泰弘,革新技術による固体ロケットの高機能化と低コスト化に関する実証的研究,宇宙開発利用を活性化し，ユーザーの裾野を広げるためには，低コストで高頻度な宇宙へのアクセス（機会の拡大）が緊急の課題である．我が国の固体燃料ロケットは世界最高峰の技術と機動性を有し小型衛星コミュニティへの大きな貢献が期待されているところであるが，大幅なコストの低減が不可欠である．先行研究では，国の機関ではできないような抜本的低コスト化のための革新技術（要素技術）の研究を進め，新たな固体推進薬と点火方式の試作に成功し，モデルロケットクラスの飛行実験によりその有効性を示した．本研究はこれまで進めてきた基礎研究を発展させ，ロケットのトータルシステムとして低コスト化革新技術を確立することを目的とする．,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,固体燃料ロケット,宇宙輸送,固体ロケット,宇宙輸送システム,低融点熱可塑性推進薬,宇宙システム,低コスト固体ロケット,宇宙機システム,固体推進薬,推進薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00804,大阪大学,大沢 直樹,船舶海洋構造物海水タンクの腐食時構造健全性評価技術の高度化,船舶海洋構造物の構造健全性マネジメントの重要課題である腐食損傷発生後の構造健全性評価技術の高度化を目的として以下を実施する：実船バラストタンクの塗膜劣化・腐食状態の長期定点観測；タンク壁面の各構造部位の塗膜欠陥統計特性確率モデルの構築；塗膜性能・腐食環境の不均一性と再塗装・補修を考慮したタンク壁全体の塗膜劣化・金属腐食連成シミュレーション；腐食モニタリング結果を用いたベイズ更新によりシミュレーション精度を向上させる手法の開発．本研究は，塗膜下鉄二価イオン検知技術と塗膜劣化・金属腐食連成腐食シミュレーション技術を活用する点と，実船海水タンクの塗膜劣化長期定点観測を実施する点に独自性を有する．,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,バラストタンク,塗膜下腐食,セルオートマトン,腐食センサ,腐食環境モニタリング,ベイズ推論,アノード,鉄二価イオン,EIS法,鉄2価イオン,空間共分散,Bayes推論,海水タンク,実船モニタリング,鉄二価感応性蛍光試薬,塗膜下腐食シミュレーション,ベイズ統計,スペクトロイメージング,EISモニタリング,画像処理,腐食モデル,鉄二価イオン感応性蛍光物質,船舶海洋構造物,空間共分散構造,マルコフ連鎖モンテカルロ法,腐食,シミュレーション,非破壊検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00803,大阪大学,藤久保 昌彦,損傷船体の縦曲げ最終強度と波浪中安全性評価に関する研究,船舶が衝突・座礁した場合、漂流あるいは被曳航状態の損傷船が、折損・沈没などの大規模損傷に至るかどうか、あるいは至る場合はそれまでの時間がどうなるかを、海象条件を考慮して、即時に判断する必要がある。本研究では、漂流あるいは被曳航状態の損傷船体について数値解析および水槽試験を行い、波浪中における損傷船体の縦曲げ崩壊挙動を明らかにする。次に、船体を一本の梁に単純化して取り扱う波浪中縦曲げ崩壊挙動解析法を開発し、これと確率論的安全性評価法を組み合わせて、事故時の迅速な安全性判断を支援するシステムを構築する。,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,船体構造,縦曲げ最終強度,損傷後強度,波浪中応答,船体浸水,水槽試験,崩壊試験,損傷船体,波浪中安全性評価,流体構造連成,船体傾斜,粒子法,浸水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00802,東京大学,川畑 友弥,地震・波浪影響を高精度予知可能な繰返し予歪損傷考慮型CTOD破壊評価標準法の創成,社会活動の基盤をなす社会インフラに多く用いられる大規模鋼構造物の設計・維持判断においては甚大な被害を招く脆性破壊防止のため、CTODクライテリオンを用いた破壊力学アセスメントが行われるが、近年の地球環境条件激化もあり、より高精度な評価が求められる気運にある。しかし、現存規格では評価者毎のノウハウに依存する部分があり、標準化が不完全である。そこで、本研究では、波浪や地震などの、繰返し負荷による限界特性の棄損を考慮した上で実験ノウハウを標準化するための研究を行う。この目的達成に共通するコア技術として「ランダムな塑性変形後の結晶粒内損傷分布を定量把握するためのメゾスケール数値モデル開発」を実施する。,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,脆性亀裂発生,CTOD,繰り返し載荷,材料損傷,結晶塑性,鉄鋼材料,船舶安全性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00801,東京大学,早稲田 卓爾,海洋波による海氷形成から崩壊における構造化の解明,氷縁域では外洋からの波と海氷の相互作用が活発で、結氷・融解過程を支配する氷盤分布に波浪が重要な役割を果たす。しかし、力学的な波浪海氷相互作用の詳細は未だ解明されていない。そこで本研究は、海氷形成と崩壊、海氷下波浪の伝搬における波浪海氷相互作用に着目し、その機構の解明とモデル化を目的とする。氷海造波水槽を用いた実験により波浪海氷相互作用の素過程を明らかにし、得られた知見をもとにサブグリッドスケールモデルを構築する。サブグリッドモデルで必要な、様々な波浪・海氷条件下での波浪及び海氷分布統計量は既存データの活用とステレオカメラとドローンによる新たな観測から推定する。,基盤研究(A),中区分24:航空宇宙工学、船舶海洋工学およびその関連分野,海氷波浪相互作用,氷海水槽実験,マージナルアイスゾーン,氷盤フラクタル,波浪方向スペクトル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
