awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03828,国立研究開発法人情報通信研究機構,市川 隆一,ミリ波で観る地球 - 高精度水蒸気モニターで切り拓く次世代自然ハザード精密予測,局地的な突発気象や地震火山活動の監視の高度化を目的とし、水蒸気の動態把握のための超高感度ミリ波放射計を開発した。COVID-19の影響下で実証実験に多大な支障をきたし、フィールドで運用可能な可搬型試作放射計の完成には至らなかったものの、水蒸気(16-32 GHz)、雲中の液水(28-38GHz)、及び酸素(51-62GHz)の吸収帯の強度を測定可能な広帯域受信系の開発に成功し、試験的な観測でその性能を確認することが出来た。また、超高感度ミリ波放射計により得られる湿潤遅延量を評価するための廉価版マルチGNSS受信機ロガーと数値予報データを用いた湿潤遅延シミュレーションツールの開発にも成功した。,基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,可降水量,超高感度ミリ波放射計,GNSS,VLBI,ミリ波放射計,水蒸気観測,広帯域受信系,水蒸気,マルチGNSS,マイクロ波放射計,宇宙測地技術,大気遅延,次世代超高感度ミリ波放射計,湿潤遅延,災害ハザード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03827,千葉工業大学,水津 光司,周波数シフトテラヘルツ波による建築物非破壊診断,電波と光波の中間に位置するテラヘルツ波を用いると、タイルの剥離など、遠隔からの建造物非破壊検査が可能となる。本研究では非破壊検査を目的として、時間と共に周波数が高速に変化するユニークなテラヘルツ波光源の開発を実施した。現場での使用が可能な実用的装置を目指し、3 m以上の測定可能距離レンジを有し、1 mm以下の分解能を持つ装置開発および原理試験に成功した。また、電波・超音波領域で使用されている解析法をテラヘルツ波に導入し、高精度画像化の基礎的な技術開発に成功した。,基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,テラヘルツ波,周波数シフト帰還型レーザー,非破壊検査,非破壊診断,周波数シフト帰還レーザー,距離計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03826,大阪大学,西 竜志,スマートサプライチェーンにおける企業間連携と最適化のための動的モデル構成基盤構築,"各企業のカタログ登録システムを用いて仮想サプライチェーンを自動生成可能な動的モデル構成基盤を構築した. この動的モデル構成基盤を利用して, さまざまな製造シナリオに動的に対応した仮想生産を実行することにより, 顧客満足度や生産性, 環境負荷, リスク対応, 安全性の観点から, 製造シナリオの検証, 製品構成, 生産システム構成, 作業内容の事前検討, 計画通りの実行を支援する動的モデル構成プラットフォームを構築した．製品構成に対する顧客の意思決定モデルを反映したゲーム理論モデルによる製品構成とサプライチェーン構成の同時最適化問題をモデル化し, 均衡解を得るためのアルゴリズムを体系化した.",基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,スマートサプライチェーン,動的モデル構成基盤,企業間連携,ゲーム理論,リアルタイム最適化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03825,名古屋工業大学,兼田 敏之,人工社会アプローチによる賑わい空間マネジメントのシミュレーション科学,歩行者の空間行動が多彩で人塊規模・空間規模ともにレンジを有する都市空間での賑わい現象をテーマとして、その分析・再現・操作的検討に資する歩行者エージェントモデリングの諸研究を前進させた。方法多様性のもと、得られた成果のなかには、群集事故実事例のエージェントモデリングならびにそのシミュレーション分析、コロナ禍緊急事態宣言下公共空間におけるディスタンシング行動のシミュレーション分析、実地区事例での調査実施ならびに携帯電話位置データの活用と、スペースシンタクス理論を援用しての賑わい分布の要因モデル分析、視界駆動型エージェントならびに仮想現実感（ＶＲ）を取り入れた三次元空間行動実験システムなどを含む。,基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,歩行者エージェントモデリング,群集事故,ディスタンシング行動,歩行者数の空間分布,携帯電話位置データ,スペースシンタックス,３次元都市空間行動実験システム,視界駆動型エージェント,三次元都市空間行動実験システム,仮想現実感（ＶＲ）,マルコフ型回遊エージェント生成,スペースシンタクス,歩行者,エージェント,モデリング,賑わい,人工社会,モデリング＆シミュレーション,Covid-19,ディスタンシング,視界駆動型,シミュレーション,EVA,三次元都市空間,隣接確率評価,賑わい分布,歩行者エージェントモデル,機能的階層,都市モバイルエージェンモデル,混成流シミュレーション,視界駆動,「自然な動き」,,,,,,,,,,,,,,,,,,,,,,,,
18H03824,電気通信大学,山田 哲男,炭素税と経済連携協定を考慮したグローカルサプライ・再製造チェーンの構築,本研究では、スマートフォンや掃除機など組立製品のリユースに着目し、設計・生産・再製造・経営にわたる多様なデータとプロセスのモデル化することでトレードオフ関係にある環境負荷とコストを可視化し、多目的意思決定を用いた満足化を行って、炭素税および経済連携協定（関税）を考慮したグローカルサプライ・再製造チェーンを構築した。開発した材料選択法、サプライヤー選択法や回収物流設計法などによって、コストを最大限抑え、温室効果ガス26%削減を達成しつつ、再生率を向上させる設計方法論を、スマートフォンや掃除機の事例でケース検証を行って、提案法の有効性を示した。,基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,リユース・リサイクル,温室効果ガス削減,グローバルサプライチェーン,グローカル製品設計,CSR経営,再製造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03823,東京大学,川崎 昭如,デルタ危機と水害レジリエンス：自然環境、インフラ、社会経済構造の多次元分析モデル,工学、人類学、経済学の学際チームにより、自然環境、インフラ、社会経済的構造の3つの問題系が交差する多次元モデルを探求した。レジリエンス概念の背後にある科学技術、社会の変化を明らかにし、その概念とコンピュータ・モデリングに基づく生態系の理解との密接な結びつき、そして生態学の個体群モデルや計算機科学の複雑適応系といった異なるモデルとの相互連接性も明らかにした。また、自然環境の変化により増大するハザードの物理量と脆弱性、レジリエンスの相互作用を解析し、インフラ整備を中心とした治水事業が洪水被害の軽減と住民の家計経済の向上に与える影響を評価する分析モデル等を開発し、治水・適応策を提言した。,基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,水災害,アジア,デルタ都市,レジリエンス,学際,学祭,水害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03822,東京大学,土橋 律,水素システムの爆発安全高度化技術の開発,水素システムの爆発安全高度化技術の開発のため，大規模実験，加圧実験および影響度評価モデルの構築をおこなった．大規模実験，加圧実験により，ガス爆発挙動について様々な条件で詳細なデータを取得し，燃焼学的挙動解析および安全データベースに資する成果を得た．このデータを活用して危険性評価ツールとして使える影響度評価モデルを構築した．さらに，大規模実験映像は安全教育ツールとしても活用可能である．,基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,水素安全,ガス爆発,爆発影響度評価,不安定性,影響度評価,火炎伝ぱ,自己相似,安全,水素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03821,東京大学,市村 強,震災軽減のためのヘテロ最適化による地殻イメージング手法の開発,本研究は，震災軽減へ向けて従来よりも高精度な地殻内部状態イメージング手法を開発することを目的としており，その研究項目は，順解析である「ヘテロコンピューティングをベースとした大規模波動場解析手法」の開発と「順解析を多数回実施し最適化を行う最適化手法」の開発に大別される．「ヘテロコンピューティングをベースとした大規模波動場解析手法」の開発では，与えられたパラメータによって定められる地殻構造の有限要素モデルを高速にCPUにより構築するモデリングと構築された地殻の有限要素モデル内での波動場を高速にCPU-GPUによるヘテロコンピューティングにより解析する手法の開発を行う．また，「順解析を多数回実施し最適化を行う最適化手法」の開発では，順解析によって得られた解析結果と真値の差をもとに地殻構造のパラメータの更新をすすめる最適化プロセスの開発を行う．,基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,ヘテロコンピューティング,有限要素法,逆解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03820,東北大学,駒井 武,高次元データ駆動解析による歴史津波堆積物の高精度判別,日本沿岸で過去に発生した巨大地震津波による堆積物を正確に把握するため、地球化学的調査による高次元データ取得と津波堆積物の統計数理解析を実施した。東日本地域を中心に津波堆積物の調査と試料採取を行い、従来にない高密度で堆積物試料を地球化学的に分析して、地質データと統合して得られた高次元データをスパースモデリング手法により解析した。この新技術により、各種のイベントや歴史的な事象を数理統計的に差別化して、歴史的な巨大津波による堆積物を高精度で判別できる包括的フレームワークを構築した。さらに、新手法の汎化性能の高精度化により、日本沿岸における地震津波イベントの頻度、浸水範囲の特定精度を向上させた。,基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,津波堆積物,高次元データ,データ駆動解析,スパースモデリング,津波防災,地球化学,データ駆動,次元圧縮,歴史津波堆積物,地球化学分析,防災・減災,地球化学調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03819,北海道大学,小山内 信智,連鎖複合型災害現象のメカニズムと人口急減社会での適応策,本研究では，気候変動により激甚化するであろう水災害を始め，大規模地震や津波，火山噴火等との相互作用の中で複合的に発生する災害現象を整理し，それらによる被害を軽減するために必要な調査手法，シミュレーション手法などを提示した。北海道は少子高齢化・過疎化が進んでいるとされ，人口急減社会における防災のあり方も，地域の活力維持とセットで考える必要があった。これからの日本は投資余力が潤沢ではなく，完全移転（移住）は移転先の各種災害への安全確保が簡単ではない。人口急減社会においてはパイの取り合いとなる可能性があるため，“２拠点生活（デュアルライフ）”が危機回避と地域の活力維持につながる手掛かりとなりえる。,基盤研究(A),中区分25:社会システム工学、安全工学、防災工学およびその関連分野,連鎖複合災害,豪雨・風雪・火山・地震・津波,気候変動,人口急減社会,国土強靭化,リスク認知・避難,地域形態,住まい方,広域複合災害シナリオ,リスク評価手法開発,地震・都市建物災害,被害想定手法,防災学習,警戒避難,中山間地域,連鎖複合型災害,国土保全,社会防災力,土砂災害,火山災害,地震・津波災害,沿岸災害,少子高齢化,避難行動,連鎖型複合災害,洪水災害,津波災害,風雪害,沿岸被害,災害避難,,,,,,,,,,,,,,,,,,,,,,,,,,
