awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03962,国立研究開発法人国立環境研究所,堀口 敏宏,東日本大震災及び原発事故後の福島県沿岸生態系の変化に関する実態と機構の解明,福島第一原子力発電所（1F）近傍等で潮間帯生物相とイボニシの分布及び産卵を調べた。1F近傍と対照地点で毎月イボニシを採集し、性成熟を組織学的に評価した。大熊町夫沢の標本で通年成熟現象がみられた。大熊町夫沢のイボニシ飼育実験、ベリジャー幼生に対する重金属の急性毒性試験、イボニシに対する核種と化学物質の曝露実験を実施した。浜通りのイボニシの非致死性突然変異を調べた。,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,潮間帯,無脊椎動物,底棲魚介類,個体数密度,性成熟,通年成熟,東日本大震災,福島原発事故,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03961,滋賀県立大学,伴 修平,栄養塩負荷量と漁業生産の関係：水質総量規制は漁業生産の減少要因か？,本研究によって、琵琶湖におけるリン酸濃度の時空間分布、そして植物プランクトン成長の閾値が15 nmol/Lであることを明らかにした。河川から流入するリンの主な供給源は農地であり、田植え期以降にみられた植物プランクトンブルームが沿岸からの栄養塩供給に依存する可能性を強く示唆した。琵琶湖への流入量として深層地下水が浅層に匹敵することを明らかにし、地下水中のリン酸濃度が湖水中より数桁高く、主要なリン負荷源であることを示した。水温とTPと個体数密度から動物プランクトン生産量を見積もる経験式を作成し、湖での二次生産が7.6-58.6 gC/m2/yであり、一次生産の＜10%であることを明らかにした。,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,漁業生産,貧栄養化,栄養塩負荷量,リン酸酸素安定同位体比,リン酸ナノモル測定,動物プランクトン生産量,琵琶湖北湖,正リン酸,深層地下水,植物プランクトン一次生産,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03960,愛媛大学,三浦 猛,新規昆虫由来機能性多糖の魚類免疫系への分子作用機構の解明と実用化への展開,カイコ由来機能性多糖シルクロースが魚介類へ及ぼす作用の解析と、水産養殖への有効利用法の開発を行った。メダカおよびゼブラフィッシュを用いてシルクロースの耐病性付与効果を病原性細菌の感染試験により確かめたところ、両種とも耐病性が向上した。両種の免疫関連器官のシルクロース処理による遺伝子発現の変化を網羅的遺伝子発現解析によって調べたところ、免疫機能、脂質代謝および酸化還元に関連する遺伝子の有意な発現変化が認められた。養殖漁場でシマアジとブリのシルクロースに対する効果を調べたところ、ストレス低減、外部寄生虫の減少、致死率の低下および身質の改善が認められ、シルクロースの養殖への利用の有効性が示された。,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,機能性多糖,昆虫,養殖,免疫,身質,肉質,高温耐性,ゼブラフィッシュ,ブリ,免疫賦活化,カイコ,マダイ,シマアジ,バナメイエビ,寄生虫症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03959,名古屋大学,福島 和彦,リグニン前駆物質の輸送・貯蔵に関わる細胞間ネットワークの解明,これまで木化との関係性が明確でなかったリグニン前駆体の配糖体について、その貯蔵・消費タイミングが細胞壁の形成・木化段階と相関関係にあることを示した。各種のリグニン前駆体および人工リグニンの合成、植物から分離したリグニンの構造解析を行った。また、部位特異的に同位体標識したリグニン前駆体の投与実験によって得られた部位標識リグニンを用いた分析も行った。これらの成果により、リグニンの形成過程および構造に関する多くの知見が得られた。また、新規イメージング分析手法の開発により、リグナン、アジサイ青色色素錯体、アルカロイド類、根からの滲出成分、そして中性脂質などについて、それぞれ新たな知見が得られた。,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,TOF-SIMS,前駆物質,リグニン,貯蔵,定量分析,イメージング,輸送,細胞間ネットワーク,イメージング分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03958,東京海洋大学,近藤 秀裕,軟骨魚類の自然抗体を応用した魚類感染症の新規防除法の開発,軟骨魚類は血中に高濃度に抗体分子を持ち、その抗体は様々な物質に対して非特異的に結合することが報告されている。これらの抗体が病原微生物に結合することができるのであれば、感染症の予防を含めた様々な応用が期待できる。そこで本研究は軟骨魚類の抗体の病原微生物に対する結合能について解析するとともに、他の魚類のものと比較した。日本近海に生息するドチザメを対象に血清から抗体分子を精製し性状を解析したところ、本抗体は養殖現場で問題となる種々の細菌感染症原因菌に対して結合した。しかしながら、菌の働きを抑えるには至らなかった。同様の結合能は、硬骨魚類の中でも軟骨魚類に近いチョウザメにおいても確認された。,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,魚介類免疫,抗体,バイオテクノロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03957,東京大学,堀田 紀文,分布型水土流出モデルの長期解析に基づく流木被害軽減のための森林管理手法の検討,流木被害を受けた複数の対象地を含む森林流域において，土砂と流木の生産，輸送，堆積メカニズムに関する現地調査と，各種の土砂移動モデルの適用と検証を行った．崩壊に起因する土石流は細粒分の液相化により流動特性が著しく変化するため，崩壊後の土砂の堆積範囲の正確な予測が流木対策においても重要である．また，各支流域の地形条件が土石流および洪水に伴って流下する流木量に影響した．長期的な土砂と流木の動態評価の結果から，斜面と河道システムの連結を考慮することで流木被害の軽減に繋がる森林のゾーニングが可能であると考えられた．,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,流木災害,土石流,土壌浸食モデル,土砂災害対策,防災意識,流木,土壌侵食モデル,土砂災害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03956,東京大学,伊藤 進一,魚類成長－回遊モデルを用いたカタクチイワシの生活史戦略の解明,スタミナトンネル水槽（閉鎖型循環水槽）を用いて、瀬戸内海系群および太平洋系群のカタクチイワシの遊泳に伴う呼吸代謝量を直接測定し、呼吸代謝の水温依存性、体重依存性、遊泳速度依存性を精査した。その結果、瀬戸内海系群、北太平洋系群の両者において呼吸代謝の水温依存性、体重依存性、遊泳速度依存性を求めることに成功した。カタクチイワシ属は取り扱いが難しく、これらの特性をすべて求めた例は他になく、貴重なデータを取得できた。また、断片的に求められている海外の他海域のカタクチイワシ属の呼吸代謝特性と比較すると、沿岸域に生息する瀬戸内海系群だけが特異的な呼吸代謝特性を持っていることが明らかとなった。,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,水産動物,生態,行動,水圏環境,生物環境,生活史,生態・行動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03955,東京大学,奈良 一秀,共生微生物を活用した絶滅危惧樹木の革新的育苗技術開発,外生菌根菌（以下、菌根菌）は樹木の根に共生してその成長を助ける重要微生物である。先行研究によって、絶滅危惧樹木にのみ共生する宿主特異性の高い菌種が発見され、樹木保全への応用が期待されている。しかし、これらの菌種の子実体は現地でもほとんど発生せず、接種等に用いることはできない。本研究では、土壌中に休眠状態で存在する胞子（埋土胞子）の利用方法について検討した。その結果、現地土壌の懸濁液を作成しメッシュによって他菌種の菌核を排除することで対象菌種を効果的に接種できること、近交弱勢が進行しているものの他地域の埋土胞子と混合し外交配を誘導することで菌の機能が回復できることが明らかにされた。,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,菌根菌,絶滅危惧樹木,外生菌根菌,生物多様性保全,外交配,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03954,北海道大学,浦木 康光,細胞壁ミメティックス中で形成するリグニンの構造解析とその関連因子の解明,本研究では、セルロースにヘミセルロースを吸着させた人工多糖類マトリックスを作製し、このマトリックス中でのリグニンの形成を検討した。その結果、キシランはリグニンの形成と、リグニンの主要単位間結合である8-O-4’結合を寄与するが、グルコマンナンはリグニンの形成を阻害することが分かった。さらに、一次細胞壁に特有のキシログルカンは5-5’結合を誘導することが分かり、ヘミセルロースがリグニンの形成に大きな影響を与えることが明らかとなった。,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,人工多糖類マトリックス,リグニンの形成,ヘミセルロース,QCM-D,SEC-MALLS,細胞壁ミメティックス,キシログルカン,縮合構造,リグニン,細胞壁,模倣材料,ミメティックス,細胞壁模倣マトリックス,水晶発振子マイクロバランサ,免疫標識,セルロース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00956,国立研究開発法人水産研究・教育機構,外丸 裕司,地球レベルの基礎生産を担う珪藻の「ウイルス感染死を介した」ブルーム維持戦略の解明,珪藻は植物プランクトンの一種であり，その膨大な生産力は豊かな海洋生態系を支える原動力となっている。珪藻は，自身を殺すウイルスが存在しても長期の大増殖を維持することが可能である。その仕組みは未だ謎であるが，一つの仮説として珪藻はウイルス感染に抵抗する術を持ちつつも，分裂不調な細胞をウイルスで速やかに殺し，栄養塩として再利用する可能性が示唆されている。本課題では，海洋珪藻の全く新しい生態戦略「ウイルス感染死を介した珪藻のブルーム維持戦略」を提唱することを最終目的とする。,基盤研究(A),中区分40:森林圏科学、水圏応用科学およびその関連分野,珪藻,ウイルス,ゲノム,ssDNA,ssRNA,連続培養,ブルーム,増殖速度,半連続培養,代謝産物,遺伝子発現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
