awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03993,公益財団法人東京都医学総合研究所,佐伯 泰,プロテアソームを中心とした分解ネットワークの解明,細胞内の主要なタンパク質分解経路であるユビキチン・プロテアソーム系について、プロテアソームを中心とした分子ネットワークを解明し、ストレスや細胞分化による変動を解析することで、プロテアソーム分解を駆動する分子機構の詳細に迫った。１）プロテアソーム基質はp97-UFD1-NPL4複合体とRAD23Bにより選別され、プロテアソームに運搬されること、２）ストレス下において、プロテアソームはユビキチン化基質と共に液－液相分離し分解のための細胞内液滴を形成すること、３）ES細胞の神経細胞への分化に伴いプロテアソーム結合分子ECPASの発現が増加すること、細胞分化に必要であることが明らかとなった。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,プロテアソーム,ユビキチン,タンパク質分解,質量分析,細胞分化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03992,国立研究開発法人理化学研究所,村川 泰裕,新規技術による白血病の包括的エンハンサー解析と分子病態解明,白血病は多様性に富んだ臨床像・細胞像を示す難治性の血液腫瘍である。白血病ではエピジェネティクス異常が重要である。とりわけエンハンサーによる遺伝子の転写制御は、白血病細胞のアイデンティティーを決定する。活性化したエンハンサーは、それ自体から合成されるeRNAを次世代シークエンサーで検出することで高解像度に同定される。本課題では、我々はeRNAを超高感度に網羅的に検出する新技術を開発し、約100症例の造血器悪性腫瘍の検体に適用し、白血病エンハンサー・転写プログラムを同定した。臨床・ゲノムデータ、RNA発現情報、エピジェネティクス情報の統合により、新規の治療標的やバイオマーカーの同定を行った。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,白血病,エンハンサー,ゲノム解析技術,バイオマーカー,転写ネットワーク,NET-CAGE,造血器悪性腫瘍,ヒトゲノム科学,ノンコーディングゲノム・RNA,次世代シークエンシング,バイオインフォマティクス,ゲノム科学,遺伝子発現制御,次世代シークエンサー,造血器腫瘍,NET-CAGE法,腫瘍,ゲノム解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03991,国立研究開発法人理化学研究所,眞貝 洋一,ヒストンH3K9メチル化修飾による転写抑制の包括的理解,私たちの体を作り上げている様々な組織・器官は異なる性質の細胞からなり、この異なる細胞の性質は異なるセットの遺伝子が発現することで決まる。異なる性質の細胞でどの遺伝子のスイッチをオン・オフするかは、ゲノム情報と後天的なエピゲノム情報により調節されている。オフ状態のエピゲノム情報として、ヒストンH3の９番目のリシンのメチル化がある。今回の研究では、H3K9メチル化の下流でどのような因子がオフ状態の調節に寄与しているのかを、網羅的に調べた。その結果、従来知られていた因子だけでなく、複数の新規の因子を同定した。さらに研究を進め、将来、任意に遺伝子のオン・オフを操る手法の開発につなげたい。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,epigenetics,エピジェネティクス,転写抑制,ヒストンメチル化,DNAメチル化,CRISPR/CAS9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03990,国立研究開発法人理化学研究所,鈴木 匡,出芽酵母の遊離糖鎖解析がもたらす新規糖鎖代謝機構の解明とヒト稀少疾患への応用,出芽酵母において、小胞体関連分解（ERAD）に関わるユビキチンリガーゼであるHrd1の変異体がOSTの加水分解反応を増強することが明らかとなった。詳しい解析の結果、出芽酵母におけるOSTの遊離糖鎖生成は小胞体ストレスなど、変性タンパク質が蓄積する条件で促進され、タンパク質のフォールディング促進や凝集抑制に機能がある可能性が示唆された。また、OSTの加水分解によって生じると予想されている哺乳動物の血清遊離糖鎖について精製法の検討を行ったところ、新規な糖鎖構造が複数見つかった。またラット肝臓の初代培養を用いて実際に肝細胞がOST由来糖鎖の分泌に関わることを実験的に証明した。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,オリゴ糖転移酵素,遊離糖鎖,ユビキチンリガーゼ,初代肝細胞,フォールディング,OST,STT3,Doa10,Hrd1,出芽酵母,先天性糖鎖不全症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03989,公益財団法人微生物化学研究会,野田 展生,オートファゴソーム形成場のin vitro再構成と作動機構の解明,PASはオートファジーの進行に必須な構造体であるが、その実体は長らく不明であった。本研究ではまず出芽酵母におけるPASの性状を解析し、その実体は流動性の高い液滴であることを明らかにした。さらに精製タンパク質を用いた解析により、Atg1複合体が液－液相分離して液滴を形成すること、液滴内ではAtg17がランダムな配向で局在していること、この液滴がPASの構築に働くことを明らかにするとともに、Atg13のリン酸化状態がAtg1複合体の相分離を制御し、それがPASの構築自体を制御していることを明らかにした。さらに液胞膜上に局在するPASを人工膜を用いてin vitro再構成することに成功した。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,液－液相分離,オートファジー,Atg1複合体,天然変性タンパク質,高速AFM,リン酸化,液滴,再構成,オートファゴソーム形成場,液-液相分離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03988,九州大学,佐々木 裕之,多階層オミックスによる卵子のDNAメチル化制御分子ネットワークの解明,本研究課題は、ゲノム編集技術及び多階層オミックス技術を駆使し、マウス卵子の有する発生プログラム、特にDNAメチル化による抑制型プログラムを構築・伝達する制御分子のネットワークを明らかにすることを目的とする。初年度である平成30年度は、当初計画に基づいてDNAメチル化酵素（Dnmt3a）、維持メチル化因子（Uhrf1）、脱メチル化防御因子（Stella）の3つの分子に着目し、それぞれの変異体マウスの作成・交配とオミックス解析に供するサンプルの収集を実施した。しかし、本研究課題を開始した後、本計画を包含する大きな研究計画として申請していた特別推進研究「多階層オミックスによる卵子の発生能制御分子ネットワークの解明」が採択されたため、重複受給制限により本研究課題を廃止し、本計画の実施内容を特別推進研究として実施することになった。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,オミックス,DNAメチル化,卵子,初期胚,マウス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03987,大阪大学,永井 健治,細胞熱産生におけるジュール熱仮説の検証,恒温動物は熱の放出と産生を制御することで体温を維持している。恒温動物では、骨格筋のふるえ熱産生、そして非ふるえ熱産生として代謝熱や褐色脂肪細胞およびベージュ脂肪細胞における発熱が主な熱産生である。ふるえ熱産生や代謝熱は理解が進んでいるが、代謝熱以外の非ふるえ熱産生の詳細についてはあまり研究が進んでいない。本研究では、非ふるえ熱産生の主要なメカニズムとして、膜電位で駆動されたイオン電流がイオンチャネルやUncoupling Protein 1の中を流れることで発生するジュール熱が非ふるえ熱産生に寄与することを提唱し、細胞内温度イメージングと温度分布シミュレーションからその重要性を明らかにした。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,細胞熱化学 ジュール熱,温度プローブ,熱消光,熱感受性弾性ポリペプチド,細胞熱化学,ジュール熱,バイオイメージング,細胞生理機能,温度生物学,ジュール熱仮説,蛍光タンパク質,フェルスター共鳴エネルギー移動,高分子ゲル,蛍光比イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03986,名古屋工業大学,神取 秀樹,ロドプシンの多彩な機能をもたらす構造ダイナミクスの解明,我々は2013年以降、微生物由来の新規ロドプシンを次々に報告し、共通の構造と光反応から多彩な機能が生み出されることがわかってきた。本研究では、新たなロドプシンを探索するとともに、低温法、時間分解法、全反射法など赤外分光法を中心とした解析を、光駆動ナトリウムポンプ、内向きプロトンポンプ、酵素ロドプシンに対して行い、構造と機能をつなぐ構造ダイナミクスの解明を目指した。その結果、これらに共通する構造ダイナミクスと、機能に深く関わる特有の構造ダイナミクスを見出すことができた。またヘリオロドプシンを発見した。以上の成果を、5報のNature論文を含む60報近くの原著論文として発表した。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,構造ダイナミクス,新規ロドプシン,光反応サイクル,赤外分光,水素結合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03985,東京工業大学,岩崎 博史,ATP依存性リコンビナーゼによるDNA鎖交換反応の統合的理解,相同組換えの中心反応は、RecA ファミリーリコンビナーゼによるDNA鎖交換反応である。本申請研究では、分裂酵母の２つのRecAファミリーリコンビナーゼ（Rad51とDmc1）について、その反応制御機構を詳細に解析した。その結果、１）３ステップDNA鎖交換反応機構における２種類のRad51 DNA結合モチーフの役割、２）2種類の補助因子Swi5-Sfr1とHop2-Mnd1が段階的に互いを補うように作用するDmc1のDNA鎖交換反応促進機構、３）Swi5-Sfr1複合体補助因子がRad55-Rad57補助因子を介してRad51にリクルートされる高次複合体形成機構など、を明らかにした。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,相同組換え,組換え修復,DNA鎖交換反応,RecA ファミリー　リコンビナーぜ,Rad51,分裂酵母,Dmc1,ATPase,MRN複合体,Ctp1,Rrp1,Rad52,ナガニシア酵母,RecA ファミリーリコンビナーゼ,Swi5-Sfr1複合体,Swi5-Sfr1 複合体,Hop2-Mnd1 複合体,リアルタイムアッセイ,DNA 二重鎖切断,ReRecA ファミリーリコンビナーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03984,東京工業大学,田口 英樹,翻訳ダイナミクス制御によるタンパク質機能発現機構,近年、我々の研究成果を含めて非典型的な翻訳が続々と明らかになってきており、翻訳周辺には未開の分野が拡がっていることがわかってきた。例えば、我々は、負電荷アミノ酸に富んだアミノ酸配列を翻訳する際にリボソームが不安定化され（Intrinsic ribosome destabilization: IRD）、結果として翻訳が途中終了する現象を世界に先んじて見出した。そこで本研究では、IRDや翻訳に共役したタンパク質フォールディングなどを中心とした翻訳ダイナミクス制御について、生化学、分子生物学、プロテオーム解析などを含めた包括的な解析を行い、重要な成果を多数得た。,基盤研究(A),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,翻訳,リボソーム,新生鎖,熱ショックタンパク質,プロテオーム,セントラルドグマ,シャペロン,タンパク質フォールディング,無細胞翻訳系,プロテオミクス,RAN翻訳,非典型的翻訳,翻訳バイパス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
