awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H04003,国立研究開発法人理化学研究所,松崎 文雄,哺乳類の複雑脳形成プログラムの解明,複雑脳を形成するフェレットでは、神経幹細胞は細胞分裂により頻繁にshort RGを生み出す。このsRGは我々が同定した神経幹細胞のひとつであり、Notchの活性がaRGの姉妹細胞でも高いことを示している。このsRGは脳室内で２回ほど自己複製したのち、proneural遺伝子のAscl1を発現することにより、Hes１の活性を低下させ、中間前駆細胞の連続した対称分裂モードに入ることがタイムラプス解析により判明した。自己複製能は、その後Ascl1発現中間前駆細胞の状態にシフトしながらも、ある程度維持し、神経細胞数を増幅させる大きな要因となることが判明した。,基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,神経幹細胞,脳発生,複雑脳,フェレット,大脳皮質,マイクロカラム,神経前駆細胞,脳進化,哺乳類,細胞系譜,単一細胞解析,神経発生,脳幹細胞,クローンサイズ,多様性,脳回,高次能,幹細胞,フェッレット,発生,動態,不均一性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04002,京都産業大学,永田 和宏,小胞体における活性酸素除去に関わる新たな分子機構の解明,我々は、ERdj5が酸化酵素Ero1からの電子を奪い、自身の還元力（電子）として利用する新しい電子伝達経路を明らかにした。さらに、Ero1から電子を奪うことで、小胞体内腔の過酸化水素生産量を減らすことを明らかにした。また、還元酵素ERp18は、通常、二量体として存在し、還元酵素として働くが、亜鉛イオンの結合に依存してオリゴマーを形成するとカタラーゼ様の活性を持つことを明らかにした。そしてERdj5およびERp18が協働する過酸化水素除去機構が、小胞体の新たなレドックス恒常性維持に重要な役割を果たすことを明らかにした。,基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,小胞体,過酸化水素,レドックス,小砲体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04001,九州大学,松下 智直,植物の光受容体フィトクロムによる転写開始点制御の分子機構解明,"植物の主要な光受容体フィトクロムは、PIFと呼ばれる転写因子群を介して標的遺伝子の転写量を制御することで、光シグナルを伝達すると考えられている。しかしながら我々は最近、フィトクロムが、2,000を超える遺伝子に直接働きかけ、それらの転写開始点を変化させることで、プロテオームの多様化に寄与していることを発見したが、その制御の分子機構は不明である。本研究では、このフィトクロムによる転写開始点制御の分子機構を解明することを目的として解析を進め、この制御に関わるいくつかの重要な因子を同定した。",基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,転写開始点,フィトクロム,遺伝子発現制御,植物,光受容体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04000,九州大学,中山 敬一,幹細胞における細胞周期制御と代謝系との連関に関する基盤的研究,腸管幹細胞におけるp57の機能解析を実行するため、p57遺伝子発現可視化マウス、p57コンディショナルノックアウトマウスおよびp57陽性細胞破壊マウスを作製した。その結果、造血幹細胞特異的に発現する静止期維持因子p57が、腸管においても「＋4ポジション幹細胞」に非常に高い特異性をもって発現していることを発見した。腸管特異的p57コンディショナルノックアウトマウスの解析から、p57は＋4ポジション幹細胞における静止状態の維持、ならびに幹細胞自体の維持に必須であることが明らかとなった。さらに、5-fluorouracil (5-FU) を用いた腸管傷害実験から、+4ポジション幹細胞は腸管傷害に耐性でその後の腸管上皮再生における責任細胞となっていることが示唆され、p57欠損により傷害後の腸管再生能は顕著に低下することがわかった。これらの結果から、p57は+4ポジション幹細胞の静止状態の制御を介して、腸管上皮全体の恒常性維持に寄与していることが示唆された。これらの知見は、p57が＋4ポジション幹細胞の特異的かつ機能的なマーカー遺伝子となりうることを示している。そこで我々はp57陽性細胞の「系統追跡マウス」を作製し、真の腸管幹細胞の遺伝学的証明と、全身組織における幹細胞探索への応用を目指して研究を進めている。また腸管腫瘍についてもAPC欠損モデルマウスとわれわれが作製したモデルマウスの交配を進め、p57陽性細胞が幹細胞性を持っていることを突き止めた。今後はオルガノイド技術を駆使して、p57の機能阻害を起こすような低分子化合物を探索することを計画している。,基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,細胞周期,幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03999,大阪大学,月田 早智子,上皮バリアの構築と機能を制御するタイトジャンクション・アピカル複合体の解析,生体は、腸・肺・脳という大きな区画から、毛細血管というような小区画まで、大小様々な区画に分かれる。各区画が上皮細胞シートで覆われ、恒常性が保たれることは、生体機能発現には必要不可欠である。上皮細胞は、タイトジャンクション (TJ) を介して側面で密着し、上皮細胞シートを形成する。上皮細胞シートには、TJの細胞間バリアと上皮細胞アピカル膜のアピカル面バリアが存在する。両者は連携し、上皮バリアとして、生体の各区画を形作り、自由な物質移動を制限し、必要物質を選択的に透過させるが、連携機序は不明である。私共は最近、先進的イメージング技術によりアピカル膜に沿った細胞骨格を発見した。本アピカル骨格とTJの構造的・機能的なリンクやそれを司る因子を複数見出した。それらの解析から、アピカル骨格とTJは「TJ-アピカル複合体」というシステムとして機能し、細胞間・アピカル面バリアを統合すると考えられた。さらに、TJ-アピカル複合体は、細胞内外の状況を反映して、細胞シグナル経路のインターフェースとなり、上皮バリア動態を制御するという予備知見も得ている。従来、細胞間・アピカル面バリアは別個に解析されてきたが、本研究では、TJ-アピカルを軸とした上皮バリアの統合的解析・理解を目指し、上皮バリアによる生体機能の新規構築原理を開拓する。,基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,タイトジャンクション,アピカル骨格,TJ-アピカル複合体,クローディン,TJMAPs,アピカル面バリア,細胞間バリア,上皮バリア,アピカル複合体,細胞骨格,細胞接着,上皮細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03998,大阪大学,長澤 丘司,造血幹細胞を維持する微小環境（ニッチ）の形成と作用の分子機構の解明,造血幹細胞ニッチとは、造血幹細胞が接着し、その維持に必須の微小環境で、その実体の解明が試みられてきた。研究代表者らは、以前、世界に先駆けて造血幹細胞ニッチの実体を解明し、サイトカインCXCL12を著しく高発現する間葉系幹細胞CAR (CXCL12-abundant reticular) 細胞であることを解明した。本研究により、造血幹細胞の発生に必須の転写因子Runx1と骨芽細胞の発生に必須の転写因子Runx2の両方がCAR細胞で特異的に発現し、CAR細胞が線維芽細胞に変化することを抑制し、造血幹細胞ニッチを維持していることが明らかになった。,基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,微小環境,組織幹細胞,発生・分化,再生医学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03997,東京大学,東山 哲也,細胞間情報を担う糖鎖AMORの発見に基づく植物糖鎖シグナリングの解明,申請者らが同定に成功した生理活性をもつ糖鎖AMORを突破口に、情報分子としての糖鎖が、植物細胞間コミュニケーションでどのような重要性をもち、いかにして情報伝達を担うのかを明らかにすることを目指した。AMORの新たな機能の探索や、AMORの受容メカニズムの解析を進めるために、有機化学合成によりAMORを改変することに成功した。これをもとに、AMOR構造（メチルグルクロノシルガラクトース）を特異的に認識するモノクローナル抗体を樹立した。また、多量体AMORを作製し、1分子あたりの高い活性を確認できた。AMOR合成系や受容体候補の遺伝子について解析を進めるためにウリクサの有用性が期待される。,基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,糖鎖,植物,細胞間シグナリング,受容体,有機化学合成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03996,東京大学,篠崎 和子,植物の浸透圧ストレスに対する感知システムと初期応答の分子機構の解明,乾燥や高塩濃度などの浸透圧ストレス時の初期にABAを介さずに活性化するサブクラスI SnRK2の相互作用因子として、３つのB4-RAF様キナーゼを同定した。これらのキナーゼは、サブクラス I SnRK2とともにP-ボディにおいて共局在し、浸透圧ストレス時にサブクラス I SnRK2を特異的にリン酸化して活性化することを示した。さらに、多重変異体のトランスクリプトーム解析や生育観察から、これらのキナーゼはサブクラス I SnRK2の上流因子であることを示した。一方、同様の手法を用いて種類の異なるRAFがABAによって活性化されるサブクラス III SnRK2の上流因子であることを明らかにした。,基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,シロイヌナズナ,浸透圧ストレス応答,シグナル伝達機構,ストレス感知システム,SnRK2キナーゼ,RAFキナーゼ,オスモセンサー,植物,浸透圧ストレス,リン酸化カスケード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03995,東京大学,一條 秀憲,浸透圧ストレスの受容・認識から応答に至る分子機構の解明,細胞は、内外の浸透圧差によって強制的に体積を変化させられるストレス（＝浸透圧ストレス）に常に曝されており、浸透圧変化を感知して適切に応答することで体積を一定に保っています。これまでは細胞外環境と接する細胞膜上の変化などを介して物理的実体のない浸透圧変化を感知するという考え方に基づいた研究が主流でした。,基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,ASK3,浸透圧ストレス受容,浸透圧ストレス応答,細胞体積制御,VRAC/LRRC8,アポトーシス,液―液相分離,ポリADPリボース,浸透圧受容,浸透圧応答,細胞体積,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03994,北海道大学,藤田 恭之,細胞競合と接触阻害を統合的に制御する分子メカニズムの解明,ファージディスプレイスクリーニングなどによって、RasV12発現によって形質膜への集積が亢進する膜タンパク質としてCOL17A1とCD44を同定した。,基盤研究(A),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,接触阻害,上皮多層化,COL17A1,CD44,細胞競合,細胞間コミュニケーション,ファージ抗体ディスプレイスクリーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
