awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H04011,九州大学,矢原 徹一,東南アジア産樹木の種多様性・系統多様性・形質多様性の地理的パターン,本研究の目的は以下の３課題である。（１）東南アジア産熱帯樹木の系統関係を構築する、（２）形質データベースを構築する、（３）ベトナム南部熱帯山地林で開花フェノロジーの調査を行い、異なる年に開花する「咲き分け」があるという仮説を検証する。（１）についてはクスノキ科・ブナ科を対象に系統解析を進め、ベトナム南部山地は系統的に古い種が分布する地域であることを明らかにした。（２）についてはバリバリノキ属を材料として、形質データベースを作成した。（３）については、3年間にわたるフェノロジー観察の結果、91種中63種は毎年開花せず、うち32種は3年間を通じて開花しなかった。この結果は上記の仮説と整合的である。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,熱帯山地林,ブナ科,クスノキ科,分子系統解析,フェノロジー,熱帯林,山地林,開花フェノロジー,季節性,樹木,種多様性,植物多様性,DNAバーコード,系統解析,植物分類,東南アジア,分子系統,新種,形質多様性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04010,京都大学,曽田 貞滋,種多様性はどう決まるか？：生態ゲノミクスによる捕食者・被食者系の進化群集生態学,本研究では日本列島における地表性捕食者オオオサムシ亜属の種多様化と、餌となるフトミミズ科の系統進化，種多様性，種多様化の鍵となる形質の進化過程について研究した。オオオサムシ亜属の種多様化には機械的生殖隔離をもたらす交尾器形態と体サイズの多様化が主に関係している。これらの形質の進化過程について、それぞれの形質に関係するゲノム領域の解析・遺伝子発現比較から研究した。日本のフトミミズ科はアズマフトミミズ属が優占し多数の種が記載されている。本研究ではミトゲノムによる分子系統解析によって、日本列島におけるアズマフトミミズ属の系統進化と種多様化の実態を解明し、オオオサムシ亜属の種多様化との関係を考察した。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,種多様性,捕食者被食者関係,生殖隔離機構,体サイズ,交尾器形態,ゲノム,形態進化,遺伝的基盤,オサムシ,フトミミズ科,捕食者ー被食者,生態ゲノミクス,形質進化,捕食者ー被食者系,適応進化,群集構造,全ゲノム配列,捕食者-被食者系,捕食者・被食者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04009,京都大学,東樹 宏和,先端技術の融合で解き明かす地下生態系のブラックボックス,50種のクモから検出された1000種類にも及ぶ餌種節足動物のデータを分析することによって、各クモ種がどの季節に菌食性（地下由来）の餌に依存し、どの季節に地上部（植食性昆虫等）の餌にシフトしているのか、解明することができた。また、安定同位体分析によって、14Nと15Nの比率のデータから、各クモ種の栄養段階が大きく異ることが見えてきた。また、12Cと13Cの比率に関するデータから、C3植物とC4植物に端を発するエネルギー・チャンネル（植食性昆虫の宿主植物特異性を介した異なるエネルギー・チャンネル）に由来すると思われる変異が、クモ種間だけでなく、クモ個体間でもみられることが明らかになった。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,群集,食物網,地下生態系,クモ,ネットワーク,時系列変動,相互作用ネットワーク,生物間相互作用,炭素循環,DNAメタバーコーディング,生態系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04008,京都大学,大澤 晃,周極域亜寒帯林の構造変化と気候変動:林分復元法と花粉分析的景観復元法による解析,林分構造変化と気候変動の関係の解析のために、北西カナダのサイトにおいて、現地調査を行った。Picea marianaの密な林分において225m2のプロットを設定し、プロット内の木のサイズ分布を測定した。またプロット内でサイズの異なる7本の木から高さ別に樹幹解析用円盤を採取した。円盤は研磨後、年輪を解析し、個体の成長量を調べた。木のサイズ分布とサンプル個体の成長データから過去の林分現存量を復元した。さらに過去にこの地域で得られた同様のデータから、この地域におけるPicea mariana8林分とPopulus tremuloides2林分の林分現存量の復元を行い比較した。その結果、いくつかの年で成長が同調している林分が多いことが確認された。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,周極域亜寒帯林,林分構造復元,景観復元法,気候変動,林分現存量,亜寒帯林,地上部現存量,地球温暖化,周極域,シベリア,北欧,カナダ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04007,東京大学,諏訪 元,人類とアフリカ類人猿の出現過程の解明―チョローラピテクスの進化形態学的研究,現生アフリカ類人猿とヒトの系統がそれぞれどのように出現したか、それと関わるサハラ以南のアフリカの700から1200万年前ごろの間の化石記録は僅かしか知られていない。本研究では、1000万から700万年前ごろにわたるエチオピアのチョローラ層の年代的枠組みを精緻化し、大型類人猿化石を産出する層準が790万年前であることを明らかにすると共に、発掘調査等により化石数を充実し、大型類人猿化石80点ほどのコレクションの評価分析を進めた。結果、チョローラピテクス、ナカリピテクス、ウラノピテクスが一つの分岐群をなし、現生アフリカ類人猿もしくはゴリラの分岐群いずれかの基部に位置することが示唆された。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,人類進化,類人猿進化,化石,中新世後期,エチオピア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04006,東京大学,三浦 徹,環形動物シリスにおける無性生殖様式「ストロナイゼーション」の分子発生基盤の解明,環形動物のシリス科に属する仲間では、個体の尾部に生殖腺が発達し、その前端に頭部ができ本体から分離して遊泳して繁殖を行う「ストロナイゼーション」という特殊な繁殖様式を示す。身体の途中で新たな頭部ができるなど、通常の動物種ではあり得ない発生様式を示すことが知られるが、その発生機構については全く研究されていなかった。本研究課題では、日本近海に生息するミドリシリスを対象として、採集および飼育系を確立した上で、ストロナイゼーションの過程を詳細に観察し、様々な手法で詳細な観察を行うとともに、遺伝子発現解析により、異所的な頭部形成を促す発生制御機構の一端を明らかにした。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,ストロナイゼーション,無性生殖,生活史,頭部形成,性決定,環形動物,シリス,放精放卵,神経系,表現型可塑性,繁殖様式,ボディプラン,パターン形成遺伝子,放精抱卵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04005,東京大学,河村 正二,新世界と旧世界の対比による霊長類感覚生態ゲノム学の確立,コスタリカでシロガオオマキザル野生群を調査し、早い者勝ちとなる小さく開花期の短い樹木では3色型色覚個体の先着頻度が2色型個体より有意に高いこと、熟すると匂い物質の総量が増加する果実ほど匂い嗅ぎ頻度が高いこと、2色型は3色型より高頻度に匂い嗅ぎを行うことを示した。熱帯雨林と乾燥林とでシロガオオマキザルの全ゲノム配列決定を行い、腎機能、長寿命、脳発生等に関わる遺伝子への自然選択を検出した。旨味受容体T1R1/T1R3は複数の分類群で小型昆虫食性から大型葉食性への進化に伴い核酸からLグルタミン酸へと感受対象を適応させたことを示した。日本人集団を対象に嗅覚受容体遺伝子群に多数の新規多型を検出した。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,感覚進化,霊長類,色覚,嗅覚,味覚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04004,筑波大学,和田 洋,複雑ネットワークの視点からの新規細胞タイプの進化,遺伝子発現制御ネットワークの準安定状態が新規細胞タイプの進化に結びついたという仮説を検証すると同時に、その柔軟性が新規細胞タイプの進化の原動力となっていたという仮説の検証を目指した。理論研究から、ネットワークの安定性に遺伝子発現制御の入力と出力の分布が重要な役割を果たしていることを明らかにした。ウニのPmar1/HesCの二重抑制機構の進化のメカニズムに関する知見も得られ、初期発生過程の改変が発生を崩壊させることなく実現するメカニズムを解明した。最後に、ウニの発生過程における遺伝子発現に明瞭な個体差が見られることも明らかにし、遺伝子発現制御ネットーワの柔軟性を示す明瞭な証拠を提示した。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,ネットワーク,柔軟性,棘皮動物,個体変異,遺伝子発現ネットワーク,ウニ,発生の頑健性,発生進化,遺伝子ネットワーク,新規細胞,プロモーター,進化,遺伝子調節ネットワーク,発生学的浮動,変異ロバスト性,新奇遺伝子,遺伝子制御ネットワーク,新規細胞タイプ,ゲノム,非モデル生物,ヒトデ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01005,国立研究開発法人海洋研究開発機構,井町 寛之,Asgardアーキアは本当に真核生物の起源か？-世界初の培養株を用いた実態解明-,Asgard (アスガルド) と呼ばれているアーキア群が真核生物の起源の最有力候補として大きな注目を集めている。しかしながら、メタゲノム解析でのみ同定されたAsgardアーキアは未だ培養株が存在しないため、Asgardアーキアが本当に真核生物細胞の起源となるような特徴を有しているのか不明であり、培養株を用いた直接的な検証が強く望まれている。本研究では、世界に先駆けて培養に成功したAsgardアーキアの培養株についてその細胞学・生理学的諸性質を明らかにし、Asgardアーキアが真の真核生物の起源たる原核生物であるかについて検証することを目指す。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,アーキア,Asgardアーキア,真核生物の起源,嫌気性微生物,海底堆積物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01004,基礎生物学研究所,新美 輝幸,擬態斑紋の進化プロセスの解明,本研究では、系統的に遠い関係にあるにも関わらず、類似した擬態斑紋が形成されるメカニズムを解明するため、テントウムシに関連した擬態斑紋に着目する。申請者が世界に先駆けてナミテントウにおいて同定した翅全体の斑紋パターンを決定する転写因子をコードする遺伝子（斑紋プレパターン遺伝子）に焦点を絞り、材料に用いる昆虫の利点や申請者がこれまでに確立した遺伝子機能解析法を活かし、次世代シーケンサーなどの最新技術を駆使して、擬態斑紋がもたらされた進化プロセスの理解を目指す。,基盤研究(A),中区分45:個体レベルから集団レベルの生物学と人類学およびその関連分野,テントウムシ,擬態斑紋,斑紋プレパターン遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
