awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03609,兵庫県立人と自然の博物館,加藤 茂弘,中期更新世初期の気候変動を探る―湖沼堆積物の高精度編年に基づく古環境総合解析,琵琶湖西岸の喜撰川に分布する古琵琶湖層群堅田層からKT1、KT2、KT3の3本のボーリングコアを採取した。テフラ分析により識別、対比した5層のテフラとコアに挟在する厚い砂礫層を鍵層としたコア間対比により、3本のコアで約87～70万年前をカバーする連続堆積物が得られた。古地磁気分析からはKT1コアの深度約35mとKT2コアの深度約55mにMB境界の上限を確認し、花粉分析からはその上位に最温暖期が確認された。MB境界の上限は酸素同位体層序のMIS19.2にあるため、この違いは、MIS19のピーク（MIS19.3）の認定において花粉分析に基づく気候層序と古地磁気層序の間にある年代的なずれを示唆する。,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,松山－ブリュンヌ境界,古地磁気層序,気候層序,テフラ分析,花粉分析,古琵琶湖層群堅田層,大阪層群,上総層群,松山ブリュンヌ境界,酸素同位体層序,古気候,火山灰編年学,U-Pb年代測定,近畿三角帯,気候変動,松山・ブリュンヌ境界,中期更新世,アジアモンスーン,古地磁気,テフラ,ESR年代測定,酸素同位体比層序,ブリュンヌ・松山境界,定方位ボーリング,古地磁気分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03608,名古屋学院大学,今村 薫,中央アジアにおける牧畜社会の動態分析―家畜化から気候変動まで,中央アジアの牧畜民は馬とラクダという大型家畜を飼いならすことで歴史を大きく変えてきたことが解明された。草原で紀元前5千年紀に馬の家畜化が、紀元前4千年紀に砂漠の東でフタコブラクダが、同じく紀元前4千年紀に砂漠の西でヒトコブラクダの家畜化が始まり、その後、東と西、北と南の民族の相克と交流がダイナミックに続いたのである。,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,中央アジア,牧畜,生態人類学,考古,歴史,牧畜社会,ヒトー動物関係,家畜化,レジリエンス,気候変動,歴史生態学,歴史生態,レジリアンス,牧畜技術,牧畜複合体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03607,東洋大学,植野 弘子,少子化に揺れる東アジアの父系理念－祖先祭祀実践と世界観の再創造に関する比較研究,少子化が進む東アジアにおける父系理念と祖先祭祀・死後供養の変化について、現地調査・文献研究・アンケート調査を実施し、比較・考察した。対象は、父系社会である韓国、沖縄、中国・台湾（漢民族）、そして父系的な傾向性を持つ日本社会である。,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,父系,祖先祭祀,少子化,葬墓制,家族,親密圏,東アジア,文化人類学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03606,静岡県立大学,湖中 真哉,アフリカ遊動社会における接合型レジリアンス探求による人道支援・開発ギャップの克服,アフリカの遊動民社会は、現在、飢饉と飢餓、低強度紛争、気候変動等の多くの不確実要因を抱えており、それに対応した新たな人道支援と開発の理論構築が求められている。,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,レジリエンス,遊動民,国際開発,人道支援,遊牧民,アフリカ,牧畜民,紛争,開発,地域研究,レジリアンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03605,首都大学東京,松山 洋,無人航空機を用いた植生の定量的把握に関する実証的研究,,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03604,長崎大学,増田 研,東アフリカにおける未来の人口高齢化を見据えた福祉とケア空間の学際的探究,これまでに約10本の学術論文、約40件の口頭およびポスター発表、3冊の分担執筆書籍、1冊の報告パンフレットを発表することができた。「東アフリカにおける高齢者のケア」についての文献研究を進めたほか、アフリカ人口学会（2019年）に参加し、アフリカ各地の研究者や実務者との意見交換を実現した。第7回アフリカ開発会議（TICAD 7）では公式サイドイベント「アフリカの人口高齢化を見据えて：高齢者ケアの「今」と、大陸を越えて共有すべきケアのあり方」を開催した。現地調査では、ケニアでの倫理審査および調査許可取得を経て、コロナ禍による延期はあったものの高齢者のサーベイランスを実施できた。,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,人口高齢化,アフリカ,人口学,社会福祉,グローバルヘルス,文化人類学,東アフリカ,人類学,人口動態サーベイ,国際保健,公衆衛生,民族誌,人口動態,ケア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03603,徳島大学,平井 松午,伊能図の成立過程に関する学際的研究－忠敬没後200年目の地図学史的検証－,本研究課題では、伊能忠敬らが作製した大名家献上本伊能図や測量下図・定稿図（稿本）を対象に、高精細画像データや非破壊調査を用いて、料紙・彩色・針穴・記載内容について検証した。,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,伊能図,伊能忠敬,非破壊調査,高精細画像データ,地図学史,学際的研究,GIS解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03602,京都大学,本川 雅治,動物区系地理学における旧北区と東洋区の境界のコネクティビティ概念に基づく再検討,アジアにおける動物区系地理学の旧北区と東洋区の境界を分布のコネクティビティに基づき，フィールドワークと標本・資料解析を行い，地理学的解析，地理的分化とその要因についての形態学・遺伝学的解析を行った．大陸部ではインドシナ高標高に旧北区要素が新たに確認された．過去の気候変動に伴う水平分布・標高分布の変化が現在のモザイク状の境界を形成したと示唆された．低標高や島嶼に分布する集団の中には人為的影響を受けたものも含まれ，動物区系理解の混乱につながったことが示唆された．異なる生活空間や移動分散能力をもつ多様な分類群の結果を重ね合わせることによって，2つの地理区の統合的な理解が得られた．,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,動物地理,地理的変異,適応進化,生殖隔離,標高分布,島嶼,コネクティビティ,種多様性,動物地理学,動物区系,インドシナ半島,日本列島,形態適応,旧北区,東洋区,琉球列島,アジア,山地,地理的隔離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03601,名古屋大学,鈴木 康弘,熊本地震から学ぶ活断層ハザードと防災教育-活断層防災学の構築を目指して,2016年熊本地震の発生とそれに伴う強震動の発生の双方について、事前予測可能性を検証した。日本政府は地震直後に両方とも予測可能であったとし、その周知が足らなかったことが被害軽減を妨げた要因だったと分析しているが、その妥当性には疑問があり再検証の必要がある。本研究の結果は1995年以降進めてきた日本の活断層地震対策の妥当性の検証と、今後の防災対策の軌道修正の必要性の検討につながる。,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,活断層,強震動,防災教育,熊本地震,ハザード,リスクコミュニケーション,地震,2016年熊本地震,防災意識アンケート,地理教育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03600,福島大学,山川 充夫,震災アーカイブズを基盤とする複合型災害プラットフォームの日本国モデル構築,東日本大震災は未曾有の原子力事故を伴う複合災害である。災後10年を経ても避難指示区域が解除されず、3万人を超える住民が避難生活を強られている。被災地域では国による放射能汚染土の除染やインフラ復旧が進められた。しかし放射線被曝による健康不安、生業再生の著しい遅れ、さらには生活利便性の改善が進んでいないため、故郷に愛着を持つ高齢者を除き、被災地への住民の帰還は進んでいない。避難者は避難所から仮設住宅、復興公営住宅へと生活拠点を移すたびに家族や地域社会との繋がりを失う困難に直面している。本研究ではこうした困難を「累積的被害」として概念化し、これを克服することが人間の復興につながることを明らかにした。,基盤研究(A),中区分4:地理学、文化人類学、民俗学およびその関連分野,東日本大震災,原子力災害,福島復興,複合型日本国モデル,福島復興学,累積的被害,震災プラットフォーム,災害経験知,福島原発事故,アーカイブ,防災減災,廃炉,震災アーカイブズ,ふくしま復興,避難者支援,展示評論,ふるさと創造学,防災教育,福島イノベーション・コースト構想,再生可能エネルギー,原発災害,福島原発災害,福島県浜通り地域,熊本地震,複合型災害プラットフォーム,復興支援知,Build Back Better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
