awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H04038,公益財団法人東京都医学総合研究所,西村 幸男,脳-脊髄間の人工神経接続に対する適応メカニズムの解明,人工神経接続の技術は、神経細胞の機能を有したコンピューターを用いて脳と脊髄を接続することで自身の脳活動を契機とした脊髄神経刺激を可能にする。本研究は、脊髄損傷によって結合を失った脳と脊髄の神経細胞が人工神経接続による再結合に対して、どのように適応し、再組織化を図るのかについて明らかにすることを目的としている。研究の初年度にあたる今年度は、マカクサルを対象とした実験を行い、大脳皮質と脊髄間を繋ぐ人工神経接続による大脳皮質の適応現象の証明（実験1-1）、および人工神経接続による大脳皮質の可塑性誘導（実験1-2）を目指し、研究を実施した。実験1-1、1-2を通して、実験で用いる手首関節運動課題が行えるように4頭のマカクサルをトレーニングした。実験1-1では単一神経細胞の活動電位を記録する電極を大脳皮質運動野内に、脊髄運動回路を刺激する電極を脊髄内に埋め込んだ。筋肉との関係から定義された皮質ニューロンの3つのタイプの屈ニューロン、伸ニューロン、非ニューロンと、支配筋との関係から定義された3つの脊髄サイトである屈サイト、伸サイト、共サイトを同定し、それぞれの組合せで人工神経接続し、皮質ニューロンの適応について調査する準備を整えた。実験1-2では、実験1-1において明らかにする人工神経接続に対する大脳皮質神経細胞の柔軟な適応現象が、可塑性に移行するかについて調査する。人工神経接続を長時間行い、それに適応した大脳皮質神経細胞が人工神経離脱後にどのような活動を見せるかを調査できるよう実験1-1と同様の準備を整えた。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,人工神経接続,脊髄損傷,神経細胞,運動野,脊髄,歩行中枢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04037,国立研究開発法人量子科学技術研究開発機構,南本 敬史,ドーパミン・セロトニンによる意欲制御の脳内機構,ヒトのモデルとしてマカクザルを用いドーパミンとセロトニンによる意欲調節の情報処理機構について調べた。ドーパミン伝達はD1とD2受容体を介して異なる意欲調節に関わることを明らかにした。また、セロトニン伝達低下は報酬価値に依存する・しないの２つの意欲低下を引き起こし、それぞれ5-HT1Bおよび5-HT1A受容体が関与することを示した。これらの受容体の脳内局在から、関連する脳回路基盤が示唆された。さらに、化学遺伝学の手法であるDREADDsを深化させ、マカクザルのドーパミン神経細胞活動を選択的に制御することに成功した。本成果によりモノアミンによる意欲制御や精神・神経疾患の病態理解の進展が期待できる。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,ドーパミン,セロトニン,意欲,報酬,価値,化学遺伝学,DREADDs,モチベーション,サル,脳・神経,イメージング,操作技術,DREADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04036,大阪大学,鈴木 啓一郎,脳ゲノム編集機構の分子解析及び新技術開発,神経細胞内の遺伝子変異により引き起こされる数多くの遺伝性神経疾患に対して、現在では有効な治療法は存在していない。本研究では生体内の大部分を占める非分裂神経細胞におけるゲノム編集技術の原理の一端を解明した。本技術を基に、様々な疾患変異を任意の配列に置換できる、より自由度の高い新規のゲノム編集技術「SATI法」法の開発に成功し、実際に遺伝性疾患であるプロジェリア症候群モデルマウスが示す早老症状の回復効果が得られた。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,ゲノム編集,神経,HITI法,SATI法,プロジェリア症候群,脳ゲノム,HITI,SATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01041,国立研究開発法人理化学研究所,柴田 和久,興奮抑制バランス操作による脳の可塑性メカニズムの理解,ピアノ演奏や宝石鑑定といったスキルの学習には、訓練に応じて脳を変化させる可塑性と、無用な脳の変化を防ぐ安定性が不可欠である。本研究では、この可塑性と安定性を制御する仕組みとして、脳の興奮性・抑制性神経修飾物質の変化に焦点をあてる。第一に、研究代表者が開発した脳の状態を操作する技術を援用し、特定脳部位の興奮抑制バランスを操作するための技術を開発する。第二に、この技術を用い、興奮抑制バランスがスキル学習における可塑性・安定性を決めることを実証する。本研究の成果は、興奮抑制バランスの変調に起因する脳機能不全の治療法開発にも貢献し、科学・社会の両面で強い波及効果をもたらす。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,視覚,運動,可塑性,安定性,ニューロフィードバック,学習,脳イメージング,磁気共鳴分光法,興奮抑制バランス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01039,京都大学,中村 克樹,遺伝子改変を用いないサル精神疾患モデルの作出と脳機能異常の解明,統合失調症等の精神疾患は、遺伝子の連鎖解析から原因遺伝子は見つけられていない。一方、母体の炎症により発達障害や精神疾患の子どもが生まれる確率が高くなる。予備的研究から、炎症性サイトカイン暴露によってサルに社会行動異常や認知機能障害等の精神疾患様異常行動が誘発できた。本研究は、神経系の構造や機能が類似しているマカクザルやマーモセットを対象として、遺伝子改変を用いない炎症性サイトカイン暴露により、精神疾患モデルを作出すること、そして誘発される脳の構造や機能異常を神経科学的に解明し、精神疾患モデルを確立することを目的とする。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,サイトカイン,マーモセット,マカクザル,精神疾患,脳機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01038,新潟大学,長谷川 功,サルの脳はどこまでヒトの脳の縮図か―誤信念と文字の認知を担う脳回路の機能と可塑性,我々は、脳科学のモデル動物としてヒトに最も近縁なマカクザルが、心の理論や言語等のヒトに固有と信じられてきた高次認知能力の下位機能に類似した行動を学習できることを示唆する手がかりを得た。しかし、これらの能力がヒトと相同の脳回路基盤を有するとは限らない。この問題を検証するため、マカクザルを対象として皮質脳波・ニューロン活動の記録と化学遺伝学の実験を進め、ヒトの機能的磁気共鳴イメージングの結果と比較する。これにより、他者の誤った信念の認知や、言語の下位機能を支える霊長類脳回路の動作原理と、これらの機能不全による精神神経疾患の病態機序を研究するモデル動物としてのマカクザルの有用性および限界を見極める。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,皮質脳波,言語,霊長類,心の理論,文字,マカクザル,誤信念,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01037,東京大学,松崎 政紀,運動学習を実現する広域脳ネットワーク回路可塑性の包括的研究,哺乳動物での運動学習は大脳皮質運動野に加え、大脳基底核と小脳も必要とする。本研究では、マウスの前肢レバー引き運動課題学習中に主に２光子イメージング法と光遺伝学・化学遺伝学的手法を適用し、運動学習・運動発現中の大脳基底核と小脳の機能とこれらの領域が相互作用する経路、大脳基底核と小脳のシナプス可塑性と運動野細胞集団活動生成の関連、視床皮質軸索信号と運動野内信号の統合様式を明らかにする。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,運動学習,２光子イメージング,運動野,小脳,視床,2光子イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00523,大学共同利用機関法人自然科学研究機構(新分野創成センター、アストロバイオロジーセンター、生命創成探究,根本 知己,非線形光レーザ技術を駆使した神経回路機能の超解像可視化解析,研究代表者が世界的に牽引し、生体脳・神経系の機能計測に用いられるin vivo2光子励起顕微鏡法を基盤とし、さらに、レーザービームの位相・強度の制御、補償光学などの新規光学技術や新規光プローブ分子技術を活用し、生体組織深部で非侵襲的な生体分子の検出や細胞の微細形態の観察を実現する世界初の光イメージングを実現する。この革新的な顕微鏡を用いて、マウス生体脳の深部において「ありのまま」の状態で、同期的な神経細胞の集団活動や神経伝達物質の開口放出を高精度で可視化し解析する。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,バイオイメージング,生物物理学,神経科学,非線形光学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00522,藤田医科大学,宮川 剛,脳の成熟度可塑性の理解と制御,研究代表者らは、神経の過活動や炎症などによって脳の細胞が擬似的未成熟状態に戻る「脱成熟」が生じること、また刺激の強度に応じて、すぐに「再成熟」が生じる短期脱成熟と長期に渡り持続する長期脱成熟があることを見出した（成熟度可塑性）。成熟度可塑性の異常は、精神疾患、認知症のモデルマウスやヒト疾患サンプルなどからも疾患横断的に得られつつある。本研究では、光遺伝学的手法で脱成熟を誘導したマウスや各種疾患モデルマウスを用いつつ、成熟度可塑性のA)機能的意味、B)分子メカニズムを解明し、C)成熟度の制御法の開発を行う。これにより、成熟度可塑性の個体レベルでの機能を明らかにする。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,未成熟歯状回,神経過活動,行動,光遺伝学,カルシウムイメージング,成熟可塑性,海馬歯状回,クロマチン構造,脱成熟,ゲノム三次元構造,成熟度可塑性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H00521,高知工科大学,竹田 真己,記憶形成を促進する睡眠中の脳回路メカニズムの因果的解明,記憶想起中に出現する周波数依存的な協調的脳活動が睡眠中にもリプレイされることで記憶固定が促進されるか検証する。本検証を行うために、高い時空間スケールの脳活動計測と脳活動の位相に合わせたclosed-loop電流刺激法を組み合わせる。記憶想起に関連する脳活動パターンの特徴を深層学習デコーディングネットワークにより同定する。睡眠中の脳活動から記憶想起脳活動パターンを検出し、交流電流刺激法による位相を合致させた外部刺激を行うことで、睡眠後の記憶想起パフォーマンスが増大するか検証する。,基盤研究(A),中区分51:ブレインサイエンスおよびその関連分野,記憶,睡眠,fMRI,EEG,tCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
