awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H04170,公益財団法人川崎市産業振興財団(ナノ医療イノベーションセンター),片岡 一則,悪性脳腫瘍の標的免疫療法を実現する脳腫瘍浸透型ナノキャリアの開発,膠芽腫は血管壁に血液脳腫瘍関門を形成しており、免疫チェックポイント阻害剤の有効性が示せていない。本研究では、膠芽腫に対して免疫チェックポイント阻害剤を効率的かつ選択的に送達できるナノキャリアの創製に取り組んだ。具体的には、免疫チェックポイント阻害剤のうち抗PD-L1抗体の抗原認識断片を高分子ミセルに封入する方法と抗PD-L1抗体そのものを親水性高分子で修飾する方法によりナノキャリアを開発した。いずれのナノキャリアも膠芽腫が形成する還元／弱酸性環境に応答して免疫チェックポイント阻害剤を放出する機能を有し、特に後者は膠芽腫に対して優れた治療効果を示しながら免疫関連毒性を回避できることが実証された。,基盤研究(A),中区分90:人間医工学およびその関連分野,ドラッグデリバリーシステム,がん免疫療法,脳腫瘍,高分子ミセル,タンパク質デリバリー,免疫チェックポイント阻害剤,血液脳腫瘍関門,還元環境応答性,リガンド分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04169,東京大学,梅田 泉,進行固形がんの治癒をも可能にする革新的内用放射線治療法／セラノスティックスの創成,全身性がんの治療を可能にする新規核医学治療/セラノステイクス製剤の開発を目指した。治療充分量の標的病巣への送達と健常組織の非特異的集積抑制のため、放射性核種（金属イオン）、配位子、DDSキャリアのリポソームを組合せて目的達成を図った。,基盤研究(A),中区分90:人間医工学およびその関連分野,ラジオセラノスティクス,核医学治療,核医学画像診断,がん治療,リポソーム,錯体,内用放射線治療,核医学イメージング,がん,radiotheranostics,内用療法,ラジオセラノスティックス,radio-theranostics,放射性核種,セラノスティックス,リポソームCu-64,HPLC分析,放射線治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04168,国立研究開発法人物質・材料研究機構,吉川 元起,呼気癌診断を実現する嗅覚センサシグナルの「マーカー特徴量」の網羅的探索と最適化,本研究では、呼気によるがん診断の実現に向けて、近年開発された嗅覚センサ「MSS」を用いて、医療機関などで大量の呼気を測定し、機械学習を駆使した解析を行った。これにより、まず再現性の高い呼気測定方法およびデータ解析方法を確立することに成功した。さらにこの手法を用いてがん患者の呼気を測定し、得られたデータを機械学習によって解析することで、高い精度でがんか否かを予測可能なモデルを構築することに成功した。,基盤研究(A),中区分90:人間医工学およびその関連分野,嗅覚センサ,呼気診断,膜型表面応力センサ（MSS）,機械学習,特徴量,がん診断,マーカー特徴量,膜型表面応力センサ(MSS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04167,九州大学,木戸秋 悟,流動性足場・曲面足場設計に基づくオルガノイドの精密誘導技術の開発,人工小臓器の芽構造であるオルガノイドを培養環境にて再現よく高効率に発生・誘導する技術と学理を開拓することを目的とし、オルガノイドの培養足場材料の粘弾性特性および形状誘導に係る曲面特性の各パラメーター効果を系統的に調べた。従来のオルガノイド作製で汎用されるマトリゲルのレオロジー特性を、追加架橋および機械的切断操作により調節しオルガノイド形成の最適動的粘弾性値を見出した。シンプルな合成高分子PEGにポリペプチドを修飾した物理架橋マトリックスを作製し、ラミニンを導入した系においてそれら粘弾性特性を設定することでマトリゲルの系よりも安定した肝オルガノイドの誘導に成功した。,基盤研究(A),中区分90:人間医工学およびその関連分野,オルガノイド,流動性足場,局面足場,メカノバイオロジー,曲面足場,動的粘弾性,メカノバイオマテリアル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04166,大阪大学,平田 雅之,頭蓋内脳波を用いた嚥下の脳機能解明とブレインマシンインターフェース,脳卒中、神経変性疾患、高齢者では高率に嚥下障害を合併し、誤嚥性肺炎の併発により死亡要因となる。しかし、嚥下に関わるヒト脳機能は殆ど解明されていない。本研究では、我々が培ってきた頭蓋内脳波の律動解析とBMIの基盤技術を活かして、ヒト頭蓋内脳波および脳磁図を用いて随意嚥下中枢が中心下野であることを解明した。また脳信号解読により、頭蓋内脳波から随意嚥下時を推定することに成功した。嚥下脳信号解読と嚥下動態シミュレーションを統合して、嚥下のBMIをシミュレーション上で実現した。嚥下障害に対するBMIの研究は皆無に近く、本研究は先駆的な役割を果たし、嚥下障害に対する画期的治療の基盤技術を確立した。,基盤研究(A),中区分90:人間医工学およびその関連分野,ブレインマシンインターフェース,嚥下障害,機能再建,頭蓋内脳波,脳信号解読,人工知能,嚥下シミュレーション,流体力学解析,嚥下,ディープラーニング,シミュレーション,嚥下機能,BMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04165,京都大学,武田 和行,光検出磁気共鳴イメージング,MRIの感度向上に資するために、オプトメカニクスを利用したラジオ周波数信号の光変換実験をMRIに応用する研究を行った。MRIシステムを自前で開発し、撮像実験を行う環境を整え、内径70mm・磁場値7テスラの超電導電磁石を用いて、直径12mmの球領域で標本・果実を対象とするMRI撮像を行うことに成功した。並行して、超伝導磁石に挿入可能な、小型のラジオ周波数ー光信号変換モジュールを開発した。また開発した検出器の限られた帯域幅にも適合する新規MRI撮像法も開発し、MRIと信号の光変換を融合させる道筋を示した。,基盤研究(A),中区分90:人間医工学およびその関連分野,MRI,NMR,オプトメカニクス,薄膜振動子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04164,京都大学,江藤 浩之,乱流依存性血小板産生機構の分子基盤の解明と生体外製造システムへの応用,"マウス生体流体解析から、血小板産生への乱流の関与を見出し、生体外血小板造血へ応用した。３L規模までの乱流刺激型縦型可動式培養槽を用いた実証研究から、血小板造血に ‘せん断ずり応力’と‘乱流エネルギー’が関与することを見出した。その結果を10L培養槽の稼働条件に反映させ、iPS細胞由来巨核球細胞株から1000億個の高機能なiPS細胞血小板産生を実現させた。また、乱流依存的血小板産生機序には、巨核球から放出されるCCL5, NRDC, IGFBP-2, MIFなどのタンパクが関与することを見出した。その後、50L培養槽において乱流パラメーターを用いた製造が可能かの実証実験を進めた。",基盤研究(A),中区分90:人間医工学およびその関連分野,血小板,巨核球,iPS細胞,乱流,せん断ずり応力,バイオリアクター,ずり応力,乱流エネルギー,細胞膜,エンドペプチダーゼ,turbulence,shear stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04163,東京工業大学,西山 伸宏,新規シェル、コア設計による次世代スマート機能型高分子ミセルの創製,本研究では、薬物送達システム(DDS)として有用性が実証されている高分子ミセルに関して、シェルとコアのそれぞれの課題を明確にし、それらを解決するための新規材料設計と機能評価を実施した。シェルに関しては、PEGに替わる新規材料として、がん細胞親和性ポリマーとpH応答性ベタインポリマーを開発し、がん集積性を飛躍的に高めることに成功した。一方、コアに関しては、タンニン酸とボロン酸基含有ポリマーの利用によって、さまざまな生理活性タンパク質を内包できる三元系高分子ミセルの調製法を確立し、内包タンパク質の血中滞留性およびがん集積性の向上、ならびにがん組織選択的な内包タンパク質の活性化に成功した。,基盤研究(A),中区分90:人間医工学およびその関連分野,薬物送達システム,高分子ミセル,生体適合性ポリマー,がん標的化,タンニン酸,ボロン酸,生理活性タンパク質,DDS,機能性ポリマー,スマートシェル,コア設計,タンパク質デリバリー,ナノメディシン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04162,東京大学,鈴木 洋史,がん分子標的薬の合理的投与設計手法の構築,本研究において、既存の大規模データベースを用い、細胞の分子情報を用いることで薬物感受性を濃度依存性も含め一定程度予測できるモデルを機械学習にて確立した。モデルの精度検証過程において、環境によって細胞の薬物感受性が異なることが実験的に確認され、環境差を考慮した改変・実装が今後の課題として見いだされた。ただし現行モデルの内部においても、定性的に既存の生物学的知見と一致する要素が学習されていることを確認しており、感受性規定因子の定性的な因子探索に活用できる。これらの結果から、がん細胞の分子基盤情報に基づいて合理的な抗がん剤を選択するためのモデルとして活用可能と考えられる。,基盤研究(A),中区分90:人間医工学およびその関連分野,細胞毒性,機械学習,システム薬理学,抗がん剤,がん,分子標的薬,副作用,キナーゼ阻害剤,in silico解析,治療最適化,投与量設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H04161,東京大学,佐久間 一郎,難治性不整脈の病態解明・診断・治療における位相分散解析に基づく戦略的制御技術開発,電極・光学マッピングの同時計測により，芦原らが開発したExTRa Mappingによる電極計測と光学計測結果の高い相同性を確認し，ExTRa Mappingの位相分散構造分析手法への有用性を確認した。Spiral Wave（SW)中心と心臓の境界間の線形領域の冷却により，SW中心を房室間溝に誘導し停止できることを，数値解析とウサギ心臓標本を用いた実験で示した。また数値解析により移動するSW中心には位相分散を生む位相不連続性が存在することを示し，理論的に位相分散の重要性を示した。さらに３次元心房モデルで洞結節からの興奮発生・伝播を数値解析で再現し，初期の発作性心房細動に類似する特徴を認めた。,基盤研究(A),中区分90:人間医工学およびその関連分野,不整脈,心房細動,カテーテルアブレーション,光学マッピング,スクロール,生体制御・機能,位相解析,生体制御・治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
