awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H03661,広島大学,吉田 和浩,途上国の前期中等教育開発における政策-実践連携に関する国際比較研究,本研究は、アジア・アフリカの教育政策-実践連携に関し、4年間（繰越含め5年）推進してきた、マレーシア、タンザニア、ザンビア、ウガンダ、ケニア、ガーナ、カンボジア、ベトナム、マラウィ、インドネシア、バングラデシュ、ベトナム、南アフリカ共和国、エチオピアの国際比較研究である。,基盤研究(A),中区分9:教育学およびその関連分野,教育政策-実践連携,アジア・アフリカ,政策-実践連携,国際比較,政策ー実践連携,学習改善,前期中等教育開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03660,神戸大学,稲垣 成哲,科学系博物館におけるユニバーサルデザイン手法の開発と実践モデルの提案,本研究では、科学系博物館におけるユニバーサル化（特に視覚障害と聴覚障害者）を実現する展示手法の開発とその実践モデルの提案を目指した。視覚障害者については、触覚と音による支援の観点から、聴覚障害者については、解説表示の観点から、また、視覚障害と聴覚障害者ともに、他者とのペアによる博物館学習の観点から検討した。①文献及び国内外の科学系博物館におけるユニバーサル化に関する訪問調査による指針の抽出、②展示手法等のデザイン策定とそのプロトタイプ作成及び実験室的評価、③実際の科学系博物館において開発展示手法による実証実験の実施を通して、具体的な展示手法と実践モデルの提案を行うことができた。,基盤研究(A),中区分9:教育学およびその関連分野,科学系博物館,ユニバーサル化,展示手法開発,聴覚障害,視覚障害,展示手法,実践モデル,科学教育,ユニバーサルデザイン,学習支援,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03659,東京海洋大学,森下 稔,境界研究の分析法を用いた国境・境界地域における基礎教育に関する国際比較研究,国境・境界の通りやすさを示す「透過性」で、東南アジア諸国間やアメリカ・メキシコ国境、フィンランド・ロシア国境を見たとき、透過性が高い時に越境通学する事例があり、透過性が低い時に教育交流や本国の教育制度に接続できる教育機関の事例があることが明らかとなった。また、国境の歴史的経緯や変動する国境の透過性によっても教育や文化に影響があること、国境地域は国内の他地域に対する比較優位性があること、国境地域の人びとによる日常的な比較教育の実践が行われていることが発見された。,基盤研究(A),中区分9:教育学およびその関連分野,比較教育学,基礎教育,国境・境界地域,境界研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03658,東京外国語大学,投野 由紀夫,CEFR準拠の外国語教育資源整備用ワークベンチの開発と評価,本研究は、「ヨーロッパ言語共通参照枠(CEFR)」準拠で日本の英語教育のために作られた CEFR-J を用いて、CEFR基盤による多言語教育システムとその構築手法を研究したものです。主たる成果物として、CEFR-Jレベル別CAN-DOリスト一式に対応付けした語彙・表現・構文等の多言語教育用言語資源を試作しその際に利用したツール類と教育用多言語コーパスを作成しました。これによりCEFR準拠の外国語シラバス構築、教材研究、テスト開発、e-learning コンテンツ 作成などに役立つ基礎資料群を整備することができ、どのような外国語でも比較的均質な外国語教育システムを作り出すことができます。,基盤研究(A),中区分9:教育学およびその関連分野,CEFR,外国語教育,コーパス言語学,ヨーロッパ言語共通参照枠,言語資源,コーパス,語彙表,シラバス,多言語教育,言語教育資源,シラバス構築,教材研究,テスト開発,e-learning,多言語教育資源,ＣＥＦＲ,言語データベース,少資源言語,自然言語処理,機械翻訳,e-ラーニング,外国語教育資源,CEFR-J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03657,東京大学,本田 由紀,大学教育の分野別内容・方法とその職業的アウトカムに関する実証研究,本研究では、日本学術会議が作成してきた「大学教育の分野別質保証のための教育課程編成上の参照基準」を質問項目化した独自の質問紙を用いて、大学最終学年在学者から卒業後３年目までを追跡調査することにより、大学の専門分野のアウトカムを把握する調査を完遂した。対象者の中で70名以上にインタビュー調査も実施した。,基盤研究(A),中区分9:教育学およびその関連分野,大学教育,社会的アウトカム,学問分野,パネル調査,習得度,専門分野,質保証,アウトカム,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03656,筑波技術大学,巽 久行,触知の向上による視覚障碍者のオブジェクト認識意識の拡充,本研究は視覚障碍者自身が環境内にあるオブジェクトの認識，状況等を把握した行動や振る舞いが行えるような情報保障支援を行うことを目標にしている。一般にオブジェクトの形状情報は言語化が難しく，例え言語化されたとしても言葉による形状伝達のみでは理解が困難なことから，二次元的・三次元的な認識意識の拡充が必要である。そこで，触力覚に頼る視覚障碍者と共創しながら，２次元ないしは３次元の基本形状を計算機内で組み合わせて作成した擬似オブジェクトに対して，仮想的な触力覚をもとに視覚障碍者の形状理解を支援するシステムを構築し，その有効性を検証した。,基盤研究(A),中区分9:教育学およびその関連分野,視覚障碍,オブジェクト認識支援,擬似オブジェクト,仮想触力覚,形状理解,距離場空間モデル,仮想物体,触知,脳活動,擬似形状生成,イメージ把握,状況把握,擬似オブジェクト生成,触力覚,行動認識,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03655,筑波大学,金子 元久,大学教育改革の動態とその規定要因,大学生32千人、大学教員8千人に対する大規模調査を行い、さらにそれを十年前に行った同様の調査と比較して、次のような知見を得た。１）日本の大学の授業はここ十年の間にかなり大きく変化しており、学生により親切になっている。2）学生の大学、授業に対する評価もより好意的になっている。３）しかし学生の教室外での学習時間が短いという問題についてはほとんど変化していない。これは教員と学生との間に、授業における学生の負担について暗黙の了解が成立しており、それが容易に変わりにくいことを示している。しかしコロナ禍に際して行った、教員に対する追加調査によれば、教員の学生への負荷への考え方には変化の兆しがみえる。,基盤研究(A),中区分9:教育学およびその関連分野,大学教育,大学教員,大学生,高等教育政策,大学教育改革,大学教育政策,コロナ禍への対応,高等教育,学生,大学改革,大学組織,大学生の学修,大学授業改革,大学生の学修時間,大学経営,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03654,筑波大学,濱田 博文,校長のリーダーシップ発揮を促進する制度的・組織的条件の解明と日本の改革デザイン,本研究は、校長のリーダーシップ発揮の促進要因を、制度的・組織的条件に焦点づけて解明することを目指した。国内の質問紙調査および校長ならびに地方校長会の役員経験者等へのインタビュー調査の結果から、リーダーシップ実践についての校長自身の願望と実際の間の差異、それを支える要因の内容などについて考察した。とくに、支援要因は「専門職的交流」「学問的交流」「教育行政指針」「情報メディア」という4つに類別されることが明らかになった。海外調査からは、校長任用以前からの系統的な職能開発プログラム、校長の専門職団体による組織的な研修など、各国・地域固有の文脈に基づく支援策が明らかになった。,基盤研究(A),中区分9:教育学およびその関連分野,学校の自律性,校長のリーダーシップ,学校組織,専門職団体,システムアプローチ,校長会,学校経営,国内調査,海外調査,制度的条件,組織的条件,自律的学校経営,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H03653,筑波大学,竹田 一則,大学における合理的配慮と支援モデルの最適化に基づくニューロダイバーシティの実現,本研究の成果として、システマティックレビューの実施や現地視察を通じて、ニューロダイバーシティ(neurodiversity：以下、ND)の概念整理を進めることができた。そして、学生生活上の困難感を評定する「困りごと質問紙」を作成し、妥当性の評価を行った。また、ND学生、特に発達障害の診断のある学生の合理的配慮に関する調査を行い、現状を明らかにした。さらに、ND学生の就職・キャリアに関する状況を整理するとともに、卒後の社会参加についての問題等を明らかにした。加えて、ND学生支援における学生サポーター育成に関する具体的な取組と調査を行い、関係要因を明らかにするとともに、研修体制を整備した。,基盤研究(A),中区分9:教育学およびその関連分野,ニューロダイバーシティ,発達障害,高等教育,合理的配慮,就労・キャリア支援,アセスメント,障害学生支援,共生社会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H00627,大学共同利用機関法人人間文化研究機構国立国語研究所,野山 広,基礎教育を保障する社会の基盤となる日本語リテラシー調査の開発に向けた学際的研究,本研究では、現在の社会状況や多様な言語・文化背景を持った日本語使用者が共存・共生する時代に応じた（約70年ぶりの）日本語リテラシー調査（主に読み書きの力に関する調査）の実施に向けて、調査方法の開発を目指す。そのために、以下の１）～３）の実態調査（国内外）、コーパス構築、学際的な観点（基礎教育保障学、日本語教育学、生涯学習論、統計科学、異文化間教育などの多様な分野）からの分析・検討、国際シンポジウム等を実施するとともに、調査の在り方（方向性）や姿勢の追求（追究）、調査方法の開発、試行調査を行う。,基盤研究(A),中区分9:教育学およびその関連分野,日本語リテラシー,リテラシー調査,基礎教育,日本語使用,日本語の位置付け,母語／第一・第二言語／継承語／外国語,調査方法の開発,学際的研究,縦断・横断調査,基礎教育保障学,日本語の位置付けの多様性,日本語リテラシー   リテラシー調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
