awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00672,総合地球環境学研究所,長田 俊樹,ムンダ諸語における危機言語のドキュメンテーション,本研究はインドのジャールカンド州における消滅の危機に瀕した言語(以下危機言語）のうち、ムンダ語族に属するアスル語、ビルホル語、コルワ語のドキュメンテーションを目指したものである。アスル語については、海外共同研究者であるグンジャル・イキル・ムンダがアスル民話の採集を行い、コルワ語については研究分担者の小林正人がコルワ語民話を含むコルワ語文法をある程度完成させた。ビルホル語について、研究代表者の長田が二度にわたってフィールド調査を行ったが、かなりの方言差があり、まだまだ記述途上である。今後の調査に期待したい。,基盤研究(B),小区分02060:言語学関連,危機言語,ムンダ語族,アスル語,ビルホル語,コルワ語,ジャールカンド州,ジャールカンド,ムンダ語,南アジア,ムンダ諸語,ドキュメンテーション,言語ドキュメンテーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00671,豊田工業大学,原 大介,音節構成要素の組み合わせに基づいた日本手話音節の適格性について,従来から使っていた日本手話の適格音節データベースおよび不適格音節データベースを拡充・精緻化した。タイプ３音節で利用可能な位置は、A-zoneと呼ばれる顎の下から腰までの高さの胴体およびニュートラルスペースに限られることを示した。機械学習アルゴリズムの決定木を援用し「手の構え」が不適格性因子として機能する可能性を示した。タイプ３音節形成において音節始めが韻律外となる可能性を示した。手型変化を伴う音節でもレキシコン内に基底手型１つだけが指定されており、もう一方の手型は音声手型として派生可能であることを示した。日本手話では、「手型変化の動き」や「掌方向変化の動き」でも音節核を形成できることを示した。,基盤研究(B),小区分02060:言語学関連,日本手話,音節,適格性,音素配列論,韻律外性,機械学習,決定木,音韻論,データベース,音節適格性,言語学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00670,青山学院大学,遠藤 光暁,高精細度広域地図による中国および隣接する多言語地域の地理言語学的研究,遠藤は特に中国山東省の声調およびクラ・ダイ語の数詞につき，鈴木博之はチベット語方言につき，八木は中国語のerなどの音韻特徴につき，鈴木史己は中国語の語彙につき，それぞれこれまでの地点密度を超える言語地図を相当数描画し，その形成過程に対して推定を行った。,基盤研究(B),小区分02060:言語学関連,方言,中国語,チベット語,クラ・ダイ語,地理分布,形成過程,地理言語学,言語地理学,方言学,タイ・カダイ語,漢語方言,チベットビルマ語,タイカダイ語,固有名詞学,華北,母音体系,声調体系,子音体系,言語地図,連体修飾,方言地図,ラフ語,タイ語,声調,語彙,中国語方言,音韻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00669,目白大学,時本 真吾,脳波解析による語用論的推論の実時間処理モデル構築ならびに心の理論との関わりの考察,本研究は、言語コミュニケーションにおける話者の意図理解メカニズムを実験的に検討した。言語コミュニケーションにおいて話者の意図はしばしば含意として間接的に表現され、話者の意図は発話文の文意と文脈から語用論的推論によって導かれる。本研究では日本語会話の聴覚呈示における含意理解に伴う脳波を計測し、その発生源を推定するとともに、神経活動の推移をミリ秒単位で追跡し、心の理論神経ネットワークとの異同を考察した。実験の結果、含意理解において、心の理論回路の一部である楔前部ならびに前帯状皮質の深い関わりを示すと共に、含意理解と時間情報処理との関連を見出した。,基盤研究(B),小区分02060:言語学関連,含意,間接的発話,脳波,事象関連電位,発生源推定,時間情報処理,語用論的推論,心の理論,視点取得,時間処理,文脈の検索,発話解釈,Effective connectivity,ダイポール推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00668,名古屋市立大学,佐野 直子,フランス語圏における「パトワ（patois）」概念についての歴史・地理横断的研究,本研究によって明らかになったのは特に以下の2点である。第一に、15世紀には意味不明な発声（個人や動物含む）を指示していた「パトワ（patois）」概念が、「言語（langue）」に「生きた（フランス語など）／死んだ（ラテン語など）」の区別が導入された際に、「生きた言語」の規範から外れる言語行動を名指す概念に変容し、17世紀に広く定着したこと。第二に、フランス語圏の境界地域に「パトワ」概念が拡散されようとした際、言語呼称としての固有名詞化（フランコプロヴァンサル語地域）、「方言」概念化（ベルギー）、侮蔑的呼称として拒否（カタルーニャ語地域）など、多様な受容（または受容拒否）が起きたことである。,基盤研究(B),小区分02060:言語学関連,パトワ,「言語」概念,方言,概念の歴史的変容,概念の地域差,フランス語圏,少数言語,言語観,「パトワ」概念,概念受容の地域差・越境,方言・少数言語,近代言語学,「パトワ」,方言研究,言語名の自称・他称,「恥」の感覚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00667,九州大学,山村 ひろみ,ロマンス諸語におけるテンス・アスペクト・モダリティ・エビデンシャリティの対照研究,本研究はロマンス諸語の動詞体系を特にモダリティとエビデンシャリティの観点から再分析するために、仏西伊伯葡羅英語の未来・前未来・条件法現在・条件法過去の諸用法に焦点を当て、それらの諸の「対照表」を作成した。この「対照表」を基に検討した結果、対象とする6つのロマンス諸語の未来・前未来は「事態を発話時以降に定位する」という時間的機能を共有するのに対し、条件法現在・条件法過去は、6つのロマンス諸語すべてに共通の機能を特定するのは難しかった。しかし、それらの条件法現在のモーダル用法は現在の事態に言及し、条件法過去のモーダル用法は過去の事態に言及するという特徴を共有するということは確認できた。,基盤研究(B),小区分02060:言語学関連,ロマンス諸語,テンス,アスペクト,モダリティ,エビデンシャリティ,対照言語学,対照言語研究,対照研究,テンス・アスペクト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00666,名古屋外国語大学,上田 功,自閉症を中心とした発達障害児の音韻体系の言語学・音声学的研究,本研究の目的は自閉症児の言語を他の非定型的な発達や成人の外国語訛りと比較・対照して、その特徴を浮き彫りにし、人間の言語の逸脱範囲を同定することにあった。,基盤研究(B),小区分02060:言語学関連,自閉症,言語障害,言語学,音声学,語用論,発達障害,音韻論,音声学・音韻論,言語獲得と障害,発達障害の言語体系,自閉症スペクトラム言語,発達障害の音声と音韻,幼児の逸脱発音と外国語訛り,統語論,意味論,自閉症スペクトラムの言語,日本語文法,臨床応用,自閉症スペクトラム,言語獲得,外国語訛り,自閉スペクトラム症,インターフェイス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00665,富山大学,呉人 惠,北方危機諸言語の形成プロセスの解明に向けたネットワーク強化,本研究では、日本北方言語学会を母体として、環北太平洋地域の先住民諸言語を対象に大きく２つの課題を解決すべく取り組んできた。すなわち、 ① 国際的にも日本が傑出したリーダーシップを発揮してきた北東アジア諸言語研究の一層の発展と国際化を通した、アルタイ諸語と古アジア諸語の相互影響と形成プロセスの解明、② ジェサップ北太平洋探検隊以来、注目が集められてきた北東アジアと北米の先住民諸言語の系統的・類型的相互関係の究明。,基盤研究(B),小区分02060:言語学関連,北方危機諸言語,環北太平洋域,系統と類型,日本北方言語学会,言語接触,形成プロセス,ネットワーク強化,環北太平洋地域諸言語,地域類型論,『北方言語研究』12号,『北方言語研究』特別号,『北方言語研究別冊2』,コリャーク語テキスト分析,北東アジア諸言語,北米先住民諸言語,環北太平洋地域,類型的・系統的関係,ネットワーク構築,北方危機言語,類型と系統,コリャーク語,トゥバ語・ハカス語,国際的ネットワーク強化,北方諸言語研究,『北方言語研究』,北方諸言語,アルタイ諸語,古アジア諸語,北米諸語,類型・系統的比較研究,形成プロセスの解明,ネットワーク,北方言語学会,,,,,,,,,,,,,,,,,,,,,,,
18H00664,東京外国語大学,藤縄 康弘,複合判断・単独判断に基づく「主語」相対化の文法理論構築に向けた経験的基盤研究,日本語のハとガの振舞いを例に Kuroda (1972) が言語学に導入した「複合判断」と「単独判断」という論理的対立をドイツ語学の立場から以下の 3 相で捉え直した。,基盤研究(B),小区分02060:言語学関連,ドイツ語学,定性,数量化,存在文,情報構造,言語哲学,定性と数量化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00663,東京外国語大学,新谷 忠彦,タイ文化圏に関する言語事典の編纂に向けて,タイ、ミャンマー、ラオス、中国が国境を接する一帯（タイ文化圏）は、これまで科学的な言語データが殆ど存在しない空白地帯に置かれていた。積極的な現地調査を行って、データの整理・公開を進め、29言語（内、24言語は新発見言語）のデータを公開した。特に、数多くのカレン系少数言語のデータ収集により、カレン祖語の開音節に3つの声調があったことを実証した。,基盤研究(B),小区分02060:言語学関連,タイ文化圏,カレン語,カヤン語,モン・クメール語,ワ語,歴史音韻論,スーバオ語,タイ文化圏言語事典,カレン諸語,カヤン諸語,モン・クメール諸語,ドーラン語,タオクウ語,ディクロン語,プーロン語,カブラ語,カタン語,カロンデイ語,パラウク・ワ語,カノー語,センチュム語,ラグー語,トタン語,ドーコンチョン語,ラワ語,プラン語,ナガ語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
