awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00726,龍谷大学,村岡 倫,モンゴル帝国時代の仏像新発見に伴う「草原のシルクロード」の拠点に関する総合的研究,本研究では、主に、モンゴル高原西部における「草原のシルクロード」の拠点であったハルザン・シレグ遺跡と、高原北部の釈迦院遺跡の発掘調査を含めた研究を進めてきた。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,草原のシルクロード,モンゴル帝国,仏教,ハルザン・シレグ遺跡,釈迦院遺跡,モンゴル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00725,中央大学,阿部 幸信,車服制度に基づく唐宋間の官僚機構の秩序構造とその変遷に関する新研究,礼楽制度・皇帝璽の両面から、晋南北朝期の服制が唐制に与えた影響と、唐宋間の制度の連続性・不連続性について検討を進めた。南朝に受け継がれた魏晋期の制度に、北朝により新たな要素が付加され、唐によって両者を統合した制度が確立された。唐と宋の制度には一定の差異があり、制度の背景にある理念ないし実態の変化の反映といえる部分もあるが、それと同時に、同じく唐制を継承した遼・金との差別化をはかる目的もあったとみられる。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,車駕,衣服,唐宋,官僚制,礼制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00724,学習院大学,武内 房司,中国近代の宗教間対話：「五教合一」論の登場とその歴史的背景,近代中国においては、さまざまな形で諸宗教間の対話が行われたが、注目されるのは道院や同善社などの新興宗教団体が唱えた儒教・仏教・道教に加えてキリスト教やイスラム教の統合を説くいわゆる五教帰一論であった。本プロジェクトは、東南アジア華人社会や植民地期ベトナム、英領マラヤにおける宗教運動を具体的事例としてとりあげ、中国本土の宗教運動との連続性やその独自性にも留意しながら検討を加え、五教帰一論に代表される宗教的ユニヴァーサリズム論が登場する歴史的背景を明らかにした。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,五教帰一論,三教合一運動,道院,先天道,マレーシア,ベトナム,五教合一,宗教ユニヴァーサリズム,同善社,儒教運動,カオダイ教,中国近代史,宗教,宗教史,華人史,キリスト教,中国近現代史,東南アジア史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00723,広島大学,舩田 善之,前近代中央ユーラシアの南北交通システムの総合的研究,本研究では，前近代の中央ユーラシアにおける南北交通の実態，及び当該地域の諸集団による交通システムの構築・維持への主体的な関与のあり方を考察した。具体的には，モンゴル高原と中国本土との間，中国本土とチベットとの間，中央アジアの天山山脈南北，中央アジアと南アジア北部との間の南北交通について，史料とフィールド調査に基づき，交通路とその拠点とそれらの制度・機能・構造を解明した。本研究の成果により，交通の在り方を通時代的に理解し，共通する要因と各々の時代に特徴的な要因を探ることが可能となった。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,中央ユーラシア,モンゴル,ステップ,ゴビ,チベット,天山山脈,交通史,南北関係,中央アジア,ムザルト峠,マンチュリア,サハリン,交通,前近代,駅伝制,隊商,遊牧民,匈奴,パキスタン,ギルギット,フンザ渓谷,カシミール,青海,唐,突厥,清,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00722,京都大学,高嶋 航,帝国日本と東アジアスポーツ交流圏の形成,従来、東アジアのスポーツ史研究がナショナルヒストリーとして展開してきた結果、帝国時代の日本のスポーツ、さらには帝国崩壊後の東アジアのスポーツが全体としてとらえられてこなかった。また、満洲は日本、中国双方のナショナルヒストリーから排除され、近年まで研究の対象となることがなかった。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,帝国日本,スポーツ,満洲,東アジア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00721,東京学芸大学,田中 比呂志,村落档案史料を用いた近現代中国華北農村社会史像の再構成,本研究は、主に中国・華北の山西省の村落档案を利用して、さらに他の文献史料や農村聞き取り調査を交えて、1949年前後から2000年代の中国農村社会の動向を検討することによって、名も無き民衆が政治変動や、経済変動を受け止め、それに対応してきたのか、農村社会の凝集力や人間関係がどのように変化してきたかを検討・考察することであった。コロナウィルス蔓延に伴う研究環境の悪化によって、第2年目以降は、訪問調査の実施はかなわなかったが、それに代えて大型の中国農村調査、社会調査史料を購入して、分析をした。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,村落档案,華北農村,山西省,中国農村社会史,農村訪問調査,档案史料,中国農村社会,民間所蔵史料,村落档案史料,村落トウ案史料,集団化時期,地方文書,民間所蔵文書,華北農村社会,国家と社会,農村調査,民間所蔵史資料,山西,農村社会,毛沢東時代,中国現代史,近現代中国,華北,農村社会史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00720,東京大学,佐川 英治,東アジア史における「古代末期」の研究,本研究の目的は、3～8世紀の東アジアが、漢帝国が崩壊したのち、古典の継承と変容のうえに多元的な中華世界が現れてくる時代であったことを明らかにすることにある。そのために、①4、5世紀を転期とする中国社会の変容、②3～8世紀における中国文化の伝播と中心の拡散、③3～8世紀の中華の多様性と東アジアでの受容、④3～8世紀における仏教の浸透と中華の変容、⑤ヨーロッパの「古代末期」と東アジアの比較、の5つテーマに沿って研究をおこなった。その結果として、3～8世紀の東アジアが西欧の「古代末期」に相当する独特の性格を持った時代であることを明らかにした。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,中国史,東アジア史,古代末期,古代史,魏晋南北朝隋唐,東アジア,魏晋南北朝,古代中国史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00719,北海道大学,佐藤 健太郎,13-15世紀におけるアラビア語文化圏再編の文献学的研究,アラビア語を共通語として営まれる知識人活動の空間をアラビア語文化圏として捉え、13世紀以降に再編されたその諸相について検討を加えた。その際、イブン・ハルドゥーン（1406年没）とウマリー（1349年没）という14世紀の二人の知識人についての研究を軸とし、宗教諸学の知識と書記官僚の技能との関連を明らかにするとともに、マシュリク地域とマグリブ地域の二つから構成されるアラビア語文化圏の一体性と多様性について、様々な事例研究を積み重ねることができた。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,アラビア語文化圏,イブン・ハルドゥーン,ウマリー,ウラマー,文芸共和国,知識人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00718,北海道大学,吉開 将人,1949年前後の西南中国民族エリートの覚醒と帰趨に関する史料批判主義的再検討,本科研は、西南中国の民族エリートたちが、中華人民共和国建国に前後していかなる社会的現実の中を生き、それによっていかなる政治的選択をするに至ったのかという問題について、歴史学的に解明を試みることを目的とした、学術的な研究プロジェクトである。吉開は、彝族エリートの楊砥中についての研究を完了し、同時に鳥居龍蔵による苗族・彝族調査資料を近代史研究史料として用いた研究を試み、それぞれを成果として発表した。松本・川田・清水は、回族・チベット族・彝族について成果を発表、あるいは発表に向けた準備を終えた。岩谷は、政治史・軍事史の専門家としての立場から吉開らの研究に助言を与え、自らも関連成果を発表した。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,中国,歴史,近現代,民族,西南中国,民族エリート,少数民族,近現代史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01327,大谷大学,松川 節,モンゴルの世界遺産ブルカン・カルドゥン山に関する歴史文献学及び文化遺産学的研究,2015年にユネスコ世界文化遺産に登録されたモンゴル国の「大ブルカン・カルドゥン山」は，13世紀にモンゴル帝国を創建したチンギス・カンの生誕地かつ埋葬地と見なされている。チンギス・カンの陵墓を探す試みは，1990年代から行われてきたが，今も確証を得るに至っていない。本研究は，①大ブルカン・カルドゥン山とチンギス・カンを結びつける歴史資料及び現地伝承を博捜し，チンギス・カンの陵墓所在地について歴史文献学的な結論を提示し，②大ブルカン・カルドゥン山の保存・保護，観光マネジメントに関して文化遺産学的研究を行い，③この貴重な遺産を過去から未来へといかに継承していくかを共同研究によって明らかにする。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,大ブルカン・カルドゥン山,チンギスカンの陵墓,ユネスコ世界文化遺産,モンゴル帝国,文化遺産学,チンギス・カンの陵墓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01326,日本大学,加藤 直人,清代「内陸アジア交易ネットワーク」の形成・展開と文化変容における歴史的特徴の解明,本研究は、北アジア・東北アジアにおける個々の交易ネットワークが、如何にして一体的な広域ネットワークに発展したのかを、文書資料解析だけでなく現地調査により得られる様々な情報から検討することで、明らかにしようとするものである。それは、従来の広域ネットワーク論が、各地域の言わば単純総和的な枠組みで提示されてしまい、そもそも広域ネットワーク化した際に個々の地域の個別ネットワークが如何なる変容を被ったのか、あるいは個々のネットワークが広域ネットワーク全体に如何なる影響を与え、それが広域ネットワークに如何なる変容をもたらすものだったのかを十分明らかに出来ていなかったことの克服を試みるものでもある。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,内モンゴル,旅蒙商,内陸華僑,交易ネットワーク,中国東北,韓辺外,清朝,内陸アジア,百霊廟,満洲,チベット,モンゴル,青海省,吉林,東北アジア,多言語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01325,日本大学,須江 隆,南宋・洪邁『夷堅志』の史的研究活用に向けた史料性及び全容の解明と情報ツールの構築,本研究は南宋時代の筆記史料『夷堅志』に着目し、その史料性及び全容の解明と、史的研究への活用の便をはかるための情報ツールの構築を目的とする。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,夷堅志,南宋,洪邁,史料論,史料活用,訳注,中国近世社会,国際共同研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01324,東洋大学,西村 陽子,シルクロード遺跡の再発見：デジタル史料批判に基づく遺跡照合と地理学情報基盤の構築,本研究は、申請者らが提案する「デジタル史料批判」という手法を用いて20世紀初頭のシルクロード探検隊が残した地図・平面図・古写真といった様々な空間情報を持つ画像資料を定量的に解析することで、所在不明となっていた探険隊調査遺跡を系統的に解明し、これまで相互参照されることなく蓄積されてきた欧州・日本と現代中国の考古学・歴史学研究の成果を統合する地理学情報基盤を作成することを目的とする。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,内陸アジア,シルクロード,歴史地理,情報学,GIS,遺跡,古地図,遺物,データベース,アジア史,中央アジア史,歴史地理学,人文情報学,中央アジア,黄文弼,スヴェン・ヘディン,ルートマップ,Mappinning,地名データベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01323,中央大学,新免 康,近現代中央ユーラシアにおけるタタール人ディアスポラと社会・文化変容,本研究課題は、ロシア帝国・ソ連領－中国（清朝～中華民国～中華人民共和国）新疆間の越境移動を軸に、中央ユーラシアにおけるタタール人のディアスポラ、すなわち交易活動・宗教的活動や、政治的・社会的変動にともなう移動・移住と、各地域での多様な活動に焦点を当てることを通して、19世紀後半から20世紀後半の期間における中央ユーラシアの社会・文化変容の様相を明らかにするものである。タタール人たちは、広域的な移動・移住を通して、境界をまたいだ諸地域の多様な集団を結びつける役割を担ったと考えられる。このような視点に立脚し、広域的な移動・移住の動態の中で、新たな中央ユーラシア近現代史像の提示を目指す。,基盤研究(B),小区分03030:アジア史およびアフリカ史関連,中央ユーラシア,タタール人,ディアスポラ,中央アジア,新疆,社会・文化変容,移動・交流,ムスリム社会,社会文化変容,近現代史,越境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01322,慶應義塾大学,太田 淳,植民地期東南アジアにおける気候変動と社会変容―人文歴史気象学の創成,"本研究は, 過去の気候変動に対し人間社会がどのように対応してきたかを検討することによって, 近代東南アジア史を再考する。蘭領東インド, スペインおよび米領フィリピン, 英領ビルマ・マラヤ・シンガポールに関する歴史気象資料の分析から, 1870年代から1940年の期間にどのような異常気象(洪水, 旱魃, 台風, 多雨, 少雨など)や中長期的な気候変動(温暖化など)が存在したかを確かめる。ついで植民地の諸資料から, 異常気象や気候変動に対し政府がどのような対策を取ったか(治水対策や都市計画など), 住民がどのような対応を取ったか(移住, 生業・農産物品種の変更など)を検討する。",基盤研究(B),小区分03030:アジア史およびアフリカ史関連,植民地期東南アジア,気候,降水,洪水,農業,植民地期,異常気象,東南アジア,降水量,疫病,政策,植民地,治水,都市工学,歴史気候,環境,降雨,台風,都市計画,歴史気象,都市,都市形成,気候変動,植民地統治,植民地経済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
