awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00732,久留米大学,池口 守,エルコラーノの都市システム研究 ー下水道からみる都市計画と日常生活ー,エルコラーノ Cardo V 地下の下水道から採取された動物遺存体の分析から，この都市での動物利用と食生活の重要な側面（豚肉の消費等）が明らかになった。ほぼ全ての街路，郊外浴場の浴槽とガラス窓，モザイク・アトリウムの家のモザイク床と木製格子においてレーザー実測を行い，それぞれの構造や容積に関する貴重な知見を得た。上階トイレから下水道へと繋がる排水管の存在も，古代都市の給水・排水システムに関する考察に重要な意味をもつ。またエルコラーノとの比較を念頭に，オスティアにおけるグラフィッティの悉皆調査を行い，解釈の変更，新出グラフィッティの発見などの成果を得た。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,エルコラーノ,ポンペイ,下水道,動物考古学,レーザースキャン,グラフィッティ,トイレ,オスティア,落書き,港湾,エルコラーノの下水道,3次元デジタル撮影,浴場・トイレ,グラフィティ,獣骨,港湾システム,ヘルクラネウム保存プロジェクト,サレント大学,レーザー測量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00731,早稲田大学,甚野 尚志,中近世キリスト教世界における宗教と暴力－対立と和解のポリティクス－,忠近世のキリスト教世界を対象にして、キリスト教、イスラーム教、ユダヤ教などの諸宗教が、現実の国家や社会との対立から生み出す暴力をめぐる諸問題について、中世のイベリア半島での「レコンキスタ」の問題、近世の宗教改革期の問題、近世の魔女狩りの問題、十字軍の問題など幅広く地域ごと時代ごとテーマごとに探求した。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,中近世ヨーロッパ,キリスト教世界,暴力,中世ヨーロッパ,近世ヨーロッパ,レコンキスタ,異端審問,暴君放伐論,キリシタン,宗教,キリスト教,中世,近世,十字軍,魔女,教皇庁,西洋史,教会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00730,成城大学,中野 智世,近代ヨーロッパにおけるカトリシズムの変容と持続をめぐる社会史的考察,本研究の目的は、近代ヨーロッパ社会における宗教性のあり方を、カトリシズムを例として歴史的に検討することにあった。その際、特に着目したのは、宗教的心性や世界観が醸成される私的な生活領域である。分析の結果、明らかになった点は以下のとおりである。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,西洋史,カトリシズム,宗教,社会史,近代ヨーロッパ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00729,神戸大学,青島 陽子,ロシア帝国末期におけるナショナリズムと帝国統治構造の変容：西部境界地域を事例に,本研究の成果の主要なものは、2018年・2019年の国際シンポジウム（ヴィルニュス）、2019年第10回スラブ・ユーラシア研究東アジア学会（東京）、2019年スラヴ・東欧ユーラシア研究会（ASEEES）（サンフランシスコ）、2021年第10回国際中欧・東欧研究協議会 (ICCEES)（オンライン）、2020年・2022年ロシア史研究会大会での研究報告（オンライン・東京）での研究成果報告である。これらの研究活動を通じて、20世紀初頭、ロシア帝国が国制改革を進めるなか、西部境界地域で高まる民族・社会的衝突に対して、明確な民族政策を提示できず、対応に苦慮する様子を具体的に明らかにした。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,帝国,ナショナリズム,ロシア,中東欧,近現代史,ネイション,ロシア帝国,宗教,エリート,歴史,民族問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00728,京都大学,小野澤 透,「アメリカの覇権的秩序」に代わる戦後世界秩序像の探求：Ｊ・Ｆ・ダレスを焦点に,本プロジェクトは，「アメリカの覇権」という概念に立脚した既存の分析枠組みとは異なる形で，20世紀中葉に出現したアメリカを中心とする世界秩序を把握する方途を探った。「覇権的秩序」に代わる新たな包括的な枠組みを提示するには至らなかったものの，メンバーの個別研究においては，アメリカのパワーの限界に着目し，戦後の国際的な制度や枠組みが同盟国その他との交渉を通じて形成されていく過程を明らかにし，あるいは，トランスナショナルな国際社会におけるいわゆるソフト・パワーの影響を検討すること等を通じて，「アメリカの覇権」を相対化することの重要性を示した。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,冷戦,アメリカ合衆国,外交,ジョン・フォスター・ダレス,アメリカ外交,国際関係,ジョン・Ｆ・ダレス,アメリカ,ジョン・F・ダレス,ジョン・フォスターダレス,外交史,冷戦史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00727,北海道大学,長谷川 貴彦,サッチャリズムの歴史的前提　民衆的アーカイヴの構築による1970年代の再検討,本研究は、戦後イギリス史の分水嶺を形成するサッチャリズムの前提となる1970年代の状況を「下からの」アプローチによって明らかにしようとした。とりわけ、「民衆的個人主義」をキー概念に独自の検討をおこなった。それは、戦後福祉国家のなかで自己決定権を高めてきた民衆レベルでの個人主義であり、この意識がサッチャリズムによって大衆資本主義へと変容していったという問題意識に基づく。具体的には、若者文化（サブカルチャー）、移民、女性、教育・貧困問題などをとりあげて、1970年代という転換期のアモルファスな社会意識を、オーラルヒストリーやエゴドキュメントなど民衆的アーカイヴを活用することによって明らかにした。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,サッチャリズム,1970年代,民衆的個人主義,エゴドキュメント,主観性,エゴ・ドキュメント,戦後イギリス史,オーラル・ヒストリー,社会史,現代史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01333,立教大学,浦野 聡,古代末期～中世におけるTlos市領域の流通インフラと農耕・居住区域の復元,ローマ帝国からビザンツ帝国への移行期は、アラブ・イスラム勢力が地中海に進出してきた7～8世紀に画される。それは、まさしく古代から中世への転換期でもあった。そうした時代の転換がひとびとの生活や物質文化にどのような影響をもたらしたのか。そのことを、大きな社会構造の変化との関連で解明するためには、ローマ時代からビザンツ時代にかけて、比較的安定した国際情勢の中で生活を紡いでいたひとびとの居住地域に焦点を当てるのが適切であり、トルコ南西部、クサントス川中流域は格好の調査対象たる資格がある。特に未調査の、内陸流通ネットワークと居住区画の地理学的、歴史学的、建築学的調査を行う。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,古代末期,ビザンツ帝国,アラブ侵入,気候変動,流通ネットワーク,生業形態,都市的居住,エコシステム,湖底土壌分析,城壁,集落,地域交通網,橋梁,川港,花粉・珪藻・胞子化石,生態史,古河川,土壌コア,環境史,湖底土壌,河川舟航,史的環境変化,港湾施設,花粉・珪藻・胞子分析,ビザンツ期,居住区域,歴史的エコシステム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01332,日本女子大学,北村 暁夫,近現代ヨーロッパの強制移住者の生存戦略とネットワーク形成に関する比較史研究,本研究は、18世紀から20世紀にいたる近現代ヨーロッパにおいて、戦争や国家・社会による迫害などによって空間的な移動を強制された人々を対象とし、こうした人々が移動の過程で自らの生存を賭して行った選択（これを本研究では生存戦略と呼ぶ）を明らかにした上で、生存した人々が移動の過程において、あるいは移動先において形成した人的ネットワークの実態を明らかにするものである。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,難民,移民,ヨーロッパ,戦争,ネットワーク,支援組織,比較史,強制移住,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01331,駒澤大学,佐々木 真,戦争の「歴史化」を考える―「戦争の消費」と戦争認識の変化,「歴史のなかで戦争がいかに作り出されたのか」という問題を設定し、「戦争の消費」という分析視角を用いて、戦争理解や戦争認識が歴史的にいかに形成・変化したのかを考察する。具体的には個人や集団の戦争体験、メディア、博物館や記念碑を研究対象とする。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,ヨーロッパ史,軍事史,戦争,記憶,パブリック・ヒストリー,博物館,記念碑,サブカルチャー,記念館,公共史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01330,大阪大学,藤川 隆男,オーストラリアの世論形成の歴史的解明：自然言語処理による公開集会データの分析,公開集会は、C.ティリーらによって市民的公共圏誕生の鍵であり、19世紀西欧の世論形成の主柱だとされたが、歴史的なシステムとしての分析は十分とは言えない。本研究は、オーストラリアの新聞データベース上のすべての公開集会の資料を使い、情報系研究者と連携し、データを集積・分析して、1838-1954の世論形成の構造を、オーストラリア全国に関して長期的に解明する。これによって、公開集会の実際の姿や、世論形成とその社会ネットワークの実態を明らかにする。また、本研究はデジタル・ヒストリーの最先端に立ち、この研究手法を応用すれば、検証できる資料の量（ビッグデータ）を幾何級数的に増大できる可能性が開かれる。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,パブリック・ミーティング,公共圏,オーストラリア史,自然言語処理,世論形成,社会運動,新聞,長期構造,公開集会,デジタル・ヒストリー,民主主義,世論,Trove,市民的公共圏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01329,東京外国語大学,小田原 琳,アルペン・アドリア地域を範例とする境界化の権力に対する住民の戦略的実践の研究,冷戦の終結とグローバル化の進展とともに、政治的秩序という観点において国境の重要性は逆説的に注目を浴びている。歴史叙述における国民国家という既存の単位も疑義に付され、空間を囲い込み移動を管理する「境界化」の権力、境界を超える「透過性」の条件に関する議論を歴史的に叙述することが求められている。本研究は、境界変動の激しい地域で、住民がどのように事態に対応し、どのような記憶を蓄積したか、そこにどのような力が働いたかを、ローカルおよびトランスローカルなレベルで明らかにすることを目的とする。,基盤研究(B),小区分03040:ヨーロッパ史およびアメリカ史関連,西洋史,境界地域,記憶,境界,国民国家,ヨーロッパ,ジェンダー,戦略的実践,国民,戦争,国民化,歴史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
