awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00752,独立行政法人国立文化財機構奈良文化財研究所,松村 恵司,和同開珎の生産と流通をめぐる総合的研究,本研究は、全国の和同開珎出土遺跡（784遺跡、出土総数6362点）の正確な分布図を古代の国単位に作成し、駅路、駅家、国府などとの位置関係から、和同開珎出土遺跡の性格を探り、古代銭貨の流通が都城と畿内周辺国に限られたとする従来の通説的理解の検証を試みた。その結果、和同開珎出土遺跡が駅路沿いに分布する傾向が明確になり、畿外における銭貨流通が駅路沿いに展開した可能性が高まった。,基盤研究(B),小区分03050:考古学関連,出土銭貨,和同開珎,無文銀銭,富本銭,貨幣史,貨幣経済,流通銭貨,鋳銭,考古学,経済史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00751,独立行政法人国立文化財機構奈良文化財研究所,難波 洋三,松帆銅鐸発見を契機とする銅鐸論の再構築,松帆銅鐸の正報告書である『松帆銅鐸調査報告書Ⅰ』と『松帆銅鐸調査報告書Ⅱ』の刊行に貢献し、松帆銅鐸と舌に関する客観的で精度の高い情報を公表できた。また、銅鐸と舌に付着していた植物の14Ｃ年代測定によって、古式の銅鐸は弥生時代中期末以前に埋納された可能性が高まったが、これを踏まえて銅鐸の埋納論の再検討をした。さらに、銅鐸の起源に関する論文、近畿式銅鐸と三遠式銅鐸の成立過程に関する論文などを発表し、銅鐸の型式学的研究に貢献した。このほか、これまでなされていなかった古墳時代中期と隋～唐代の銅鏡の鉛同位体比分析とＩＣＰ分析を行い、古墳時代以降の青銅の原料金属の流通を解明するためのデータを入手した。,基盤研究(B),小区分03050:考古学関連,銅鐸,銅舌,多数埋納,同笵,松帆銅鐸,鉛同位体比分析,ＩＣＰ分析,銅鏡,ICP分析,弥生時代,成分分析,埋納,松帆遺跡,東海派,千石コレクション,青銅器,鉛同位体比,東奈良遺跡,持田古墳,鋳造欠陥,古地形復原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00750,奈良県立橿原考古学研究所,清水 康二,佐波理製柄鏡の総合調査をもとにした佐波理製作技術の起源に関する研究,"錫の豊富な中央アジアが佐波理製作技術の起源地と予想していたが,インドの巨石墓出土品の年代が本当に紀元前1千年紀前半であるのなら、ウズベキスタンは、佐波理製作技術の起源地とは考えにくい。インドの金属器の分析によると、佐波理（二元系高錫青銅器）は存在するが、その占める割合は必ずしも高くなく、典型的な佐波理製作技術の要素が変容していることがわかる。インドでは錫原料の入手が困難であることから、制限された技術が使用されたものと考えた。佐波理製柄鏡の一型式は、分布範囲が広く中央アジアから東南アジアにまで広がっているが、分布の濃密な中央アジアが最有力の製作候補地である。",基盤研究(B),小区分03050:考古学関連,二元系高錫青銅,三元系高錫青銅,銅鏡,佐波理,高錫青銅,巨石文化,銅鋺,中央アジア,インド,巨石墓,東南アジア,鉄器文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00749,伊達市噴火湾文化研究所,青野 友哉,狩猟採集文化と農耕文化の接触による社会の変容と地域的多様性に関する学際的研究,本研究の目的は、狩猟採集文化と農耕文化の接触による社会変容の実態の解明である。北海道有珠モシリ遺跡の発掘調査では11体分の頭骨を含む縄文晩期の多数遺体再葬墓を検出し、人骨が上顎側切歯の抜歯と頭部の外傷を高頻度に持つことを明らかにした。これにより、九州の弥生早期に併行する時期の北海道において、埋葬方法と抜歯習俗に本州的影響を確認できたうえに、「戦闘傷痕」について今後議論できる材料を得た。,基盤研究(B),小区分03050:考古学関連,狩猟採集文化,農耕文化,文化変容,縄文晩期,続縄文期,多数遺体再葬墓,有珠モシリ遺跡,文化接触,続縄文文化,続縄文,社会変容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00748,北海道博物館,右代 啓視,北方四島と千島列島における人類活動史の考古学的研究,次のとおり総括した。①北方四島の現地調査は、択捉島16カ所、国後島94カ所、色丹島22カ所、歯舞群島の勇留島1カ所、総計133カ所の遺跡データを総括。②国内機関に保管されている千島・北方四島の考古資料のデータ化を実施。③千島・北方四島の物質文化的な連鎖は旧石器文化からはじまり、北千島ではカムチャツカの人々と文化的に融合し、続縄文文化からの狩猟採集社会の持続可能な自然環境と資源が存在していた。④旧石器文化～アイヌ文化までの長期、北海道の先史文化が主体的に存続していたことを明らかにした。⑤千島・北方四島の民族的な文化接触、あるいは中央社会との物流交易は、8世紀以降から強まることを明らかにした。,基盤研究(B),小区分03050:考古学関連,北方文化,先史文化,江戸・明治・大正,アイヌ文化,オホーツク文化,擦文文化,続縄文文化,縄文文化,古環境,物質文化,チャシ,遺跡・史跡,江戸後期の墓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00747,国立歴史民俗博物館,林部 均,官衙機構の動態からみた古代日本における境域の特質,古代日本は、その東(東北地方から北海道)と西(九州から奄美・沖縄)に境域が存在した。その統治のため、特別な官衙を設置した。国家の境域が地勢・政治・経済の上でも、本州中央とも異なる特別な地域と認識されていたからである。境域に設置された官衙は地域支配の拠点であるとともに、国家の外の世界との交渉・交流拠点であった。そのため、境域には、人・モノ・情報が集まり蓄積された。境域の官衙は、設置時期が本州中央より早く、かつ大規模な倉庫をもつものがあった。これが境域の官衙の独自性であり、境域の特徴でもあった。この独自性が古代日本を変革する源泉になったことを考古学の立場から明らかとした。,基盤研究(B),小区分03050:考古学関連,古代国家,官衙機構,境界領域,列島史,交流,秋田城跡,大宰府政庁跡周辺官衙,琉球・奄美地域,交流拠点,地域社会,官衙,国家の境域,境域,官衙機能,交渉拠点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00746,北陸学院大学,小林 正史,和食の成立過程の解明,本研究では「民族誌の比較分析に基づいて、米品種の粘り気度と主食調理法の関連についての一連の民族誌モデルを構築し、それらを参照して鍋のススコゲと形態の分析から米調理法を復元する」という方法に用いて和食の成立過程を復元した。その結果、「粘り気の弱い米品種を湯取り法炊飯により調理した弥生時代～古墳前期」から、日本の寒冷気候に適応して粘り気度が強い米品種が増すにつれて、５～10世紀では蒸し調理に転換し、中世には現代に通じる粘り気の強い品種に収斂した、という米品種交代仮説を提示した。この変化に対応して、東南アジアと類似した弥生時代から蒸し調理を重視した古代を経て中世に和食の特徴が成立したことを示した。,基盤研究(B),小区分03050:考古学関連,和食,土器使用痕,ススコゲ,米品種交代仮説,粘り気度,民族考古学,米品種の粘り気度,米蒸し,湯取り法炊飯,造り付けカマド,３Dスキャナ,炊飯実験,和食の成立,深鍋,炊飯,炊飯民族誌,和食成立過程,土器使用痕分析,韓半島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00745,東海大学,木山 克彦,大興安嶺北部両麓における古代～中世の境界域に関する考古学的研究,本研究は、匈奴、鮮卑、柔然、突厥、ウイグルがモンゴル高原で覇を称えていた時期を対象に、大興安嶺北部両麓の考古学的諸文化の再検討と現地発掘調査を行い、各時代における地域集団の様相と交渉関係、各国家からの影響の在り方、また次代への継承関係がどのようなものであったかを考古学的に提示することを目的としたものである。,基盤研究(B),小区分03050:考古学関連,大興安嶺,ウイグル可汗国,室韋,靺鞨,城郭,匈奴,土器から見た地域間交渉,鮮卑,ウイグル,唐代,考古学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00744,中央大学,小林 謙一,東アジア新石器文化の実年代体系化による環境変動と生業・社会変化過程の解明,東北地方青森県・宮城県、中部地方長野県、山梨県、関東地方千葉県、東京都の遺跡出土土器付着物の測定を国立歴史民俗博物館坂本分担者や、東京大学年代測定室米田分担者と共同で行い、レポートを公表した。,基盤研究(B),小区分03050:考古学関連,年代測定,炭素14年代,放射性炭素年代,酸素同位体比,年輪年代,縄文時代,ルミネセス法,安定同位体比,炭素14年代測定,先史文化の実年代化,樹木年輪酸素同位体比,年代決定法,同位体比,日本先史年代体系,考古学,新石器時代,東アジア,AMS炭素14年代,東アジア先史時代,ルミネッセンス法,酸素同位体比分析,先史考古学,縄紋文化,縄紋時代,日本先史文化,酸素同位体比年輪年代法,日本先史時代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00743,国士舘大学,沼本 宏俊,古代メソポタミア北部における歴史時代の物質文化の研究ー日本隊の発掘資料を中心にー,シリア、テル・タバンの調査で出土した古バビロニア時代から中アッシリア時代(前19～10世紀)の遺構・遺物の研究分析を行い、以下の研究成果を上げた。（１)古バビロニア土器とミタンニ土器の正確な年代を確定した。（2)中アッシリアの出土土器の編年を確立した。（3)中アッシリアの公的建物跡の変遷と築造年代を明らかにした。さらにイラク、テル・サラサート1号丘出土の古バビロニア時代の土器資料の整理分析を実施し、前19世紀初頭に年代付けられることを明らかにした。,基盤研究(B),小区分03050:考古学関連,メソポタミア,テル・タバン,アッシリア,楔形文字,古バビロニア,古代メソポタミア,歴史考古学,日本調査隊,イラク,シリア,ミタンニ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
