awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00761,独立行政法人国立科学博物館,小川 義和,GISを用いた植生管理と環境教育システムの開発による天然記念物の保護と活用,本研究では、有形無形の資源を有する国立科学博物館附属自然教育園（以下、自然教育園と表記）をモデルに、経験に基づき行われている天然記念物の植生管理の情報について、GISを活用してデータ化し、可視化する植生管理手法を開発した。また、これまでの自然教育園が有する調査研究情報を研究機関が広く利用できるように、オープンデータ化に向けて検討、評価した。さらに、可視化された植生管理のプロセスを学習できる環境教育システムを研究開発し、文化財である天然記念物の保存と活用を促す教育プログラムのモデルを提案した。,基盤研究(B),小区分03070:博物館学関連,GIS,環境教育プログラム,天然記念物,植生管理,文化財の保存と活用,デジタルコンテンツ,オープンデータ,可視化,COVID-19,文化財の保護と活用,ＧＩＳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00760,国立民族学博物館,日高 真吾,教育資源・観光資源としての地域文化遺産の活用と保存,本研究課題は、日本列島各地で継承されている地域文化を地域で学ぶための教育資源として活用するためのモデルの構築を目指したものである。また、地域住民が主体となって観光資源として活用するための方法論について考察した。その結果、地域博物館の展示内容をベースとした教育キットの開発をおこなった。また、視覚障害者、聴覚障害者が健常者と同等の展示情報が取得できるための展示ツールの開発をおこない、3つの教育キットの製作と5つの展示キットの開発をおこなった。今後は、これらの教育キットを学校教育で運用していきたいと考えている。また、展示キットは、博物館での本格運用を目指した活動を展開したいと考えている。,基盤研究(B),小区分03070:博物館学関連,保存科学,地域文化,地域博物館,教育キット,展示ツール,ユニバーサル・ミュージアム,文化財,観光,博物館,文化活用,文化継承,博学連携,学社連携,民俗資料,資料保存,資料活用,保存修復,文化財科学,博物館資料保存論,博物館教育論,地域文化遺産,地域文化財,博物館教育,地域,教育資源,観光資源,文化財保存,博物館教育パック,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01367,独立行政法人国立文化財機構奈良国立博物館,宮崎 幹子,明治時代の文化財保護法制と帝国博物館の成立に関する総合的研究,わが国の文化財保護法制は、明治時代初頭に基礎が築かれ、制定から150年近くが経過した。しかし、その歴史的意義や変遷の過程は充分に顧みられてこなかった。特に明治22年に設置された帝国博物館と同30年制定の古社寺保存法は、宝物の寄託や修理などに関して密接な関係が認められるが、それについて議論がつくされているとはいい難い。そこで本研究では、奈良国立博物館が保有する史料の整理と目録作成、翻刻をおこない、社寺からの文化財の移動の詳細を明らかにする。そしてこれを方法として、文化財保護法制と帝国博物館成立の様相、なかでも近代的な文化財保存概念の確立過程の解明を目指す。,基盤研究(B),小区分03070:博物館学関連,古社寺保存法,文化財保護,神仏分離,廃仏毀釈,仏教美術,宮内省,帝国博物館,帝国奈良博物館,博覧会,近代,文化財保護法制,美術史,吉野,仏像,明治時代,近代建築,設計図,工事録,博物館史,奈良国立博物館,東京国立博物館,文化財写真,国宝保存法,文化財保護法,歴史資料,古写真,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01366,兵庫県立大学,三橋 弘宗,自然史標本の汎用化と収蔵展示技法の体系構築,自然史系博物館に収蔵されている標本は、「館内展示」と「収蔵」に二極化された活用方法しか想定されないことが多い。常設展示では来館者を増やすような著名で大型で美麗なものを、収蔵庫では保管重視で利用者を限定した学術利用に傾倒している。この状況を革新するため、①利活用が容易な標本保存技術の開発、②標本を利活用した演示プログラムの開発と事例収集、③新たな収蔵保存技術の開発、④歴史的建造物を活用した移動展示技法の確立、について実証実験を行い、収蔵資料の汎用化を推進するための体系構築を行い、実践的な「博物館資料論」のオープンな教科書を作成する。,基盤研究(B),小区分03070:博物館学関連,自然史博物館,保存科学,デジタルアーカイブ,アウトリーチ,移動博物館,標本作成と活用,博物館資料論,博物館展示論,自然史標本,移動展示,樹脂含浸,生態系管理,博物館ネットワーク,データベース,展示,博物館学芸員課程,生物多様性,収蔵保存,環境教育,デジタル化,博物館学芸員過程,高精細デジタル化,収蔵保存技術,博物館学テキスト,人工知能,歴史的建造物,文化生物多様性,資料のデジタルアーカイブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H01383,独立行政法人国立文化財機構東京国立博物館,和田 浩,輸送中の振動を受ける美術品の蓄積疲労予測システムの理論構築,展覧会への出品を主とした積極的な美術品の活用が施策される現下において、活用に伴う輸送による美術品の劣化進行の抑制技術や管理基準の確立は急務の課題となっている。申請者らは輸送機関上で生じる振動に着目し、美術品を構成する素材が長期間振動を受け続けることで破損する危険性である蓄積疲労現象の存在を検証することに成功した。,基盤研究(B),小区分03070:博物館学関連,美術品,輸送,振動,加速度,蓄積疲労,博物館,文化財,保存科学,梱包,屏風,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H01382,金沢大学,高田 良宏,研究室データの早期公開を加速する「逐次公開」型運用モデルの確立と複数分野での実証,国の指針であるオープンサイエンス(以下「OS」)を推進するには，ビッグデータ，コレクションデータだけでなく，ロングテールデータと呼ばれる，研究室，所蔵庫等に蓄積されている未公開の多種多様かつ膨大な数の研究資料(以下「研究室データ」)の公開が急務である．本研究では，OS推進に欠かせない研究室データの早期公開・早期利用(所在の把握⇒ニーズの把握⇒再利用可能⇒再利用促進)を可能とする運用手法・研究手法を提案することである．実現手段として，「逐次公開」と名付ける従来の研究成果公開と異なる新しい運用モデルを確立し，研究室データの早期公開を加速させる運用手法の提案・研究手法の検討を行う．,基盤研究(B),小区分03070:博物館学関連,研究室データ,地域資料,早期公開,逐次公開,萩田耕造所蔵岩谷堂伊達家文書（南鱗文庫）,学校資料（江刺地域の閉校された小学校７校の資料）,人首文庫・佐伯家文書,研究データ,ロングテールデータ,オープンサイエンス,データリポジトリ,下飯坂権三郎関係文書,荻田家文書,発生源入力,岩谷堂伊達家文書,郷古家関係資料,タグ管理システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H01381,東京大学,佐々木 猛智,博物館資料の3Ｄ形態学：形状認識の定量化、高精度化、および展示公開への活用,博物館の標本を利用する研究は標本の形態の識別や分類に関係している。しかし、研究者がどこに注目して形を識別してきたのか着眼点が明確に説明されてこなかったことも多い。そこで、本研究では3Dデータ を定量化することで、形に関するあらゆる分野の研究に応用すること、そしてその成果を展 示公開事業に活用することを目指す。本研究の対象は考古学、文化人類学、古生物学、動物学、植物学と広範囲に渡り、各専門分野の知識を活かした、文理融合型の研究を推進する。,基盤研究(B),小区分03070:博物館学関連,博物館学,形態学,博物館資料,博物館,3D化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20540,公益財団法人元興寺文化財研究所,川本 耕三,保存処理に起因する出土木製品の強度低下について　ー調査と対策ー,水浸出土木材が数多く出土する日本では、含まれる水分を段階的に薬剤に置き換え安定な状態にするさまざまな保存処理法が実施されてきた。ところが保存処理した出土木材をＸ線ＣＴ等で調べると、外見上わからない亀裂や空洞が見つかる例があった。,基盤研究(B),小区分03070:博物館学関連,保存処理,出土木製品,エックス線,実態調査,劣化,収蔵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20539,岡山理科大学,武山 智博,鳥類標本の羽から探る生態と種分化,博物館等に収蔵されている生物標本は，分類学や過去の生息地の解析等に不可欠であるが，学術的な利用目的は限られている。近年，新たな標本の活用方法として，遺伝的多様性の復元などが模索されているが，標本の損傷を最小限に留める制約上，応用範囲は限定的である。本研究では，1)鳥類標本の学術的価値を維持した羽試料の採取方法の確立，を基盤とし，羽試料の安定同位体分析から，2)国内に広域分布する鳥類における種内（地域間）・種間（亜種間）比較による渡り特性と食性の違い，3)南西諸島の島嶼で独自の進化を遂げた希少鳥類の種分化と食性の関係の解明，を通じ鳥類標本の新たな学術的価値の創出から実証研究の構築までを目指す。,基盤研究(B),小区分03070:博物館学関連,鳥類標本,安定同位体分析,食性,渡り,希少鳥類,安定同位体,羽試料,餌利用,栄養段階,種分化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20538,兵庫県立大学,先山 徹,帯磁率による石材同定法の確立と石材カルテの作成－西日本の広域流通石材を中心に,歴史的な石造物によく使用される、代表的な石材産地とされる地域を調査し、石材の帯磁率と岩石記載を行う。それによって石造物の石材産地同定に適用可能なデータベースを作成する。また特に考古学者や歴史学者など地質・岩石の専門外の石造物研究者がウェブサイト上で同定可能なように、それぞれの特徴をカルテにまとめる。,基盤研究(B),小区分03070:博物館学関連,石材,帯磁率,石造物,産地同定,文化地質,石材産地,花崗岩,瀬戸内地域,砂岩,中世石造物,凝灰岩,石材流通,土石流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
