awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00789,国立歴史民俗博物館,川村 清志,文化の主体的継承のための民俗誌の構築ーマルチメディアの活用と協働作業を通じて,本研究の目的は、日本の地域社会が失いつつある生活文化の諸相を持続的に継承し、活用するための基盤となる、マルチメディアを用いた民俗誌を作成することにある。ここでは文化の担い手とそれらを記録、表象する研究者が協働で地域文化の継承と活性化を目指した。そのために文字情報はもちろん、画像や動画を用いてネット上での公開も視野に入れた民俗誌実践による研究の発信を試みた。研究者と現地の人びととの対話と協働を通して、多様な価値観と視点を内包し文化の担い手が主体的に選択し、積極的に継承、活用しようとする持続的で更新可能な文化表象の構築を推進した。,基盤研究(B),小区分04030:文化人類学および民俗学関連,協働,民俗誌,文化継承,マルチメディア,映像民俗誌,映像民族誌,共創,協働の民俗誌,民俗映像,ビジュアルメディア,文化支援,サスティナブル,実践,文化の再構築,フィールドワーク,コラボレーター,画像,映像,ビジュアルエスノグラフィー,双方向メディア,データベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00788,関西外国語大学,近藤 英俊,呪術の存在様相：ナイジェリア都市住民の呪術経験に関する文化人類学研究,コロナ禍の影響で予定していた現地調査の半分しか実施することができなかったが、その中にあって現地調査、文献研究、コンファレンスの開催、執筆活動を可能な限り行った。,基盤研究(B),小区分04030:文化人類学および民俗学関連,呪術,偶然性,都市,ナイジェリア,冒険,希望,出来事,現代,妖術,家族,冒険性,都市生活,比較研究,冒険的現代,文化人類学,アフリカ,驚き,フラックス,長期的事例調査,オバンジェ,修正オボニ結社,調査準備,現地調査,ラゴス,呪術経験,呪医,教会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00787,立教大学,木村 自,中国ムスリムの超国家・超民族的ネットワークの構築と多文化共生圏の創出に関する研究,本研究をとおして、主に以下の3つの点が明らかになった。第1に、中華圏（中国、台湾、香港）に居住するムスリムや、中華圏外に居住する中国系ムスリム移民たちは、イスラームや宗教上の実践を共通の価値観として、国籍の異なるムスリムや非ムスリムと日常的生活実践をとおしたネットワークを築いており、日常の多文化主義と言いうるような多文化共生圏を構築していること。第2に、そうしたネットワークが歴史上においても、今日においても、国境を越えて拡大していること。第3に、そうしたネットワークの拡大を一つの要因として、マジョリティ社会内部の主流言説空間において、ムスリムたちが不当に排除される現象が生じていることである。,基盤研究(B),小区分04030:文化人類学および民俗学関連,中国ムスリム,移民,多文化共生圏,台湾,ウイグル族,回族,在地の論理,ハラール,多文化共生,イスラーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00786,広島市立大学,吉江 貴文,近代ヒスパニック世界における文書ネットワークの成立・展開・変容（衰退）過程の究明,本研究では、15世紀末以降、海外征服・植民地化事業に乗り出したスペイン帝国が世界規模で築いた文書ネットワークの成立・展開・変容（衰退）の過程と植民地社会におけるその実態について、文化人類学、歴史学、識字・リテラシー研究、史料論等の知見を踏まえた学際的な視点から究明を行った。とりわけ本研究では、①スペイン帝国において生産・管理された文書の物質的側面、②スペイン統治下の諸地域・機関において生産された文書の流通プロセスとそれを支えたメカニズム、③帝国の周辺世界に生きる多様な主体が果たした役割、の3点に焦点を当て、近代的集権国家・広域帝国の存立基盤について文書管理実践論の立場から明らかにした。,基盤研究(B),小区分04030:文化人類学および民俗学関連,スペイン帝国,文書ネットワーク,ヒスパニック世界,文書管理実践論,近代,リテラシー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00785,大阪府立大学,宮脇 幸生,経済開発と資源の重層的ガバナンスに関する人類学的研究－エチオピアの事例から,エチオピアにおける民族連邦制という政治システムと、開発による高度経済成長という経済面の相互依存性と矛盾を、北部ティグライ州から、アムハラ州、オロミア州、南部諸民族州にかけての政治と開発の現場を検証することで、具体的に明らかにした。政権の中枢にあるティグライ民族解放戦線に主導され、政治と経済が密接に絡まり合って成長をもたらしたティグライ州、政権の中枢から滑り落ち不満の溜まるアムハラ州、伝統文化を活性化させ、独立志向を強めるオロミア州、大規模開発が行われ現地住民が生活の場を奪われたり、そこで新たな生業を開始する南部諸民族州と、政治からの距離によって、開発の様相も異なっていることが明らかになった。,基盤研究(B),小区分04030:文化人類学および民俗学関連,エチオピア,開発,資源,重層的ガバナンス,民族連邦制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00784,長崎大学,細田 尚美,アジア系「湾岸アラブ諸国型移民二世」のシティズンシップと生存戦略の研究,グローバルな人の移動が急増する現在、国家の枠組みの中で発展してきたシティズンシップの概念が世界各地で揺らぎ始めている。本研究は、その顕著な例として、一時的滞在の外国人とその家族が多い湾岸アラブ諸国のアジア系移民二世に注目した。かれらは、シティズンシップ取得の見込みの全くない湾岸アラブ諸国も、治安や生活環境が格段に悪く、社会保障も十分整っていない親の出身国（国籍上の本国）も自分の最終的な居場所と考えられず、明確な足場をどの国にも持たない。かれらの考え方や生存戦略は一般の「移民二世」という概念でとらえきれないため、transnational generationという新たな分析概念を打ち出した。,基盤研究(B),小区分04030:文化人類学および民俗学関連,湾岸アラブ諸国,移民二世,アイデンティティ,国際高等教育,グローバリゼーション,国際労働力移動,シティズンシップ,移民受け入れ政策,グローバル化,外国人労働者,グローバル教育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00783,京都大学,岩谷 彩子,ディアスポラの記憶と想起の媒体に関する文化人類学的研究,本研究は、ユダヤ人とロマ／「ジプシー」という移動と離散を余儀なくされてきたディアスポラ共同体を例に、彼らが用いる想起の媒体を通して共同体の枠組みが想起される契機を考究するものである。彼らの想起の媒体は、それぞれが置かれた環境に応じて異なる様式を取り込みながら、あるいは過去のみならず未来の潜在的な可能性をたたみこみながら〈現在〉を創出してきた。さらに、共同体の起源やトラウマ的な出来事を一元的に想起させることの困難さを通して、想起の媒体は逆説的に他者とのつながりを生み出し、ディアスポラ共同体の生成と持続を支えていた。,基盤研究(B),小区分04030:文化人類学および民俗学関連,想起,記憶,媒体,ディアスポラ,共同体,ロマ,ユダヤ人,「ジプシー」／ロマ,転置,ジプシー,文化人類学,ホロコースト,モニュメント,アーカイヴ,音楽,ユダヤ,「ジプシー」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00782,北陸先端科学技術大学院大学,伊藤 泰信,人類学の外部から考える人類学の可変性と可能性：医学教育をめぐる協働の現場から,人類学者と医学教育者が分野横断的な協働を実践し、その協働実践をメタ考察することを通じて、社会の課題に呼応して人類学が近未来に向けてどのようにひらいていくべきかという問いを探求することが本研究の目的であった。医学教育の個別の特徴を調査し、医学生向け人類学教育プログラムの開発を推し進めつつ、医学教育をはじめとする人類学を取り巻く外部との関係において、社会における人類学という学の将来のあり方を検討した。成果として、学会発表や論文のみならず、医師・医学部生向けの人類学の教科書の出版、また、医学教育および人類学の両方への提言・報告レポート、さらに、本研究を発展させた複数の科研費研究のなどへと展開した。,基盤研究(B),小区分04030:文化人類学および民俗学関連,文化人類学,医学教育,協働,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00781,東京大学,藏本 龍介,宗教組織の経営プロセスについての文化人類学的研究,本科研の成果として、『宗教組織の人類学：宗教はいかに世界を想像／創造しているか』（法藏館、2023年3月）を刊行した。本書では、私たちが理想の生き方や世界を想像／創造する上で、「宗教」――私たちが何のために、どのように生きるべきか、他者（モノやカネも含む）とどのように関わるべきかという規範を提示する言説――が極めて重要な役割を果たしていることに注目した。そして仏教、キリスト教、イスラム教、ヒンドゥー教、そして本書で「西洋近代教」と呼ぶものを事例として、それがどのような世界を想像／創造しているかを民族誌的な描写を通じて明らかにした。,基盤研究(B),小区分04030:文化人類学および民俗学関連,宗教,組織,人類学,経営,民族誌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00780,東京大学,岩本 通弥,〈日常学としての民俗学〉の創発性―世相史的日常/日常実践/生活財生態学の国際協働,本研究は日中韓の民俗学が、もう一方の極にあるドイツ民俗学の市民運動的的実践との協働性や、その鍵概念の〈日常〉を、いかにして包摂できるのか、各国の異なる蓄積や方法を組み合わせることで、創発的にこれを検討した。韓国では普通の人びとの生活財を悉皆調査で記録化し、そこに暮らし向きを読み解く生活財生態学が盛んである。一方、中国では口承研究に特化し、生活世界や日常実践に焦点を当てる研究が強みを発揮している。これらに対し、日本の日常研究は比較的タイムスパンの長い、生活変化を捉えようとする世相史的な民俗学が発達してきたといえ、3者に接合によって、非ナショナルな、地域分権的な市民本位の民俗学への転換を志向した。,基盤研究(B),小区分04030:文化人類学および民俗学関連,日常学,民俗学,世相史的日常,生活財生態学,日常実践,ヴァナキュラー,ナラティヴ,生活変化,日常,世相史,生活実践,語り,社会ー文化,生活世界,平凡,社会変動‐生世界研究,社会-文化,暮らし向き研究,フォークライフ博物館,日常展示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
