awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00803,龍谷大学,宮澤 節生,刑事分野における弁護士活動の多様化と高度化に関する総合的分析,本研究の目的は、（1）刑事分野の弁護士活動が犯罪被害者支援をはじめとして「多様化」している状況と、（2）刑事弁護が「熱心弁護」の方向で「高度化」している状況を分析し、それらの将来的課題を検討することであった。データは、弁護士に対する各1時間半程度のインタビュー78件と、全国弁護士のランダムサンプルに対するウエブ調査への914人の回答（回答率19.6％）によって収集した。これまでの分析は、司法制度改革のインパクトに注目する視点から刑事弁護の高度化に集中しており、成果は、国際学会2回、国内学会2回、国内雑誌特集1回、国内雑誌連載1回などで公表してきた。内容の詳細は次ページ以下に記載する。,基盤研究(B),小区分05050:刑事法学関連,弁護士,刑事弁護,熱心弁護,犯罪被害者支援,都市型公設事務所,法テラス法律事務所,スノーボール法,ウエブ調査,刑事分野,面接調査,司法ソーシャルワーク,修復的司法,司法福祉,刑事立法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00802,法政大学,今井 猛嘉,刑事責任の拡散と収斂―人、法人、AI,刑事責任の拡散と収斂との観点から、自然人の刑事責任の基礎を再確認した。法益侵が自由意思により惹起された場合、他の意思形成が可能であった点をとらえて非難するとの理論が採用され、これが法人にも適用されている点が確認された。しかし法人における自由意思の措定は、ほぼフィクションである。当該フィクションは自然人の法益を保護するために有益である限り採用できるが、AIとの関係でも、AIの挙動による法益侵害を回避するための介入に際して、AIの意志的行為が想定されるならば、AIの刑事責任も構想可能である。この仮説は、伝統的な刑法理論の基礎にある自然人全能モデルからの乖離が必要となり、その実現は今後の課題である。,基盤研究(B),小区分05050:刑事法学関連,AI,自由意思,法人処罰,刑事制裁,抑止刑,法人,共感性,自動運転,責任概念,正義論,責任,法と経済学,主体の哲学的分析,主体の心理学的分析,主体の行動モデル,レベル４,社会的受容性,刑事責任,抑止効,法と心理学,法医学,損害賠償,制裁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00801,一橋大学,青木 孝之,誤判原因のシステム論的分析と誤判対策,本研究は、刑事裁判の中でも、特に公判審理の運用の状況を分析し、誤判を防ぐために必要な制度について提案を行うことを目的とするものである。中国、アメリカの刑事司法制度と比較しつつ、日本の刑事公判が現在抱える課題を抽出した。その上で、いくつかの実践と提案を行った。実践例としては、乳児揺さぶられ症候群（SBS）で誤判が疑われる事例を検討し、それに対して海外の知見を紹介した。また、市民が参加する刑事公判について、中国の刑事訴訟法研究者とともにシンポジウムを実施し、日本と中国それぞれの制度について、改善のための提案を行った。一般向けに、「裁判員裁判の現在――その成果と課題」と題する公開講座を実施した。,基盤研究(B),小区分05050:刑事法学関連,裁判員裁判,公判中心主義,誤判対策,刑事公判,誤判原因,刑事訴追,刑事司法,訴追裁量,死刑,イノセンス・プロジェクト,システム論,誤判,刑事司法制度,冤罪救済,刑事弁護,再審,検察官,事実認定,2016年刑事訴訟法改正,疑似当事者主義,精密司法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00800,東京大学,大澤 裕,犯罪の訴追・予防を目的とする情報の収集と利用に対する法的規制のあり方,本研究の成果は，以下の2点である。,基盤研究(B),小区分05050:刑事法学関連,犯罪訴追,犯罪予防,情報,プライバシー,刑事手続,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01426,同志社大学,川本 哲郎,交通犯罪予防の多角的研究―陸海空の総合的規制を目指して,陸海空の交通犯罪の予防に関して、国内外の実態を立法と司法の面から明らかにし、来るべき「新しい交通世界」の犯罪を減少させるために有効な対策を構築するに際しての基礎的な研究を行う。自動運転車や空飛ぶバイク、ドローンタクシー、プレジャーボートなどについての技術の発展には目覚しいものがあり、交通の世界は大きな変革を迎えている。これからの交通犯罪対策は、そこから生ずる諸問題を包括的かつ体系的に統合・整理したものでなければならない。刑法、刑事訴訟法、犯罪原因論、刑事政策、被害者学などの見地からの知見を踏まえたうえで、将来の合理的な犯罪対策を確立するための調査研究に取り組む。,基盤研究(B),小区分05050:刑事法学関連,交通犯罪対策,過失,法人・企業処罰,犯罪被害者支援,危険運転致死傷罪,企業処罰,新しい交通手段,交通犯罪,運転免許,犯罪被害者,犯罪論,過失犯,不作為犯,法人処罰,未遂犯,少年非行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01425,早稲田大学,松澤 伸,刑罰政策における公衆の意識構造の実証的研究：「民意」をどのようにつかまえるべきか,日本を含む多くの先進諸国において、「国民は犯罪者に対して厳しい対応（現状よりも重い刑罰を科すこと）を望んでいる」という「民意」を根拠に厳罰化が進行している。しかし、はたして「民意」は本当に厳罰化を望んでいるのだろうか。また、そもそも、「民意」とは何を指し、どのようにして把握されるべきものなのであろうか。本研究では、人々は刑罰をどのように使いたいと考えているのか、さらにいえば、それ（刑罰政策にかかわる「民意」）をどのようにしてつかまえるべきかについて、フォーカス・グループ調査、並びに、テキスト・マイニング（計量テキスト分析）の手法を用いて実証的に検討を行う。,基盤研究(B),小区分05050:刑事法学関連,法意識,刑罰政策,量刑,処罰感情,熟議民主主義,北欧刑法,刑罰論,刑事政策,実態調査,刑罰制度,法理性,法感情,テキストマイニング,民意,厳罰化,刑事法学,刑罰,実証研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01424,立教大学,廣瀬 健二,若年成人に対する刑事手続上・処遇上の諸問題の総合的研究,少年年齢引き下げの議論が社会の注目を集め国民の関心が高い少年・若年成人に対する刑事手続・処分についての特則の実情とそれを支えている理念・背景などについて、理論・実務の双方から研究を行って、少年及び若年犯罪者に対する刑事手続・刑罰・処分・処遇の在り方を提示することを目指す。,基盤研究(B),小区分05050:刑事法学関連,若年層,若年成人の特則,少年犯罪者の特則,少年年齢,刑罰の代替処分,保護処分,若年成人,処遇上の特則,代替処分,刑事手続の特則,公開制限,少年法,刑事手続,若年者の処遇,少年,処遇の特則,処遇,刑事法学,手続の特則,社会的支援,若年者処遇,刑事訴訟法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01423,京都大学,安田 拓人,刑事裁判における争点整理・事実認定の指導指針となるべき実体法解釈論の研究,本研究は、刑事裁判の争点整理における、当事者の主張を整理するための指針を提示することを目的として、①刑事事実認定に際し重視されるべき事情は何かという問いを解明し、②当該事情を理論的に説明しうる実体法理論を再構築する。,基盤研究(B),小区分05050:刑事法学関連,刑法解釈論,争点整理,事実認定,刑法理論,責任能力,共謀,量刑,判決重視事情,解離性同一性障害,抗拒不能,殺意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01422,一橋大学,本庄 武,再犯防止概念の多角的検討,再犯防止推進法の制定（2016年）とそれに基づく再犯防止推進計画の策定（2017年）に象徴されるように、現在、政府は本格的に再犯防止に取り組むようになっている。,基盤研究(B),小区分05050:刑事法学関連,再犯防止,改善更生,ソーシャル・インクルージョン,社会復帰,社会防衛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H01435,立教大学,深町 晋也,児童虐待の刑事法的規制に関する領域横断型研究,本研究は、主として親によって子に対して行われる虐待について、それが「家庭」という場で行われることに着目し、こうした「犯罪の温床」としての「家庭」の構造分析を行うことを前提としている。そして、こうした分析をもとに、「家庭」が、①弱者に対する犯罪又は問題事象が生じやすい場であり、かつ、②いったん生じた犯罪又は問題事象が隠蔽されやすく、それゆえに③継続的にそうした事象が生じやすい場である点を考慮した上で、児童虐待の抑止のために必要な法的施策を講じるための法的スキームを構築することを目的とする。,基盤研究(B),小区分05050:刑事法学関連,児童虐待,性的虐待,身体的虐待,家族と刑法,司法面接,親による子の拐取,医療同意,性犯罪,児童性犯罪,ストーカー,体罰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
