awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00837,公益財団法人統計情報研究開発センター,美添 泰人,公的統計の精度評価と新たな提供方法に関する研究,企業統計に関しては、法人企業統計と経済センサスで公表される法人企業数には無視できない相違がある。総務省統計局と協力した試験的な照合結果によって、総務省の名簿に掲載されていない法人は規模が小さい場合が多く、従来の統計でも、経済活動の実態はおおむね正確に捕捉されていたことが判明した。世帯統計に関しては、秘匿措置に関する安全性と研究上の有用性の両面からの評価基準を整理し、公的統計に対して有効な手法を提案した。研究分担者の松本は、家計のエネルギー消費活動に関する研究を実施した。,基盤研究(B),小区分07030:経済統計関連,公的統計,ミクロデータ,法人企業統計,事業所企業統計,経済センサス,環境経済学,建設統計,匿名データ,企業統計,世帯統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00836,成城大学,塚原 英敦,金融・保険分野におけるリスク管理のための統計的手法の展開,金融・保険分野でのリスク計測・管理には統計モデルが必要である．リスク計測モデル全体のパフォーマンスをモニターするバックテストを逐次予測分析の枠組を用いて，予測評価の一般理論を展開した．また，テキスト系列を用いたボラティリティ予測や，極値理論を適用後にバイアス補正を考慮したリスク尺度の推定手法を開発した．多重検定法を大規模データやモデルに対して適用する場合の理論的正当化のために，高次元データに対する正規近似の理論を整備した．拡散過程を用いた新しい死亡率予測モデルやフラクショナル・ブラウン運動によって駆動される確率微分方程式モデルの推測手法を提案し分析した．,基盤研究(B),小区分07030:経済統計関連,リスク管理,リスク計測,接合関数,コピュラ,リスク尺度,高頻度データ,統計的極値理論,死亡率予測,計量ファイナンス,経済統計学,保険数理,バックテスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00835,金沢大学,星野 伸明,ビッグミクロデータの匿名性評価手法の開発,本プロジェクトでは、個体のデータについてプライバシーないし秘密性の曖昧な点を正し、厳密かつ解釈が容易な定義を考案した。プライバシーないし秘密性の侵害は母集団の状態であって、公開データから推定される。公開データがランダムならば母集団の推定精度は確率的に評価でき、匿名性などの測度となる。そしてその精度は、情報学的なプライバシーの母数（予算）で管理出来ることを証明した。このような観点から、公開データをランダムに生成するパラメトリックな手法を新たな分布族として提案し、高次元や大標本の性質を解析した。,基盤研究(B),小区分07030:経済統計関連,プライバシー,統計的開示制限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01474,神戸大学,藤原 賢哉,キャッシュレス化の統計整備と経済的インパクトに関する研究,近年、政府は、「キャッシュレス決済比率」の引き上げを政策目標として掲げている。しかし、上記の指標は、銀行の口座間送金が考慮されていないほか、最近、普及しつつあるモバイル決済等については十分カバーしていないという問題がある。「キャッシュレス決済比率」は、一つのマクロ指標ではあるが、消費者のライフスタイルや社会構造の変革（デジタル化）に対応したものになっていない。本研究では、消費者の決済手段の選択、利便性や生産性への影響、金融・決済業の産業組織や規制監督のあり方（消費者保護、金融政策含む）について、１）統計整備（普及調査、新たな指標作成）と、２）経済的影響について分析（理論・実証）を行う。,基盤研究(B),小区分07030:経済統計関連,キャッシュレス統計,高頻度データ,新型コロナ,消費者行動,プラットフォームと社会厚生,デジタル経済,リテラシー,オルタナティブデータ,リテラシーと合意形成,BNPL,産業構造と社会厚生,決済手段,デジタル経済指標,消費者行動変容,次世代型社会プラットフォーム,デジタル社会,フィンテック,消費者余剰・生産性評価,プラットフォーマー,諸外国の普及プロセス,消費者教育・リテラシー,中銀デジタル通貨,消費者利便性,生産性,スマートシティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01473,京都大学,西山 慶彦,大規模データを使った因果推論のためのミクロ計量経済分析とEBPMへの応用,統計的因果推論は、データを用いて科学的に因果関係を明らかにするための統計手法で、近年経済学を含めて社会科学で幅広く用いられている。しかし、現状ではこの分野おいては、特定化の正当性を調べたり、複数の特定化を比較して良し悪しを明らかにする方法に関する研究はほとんど手付かずである。本研究はそのような点で統計分析の理論面での貢献を目指す。また、そこで提案する手法を実際のデータに適用して、実証研究の枠組みや特定化を検証しつつ、公共交通システムの整備政策の効果、工業製品の省エネ指標にの添付効果、観光産業における様々な観光客誘致政策の効果の測定を行う。,基盤研究(B),小区分07030:経済統計関連,特定化検定,因果推論,計量経済分析,EBPM,ノンパラメトリック推定,介入効果,ミクロ計量経済分析,政策効果分析,モデル選択,ビッグデータ,モーメント推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H01484,広島大学,早川 和彦,ファクターモデルと罰則化法を用いた時系列・パネルデータの計量分析:理論と応用,本研究課題では，ファクターモデルと罰則化法を用いて，時系列・パネルデータを分析するための新しい統計手法を開発し，関連する実証研究を行う。初年度は、各研究課題ごとに関連する研究をサーベイする。特に、いくつかの研究テーマは、国内外で非常に活発に研究が行われているため、本研究課題との関連性を詳細に考察する。2年目は各研究課題ごとに理論的考察や数値実験など、具体的な研究を進めていく。最終年度は、前年度まで得られた研究成果をとりまとめ、研究集会や学会などで研究報告し、査読付き雑誌への投稿を目指す。,基盤研究(B),小区分07030:経済統計関連,パネルデータ,時系列データ,ファクターモデル,罰則化法,トレンド,ホドリック・プレスコット・フィルター,景気循環成分,Asset pricing,共トレンド推定,罰則項付縮小ランク回帰,Weak factors,Multiple testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H01483,東京都市大学,秋山 祐樹,開発途上国における衛星画像を用いた深層学習によるマイクロ人口統計の実現,本研究は主に複数時点の衛星画像と既存統計を用いて，アジアのメガシティである東京都市圏とバンコク都市圏を対象に，過去から現在に渡って都市とその周辺地域の人口の空間的分布を，その人々の所得水準も含めて時系列的かつ超高精細に（建物単位で）把握する手法を確立する．また深層学習を用いて超高精細な建物と人口の情報を分析することにより，今後都市化が進み人口が増加する可能性が高い地域の推定を可能にする技術も確立する．以上の技術が確立することにより，先進国のみならず開発途上国も含めた世界のあらゆる都市において建物単位という超高精細な人口分布を把握できるマイクロデータを開発するための手法を世界で初めて実現する．,基盤研究(B),小区分07030:経済統計関連,人口統計,マイクロジオデータ,開発途上国,AI,深層学習,衛星画像,建物用途,所得水準,現地調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H01482,東京大学,新谷 元嗣,機械学習的手法を用いたマクロ計量経済分析,テキストデータ、画像データ等を含んだ大規模なデータ（ビッグデータ）を処理するための機械学習手法は近年急速に進化しており、経済分析への応用範囲も益々広がっている。この機械学習的なアプローチの利点を生かし、既存のマクロ計量経済分析の手法と組み合わせることによって、大規模なマクロデータの根拠に基づく(evidence-based)マクロ経済政策を目指した計量手法を開発し、現実のデータに適用する,基盤研究(B),小区分07030:経済統計関連,機械学習,時系列モデル,経済予測,ビッグデータ,マクロ政策評価,非構造化データ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K20592,東京大学,菅澤 翔之助,大規模データに対するベイズモデリングの新展開,経済学・社会科学をはじめとする様々な科学分野において大規模データの利活用が進んでいる．一方でデータの大規模化に伴いその背景構造は複雑化しており，単純な統計モデリングだけでは誤った結論を導いてしまう状況に陥っている．本研究では，大規模データのもつ様々な特徴を考慮した柔軟な統計モデリングの方法論を開発を展開する．特に，ベイズ分析の枠組みを採用することでデータに対する事前情報や外部情報を自然な形で取り入れるだけでなく，推定結果の不確実性評価や様々なシナリオに対する将来予測など，実社会での意思決定に必要不可欠なエビデンスを作成するための技術を構築することを目指す．,基盤研究(B),小区分07030:経済統計関連,ベイズモデリング,状態空間モデル,一般化ベイズ,大規模時空間データ,因果推論,ベイズ統計,予測統合,時系列データ解析,空間データ解析,ロバスト統計,時系列データ,空間データ,階層モデル,ロバスト推測,時空間統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21H00700,大阪大学,山形 孝志,反実仮想実験による炭素価格付加政策の排出削減効果と世界経済への影響の分析,本研究課題では、炭素排出権取引市場や炭素税など炭素価格付加政策の排出削減効果と経済活動への影響を、統計・理論、両面からの分析を行う。具体的には、新たな高次元動学パネルデータ統計分析手法を開発し(研究課題１)、世界炭素排出量と経済の国際動学的関係を実証分析する。そして炭素価格付加政策の効果とマクロ経済に与える影響を、上記統計手法（研究課題2）ならびにマクロ経済理論（研究課題3）から分析する。さらに2020年以降の排出削減の国際的枠組みである「パリ協定」に科学的根拠を与えたIPCCの気温上昇予測値が多数の外部研究結果に基づきどのように導かれたかを、新たな統計的手法よって明らかにする（研究課題4）。,基盤研究(B),小区分07030:経済統計関連,panel data,factor model,inflation,energy consumption,co2 emission,climate change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
