awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00859,早稲田大学,齊藤 有希子,企業のライフサイクルにおける企業間ネットワークと企業成長,本研究は、企業のライフサイクルにおける、企業間の取引ネットワークの役割について、企業単位の取引関係の長期パネルデータを構築し、実証分析および理論分析を行った。企業成長および取引ネットワークの変化、企業退出の特徴の企業年齢や代表者の年齢による違いを分析するとともに、理論モデルの構築を行い、コロナショックなどの経済ショックのマクロ経済へ与える影響の（リーマンショック、東日本大震災との）比較分析も行った。企業の退出（extensive margin）による洗浄効果と生産調整（intensive margin）について、波及効果も含めて定量的に評価した。,基盤研究(B),小区分07040:経済政策関連,企業のライフサイクル,企業間ネットワーク,自主的退出,洗浄効果,企業ライフサイクル,取引関係,企業成長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00858,独立行政法人経済産業研究所,森川 正之,新しい産業政策の実証的評価：生産性効果のミクロデータ分析,本研究の目的は、企業統計のミクロデータと政策情報とをリンクさせ、産業・企業を対象とした政策の効果や副作用を実証的に評価することである。このため、2018年度に日本企業を対象とした独自のサーベイを実施し、同調査への回答企業を対象としたフォローアップ調査を2020年度に行った。「企業活動基本調査」（経済産業省）のパネルデータを構築し、サーベイ・データとリンクさせて分析した。2020年初めに新型コロナウイルス感染症拡大という経済的に大きなショックが生じたことを踏まえ、フォローアップ調査では、新型コロナ下の企業支援策の利用状況に関する情報も収集した。それらをもとに30本以上の論文を執筆・公表した。,基盤研究(B),小区分07040:経済政策関連,産業政策,サービス産業,生産性,新型コロナ,企業行動,不確実性,政策評価,ミクロデータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00857,独立行政法人日本貿易振興機構アジア経済研究所,福西 隆弘,アフリカにおける職業訓練と若年失業：職業スキル評価制度の効果,本研究では、エチオピアの首都アジスアベバにおいて職業訓練校の卒業生1033人を3回にわたって追跡調査し、彼らの就業状況と求職活動について分析した。その結果から、スキルテストに合格した卒業生は高い賃金を得ていること、また学校で学んだスキルを業務で利用している卒業生は高い賃金を得ていること、さらに、スキルテストに合格した卒業生は学んだスキルを利用していない場合でも賃金が高いことが明らかになった。,基盤研究(B),小区分07040:経済政策関連,職業訓練,労働市場,シグナル,スキルマッチ,アフリカ,スキル,ジョブサーチ,COVID-19,スキル認証,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00856,独立行政法人日本貿易振興機構アジア経済研究所,牧野 百恵,社会的紐帯が南アジア女性の労働参加に与える影響に関する実証研究,本研究の成果は主に3つである。①女性のロールモデルと繋がるための介入、②コロナ禍のロックダウン・学校閉鎖の影響に関する電話調査、③家父長的な社会に着目した南アジア女性の労働参加の実証分析、である。,基盤研究(B),小区分07040:経済政策関連,女性の労働参加,社会的紐帯,社会規範,ランダム化比較試験,バングラデシュ,COVID-19,児童婚,学校閉鎖,女性労働参加,南アジア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00855,早稲田大学,加藤 篤史,経済発展政策の政治経済学的分析：理論モデル分析とインドにおける実証研究,経済発展に関連する政策の形成に関する理論的な考察を行い、その理論的な枠組みを踏まえてインドで政策形成の関係者に幅広くヒアリングを行い、理論の精緻化を図った。また、理論に基づき、データを用いた実証研究を行い理論を検証した。現在、研究成果を単著として出版するために原稿を執筆中である。いくつかの政策に関する研究成果を論文として学術雑誌や本の章として出版した。,基盤研究(B),小区分07040:経済政策関連,政治経済学,経済発展,政策形成,経済発展政策,公共政策,インフラストラクチュア,労働政策,教育政策,経済政策,公共選択,政治資源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00854,東京経済大学,長岡 貞男,創薬イノベーションとインセンティブ,革新的な医薬品ストックの拡大は、日本における国民の寿命延伸、入院患者の治癒率向上や介護が必要となる確率低下等を通して健康寿命に大きく貢献している。他方で、新薬の価格プレミアムが新薬の革新性を反映する程度において、日本は米国の約3割である。また、米国で先行承認された医薬品の日本における承認確率は、欧州より大幅に低く、特に新薬開発企業が新興企業である場合に、その承認確率はより低い。新型コロナウイルス危機に対する創薬が短期間に進展した原因として、米国、英国、独には最先端のサイエンスに依拠した先端的な研究蓄積が新興企業や大学にあったことが重要である。,基盤研究(B),小区分07040:経済政策関連,創薬イノベーション,サイエンス,健康寿命,価格プレミアム,薬価算定方式,国際比較,国際普及,コロナ危機,創薬,イノベーション,介護,薬価,革新性,新薬の国際普及,ドラッグラグ,COVID19,インセンティブ,知的財産,薬価プレミアム,類似薬効,原価計算,治癒効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00853,中央大学,阿部 正浩,地域雇用政策の地域労働市場の雇用創出・消失に与える影響に関する研究,現在のところ、以下の4つの観点から研究を行った。一つ目は都道府県間の平均賃金と失業率の格差が2010年代にどのように推移してきたかの観点から研究を行った。その結果、平均賃金も失業率も都道府県間の格差は縮小傾向にあるが、依然として格差は残っている。二つ目は地方公共団体による雇用政策の展開について、1990年代からの地方分権化との観点から分析を行った。その結果、地方公共団体の雇用政策に関する重要性は他の政策に比べて高くないことがわかった。三つ目は最低賃金が地域労働市場へ与えた影響について分析を行った。四つ目は新型コロナウィルス感染症が地域労働市場にどのような影響を与えたかを分析した。,基盤研究(B),小区分07040:経済政策関連,地域雇用政策,雇用創出・消失,地域労働市場,雇用成長率,地方創生,政策評価,雇用創出・消失指標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00852,学習院大学,宮川 努,複数財生産企業の生産性向上要因の研究,今世紀に入って、財・サービス、資本財などの分野における差別化に注目する研究が増えている。本研究では、こうした財・サービスの様々な差別化が生産性に及ぼす影響を分析した。中心的な研究としては、「工業統計表」を使って製造業の製品構成の変化がどのような要因によって影響されているかを、マクロ的な要因も含めて分析した。本研究は、新型コロナウイルスの感染拡大によって完成が遅れたが、現在査読誌に投稿している。この他、複数の資本財、特に資産を有形資産と無形資産に分けた投資関数の推計を通して無形資産も含めた生産性の動向を研究した。,基盤研究(B),小区分07040:経済政策関連,生産性,長期停滞,複数財,新陳代謝,無形資産,複数材,スピルオーヴァー,スピルオーヴァ―,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00851,青山学院大学,島田 淳二,中国一帯一路政策とアジア債券市場構想の政策的親和性：国際公共財・ネットワーク理論,中国の一帯一路政策とアジア債券市場構想について国際公共財とネットワークの観点から現状認識、公共財理論、ネットワーク理論、実証・政策の各班に分かれて研究活動を行った。また、研究ネットワーク構築のためアジア経済と金融の国際シンポジウムを開催した。,基盤研究(B),小区分07040:経済政策関連,アジア金融市場,ネットワーク理論,国際公共財,一帯一路政策,一路一帯政策,アジア債券市場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00850,名古屋市立大学,樋口 裕城,東南アジア新興国におけるカイゼン経営の普及に関するフィールド実験を用いた経済分析,新興諸国においては、地場企業の経営力が不足しているために、製品の高付加価値化が進まず、中所得国の罠に陥る可能性が指摘されている。その一方で、先進国で用いられている経営の知識は、トレーニングを通じての普及が可能であることがわかってきた。本研究では、東南アジアの新興国の1つであるベトナムの地場企業を対象として、生産管理の一手法であるカイゼンの研修を提供するフィールド実験を行った。研修の前後に独自に収集した一次データを用いて統計分析を行ったところ、カイゼン研修の効果はその後数年にわたって持続し、企業のマネジメント、操業、ならびに業績に有意なインパクトがあることが明らかとなった。,基盤研究(B),小区分07040:経済政策関連,開発経済学,産業発展,カイゼン,中所得国の罠,ベトナム,フィールド実験,新興国,RCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
