awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00880,早稲田大学,鎮目 雅人,信用貨幣の生成と進化のメカニズムに関する歴史実証,本研究では、前近代・近代を含めた貨幣史・金融史の最新の研究成果を踏まえつつ、社会内部から貨幣と信用が生成され現代の銀行システムの形成に至る過程を、各時代、各地域の特性を考慮しつつ歴史実証的に再検討した。その際、日本貨幣史・金融史の分野における歴史実証研究の成果をより広い視野から検証し、世界史的視野に立って日本における貨幣と信用の展開過程の特質を明らかにした。近世・近代の日本に関する分析を縦糸とし、中国、インドを含めた国際比較、ならびに現代金融論の観点からの検討を横糸とすることにより、社会内部における貨幣と信用のあり方に関する統合的な理解を目指した。,基盤研究(B),小区分07070:経済史関連,貨幣史,信用,銀行,藩札,通貨制度,近代移行期,インド金融,中国金融,近代,ネットワーク,信用貨幣,国立銀行,貨幣の起源と進化,通貨制度改革,暗号通貨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00879,名古屋市立大学,奥田 伸子,近現代における「不自由な」労働者を再考する―18-20世紀の英国・英帝国を中心に,イギリス経済史において、労働者とは暗黙裡に男性・成人・白人・法律上、身分上自由な)・賃金労働者と想定されているが、実際にはこの属性と異なった労働者がさまざまな制約のもとで働いていた。異なった属性を持つ労働者が受ける制約に着目して、彼（彼女）らを「不自由な」労働者と定義し、５つの時空間における労働者の働き方・状況（奴隷、働いていない男性、児童、南アの黒人労働者、難民）の実証分析と３点の言説（懲役刑の意味、工場法とジェンダー、ニュー・リベラリズム）をそれぞれ分析した。その結果、自由労働イデオロギーを押し付けられ「不自由な」労働者がディーセントな労働と生活の実現を妨げられる状況があきらかになった。,基盤研究(B),小区分07070:経済史関連,不自由労働,自由労働イデオロギー,自由主義,奴隷,児童労働,男性稼ぎ主モデル,ジェンダー,イギリス帝国,不自由な労働者,奴隷制,奴隷貿易,ヨーロッパ志願労働者,強制労働,労働市場,不自由な労働力,労働者の規律化,植民地間の比較,囚人労働,ウェッブ夫妻,アフリカ人労働者,自由主義思想,英帝国,経済合理性,「不自由な」労働,イギリス・英帝国,間植民地,労働力移動,イギリス,奴隷労働,女性労働,移民労働者,,,,,,,,,,,,,,,,,,,,,,,,,
18H00878,愛媛大学,高橋 基泰,市場経済形成期における地域金融組織の日英対比研究,本研究は、市場経済形成期における地域金融組織の形成について日本およびイギリスの対比研究をおこない日英農民の消費生活・家計分析から発生した問題意識に基づき、地域金融市場の形成について対比分析した。その結果、調査対象地域である日本の長野県上田市上塩尻およびイギリスのケンブリッジ州ウィリンガム教区を対比した実証研究である髙橋『村の相伝・日英対比研究編;社会的DNAの検出』（刀水書房、2021年）および長谷部・髙橋・山内編著『近世日本における市場経済化と共同性;近世上田藩上塩尻村の総合研究Ⅱ』（刀水書房、2022年）を含めた研究成果を公開し、それらをもとに国際公開シンポジウム・セミナーを開催した。,基盤研究(B),小区分07070:経済史関連,地域金融組織,日英対比研究,信用,家計,市場経済形成期,近世日英地方信用関係網形成,旧上田藩上塩尻村,ケンブリッジ州ウィリンガム教区,地方金融ネットワーク,伊勢暦書き込み,蚕種市場活動,無尽・講,市場経済化,無尽,講,地方金融組織,小口金融,無尽講,日英対比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00877,神戸大学,平野 恭平,日本羊毛工業史研究の拠点形成を目指して：生産・雇用・会計制度の形成・発展過程,本研究では，ニッケ資料を用いて明治期から戦後の高度経済成長期までの日本毛織の経営実態を考察し，繊維産業史に新たな視点と知見をもたらすことを目指した。羊毛紡織経営の基礎的な側面である技術・生産システム，雇用システム，会計システムの各側面ついて，ニッケ資料を中心に分析・考察を行い，その実態と特徴を一定程度は明らかにすることができた。また，研究の進展とともに，ニッケ資料の整理も行うことができた。しかしながら，新型コロナウイルスの感染拡大の影響による研究会開催や資料収集・調査に制限があったことから，3つの側面の個別研究の総合化，綿業や絹業との比較などについては，今後の課題として残すことになった。,基盤研究(B),小区分07070:経済史関連,羊毛工業史,繊維産業,日本毛織,経済史,経営史,会計史,技術史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00876,金沢大学,弁納 才一,社会主義経済体制下の中国農村における社会環境の特質と変容に関する再検討,近代中国農村の特質について社会環境の観点から国内外で議論と研究を進めてきたと同時に、社会中国大陸及び台湾の農村を複数回にわたって訪問して共同聞き取り調査を実施した。その成果を逐次、農村調査報告書として学術雑誌に発表してきた。2022年～2023年にはそれらを3冊の農村訪問調査報告書として刊行した。また、各自が数多くの研究論文を発表し、数冊の著書を刊行した。,基盤研究(B),小区分07070:経済史関連,中国農村社会,中国農村,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00875,東京大学,小島 庸平,19-20世紀の日本における農村金融機関の広域化－長野県小県郡を中心に－,本研究は、19-20世紀日本の地方における金融機関の設立とその後の展開について、特に金融機関間関係の広域的な関係性の形成と展開に着目しながら分析を行う。中核となる史料は、長野県信用組合連合会会長（在任期間1913-41年）・産業組合中央会長野支会副会長（1915-41年）・産業組合中央金庫の設立委員・評議員・幹事（1923年-43年）といった、組合連合団体の要職を歴任した深井功関係文書である。,基盤研究(B),小区分07070:経済史関連,産業組合,信用組合連合会,経済史,金融史,農村開発金融,農業史,産業組みあい,地域史,地方銀行,貸金業,地主,インターリンケージ取引,全国農業協同組合中央会,小諸藩,藩政,日本史,地方史,地主制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01515,総合地球環境学研究所,杉原 薫,インド洋交易圏の統計的研究―近代世界における地域交易像の再構築ー,本研究の課題は、19世紀から20世紀前半の時期におけるインド洋交易圏の趨勢と構造を数量的に把握し、グローバル・ヒストリーにおける地域交易の役割を論じることである。インド、東南アジアの主要港の貿易の成長に地域交易が大きな比重を占め、遠隔地貿易を支えてきたことは近年部分的に明らかにされてきたが、本研究では、そこで開発された、外国貿易、沿岸交易、鉄道・河川交易、道路交易をつきあわせる手法をインド交易圏全体に応用して包括的な推計を試みる。とくに西アジア、東アフリカ、南部アフリカや東南アジアの周辺地域を視野に入れつつ、地域交易がアジア・アフリカ諸地域の長期の発展径路にいかなる影響を与えたのかを検討する。,基盤研究(B),小区分07070:経済史関連,インド洋交易史,グローバル・ヒストリー,貿易統計,経済発展径路,植民地化,インド洋交易圏,経済発展経路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01514,甲南大学,平井 健介,近代アジアにおける「阪神雑貨」が及ぼす社会経済的変化に関する実証研究,本研究の目的は、阪神雑貨がアジア諸地域（台湾、朝鮮、満洲、中国、東南アジア）で引き起こした社会経済的変化について、人々の生活・思考様式の変容（新しい様式を獲得する「歓び」や「安心」）、工業化の原動力（輸入代替工業化・労働集約的工業化）、経済的交流と政治的軋轢の相互作用（日貨排斥運動・植民地支配の手段）をキーワードとして分析することを目的としている。本研究を通じて、「アジア経済にとっての阪神」の重要性が明らかとなる。,基盤研究(B),小区分07070:経済史関連,経済史,阪神,アジア,雑貨,大阪,神戸,帝国日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01513,関西大学,西村 雄志,重層的決済システムと中央銀行制度成立過程の再考,本研究は、経済活動における決済の役割について、各地の商慣習や文化の役割を意識しつつ、どのようにして決済がシステムとして各々の経済活動を支えるものとして成立したのか、研究代表者と研究分担者、そして海外の研究協力者とも協力して、比較史的観点から検討しようとするものである。その中でも特に近代銀行業の中核として認識されている中央銀行との関係に焦点をあて、中央銀行を導入することが決済システムの効率化と経済発展に不可欠と捉えている多くの先行研究に一定の修正を迫りたいと考える。その上で決済システムにおける中央銀行の役割について、現代的な問題関心から考察する時にも本研究の成果がその一助になればと考える。,基盤研究(B),小区分07070:経済史関連,重層的決済システム,中央銀行制度,インフォーマル決済システム,フォーマル決済システム,信用,貨幣,植民地支配,貨幣制度,在来金融商人,決済システム,在来金融,中央銀行,通貨,重曹的決済システム,近代銀行業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01512,中央大学,谷口 明丈,総合電機企業のグローバル経営史：戦略と組織構造・人的資本・組織能力,本研究では、20世紀を代表する産業である電気機械産業において今日まで代表企業であり続けた日米独の総合電機企業を取り上げ、その誕生から今日までの期間の、①戦略と組織構造、②人的資本・人的資源、③組織能力、について比較検討する。これにより日米本独各の企業・アメリカの企業・ドイツの企業の特徴を浮き彫りにし、さらに独自の戦略と組織構造を持ち、個性的な人的資本と組織能力を抱えたそれぞれの企業が、グローバルな場において様々に関係しながら電機産業を形成する過程を明らかにし、総合電機企業のグローバル経営史を構築していくことを目的としている。,基盤研究(B),小区分07070:経済史関連,経済史,グローバル経営史,総合電機企業,組織能力,人的資源,人的資本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
