awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H00991,早稲田大学,黒田 一雄,SDGs第4目標達成に貢献する教育のグローバルガバナンスの理論化と実証,本研究は、教育をめぐるグローバルガバナンスを理論的・実証的に解明することによって「持続可能な開発目標（SDGs）第4目標(質の高い教育）」の達成に貢献することを目的とした。本研究では、教育に関係する国際機関や各国政府の政策文書や、国際会議資料・国際的教育統計データ等を収集して、国際教育政策データアーカイブを作成し、日本・海外の研究者が共同利用しながら、国際会議や国際ワークショップの開催を通じて議論をし、研究論文をまとめた。また、教育のグローバルガバナンスの展開の中での日本の国際教育協力を歴史的に研究した。本研究の研究成果は、Springerや東京大学出版会から研究書として出版された。,基盤研究(B),小区分09020:教育社会学関連,SDGs,国際教育協力,ユネスコ,グローバルガバナンス,国際教育政策,比較国際教育学,高等教育の国際化,インクルーシブ教育,留学,世界銀行,SDGｓ,ESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00990,立教大学,北澤 毅,学校的社会化の理論的・経験的研究－「児童になる」論理と実践の教育社会学的探究,本研究では、「子どもが児童になる」過程を「学校的社会化」と独自に定義し、学校的社会化の歴史と現在をテーマに研究を展開した。第１に、これまでの研究課題を継続する目的で、幼稚園や小学校での観察調査と、学校的社会化からの逸脱としての「いじめ」と「発達障害」問題について観察やインタビューなどの質的調査を実施することで著書刊行など確かな成果を得た。第２に、特別な教育理念を持つ私立学校や離島の小規模学校などでの観察や教員へのインタビュー調査などを新たに実施しこれまでの研究成果を比較相対化することを通して、「学校的社会化」問題について新たな知見を得るとともに、新たな課題を発見することができた。,基盤研究(B),小区分09020:教育社会学関連,教育社会学,歴史社会学,構築主義,エスノメソドロジー,学校的社会化,いじめ,発達障害,子ども観,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00989,日本女子大学,清水 睦美,被災した子どものライフコース：東日本大震災発生後10年間の継続的追跡調査研究,東日本大震災発生後の10年間の継続的追跡調査を行った結果、次の点での成果を得た。第1に、震災によるシステムへの問い直しは様々に生じつつも、揺るぎなく履行されていく近代教育システムの慣性的側面があること。第２に、そうではありつつも他方で、震災によって近代教育システムに持ち込まれた被災経験を、教師たちがその脆弱性に注目して多様に意味づけることにより、時を経ても新たな問い直しの契機が学校の日常に組み込まれていること。第3に、質問紙調査の結果から、生徒の震災体験が時間選好率を高めている可能性があると同時に、時間選好率が高く大学進学に大きな期待を抱いていないにも関わらず、大学進学への意欲も高まっている。,基盤研究(B),小区分09020:教育社会学関連,東日本大震災,ライフコース,近代教育システム,被災,学校,地方,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00988,埼玉学園大学,布村 育子,講和期の政治的葛藤が日本教職員組合の平和運動・平和教育に与えた影響の考察,本研究は、1950年代前半までの日本教職員組合（日教組）の平和運動・平和教育を研究対象に据え、どういう経緯で平和四原則路線が選択されたのか、平和運動と平和教育との関係や距離はどうだったのかを、史料を発掘・整理しながら分析した。,基盤研究(B),小区分09020:教育社会学関連,教職員組合,平和運動,平和教育,講和,知識人,講和期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00987,静岡県立大学,角替 弘規,ニューカマー第二世代のライフコースに関するエスニシティ間比較研究,本研究は、日本に在住する移民第2世代170名に対してインタビュー調査を実施し、かれらの日本社会における経験のうち、「編入様式」・「学校経験」・「文化適応」・「職業選択」・「将来展望」を明らかにすることを通じて、移民第二世代の現在のエスニックアイデンティティのあり方や学業達成及び地位達成のありようを理解することを目的とするものである。,基盤研究(B),小区分09020:教育社会学関連,ニューカマー,移民第二世代,移民と教育,文化変容,エスニシティ間比較,ライフコース,分節的同化,第二世代,エスニシティ,比較研究,多文化教育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00986,首都大学東京,乾 彰夫,若者の移行に教育・労働市場・社会保障制度が与える影響に関する国際比較研究,本研究は、若者の離家と家族形成への移行と就労との関係について、日本とヨーロッパ4ヶ国（ドイツ、ノルウェー、スイス、イギリス）と比較し、若年労働市場、ジェンダー、家族等の規範、社会保障等の諸制度の影響を検証するものである。成果は以下の通り。①男性では就労状態の安定度が移行リスクに影響するが、非典型雇用の性格によりリスクの配分状況が異なる。②女性無業者の家族形成達成度は共通に高いが、満足度はジェンダー規範により異なる。③日本はヨーロッパ各国に比べ移行を支える社会保障の機能が貧弱である。,基盤研究(B),小区分09020:教育社会学関連,若者の移行,離家,結婚・同棲,出産,学校から就労へ,移行リスク,社会保障,国際比較,家族形成,若者と移行,移行と教育制度,移行と労働市場,移行と社会保障,離家・家族形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00985,京都大学,岩井 八郎,ゼロ年代以後の教育歴とライフコースの変化に関するパネル調査研究,本研究は、2009年に実施したJGSSライフコース調査の調査対象者（2009年時点で28歳から42歳）に対して、2013年に続き、2019年にパネル調査を行い、13年から19年の6年間における男女の職業経歴や家族歴、社会意識の持続と変化を調査した（有効回答数は、549）。2019年に実査を完了し、2020年度は、データのコーディング、クリーニングを行い、コードブックと基礎的集計表を刊行した。具体的なデータ分析も開始し、その分析結果によれば、男性の職業経歴は安定化を特徴としているが、女性については流動性が高まっている。とくに1976-80年出生の女性において、無職から就業への移行が進行している。,基盤研究(B),小区分09020:教育社会学関連,ライフコース,階級・階層。社会移動,世代,パネル調査,教育機会,JGSS,教育歴,ジェンダー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00984,青山学院大学,耳塚 寛明,青少年期から成人期への移行についての追跡的研究,本研究課題では、小学5年生から中学1年生までの児童生徒調査および保護者調査をそれぞれ2度実施した。加えて2021年度には、教師対象の質問紙調査も行った。これらに加え、調査市の教育委員会より小4（2018年）から毎年実施する追跡的学力データの提供を受けた。新型コロナウィルスの蔓延という想定外の事態も起こったが、学校現場からの理解と協力により、ほぼ計画通りのデータを構築することができた。ただし、教師や学校を対象とした現地のヒアリング調査の実施は難しく、大部分を見送ることとなった。研究成果の発信については4年間で、国際学会を含む複数の学会報告および学会誌への投稿を含む3本の論文を執筆した。,基盤研究(B),小区分09020:教育社会学関連,学力格差,社会経済的背景,学校外教育,就学前教育,パネル調査,家庭環境,学校教育,追跡的研究,学校教育効果の検証,就学前環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01648,佛教大学,原 清治,ネットいじめの発生構造に関する日英比較研究―大規模・同時調査による実態分析―,本研究では、「日本と英国のネットいじめには違いがみられるのか」という問いをもとに、日英の高校生を対象として同一の質問用紙を用いた日英での大規模調査を実施することを目的とする。その調査結果をもとに、両国のネットいじめの違いを明らかにし、ネットいじめを減じるためにどのような啓発活動が必要なのか、その根拠となる資料を提示し、その他の先進諸国におけるネットいじめ研究の端緒としたい。,基盤研究(B),小区分09020:教育社会学関連,ネットいじめ,高校階層,国際比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01647,中京大学,森田 次朗,「市民」に必要な能力は何か：シティズンシップ教育のプログラム開発に関する基礎研究,本研究は、1）「市民とは誰か」（国籍、性別、年齢、社会階層等の要件）を再考すると同時に、社会的シティズンシップを実質的に保障するにはいかなる「コンピテンシー」（社会生活を機能させる包括的能力）が必要かを理論・実証的に分析し、シティズンシップ教育の基幹能力像を解明する。2）この作業からカリキュラムと評価軸を策定し、それらを用いたアクションリサーチを学校内外の教育現場（フリースクール、日本語教室等）で実施することで、能力像を反省的に再構築する。,基盤研究(B),小区分09020:教育社会学関連,生きられたシティズンシップ教育,能力の「シビルミニマム」,アクションリサーチ,コンピテンシー,人権教育（HRE）,ケイパビリティ・アプローチ（CA）,教育/福祉の境界,能力の「シビル・ミニマム」,シティズンシップ教育,教育／福祉の境界,学際性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01646,上智大学,相澤 真一,成熟社会における学校教育を経由した階層形成メカニズムの比較歴史社会学的解明,本研究は、Ⅰ．日本パートとⅡ．国際比較パートに分かれ、主に次のような研究作業によって構成されている。日本パートでは、①近現代日本の政治史・経済史の知見の階層形成史の視点による精査、②階層形成史の視点による国勢調査・文部省年報・学校基本調査等各種官庁統計の分析、③階層形成史上重要な時期のマイクロデータのディジタル復元および分析を行う。IIの国際比較パートでは、第二次世界大戦前から戦後の通時的社会構造の把握、ポスト高度成長期の教育改革政策の比較分析、日本の学校概念では自明視されている教育的活動の学校外アクターへの委託状況の整理の作業を行う予定である。,基盤研究(B),小区分09020:教育社会学関連,社会科,馬場四郎,集団（主義）教育,労働市場,マカレンコ,比較歴史社会学,戦後社会,日本,産業化,教育実践,集団主義教育,ドイツ,戦後日本,学校教育,中等教育,東西ドイツ,能力,1950、60年代,経済発展と教育,地域社会の変容,戦後復興期,高度経済成長期,カリキュラム,国際比較,戦後史,西ドイツ,東ドイツ,ソビエト教育学,学歴,学校教育の役割,社会階層の形成,近代化,,,,,,,,,,,,,,,,,,,,,,,,
