awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01002,中国学園大学,住野 好久,非認知能力を育成する放課後支援人材養成カリキュラム開発のための基礎的研究,本研究では、①学童保育実践における非認知能力育成の現状把握、②非認知能力育成の視点を取り入れた新たな学童保育指導員養成カリキュラムの提案を行うことを目的とした。,基盤研究(B),小区分09030:子ども学および保育学関連,非認知能力,放課後児童クラブ（学童保育）,養成課程,学童保育（放課後児童クラブ）,学童保育,放課後児童クラブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01001,畿央大学,古川 恵美,発達障害のある子どもの里親・養親を対象としたペアレント・トレーニングの開発,本研究の目的は、里親・養親のうち発達障害のある(もしくはその可能性のある)子どもを育てている家族を対象としたペアレント・トレーニングのプログラムの開発とプログラムを実践できるファシリテーターの養成である。,基盤研究(B),小区分09030:子ども学および保育学関連,特別養子縁組,ペアレント・トレーニング,発達障害,養親,里親,ソーシャルワーカー,養子,里子,家族支援,愛着障害,フィンランド,ネウボラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01000,同志社大学,石井 好二郎,全国大規模調査による思春期小児の身体活動・生活習慣と睡眠の検討,本研究で得られた結論は以下に示す4点である．1）小学5年～中学2年が身体活動ガイドラインを達成することは，良好な睡眠習慣および生活習慣と関係する．2）思春期小児の日中の眠気に関わる至適な身体活動強度・時間パターンが出現した．この結果は，日中の眠気に対する新たな身体活動の基準値となり得る．3）校種や性別によって日中の眠気に関わる至適な身体活動強度・時間パターンは異なり，集団の特性に応じた基準値を設定する必要がある．4）集団によっては，身体活動時間の長短により日中の眠気に好ましくないと判断される身体活動強度・時間パターンが得られたことから，適切な範囲内で身体活動を実施することが重要である．,基盤研究(B),小区分09030:子ども学および保育学関連,思春期,睡眠,身体活動,生活習慣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00999,京都女子大学,濱崎 由紀子,子どもの精神病リスク早期スクリーニング・システム運用検証とリスク介入戦略の構築,研究代表者らが独自開発した子どもの精神病リスク早期スクリーニング・システム CPSSを臨床運用して小児科および児童精神科外来患者の精神病リスク%を算出し、前向追跡調査によりアウトカムを検証してCPSSの予後予測能を確認した。その結果、CPSSの精神病発症予測能は従来の精神病リスク指標よりも高く、十分な予後予測能を持つことが確認された。また、CPSSは神経発達障害群と精神病リスク群との鑑別にも有用であることが明らかとなった。精神科への早期リファーを必要とする精神病リスク児童をスクリーニングする客観的補助診断法として、CPSSを小児科臨床に役立てることができるだろう。,基盤研究(B),小区分09030:子ども学および保育学関連,精神医学,子ども,精神病リスク,スクリーニング,統合失調症スペクトラム障害,CPSS,予後予測,神経発達障害,リスク介入,統合失調症,早期介入,早期スクリーニング,児童精神医学,リスク介入戦略,精神保健,予防医学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00998,新潟医療福祉大学,杉崎 弘周,インクルーシブながん教育実現のための総合的研究,調査研究によって、家族にがん経験のある子供の割合は約30％と推定され、家族にがん経験のある子供とそうでない子供には、がんに対する意識とがん検診の受診意図に差が認められた。全国調査の結果から、学校でがん教育が行われることを知っている保護者は11％にとどまったが、約73％の保護者が学校でがん教育が行われることに賛成していた。また、子育て世代のがん検診行動に関する要因も明らかになった。学校でのがん教育の推進を支援するため、がん教育教材の作成と評価を行い、がん教育を推進する教育委員会に提供した。これらの成果は、自治体のがん教育研修会や学術シンポジウムで発表して普及に努めた。,基盤研究(B),小区分09030:子ども学および保育学関連,保健,授業,小学生,中学生,高校生,がん教育,学校,児童,生徒,保健教育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00997,慶應義塾大学,藤澤 啓子,良好な就学への移行をもたらす保育の質の解明,本研究は、保育の質を観察に基づき定量的に評価することによって、認可保育所であっても施設やクラス、年度によって提供されている保育の質が異なることを明らかにした。海外先行研究との比較により、乳児クラス・幼児クラスともに、保育者と子どものやり取りに関する良質な保育実践が行われていることが示唆された。また、就学前後にかけて追跡調査をし縦断的分析をした結果、良質な保育は子どもの就学後の問題行動の低さと関連していることが示された。,基盤研究(B),小区分09030:子ども学および保育学関連,保育の質,幼児教育,発達心理学,教育経済学,保育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00996,獨協医科大学,作田 亮一,家庭環境における自閉症母子相互作用の促進プログラムの開発,自閉スペクトラム症（ASD: Autism Spectrum Disorders）を有する小児及び保護者に対し、家庭環境における母子相互作用の促進を目標とし、家庭内母子相互作用の遠隔支援を、同一の包括的母子支援プログラムとして開発することを目的とした。2019年度は3組の母子に対して6ヶ月間に及ぶ介入を行った。2020年度から2021年度は、20組以上の母子に対し、遠隔で短期集中型（1ヶ月間）ワークショップを実施した。包括的母子支援プログラムの開発は完了し、長期型では保護者の育児ストレス・不安を低減させるとともに、ASD児の行動問題の減少を促すことが可能なことが示唆された。,基盤研究(B),小区分09030:子ども学および保育学関連,神経発達症,ペアレントトレーニング,自閉スペクトラム症,応用行動分析,遠隔支援,保護者支援,自閉症スペクトラム障害,行動視察アプリケーション,行動観察アプリケーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00995,青森県立保健大学,古川 照美,健康的社会環境変革への力となる子どもエンパワメント・イグニション・プログラム,本研究では、子どもの頃から、自身の健康は社会環境であるこの地域でつくられているという意識をもち、健康で住み続けたい地域になるよう、積極的に関わっていこうとする力となる、子どものシビックプライドを測定できる尺度開発を行った。中学生を対象にグループインタビューを行い、抽出されたカテゴリーをもとに尺度案を作成し、地方と都市部の中学生とその保護者を対象に調査を実施した。子どものシビックプライドは、日本人の成人のシビックプライドの概念とほぼ同じ概念として抽出された。自分の健康や親の健康、特にまわりの子どもの健康に気にかけることができることも、シビックプライドが醸成される可能性として示唆された。,基盤研究(B),小区分09030:子ども学および保育学関連,子ども,シビックプライド,ソーシャル・キャピタル,健康増進活動,健康調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00994,九州大学,諸隈 誠一,「育てにくさ」と胎児行動との関連に関する研究,ヒト胎児の行動を超音波断層法を用いて観察し、レム睡眠の活動性を示す眼球運動密度と生後発達や睡眠覚醒リズムとの関連を認めた。また、環境省エコチル調査の情報を使用し、妊娠前および妊娠中の母親の身体活動や睡眠と3歳までに診断された児の自閉スペクトラム症（ASD）との関連を解析した。その結果、妊娠中の身体活動レベルが高い母親では3歳児のASDのリスク比は低かった。また、妊娠中の睡眠の問題によりリスク比が高くなる傾向が見られた。,基盤研究(B),小区分09030:子ども学および保育学関連,胎児,発達,育てにくさ,自閉スペクトラム症,胎児行動,育児,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H00993,北海道教育大学,川端 美穂,アセスメント「学びの物語」における個と共同体の試行錯誤過程と研修プログラム開発,政策主導でLSの導入・推進が図られたドイツとは異なり、日本のLS実践は、子どもを肯定的に捉え、より良い保育を希求する園や保育者の存在が導入の契機になっていたこと、ドイツの実践者に課せられている「子どもの探究心を広げ、援助し、誘発すること、学び方の学習を促進すること」はあまり意識されておらず、子どもの「育ち」を家庭に伝え保護者との関係をつくるという側面がクローズアップされることが明らかになった。一方、NZのLS実践は、コミュニティ及び個人の試行錯誤や専門性開発プログラムによって編み上げられてきており、現在もLSの活用方法や書式の工夫等について検討が重ねられ、変化の途上にあることが示唆された。,基盤研究(B),小区分09030:子ども学および保育学関連,学びの物語,受容過程,学び,子ども理解,保育コミュニティ,試行錯誤,内容分析,現任研修,ニュージーランド,日本,ドイツ,テキストマイニング,共同体の受容過程,個人の試行錯誤過程,保育者研修,導入,教育政策,自主的取組み,試行錯誤過程,普及・受容の歴史,保育者養成カリキュラム,保育カンファレンス,形成的アセスメント,学びの”表れ”,保育者の試行錯誤過程,共同体の試行錯誤過程,開発と普及の歴史,研修プログラム,個と共同体,研修,発達観,保育観,保育者の熟達過程,,,,,,,,,,,,,,,,,,,,,,,
