awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01106,国立研究開発法人情報通信研究機構,羽倉 信宏,行為が知覚を「創りだす」脳内メカニズムの解明,本研究では、感覚情報の知覚が運動行為によって修飾されるメカニズムを調べました。目標に向かって運動を行うとき、その目標と実際の運動との差（誤差）を利用して、ヒトは運動を学習します。本研究では、この「誤差の知覚」に注目しました。これまでの運動学習の理論では、脳がこの誤差を正確に受容できるということが前提条件となっており、うまく誤差修正できない場合、それは運動システムが誤差をうまく利用できないからだと考えられてきました。しかし、本研究では、実は誤差が生じるパターンによっては、誤差の「推定」が不正確になり、それが運動学習を阻害してしまうこと、その推定の間違いは後部頭頂皮質で生じることを突き止めました。,基盤研究(B),小区分10040:実験心理学関連,知覚,運動,順応,誤差,学習,知覚意思決定,運動学習,記憶,文脈,運動負荷,視覚意思決定,運動誤差,知覚運動連関,行為,意思決定,負荷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01105,専修大学,澤 幸祐,目的的行動から習慣行動への遷移を支える微視的理論と依存研究への応用,自らの行動の結果を予測し、目的をもって行う目的的行動は、長く持続することで行動の結果ではなく刺激環境の制御を強く受ける習慣的行動へと変化することが知られており、習慣的行動はしばしば、依存のような不適応行動へと遷移するとされてきた。本研究の結果、こうした結果は必ずしも頑健なものではなく、訓練回数や行動の結果得られる刺激の種類のみならず、実験環境を構成する刺激などの影響を考慮する必要があることが示された。,基盤研究(B),小区分10040:実験心理学関連,習慣的行動,目的的行動,依存,連合学習,行動分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01104,慶應義塾大学,渡辺 茂,魚類脳と空間認知：大規模回遊の神経基盤,ニホンウナギの空間認知を調べる為に、モリス型迷路と類似した装置を開発し、ウナギの空間学習を初めて実験的に明らかにした。次にこの学習が迷路外の視覚手がかりを利用したものであること、大脳損傷が学習した空間記憶を障害するという知見を得た。嗅覚損傷、視覚損傷による遊泳運動の障害も分析した。ウナギ脳の外部形態を調べるための指標を開発し、他の魚種と比較してその特異性を明らかにした。,基盤研究(B),小区分10040:実験心理学関連,ウナギ,空間認知,学習,大脳,視覚,脳損傷,側線器官,魚類,脳,外套,海馬,回遊,大規模回遊,アロメトリー,神経機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01103,自治医科大学,平井 真洋,社会的認知発達における遺伝環境要因の解明：日英ウィリアムス症候群・自閉症比較研究,ヒトの社会性を社会表現型が異なる集団と比較するアプローチにより，本研究では，社会的相互作用に困難を抱えるとされる自閉スペクトラム症児者と，過度な社会性を有するとされる7番染色体の一部欠失により生じるウィリアムズ症候群児者を対象とした社会表現型の比較研究を行った．一連の研究の結果，社会応答特性は自閉スペクトラム症とウィリアムズ症候群で異なる共通がある一方，共通する項目があることが判明し，その発達変化を明らかにした．また，社会的環境が異なる環境において社会表現型が変容する可能性も見出した．これらの結果に基づき，ヒト社会表現型に関する理論構築についても検討を進めた．,基盤研究(B),小区分10040:実験心理学関連,自閉スペクトラム症,ウィリアムズ症候群群,疾患間比較,発達,定型発達,社会的認知,ウィリアムス症候群,社会性,文化比較,非定型発達,発達軌跡,文化差,社会的知覚,顔知覚,人種優位効果,比較文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01102,高知工科大学,村山 航,怖いものみたさの心理,人はときとして，ホラー映画のようなネガティブなものを積極的に見ようとする。このような「怖いもの見たさ」はどのような心理メカニズムで起こるのだろうか。バーチャルリアリティを含むいくつかの行動実験を実施した結果，「怖いものは新規だから気になる」（新規性仮説），「怖いものを見る前は，実際に感じる怖さを過小評価している」（誤予測仮説）という考えを支持する結果が得られた。一方で，それだけでは説明しきれない部分も存在し，今後のさらなる研究の必要性が示唆された。,基盤研究(B),小区分10040:実験心理学関連,好奇心,情報探索,知的好奇心,報酬系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01101,大阪大学,林 正道,時間情報読み出し機構の脳局在性の検証,本研究では、時間長情報の脳内表現の局在性に焦点を当てて一連の研究を行った。その結果、頭頂葉と前頭葉に時間長情報を表現する神経細胞群の存在が示唆され、特に右下頭頂小葉の活動が時間長の推定精度と関連していることが示された。さらに、継続時間と間隔時間の脳内表現は同一ではなく、異なる神経細胞群によって表現されている可能性が心理物理実験によって示された。最後に、聴覚刺激によって与えられる時間情報の脳内表現の研究にも着手し、今後も引き続き研究を進める予定である。これらの成果は、時間長情報の脳内表現は脳領域や刺激の様式によって異なっている可能性を示唆している。,基盤研究(B),小区分10040:実験心理学関連,時間知覚,順応,心理物理,脳機能イメージング,fMRI,認知神経科学,数量認知,脳機能画像,脳磁図,実験心理学,頭頂葉,機能的MRI,補足運動野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01100,新潟大学,白井 述,前庭機能の成熟に伴う視覚誘導性自己運動感覚（ベクション）の発達過程の解明,前庭刺激に代表される非視覚性の情報が、視覚誘導性自己運動感覚(ベクション)の生起過程にどのような影響を与えるのか、そうした影響は発達とともにどう変化するのかを小学生の子どもと成人を対象とした実験によって検討した。その結果、全体的に子どもは成人よりもベクションを生じやすい一方で、子ども・成人ともに、身体・重力軸が一致する観察条件で両軸が不一致となる観察条件よりもベクションが生じやすかった。これらの結果は、(1)身体、重力軸の一致・不一致による非視覚情報の変動がベクションの生起しやすさに影響すること、(2)そうした非視覚性情報の影響は少なくとも小学生前後までには成人と類似の傾向を示すことを示す。,基盤研究(B),小区分10040:実験心理学関連,発達,ベクション,前庭機能,非視覚情報,非視覚性情報,前提機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01099,東京大学,村上 郁也,周辺視野での事物の定位に動的信号がおよぼす影響に関する視覚心理学的研究,周辺視野で観察される視覚対象の検知・定位・個別化の知覚については、網膜像の位置情報だけからは決まらない不確定性がある。視覚健常成人を実験参加者とした心理物理学的実験を通じて、局所的運動情報ないし視覚運動印象が存在することにより視覚対象の検知・定位・個別化の知覚に影響が及ぶことが見出された。得られた知覚実験データを定量的に解析することで、周辺視野での視覚対象の知覚に関連する脳内の神経基盤を推定することができた。,基盤研究(B),小区分10040:実験心理学関連,実験系心理学,認知科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01098,東京大学,今水 寛,予測誤差と運動主体感をつなぐ神経機構の解明,人間が適切に身体を動かしているときには「自身が運動している」という運動主体感を得られる．どれくらい主体感が得られるかは，運動時に得られる感覚の予測誤差によって決まるとされている．しかし，予測誤差が運動主体感に繋がるプロセスは未解明である．本研究は，心理実験，数理モデル，脳活動の介入・操作により，このプロセスを検証した．運動中の予測誤差が累積されて，運動主体感の最終的な判断に至る過程を心理実験で明らかにし，その過程をベイズ推定の枠組みでモデル化した．さらに，予測誤差と運動主体感を媒介すると考えられる右の頭頂葉の脳活動を増加させることで，運動主体感の識別力が向上する可能性があることを示した．,基盤研究(B),小区分10040:実験心理学関連,運動主体感,感覚予測誤差,心理実験,数理モデル,ベイズ推定,脳活動計測,側頭-頭頂接合部,ニューロフィードバック,予測誤差,計算モデル,頭頂葉,モデルベーストfMRI,モデルベーストMRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01097,筑波大学,山田 一夫,ギャンブル・薬物依存への脆弱性とストレスレジリエンス：動物モデルを用いた検討,ラット版ギャンブル課題を用いて，ギャンブル嗜好性と薬物依存への脆弱性，およびストレスからの回復力であるレジリエンスとの関連について検討した。その結果，１．ラットにおいてもギャンブル嗜好性には個体差があること，２．脳内報酬系に関わる脳部位（背外側被蓋野）の抑制によってギャンブル嗜好性は低下すること，３．ギャンブル嗜好性と薬物依存への脆弱性には正の相関があること等が明らかになった。,基盤研究(B),小区分10040:実験心理学関連,ラット,ギャンブル嗜好性,薬物依存,ストレスレジリエンス,個体差,オプトジェネティックス,ギャンブル課題,背外側被蓋野,オペラント行動,ギャンブル依存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
