awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01114,同志社大学,川口 周,Berkovich 解析空間とトロピカル幾何，代数・数論力学系の展開,非アルキメデス付値体上の代数多様体に付随する解析空間には多面体的多様体（トロピカル多様体）が埋め込まれており，代数多様体の重要な情報を保持していると考えられる，研究分担者の山木壱彦氏と，直線束の完備線形系に関するトロピカル化の忠実性を調べた．出版された論文は曲線と一般次元の代数多様体のものである．この方向で，トロピカルトーリック多様体とアーベル多様体の場合に詳しく調べた．代数・数論力学系では，Liang-Chung Hsia 氏と Henon写像の族に対して周期点の振る舞いを調べた．吉川謙一氏と向井茂氏と楕円j関数の差とボチャードのPhi関数の明示的な関係を与えた．,基盤研究(B),小区分11010:代数学関連,Berkovich 解析空間,トロピカル幾何,代数・数論力学系,非アルキメデス幾何,解析的捩率,Berkovich解析空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01113,神戸大学,吉岡 康太,連接層と複体のモジュライの研究,Enriques曲面上の安定層のモジュライ空間について双有理幾何を調べた。特に奇数階数の向井ベクトルに対し、モジュライ空間がHilbertスキームと双有理同型であることを示した。K3曲面上の安定層のモジュライについて、ピカール数が１の場合にweak Brill-Noether性について研究をおこなった。アーベル曲面の導来圏の場合に、圏同値を含むある種のendofunctorの族に対し圏論的エントロピーを調べた。特に菊田と高橋の予想をこの場合に確かめた。ピカール数1のアーベル曲面に対し、generalized Kummer多様体の双有理自己同型群を調べた。,基盤研究(B),小区分11010:代数学関連,K3曲面、Enriques曲面,アーベル曲面,Brill-Noether,安定層,K3曲面,安定性,ベクトル束,複体,正則symplectic多様体,モジュライ,連接層,代数多様体,coherent sheaf,complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01112,東北大学,安田 健彦,野性的モチーフ積分論の確立と特異点への応用,本研究課題では、野性的Deligne-Mumfordスタック、モチーフ積分、野性商特異点など、代数幾何学の特異点に関わる複数のテーマについて理論構築とその応用を行った。主要な成果には、等標数の野性的Deligne-Mumfordスタックへのモチーフ積分の一般化、野性マッカイ対応の証明、形式的トーサーのモジュライ空間の構成、2次元KLT特異点の局所エタール基本群の有限性、およびDeligne-Mumfordスタック上のBatyrev-Manin予想の定式化などが挙げられる。研究成果は複数の国際研究集会で発表した。,基盤研究(B),小区分11010:代数学関連,Deligne-Mumfordスタック,野性商特異点,モジュライ空間,モチーフ積分,局所エタール基本群,スタック,Batyrev-Manin予想,特異点,代数的スタック,野性分岐,有理点,弦モチーフ,v関数,野性的商特異点,マッカイ対応,トーサー,商特異点,量公式,野性的Deligne-Mumfordスタック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01111,名古屋大学,松本 耕二,数論的 L 関数と多重ゼータ関数の解析的理論,整数論において極めて重要な意義を持つ、ゼータ関数、L関数さらには多重ゼータ関数の理論について、主として解析的側面からの研究を行なった。ゼータ関数の値分布に関して、確率論や関数空間論の手法を用いて新しいタイプの極限定理や普遍性定理の導出を行ない、Goldbach 予想に付随する Dirichlet 級数との関連も調べた。また多重ゼータ関数については表現論、組み合わせ論的な立場にも立脚して、Schur 多重ゼータ関数とルート系のゼータ関数の繋がりなどを発見した。,基盤研究(B),小区分11010:代数学関連,ゼータ関数,L 関数,多重ゼータ関数,値分布,ルート系,普遍性,M 関数,普遍性定理,L関数,実零点,漸近挙動,特殊値,離散普遍性,混合普遍性,ルート系のゼータ関数,Schur 多重ゼータ関数,関数関係式,明示公式,周期積分,Hurwitz ゼータ関数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01110,名古屋大学,古庄 英和,モチヴィックガロア群と多重ゼータ値から広がる数学ー整数論からの解放ー,モチヴィックガロア群の研究と多重ゼータ値の研究の様々な分野と関連をより鮮明にすべくassociatorを中心として研究を行い以下の研究結果を得ている：多重ゼータ値の調和余積の幾何学的解釈、調和積に付随する二種類の固定化部分群の一致性、アソシエーターのmould理論的定式化、柏原-Vergne Lie 代数とGoncharovの二面体Lie代数のmould理論的解釈、l進超幾何関数の構成、p進超幾何関数の構成、正標数関数体の多重ポリログの解析接続、アソシエーター関係式と合流関係式の等価性。,基盤研究(B),小区分11010:代数学関連,アソシエーター,モチヴィックガロア群,グロタンディーク・タイヒミュラー群,ダブルシャッフル群,柏原-Vergne群,多重ゼータ値,ダブルシャッフル関係式,Teichmuller-Legoの哲学,double shuffle関係式,associators,モチヴィックガロ群,モチッヴィクガロア群,Kashiwara-Vergne予想,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01109,東京大学,今井 直毅,局所 Langlands 対応の幾何化,幾何学的 Langlands 対応の手法を用いて，局所 Langlands 対応の幾何学的実現や，志村多様体の法 p 還元に関する研究を行った．特に GL(3) の内部形式に対する Kottwitz 予想を証明することができた．また局所 Langlands 対応の幾何化に現れる L パラメータのモジュライ空間の構造についても研究を行った．,基盤研究(B),小区分11010:代数学関連,Langlands 対応,整数論,代数学,局所 Langlands 対応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01108,東京大学,權業 善範,双有理幾何学における局所理論と大域理論の結び付け,一般化された極小対数的食い違い係数についての中村勇哉氏とWei-chung Chen氏との共著論文を発表した。この論文はJMSJに出版済みである。さらに進展した研究としては、局所大域対応からみた向井型の予想の研究である。ファノ多様体に対して全指数という新しい概念を導入して、向井型予想の射影空間の特徴ずけの研究を行った。アンブロ・川又の有効的非消滅予想を仮定すると成立することまでは証明できたので、その予想自体は正しそうであることまでは分かった。その結果はKyoto Math. Journalから出版される予定である。またMoraga氏と共同研究で、曲面の場合にさらに詳しいことを調べた。,基盤研究(B),小区分11010:代数学関連,MMP,MLD,極小モデル理論,極小対数的食い違い係数,フリップの停止,フリップ,相対標準因子の正値性,錐定理,ファノ多様体,FLIP,フリップの停止問題,食い違い係数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01107,東京大学,阿部 紀行,法p表現とHecke環の表現論,p進群の法p表現論を，プロp岩堀Hecke環の表現論と関連付けることにより調べ，法p Langlands対応への貢献を行うことを目標として研究を行った．すでにプロp岩堀Hecke環の既約表現と既約法p表現が部分的に対応することは知られていたが，この対応を圏のレベルでの対応にアップグレードした．,基盤研究(B),小区分11010:代数学関連,p進簡約群,既約表現,法p表現,p進群,p進バナッハ表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01783,慶應義塾大学,栗原 将人,岩澤理論の新しい展開,岩澤理論の最近の発展に伴う多くの研究を行うが、その中でも重要なのは、古典的岩澤加群を同変的に研究し、p 進 L 関数との精密な関係を確立すること、次にKatoのzeta elementについての新しい性質を述べた予想を定式化し、他の有名な予想との関係を確立すること、さらにはSelmer群の構造とmodular symbolについて、今まで研究代表者が得ていた結果をさらに発展させることである。,基盤研究(B),小区分11010:代数学関連,Iwasawa theory,zeta elements,Iwasawa module,Fitting ideal,楕円曲線,Selmer群,Gauss和型Euler系,岩澤理論,保形形式,イデアル類群,Fittingイデアル,zeta元,Mazur Tate予想,整数論,同変岩澤理論,ゼータ元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01782,京都大学,加藤 周,ループ空間の幾何学と表現論,表現論とはある対称性がどのような実現を持ち、また複数の実現の間にどのような関係が存在するかを研究する分野である。その中での幾何学的見地の重要性は同一の幾何学的構造(多様体とその上の構造物)の異なる解釈が異なる文脈で生まれた対称性や理論たちの間を結ぶ架け橋を提供してきたことが大きい。本研究ではそこで出現する多様体(たち)の代数的ループ空間を用いて幾何学的表現論の構成を強化し、古典的な枠組みでは理解できなかった表現論の構造を統制できる枠組みを構築することを試みる。また同時に既存の研究の示唆する表現論と数理物理などとの間にある関係などをより深く理解することを目指す。,基盤研究(B),小区分11010:代数学関連,半無限旗多様体,半無限Schubert多様体,半無限Richardson多様体,大域Weyl加群,量子K群,アフィン・グラスマン多様体,孤空間,安定写像,affine Grassmann多様体,ループ空間,反無限旗多様体,アフィン・リー代数,ヘッケ代数,Frobenius分裂性,有理特異点,コストカ関数,量子群,Schubert多様体,Richardson多様体,Borel-Weil-Bottの定理,量子ループ代数,量子クーロン枝,Demazure指標公式,非対称Macdonald多項式,代数的ループ空間,アフィン・ヘッケ代数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
