awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01120,大阪大学,後藤 竜司,Kobayashi-Hitchin correspondence and Donaldson-Tian-Yau conjecture on generalized complex geometry,"一般化された複素幾何，一般化されたケーラー幾何はノンケーラー幾何(双エル ミート幾何), 非可換代数幾何，幾何学的偏微分方程式，実4次元の微分トポロジーなど，様々な分野と深く関連しており，この 研究分野の最近の大きな進展が注目されている．主な研究成果は次の３つである．",基盤研究(B),小区分11020:幾何学関連,一般化された複素構造,一般化されたケーラー構造,一般化された接触構造,ポアソン構造,小林ーヒッチン対応,スカラー曲率,モーメント写像,多重安定性,一般化された佐々木構造,一般化されたケーラー幾何,一般化されたリッチ流,ポアソン多様体,一般化されたケーラー幾何学,一般化されたケーラー多様体,アインシュタイン計量,自己同型群,簡約群,松島・リヒネロビッツの定理,小林・ヒッチン対応,アインシュタイン・エルミート計量,正則ベクトル束,ポアソン　モジュール,安定ベクトル束,アインシュタイン・ケーラー計量,モーメントマップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01119,京都大学,葉廣 和夫,低次元トポロジーにおける代数的・圏論的構造,研究期間内に、低次元トポロジーと群コホモロジーについてのいくつかのトピックスについて研究を行った。Anderson Vera氏と共同で、曲面の写像類群の2重フィルトレーションと付随するJohnson準同型について研究した。小鳥居祐香氏と共同でリボンYetter-Drinfeld加群とタングルの量子不変量について研究した。片田舞氏と共同で自由群のIA自己同型群や曲面の写像類群のトレリ部分群の安定域における有理係数コホモロジーについて研究した。,基盤研究(B),小区分11020:幾何学関連,写像類群,Johnson準同型,Yetter-Drinfeld加群,タングル,自由群のIA自己同型群,群コホモロジー,Hopf代数,リボン圏,IA自己同型群,Hochschild-Serreスペクトル系列,3次元多様体,量子不変量,Kontsevich不変量,群,Johnsonフィルトレーション,Hochschild-Mitchellホモロジー,線形圏,量子群,圏化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01118,京都大学,山口 孝男,リーマン多様体の収束・崩壊理論の新展開,(1)断面曲率が下に有界で、境界の第２基本形式が一様に有界であるような境界つきリーマン多様体の無限列のグロモフ・ハウスドルフ距離に関する収束や崩壊現象について研究し、極限空間の境界特異点の分類と特徴付けを始めとする幾何学をほぼ決定した。（Zhilang Zhang氏との共同研究).(2)曲率が上に有界で測地的に完備な２次元距離空間の位相特異点集合を始めとする局所構造を決定し、曲率が上に有界な多面体による近似定理やガウス・ボンネ定理を得た。(永野幸一氏と塩谷隆氏との共同研究).(3) 境界をもつ３次元アレクサンドロフ空間で崩壊するものの位相を決定した（三石史人氏との共同研究)。,基盤研究(B),小区分11020:幾何学関連,崩壊理論,境界付きリーマン多様体,アレクサンドロフ空間,CAT(1)空間,境界特異点,崩壊,境界つき多様体,スペクトル収束,境界付き多様体,負曲率リーマン多様体,測度距離空間,有界コホモロジー,境界つきリーマン多様体,単体的体積,CAT(1)-空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01117,中央大学,芥川 一雄,特異空間上のアインシュタイン計量・リッチフローおよび山辺不変量の研究,"特異Einstein多様体の典型例であるcone angle 2πaのedge-conen次元球面(S^n, h_a)を扱い，その上で山辺の問題を考えた．0 < a < 1の場合は，小畠型の定理，すなわちh_aに共形的な定スカラー曲率計量は，(S^n, h_a)の特異集合S^{n-2}を保つ共形変換によるh_aの引き戻しとなることを示した．a ≧ 2の場合は，h_aに共形的なedge-cone山辺計量は存在しないことを示した．",基盤研究(B),小区分11020:幾何学関連,スカラー曲率,リッチフロー,山辺不変量,山辺計量,特異アインシュタイン計量,edge-cone 球面,edge-cone 山辺計量,特異山辺の問題,特異山辺計量,特異リッチフロー,特異型小畠の定理,edge-cone山辺計量,edge-cone山辺の問題,拡張されたAubinの補題,Ricci flow,相対アインシュタイン計量,相対山辺計量,極小境界計量,小畠型定理,相対Einstein計量,相対山辺不変量,アインシュタイン計量,特異空間,Einstein計量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01116,東京大学,斎藤 恭司,大域的原始形式の理論,当研究計画の課題は原始形式の解析理論を発展させ可積分系への応用を目指す一方、原始型式の周期積分の大域的理論構築のために、一般化ルート系に対する代数の可積分表現論を構築する等である。各々以下の進展があったが当研究計画終了時には完成せず、次期研究計画にて公表の見込である。,基盤研究(B),小区分11020:幾何学関連,primitive form,elliptic root system,elliptic Lie algebra,elliptic Artin group,elliptic Artin monoid,hyperbolic  root system,integrablerepresentation,cuspidal root system,non-cancellative monoid,second homotopy classees,hyperbolic root systems,primitive forms,vertex operator algebra,原始形式,周期領域,楕円リー環,楕円アルティン群,楕円アルティンモノイド,楕円ルート系,モジュラー群作用,楕円周期領域,原始型式,可積分構造,"$K(\pi,1)$-conjecture",周期写像,無限次元リー館,可積分系,ホモトピー群,非キャンセラティブ,高次ホモトピー類,ハイパボリック　ルート系,無限次元リー環,表現論,楕円積分,Eisennstein 級数,integrable hierarchy,楕円アルティングン,Drinfeld-Sokorov,安定性条件,,,,,,,,,,,,,,,,,
18H01115,北海道大学,吉永 正彦,超平面配置および関連する滑層空間の離散構造を使った明示的研究,超平面配置の代数的、位相的、組合せ論的側面に関する研究を行った。代数的側面については、分担者や協力者との共同研究に基づき、コクセター配置の重複度付きベクトル場の構造と、量子Calogero-Moser系のquasi-invariantsの関係を調べた。位相的側面に関しては、超平面配置の二重被覆の mod 2 Betti数の組合せ論的表示を得、ミルナーファイバーのベッチ数に関するPapadima-Suciuの予想の反例を得た。組合せ論的側面に関しては、G-Tutte多項式や特性準多項式など、数え上げ関数の基本的な性質を調べた。,基盤研究(B),小区分11020:幾何学関連,超平面配置,ミルナーファイバー,数え上げ関数,対数的ベクトル場,被覆空間,エルハート理論,離散構造,滑層空間,特性準多項式,多面体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01788,大阪大学,鎌田 聖一,グラフィクスとカンドル理論の観点からの4次元トポロジーの研究,４次元空間内の曲面がなす結び目や４次元トポロジーに現れる現象を図式（グラフィクス）を用いて記述し、それらの対象を分類するための研究手法を整備する。また、カンドル(quandle)と呼ばれる代数は、結び目理論の研究の中で発見されたが、グラフィクスとも相性が良い。曲面結び目のブレイド表示と不変量の構成、曲面の分岐被覆と曲面foldingの持ち上げ問題、（特異）レフシェツ・ファイバー束のモノドロミーのグラフィクス（チャート）表示、３次元ブレイドとtrisection分解、及び仮想結び目などの関連する対象についてグラフィクスとカンドルの観点から研究を行う。,基盤研究(B),小区分11020:幾何学関連,トポロジー,低次元トポロジー,４次元,グラフィクス,曲面結び目,曲面ブレイド,結び目理論,仮想結び目,ブレイド,カンドル,４次元トポロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01787,大阪大学,糟谷 久矢,複素多様体上の混合ホッジ構造の変動全体に関する幾何学理論,"複素多様体をパラメーターとして複素幾何学的に良い振る舞いをしながら変化する混合ホッジ構造達のことをM上の混合ホッジ構造の変動と呼び、様々な観点から活発に研究されているが、複素多様体Mを固定しその上の混合ホッジ構造の変動の変動全体VMHS(M)についてはあまり多くのことが知られていない。本研究では既存の基点に依存したVMHS(M)の構造理論とは異なる体積形式による""積分""を基礎としたより微分幾何学的なVMHS(M)の構造理論を構築する。",基盤研究(B),小区分11020:幾何学関連,混合ホッジ構造の変動,非可換ホッジ理論,Equivariant正則ベクトル束,Sullivan minimal model,佐々木多様体,ホッジ構造の変動,canonical計量,自由ループ空間,非可換ホッジ構造,Orbifold,Higher Page Hodge理論,Quasi-Kahler manifold,混合ホッジ構造,ケーラー計量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01786,大阪大学,太田 慎一,最適輸送理論と勾配流の幾何学的研究,本研究で主に取り組む課題は以下の2つです。,基盤研究(B),小区分11020:幾何学関連,最適輸送,勾配流,凸関数,リッチ曲率,フィンスラー時空,Gromov双曲空間,重心,情報幾何,非線形熱流,ローレンツ幾何,ピラミッド,曲率,最適輸送理論,Wasserstein距離,等周不等式,ローレンツ・フィンスラー多様体,分解定理,測度の集中,フィンスラー多様体,フィンスラー幾何学,ローレンツ幾何学,情報幾何学,エントロピー,局所化,対数ソボレフ不等式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01785,東京大学,逆井 卓也,グラフ複体と種々のモジュライ空間のコホモロジー環の構造の解明,リーマン面のモジュライ空間や計量グラフのモジュライ空間は数学の様々な分野と関連した重要な研究対象である．これらの空間を有理コホモロジー群の構造を通じて位相幾何学的に理解することが研究の主目的であり，そのために Kontsevich の理論を通じて，グラフホモロジー群と呼ばれる，巨大な組み合わせ的対象の構造の研究へと問題を帰着させる．そこで，代表者と2人の分担者がこれまでに進めてきた理論的手法や計算機による計算技術を用いて，モジュライ空間の特性類を構築することを主目的とした一連の課題に取り組む．また，得られた結果を対応するモジュラー群の言葉を用いて変換し，3次元多様体論へと応用していく．,基盤研究(B),小区分11020:幾何学関連,グラフ複体,グラフホモロジー,特性類,Johnson準同型,シンプレクティック微分,三角形分割,写像類群,Johnson 準同型,曲面の三角形分割,モジュライ空間,トートロジー環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
