awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01125,早稲田大学,松崎 克彦,微分幾何的擬等角拡張と調和解析的普遍タイヒミュラー空間論,タイヒミュラー空間はこれまでリーマン面の変形空間として数学の様々な分野で研究がされてきた．複素解析的な理論の基盤を与える普遍タイヒミュラー空間の研究では，対象となる写像が絶対連続程度の滑らかさを仮定すれは，解析の内容が豊富になることがわかってきた．本研究課題では，BMO空間やベゾフ空間などの調和解析的な理論をタイヒミュラー空間論に組み入れて，複素解析と実解析の相互の補完のもとで関数空間のタイヒミュラー空間の理論を発展させた．とくに，弦弧曲線やヴェイユ・ピーターソン曲線などの族を対応するタイヒミュラー空間で座標付けし，リーマン面に代わりこれらの曲線の複素解析的な変形理論の基礎をつくった．,基盤研究(B),小区分12010:基礎解析学関連,複素解析,実解析,調和解析,双曲幾何,複素解析学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01124,九州大学,白井 朋之,行列式点過程の視点によるランダム現象の解析とその応用,電子（フェルミオン）の重要な性質の一つである反発性を抽象して得られる，確率分布が行列式を用いて記述される確率モデルは行列式点過程とよばれる．一見，電子とは無関係である多くの問題に，この行列式点過程の構造が潜んでいることが知られている．本研究では，そういった種々の行列式点過程について，特に確率論の中心課題である漸近挙動や極限定理を中心にランダム現象の解析を行い，それらをワイヤレスネットワークなどの具体的な問題へ応用した．,基盤研究(B),小区分12010:基礎解析学関連,行列式点過程,ガウス型解析関数,ガウス型ローラン級数,Weyl－Heisenberg点過程,ワイヤレスネットワーク,ダイソンブラウン運動,ランダム複体,複素バーガーズ方程式,ランダム解析関数,全域非輪体,マーラー測度,多重シュラムレブナー発展,超一様性,ベッセル関数,摂動格子,Weyl-Heisenberg点過程,SINR,点過程,点過程の剛性,Weyl-Heisenberg 点過程,harmonic ensemble,spherical ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01123,神戸大学,梶野 直孝,分野横断的視点によるフラクタル及びその上の確率過程の解析・幾何,本研究課題における中心的な研究成果は，フラクタル上の熱拡散が普遍的に「拡散の速さと距離の変形によりウォーク次元（時空間変数のスケーリング関係を表す指数）を2にいくらでも近くできる」という意味でガウス型に任意に近くできること，しかしガウス型にできる例は稀であること，およびウォーク次元とエネルギー測度（勾配ベクトルの長さの2乗の積分に相当する，関数の各集合上でのエネルギーを与える測度）の特異性の関係を明らかにしたことである．その他研究分担者により，フラクタル上の統計物理モデル，群上の調和解析，3次元のループ除去ランダムウォーク・一様全域木などのフラクタルが関係する種々の重要な対象への理解を深めた．,基盤研究(B),小区分12010:基礎解析学関連,フラクタル上の解析学,劣ガウス型熱核評価,エネルギー測度,ウォーク次元,ランダム環境中のディレクティドポリマー,群上の調和解析,3次元ループ除去ランダムウォーク,3次元一様全域木,調和関数,乗法型確率熱方程式,曲面群,フラクタル上のポテンシャル論,フラクタル上の確率過程,Liouville Brown運動,フラクタル上の確率熱方程式,測度のマルチフラクタル解析,双曲群,ポテンシャル論,ランダム媒質中のディレクティドポリマー,自由エネルギー,フラクタル幾何学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01122,名古屋大学,植田 好道,作用素環論に基づく非可換解析学,以前に導入した自由化過程に対応するランダム行列モデルに対する大偏差原理について，特に，そのレート関数の時間無限大極限の挙動を明らかにした．結果として，軌道自由エントロピーと自由相互情報量の関係に関わる問題の多くが完全な大偏差原理を確立することにより解決できることを明らかにした．次にコンパクト量子群の帰納極限のユニタリ球表現論を含むかなり抽象的な枠組を与え，その基礎理論を構築した．また，非可換解析の立場から２変数の関数計算に埋もれていた研究を発掘し，徹底的な形で再定式化し基礎理論を構築した． 他にも非可換解析学に関わるさまざまな研究を行った．,基盤研究(B),小区分12010:基礎解析学関連,ランダム行列,大偏差原理,量子群,ユニタリ表現論,作用素,関数計算,非可換Lp空間,量子ダイバージェンス,C*-環,フォンノイマン環,自由確率解析,作用素環,自由確率論,表現,ユニタリ球表現論,リンク,行列解析,確率測度,調和解析,帰納極限,ユニタリ表現,作用素二項演算,作用素遠近法,作用素関数計算,非可換解析,行列値確率過程,自由独立,流れ,単位的正写像,境界定理,Poisson 境界,非可換,エルゴード理論,離散群,,,,,,,,,,,,,,,,,,,,,,
18H01121,東北大学,竹田 雅好,対称マルコフ過程のスペクトル的性質と確率解析,緊密性を持つ対称マルコフ過程をクラス（T)とよび、一次元拡散過程の次に考察すべき対象として提案した。クラス(T)に属するマルコフ過程の著しい挙動と生成作用素のスペクトル論的性質を調べることで、準定常分布、ヤグロム極限の存在と一意性を示した。,基盤研究(B),小区分12010:基礎解析学関連,対称マルコフ過程,対称ディリクレ形式,準定常分布,シュレディンガー形式,ハーディ型不等式,ディリクレ形式,ハーディの不等式,臨界性,ハーディ不等式,シュレディンガー作用素,最大値原理,リューヴィル性,ランダム時間変更,ヤグロム極限,処罰問題,測度距離空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01794,同志社大学,竹井 義次,特異摂動型微分方程式の解の大域構造と完全WKB解析,特異摂動型微分方程式が有するWKB解やインスタントン解と呼ばれる形式解に、ボレル総和法を用いて意味付けを行うのが完全WKB解析である。完全WKB解析を応用し、微分方程式の解の大域構造を具体的に記述することが本研究の目的である。楕円函数への変換を利用してパンルヴェ方程式の場合にまずこれを実現し、さらに関連する線型偏微分方程式系や差分方程式の完全WKB解析の理論整備にも本質的な進展をもたらすことを目指す。,基盤研究(B),小区分12010:基礎解析学関連,関数方程式論,漸近解析,代数解析,完全WKB解析,パンルヴェ方程式,超幾何函数,ホロノミック系,ヴォロス係数,微分差分方程式系,隣接関係式,積分表示式,ボロス係数,微分方程式,差分方程式,超幾何方程式,単純極,時間依存シュレディンガー方程式,確率微分方程式,ファインマン・カッツの定理,非遺伝性変わり点,ベッセル関数,ストークス幾何,仮想的変わり点,リッカチ方程式,インスタントン解,ボレル総和法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01793,慶應義塾大学,種村 秀紀,無限粒子系における相転移現象の確率解析,本研究課題では、無限粒子系における相転移現象を確率解析の立場から調べる。相転移としては、物質の三態（固相、液相、気相）の移り変わりを一般に指すが、同相の物質中の物性変化（結晶構造や密度、磁性など）や基底状態の変化なども含まれている。無限粒子系は粒子配置の空間に値をとる確率過程として記述され、確率解析の適用が可能である。配置空間は、粒子密度、配置の周期性（結晶性）等により幾何的な性質を捉えることができる。本研究課題は、相を特徴付ける幾何的性質を導入し、相転移現象を幾何的性質の急激な変化として捉え、理解する研究である。,基盤研究(B),小区分12010:基礎解析学関連,無限粒子系,ランダム行列,確率微分方程式,相転移,浸透模型,Elephant random walk,行列式点過程,浸透モデル,エレファントランダムウォーク,中心極限定理,確率模型,可積分確率,極限定理,無限次元確率微分方程式,生物モデル,相転移現象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01792,京都大学,辻本 諭,Pitman変換に基づく確率論による離散可積分系の解析,決定論的な力学系である古典可積分系に対して、確率論を用いた新しい解析手法を確立することを目的とする。ここでは、箱玉系をはじめとする離散時空間上の可積分系に対して、確率論における Pitman 変換の観点を導入し、ランダムな初期状態の振舞いを考えることで、確率論の観点から可積分系の多彩な性質を明らかにしていく。,基盤研究(B),小区分12010:基礎解析学関連,離散可積分系,確率論,Pitman変換,箱玉系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01791,京都大学,矢野 孝次,拡散過程とレヴィ過程およびその変型過程に関する極限定理とその応用,偶然性に左右されて変化する確率過程の中でも最も基本的なクラスである拡散過程とレヴィ過程は，確率論の中心的な研究対象として詳しく調べられてきた．しかしながら，これらの過程は単純すぎて現実問題に現れる複雑な確率過程と大きな隔たりがある．本研究は，拡散過程とレヴィ過程の一部の構造を保ちながら一般化した変型過程を研究し，その極限的性質の理論的究明と新しい現象の発見を目指す．,基盤研究(B),小区分12010:基礎解析学関連,確率過程論,極限定理,拡散過程,レヴィ過程,周遊理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01790,京都大学,角 大輝,ランダムな実および複素力学系、正則写像半群とフラクタル幾何学の研究,(A) ランダムな実および複素力学系、(B) 写像の半群の力学系、多価写像の力学系、(C) フラクタル幾何学の研究を行う。「力学系理論」では、物事がある規則に従って時間とともに変化する様子を探るが、自然界や社会現象ではランダム項が存在するので、その規則がランダムに変化するようなランダム力学系の研究が必要となる。ランダム性がもたらす新しい現象の発見とそのメカニズムの解明を行う。それに関連して多価写像の力学系やフラクタルの研究を行うことが重要である。それらを全て合わせて総合的に多角的に研究を行っていく。,基盤研究(B),小区分12010:基礎解析学関連,ランダム複素力学系,ランダム力学系,正則写像半群,フラクタル,ランダム性誘起現象,エルゴード理論,複素解析学,ジュリア集合,ランダム緩和ニュートン法,マルコフ的複素力学系,力学系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
