awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01192,立命館大学,和田 浩史,スケールアップモデルで探る細菌のメカニカルデザイン,本研究課題では、円筒シェルを始めとする多彩な形状を持つ弾性シェルが示す力学特性や不安定性を、定量的なマクロ模型実験（計測）と詳細な計算機シミュレーション、および理論的解析を組み合わせて総合的に明らかにした。当初の目的は、細菌や植物細胞のように、堅固な細胞壁を有する生物細胞がもつ強さと柔軟さの起源を明らかにし、その生物学な機能の仕組みを物理学の言葉で理解することであった。４年の研究期間を通じて、関連するテーマも積極的に追求することで、大きく分けて５つの成果を得ることができた。それらは、円筒シェルから、弾性リボン、折り紙や切り紙、そしてスナップフィットのような工業デザインまで、多岐にわたる。,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,弾性シェル,座屈不安定性,バイオメカニクス,形態力学,マクロ模型実験,スナップフィット,幾何学的な剛性,細胞の構造力学,シェルの弾性論,細菌の細胞骨格,スケールアップ模型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01191,東京理科大学,吉岡 伸也,生物が持つ表面微細構造の不規則性と多機能性,透明なセミの翅には高さと間隔が250nm程度の突起が無数に存在している。その突起配列は人工的に作成された構造とは異なり乱れを多く含む。本研究の目的は配列や高さに乱れがある突起配列が複数の機能を持つことを確認し、その原因を明らかにすることである。本研究ではセミの翅を対象に構造を定量的に評価し、機能面では撥水性、滑落性を評価した。解析の結果、適度に乱れた突起の高さのばらつきがそれらの機能を生み出していることが示唆された。また、自己組織化過程で作製された規則性と不規則性を併せもつコロイド粒子凝集体に関する研究を並行して行い、いくつかの構造体において構造の乱れと光学特性の関係性を明らかにした。,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,ナノパイル構造,撥水性,滑落性,セミの翅,不規則性,バイオミメティクス,撥水効果,多機能性,表面構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01190,慶應義塾大学,岡野 真人,時空間分解テラヘルツ流動光学の創出とゴムの力学特性と内部フィラー構造の相関解明,本研究では、代表的な実用高分子材料の1つであるカーボンブラックフィラー添加ゴムを研究対象とし、時空間分解テラヘルツ偏光分光計測を通じてマクロな力学特性にともなうミクロな内部フィラー構造変化の観測を目的として研究を行った。応力緩和と応力軟化という2つの特徴的な力学変形に着目し、高速・高精度テラヘルツ偏光測定装置の開発と、内部フィラー構造の配向分布を考慮した有効媒質理論に基づく複素誘電率スペクトル解析を行うことで、それぞれの力学応答中の内部フィラー状態の変化を系統的に理解することに成功した。,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,テラヘルツ偏光計測,流動光学,ゴム複合材料,テラヘルツ光弾性,黒色ゴム,応力軟化,応力緩和,高分子材料,高分子複合材料,テラヘルツ分光,偏光計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01189,九州大学,水野 大介,代謝依存的にガラス形成する細胞質のマイクロレオロジ-,代謝の失われた細胞質はガラスとして固化するが、代謝の活発な細胞質は何故か流動性を持つ。代謝活動に伴う非平衡環境が、細胞質の力学的性質、ひいては生理応答に重大な影響を及ぼすが、その機序は不明である。本研究では、細胞質のガラス化が代謝依存的に決定される物理的な機構を解明するために、代謝活動や非平衡性を安定的に制御できる細胞質のモデル系を作製し、そのメカニクス(力学応答と代謝に伴う非平衡揺らぎ)をマイクロレオロジー計測した。生体乱流と呼ばれる強力な力学的駆動を伴う懸濁試料では、揺動散逸定理の破れとともに試料が流動化すること、そして、高周波数側の揺らぎまでも増大することが分かった。,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,マイクロレオロジー,非平衡,細胞質,アクティブガラス,アクティブマター,非平衡メカニクス,非平衡散逸,非平衡力学,フィードバックマイクロレオロジー,細胞質ガラス,アクティブ流動化,代謝,揺らぎ応答,細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01188,大阪大学,金 鋼,分子論的に予言するガラス転移の劇的スローダウン：遷移状態と輸送特性,ガラスの劇的スローダウンとは、ガラス形成物質の緩和時間が有限温度で発散的傾向を示すことを意味する。その温度依存性にはおおまかに2種類ありフラジリティという指標によって分類されてきた。フラジリティを理解することはガラス形成物質を分類する上で本質的であり、そこで水・高分子・シリカ・金属ガラスを対象にした分子動力学シミュレーションによる理論解析を展開し、個別各論的な研究を乗り越える俯瞰的な研究をおこなった。特に、物質輸送の凍結度よりも粘性が見かけ上増大するStokes-Einstein則の破綻やデバイ則より過剰に励起されるボゾンピークという、ガラス形成物質の普遍的な異常性を包括的に解析した。,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,ガラス転移,過冷却水,高分子ガラス,フラジリティ,ボゾンピーク,ケージジャンプモデル,ストークス-アインシュタイン則,分子動力学シミュレーション,過冷却液体,構造緩和,スローダイナミクス,分子シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01187,東京大学,柳澤 実穂,細胞モデルによる細胞内異常拡散メカニズムの解明,細胞中では、ブラウン運動とは異なる異常拡散が生じる。本研究では、高濃度高分子溶液を脂質膜で閉じ込めた細胞サイズの液滴により細胞の構造を再現し、蛍光相関分光法を用いた拡散挙動の解析から、構造的な特徴が分子拡散へ及ぼす影響の解明を目指した。その結果、異常拡散性は、高分子がつくる混雑環境にのみ依存して液滴半径には依存しなかった。一方、拡散係数は液滴半径が約20um以下で低下すること、その低下度は液滴を覆う膜物性に依存する現象を見出した。この要因として、分子クラスター形成による分子サイズの上昇、あるいは高分子鎖の実効的な緩和時間の変化が考えられ、今後その検証を行う予定である。,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,細胞モデル,高分子混雑,異常拡散,蛍光相関分光法,粘弾性,人工細胞,閉じ込め,生物物理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01186,東京大学,斉藤 圭亮,水素結合ネットワーク構造に基づく蛋白質内プロトン移動の予測,プロトン移動現象を蛋白質の構造的観点から簡便に予測する手法を確立することをめざし，プロトン移動の分子機構と水素結合ネットワークを含む蛋白質構造との関係を明らかにした．,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,水素結合,プロトン移動,光合成,水分子,アクアポリン,分子動力学シミュレーション,量子力学/分子力学法,蛋白質構造,QM/MM法,分子動力学法,電子移動,ダイナミクス,ネットワーク,光化学系II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01185,東京大学,石原 秀至,生体組織の成長を理解するための新規力学モデルの発展と応用,(1) 生体組織の連続体モデルの開発をおこなった。このモデルは、細胞形態変化、細胞再配置、細胞分裂・細胞死などが複雑に絡み合う組織の変形を記述できる。さらに、フェーズフィールド法によって、組織全体の形態や二種細胞系を扱えるようにモデルを拡張した。(2) 細胞輪郭が可視化された動画データから細胞や組織の変形をテンソル量で計測する手法を改良し、連続体モデルで提案した関係式の検証を行った。(3) 細胞集団のパターン形成過程を調べた。分子量保存による粗大化、曲面が引き起こすパターン伝播機構について、パターン形成について一般に言える新規な現象を発見した。,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,組織力学,個体発生,連続体力学,パターン形成,発生生物学,レオロジー理論,固体発生,細胞集団協同運動,多細胞連続体モデル,理論生物物理学,形態形成,統計学的手法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01184,埼玉大学,前田 公憲,光化学量子磁気コンパスの3次元可視化,渡り鳥等のコンパスのもととなるタンパク質中での小さな磁場領域における磁場効果の多角的かつ多次元的な計測が可能な，新しい時間分解測定法を開発し，それを用いた計測から低磁場効果の根源となるスピンダイナミクスに関する新しい知見を得た．同時に磁気コンパスの可能性を持つタンパク質系の合成に成功し，その磁場効果測定にチャレンジした．さらにパルス磁場を用いた測定から，低磁場効果の原因と思われる，スピン系のコヒーレントなダイナミクスにアクセスする方法論を開発した．,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,量子,スピン,ラジカル対,磁場効果,渡り鳥,磁気感受,磁場,化学反応,クリプトクロム,電子スピン共鳴,光シグナル,電子スピン,蛋白質,スピン動力学,分子磁気感受,スピン化学,キャビティリングダウン,低磁場効果,磁気コンパス,量子スピン動力学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01865,立命館大学,深尾 浩次,高分子薄膜のガラス転移とダイナミクス--界面・拘束下における非平衡緩和--,高分子薄膜で観測されるガラス転移温度のバルクからのずれの原因を明らかにし，さらには，ガラス転移温度の制御を最終的な目的として，高分子単層膜，高分子積層膜のダイナミクスと界面構造の変化を誘電緩和測定と中性子反射率測定を用いて調べる．誘電緩和測定からは，高分子薄膜のガラス転移に関係したα過程の緩和時間の温度依存性，中性子反射率測定からは界面のラフネスと各層の膜厚が得られる。これらの物理量の温度，アニール時間依存性を評価することにより，ガラス転移の本質に迫る．,基盤研究(B),小区分13040:生物物理、化学物理およびソフトマターの物理関連,高分子薄膜,ガラス転移温度,α過程,遅い過程,中性子反射率測定,誘電緩和測定,X線小角・広角散乱,エイジング,液体状態,ガラス状態,アレニウス過程,ガラス転移,特性長,高分子積層膜,ポリフマル酸,アダマンチルアクリレート,誘電緩和,ポリスチレン積層膜,中性子反射率,相互拡散,膜厚依存性,界面ダイナミクス,散乱長密度,積層膜,移動度,重水素化,ダイナミクス,界面相互作用,拘束条件下,,,,,,,,,,,,,,,,,,,,,,,,,,,
