awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01208,国立研究開発法人産業技術総合研究所,金 賢夏,低炭素水素社会に向けたプラズマ触媒の気固境界面反応場の基盤技術,新規低温触媒反応場の具現化するモデル反応としてアンモニア合成にRu触媒を用いる場合、従来の熱触媒反応に（90～120 kJ mol－1）に比べ、プラズマ触媒では活性化エネルギーが1/3以下まで大きく減少することを明らかにした。これはプラズマ触媒では明らかに反応障壁が下がっていること裏付ける定量的な一例である。また、触媒表面で形成されるサーフェスストリマの進展特性について電源の極性の影響を明らかにした。　この研究成果は、今まで実験的に確認されてきた触媒の種類による反応活性の違いを解明する上で極めて重要な学術的情報が提供できると共に、今後の触媒の改良及び高度設計に有効に活用できるものである。,基盤研究(B),小区分14030:プラズマ応用科学関連,低温プラズマ,触媒,アンモニア合成,沿面ストリーマ,プラズマジェット,プラズマ触媒,触媒活性,界面反応,気固界面反応場,CO2資源化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01207,首都大学東京,杤久保 文嘉,液滴を用いたプラズマ誘起液相反応利用のためのプラズマと液滴の相互作用の解明,プラズマと液滴の相互作用解明を目的とし、大気圧プラズマにおける液滴挙動・誘起される液滴内の反応、コロナ放電とエレクトロスプレーの相互作用、について取り組んだ。,基盤研究(B),小区分14030:プラズマ応用科学関連,プラズマ液体相互作用,液滴,エレクトロスプレー,コロナ放電,誘電体バリア放電,放電数値解析,大気圧プラズマ,プラズマ液滴相互作用,レーザー応用計測,プラズマシミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01206,九州大学,板垣 奈穂,スパッタエピタキシーによる革新的エキシトンデバイスの実現と励起子輸送機構の解明,本研究は，高精度フラックス制御スパッタと代表者オリジナル材料ZIONを駆使して，革新的エキシトンデバイスを創製することを目的とした．主な成果としては，①単結晶ZIONエピタキシャル成長，②原子レベルで急峻なZION/ZnOヘテロ界面の形成，③ゲート電極への光照射によるエキシトントランジスタのスイッチング動作実証，が挙げられる．また本研究では，従来ブラックボックスとなっていた外場によるエキシトン輸送の機構解明も試みた．エキシトン輸送方向に平行な電界成分を外力とした拡散方程式を解いた結果，両極性拡散と不均一電界中での双極子の並進運動がデバイス内でのエキシトンの主な輸送機構である可能性が示された．,基盤研究(B),小区分14030:プラズマ応用科学関連,エキシトントランジスタ,酸化物半導体,ZION,量子井戸,プラズマ,スパッタリング,エピタキシャル成長,結晶成長,プラズマプロセス,プラズマエレクトロニクスエ,エキシトント,トランジスタ,歪み量子井戸,ピエゾ電界,プラズマエレクトロニクス,エキシトン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01205,大阪大学,北野 勝久,活性窒素種ならび液中分布を考慮したプラズマ誘起液中化学反応の深化,大気圧低温プラズマは生体へ熱損傷を与えずに多種の化学種を供給できるという点で様々な応用が期待できる。濡れ環境である生体への適用を考えた時にプラズマ誘起液中化学反応場というコンセプトが重要になってくる。供給された化学種が生体分子に化学修飾をすることが作用機序であるが、本研究では、短寿命な化学種は液中で濃度勾配を持ち、活性酸素種のみならず活性窒素種まで考慮に入れることで研究を進めた。プラズマ照射中の気液界面の極薄い領域でのみ活性窒素種の過硝酸が生成されていることがわかった。過硝酸のバイオ応用は世界初であり、その反応作用を評価するために、生体分子との化学修飾に関する研究を行った。,基盤研究(B),小区分14030:プラズマ応用科学関連,大気圧プラズマ,プラズマ誘起液中化学反応場,プラズマ医療,プラズマ消毒,過硝酸,活性窒素種,反応速度論,アミノ酸,殺菌,活性窒素酸素種,プラズマ誘起液中化学反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01890,東京工業大学,竹内 希,ナノ空間を有するナトリウムドープ炭素材料の液中プラズマ合成と海水電池への適用,本研究では，液中プラズマプロセスを用いた海水電池のアノード材料合成技術の開発を行う。海水電池は海水中のナトリウムイオンを媒体として充放電が可能な二次電池である。有機溶媒中で形成した液中プラズマにより，構造中に多数のナノ空間を有する炭素材料の合成と高密度ナトリウムドープを単一プロセスで実現する。従来材料よりも高いナトリウム密度とナノ空間の存在により，高いナトリウム貯蔵能力と安定性を達成する。海水を用いての放電過程ではカソードで生成される次亜塩素酸により海水の殺菌・浄化が可能である。よって，商用船舶に搭載する二次電池として用いることで，バラスト水による環境汚染問題の解決が期待される。,基盤研究(B),小区分14030:プラズマ応用科学関連,液中プラズマ,炭素材料合成,ナトリウムイオン電池,酸素還元反応,材料合成,海水電池,プラズマ生成確率,二次電池,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01889,名城大学,伊藤 昌文,プラズマバイオ科学基盤形成のための活性種時空間分布評価手法の開発,プラズマから発生する気相の活性種の絶対密度だけでなく、気相中の活性種が液相中で反応して新たに発生する液相の短寿命活性種の絶対密度の空間分布を定量評価できるシステムを構築する。このシステムを用いて照射量を精密に制御することで大腸菌や酵母などの細菌細胞、メラノーマや線維芽細胞などの培養細胞に対しての時空間的な不活性効果だけでなく活性効果を定量的に評価する。また、これら粒子の相乗効果についても精密に計測し、各種ラジカル密度と各種細胞の活性化・不活性化の時空間的な分布の相関についてもデータを蓄積し、プラズマバイオ科学の基盤形成を目指す。,基盤研究(B),小区分14030:プラズマ応用科学関連,大気圧プラズマ,低温プラズマ,プラズマバイオ,気相中活性種密度測定,液中活性種密度分布測定,ラジカル,活性酸素種,活性窒素種,長寿命活性種,短寿命活性種,時空間分布計測,液相,気液界面,線維芽細胞,増殖促進,液相活性種,紫外吸収スペクトル,硝酸イオン,亜硝酸イオン,気相,プラズマ,気相活性種,時空間分布測定,過酸化水素,活性種,空間分布,プラズマ活性溶液,細胞活性,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01888,大阪市立大学,白藤 立,プラズマと液体の界面反応場を利用した機能性複合材料薄膜の合成,近年，液体が関与するプラズマプロセスが材料・医療・農業・環境分野で注目されている．しかし，その多くはプラズマの効果がダイレクトに及ばない液体中の反応を利用している．これに対し本研究では，他では代替不可能なプラズマからの直接的効果が及ぶ界面反応場の存在が顕在化したプロセスとして，これまでに報告例のないプラズマ／液界面での機能性薄膜形成という新奇プロセスを提案する．申請者は準備研究によってその可能性を見出した．本研究では，このプロセスにおける膜厚制御因子や複合材料化のメカニズムを見出し，プラズマと液体が接することによってのみ実現可能な革新的プロセスの基盤を確立する．,基盤研究(B),小区分14030:プラズマ応用科学関連,プラズマ,気液界面,重合,ポリエチレンジオキシチオフェン,ポリスチレンスルホン酸,低分子量化,多糖類,液体,界面,材料プロセス,薄膜,マイクロコンタクター,機能性複合材料薄膜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01887,九州大学,渡辺 隆行,ナノ混相プラズマ流の物理・化学現象解明に基づく環境浄化プロセスの開発,熱プラズマにミストやコロイドをナノスケールで混相させた熱流体を構成することにより，高密度の活性種を空間と反応する空間を重畳させた非平衡反応場を形成できる。この特異な反応場の物理化学的な変動現象を可視化することにより，従来のプロセスの律速段階を改善し，高速かつ高効率の環境浄化プロセスを実現することを目的とする。従来のプロセッシングは，プラズマ中で発生した活性種をリモートで処理する方法が多いが，これではプラズマの化学的特長を活かすことができない。プロセスの対象物もプラズマの構成物質として，活性種の非平衡反応が支配する時間的・空間的に特異なナノ混相流をつくり，環境浄化プロセスへと展開する。,基盤研究(B),小区分14030:プラズマ応用科学関連,熱プラズマ,水プラズマ,有機物分解,プラズマ温度,アーク変動,可視化,プラズマ変動,反応性流体,反応性熱流体,反応非平衡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01886,京都大学,占部 継一郎,プラズマから出るイオン流れの多次元ハイスループットLIF計測,プラズマの核心的産業応用であるプラズマ材料（半導体）プロセスと宇宙電気推進器では，「プラズマから引き出されるイオンの流れ（方向・速度）」がその性能を決定的に左右する．本研究では，このイオン流れの非擾乱計測手法であるレーザー誘起蛍光（LIF)法を発展させ，プロセス異常予測やプラズマばらつき評価などの現在の重要課題に対応できる新規イオン流れ計測手法を開発する．また，計測データ解析の高度化・自動化にも共同研究を通して取り組み，これらの研究を通じた「イオン流れのハイスループット計測技術」の確立を目指す．,基盤研究(B),小区分14030:プラズマ応用科学関連,プラズマ,イオン,レーザー分光,時空間速度分布,イオンシース,レーザー誘起蛍光法,プラズマプロセス,電気推進器,イオン流れ計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H01885,東京大学,伊藤 剛仁,時空間制御型ミクロ液相を用いたプラズマ材料プロセスの創成,近年、プラズマ生成活性種が引き起こす液相内反応である“プラズマ誘起液相反応”は、バイオ応用、材料合成応用、環境応用などでの新展開をもたらし、プラズマ応用における世界的な潮流の一つとなっている。研究代表者は、液相をミクロ化する“プラズマ誘起ミクロ液相反応”の研究を推進し、世界に先駆け“プラズマ援用インクジェットプリンティング”を実現してきた。本研究では、高度に時空間制御されたミクロ液相とプラズマとの相互作用に関する研究を行い、最終的には、プラズマ援用インクジェットプリンティングによる革新的フレキシブルデバイスの実現を導くとともに、プラズマと液相との相互作用の理解を深める。,基盤研究(B),小区分14030:プラズマ応用科学関連,大気圧非平衡プラズマ,インクジェット,単分散粒子,描画,電界計測,プラズマ誘起ミクロ液相反応,プリンティング,プラズマプロセス,ミクロ液相,フレキシブルデバイス,粒子合成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
