awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01244,国立研究開発法人宇宙航空研究開発機構,満田 和久,TES型マイクロカロリメータを用いた太陽アクシオン探査,太陽アクシオンコンバータとして57Fe薄膜をもつTES型マイクロカロリメータを実現するため４つの主要課題を解決する方法を，要素試作と電磁界シミュレーションにより検討した。続いてその解決方法に基づいたTES型マイクロカロリメータを設計・製作し，X線照射により評価した。その結果，信号の立ち上がり波形が大きくばらつくことがわかり，その原因を検出器の熱応答シミュレーションにより検討した。その結果，金薄膜の熱伝導度が不十分であることが示唆され，それを改良する製作方法を開発した。これらに基づいて，8x8フォーマットのアレイ素子を設計し，マイクロ波周波数空間信号多重化による信号読み出しの準備もすすめた。,基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,アクシオン,太陽アクシオン,マイクロカリメータ,超伝導転移端,マイクロカロリメータ,超伝導遷移端,TES型マイクロカロリメータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01243,名古屋大学,柏谷 聡,超伝導接合による暗黒物質アキシオンの検出のための基盤技術開発,ジョセフソン素子とアクシオンの相互作用の基礎を確立し、実験室系の装置を用ることでアクシオンを探索する手法を構築することを目指す。当初はジョセフソン素子のコンダクタンスからアクシオンに関する信号を検出することを目指して実験を進めたが、アクシオン由来の構造は観測されなかった。そのため独自の手法として、rf電流からの共振磁場の観測を目指し、理論解析と実験を進めた。発生磁場はrf周波数とアクシオンの周波数を一致させることにより共鳴的に増加し、SQUID等の高感度磁場検出により測定が可能であることが示せた。現在SQUIDとジョセフソン素子を組み合わせた独自の構造の素子を開発し、測定を進めている。,基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,暗黒物質アクシオン,ジョセフソン接合,トポロジカル量子現象,アクシオン,プリマコフ効果,共振効果,暗黒物質アキシオン,超伝導接合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01242,国立研究開発法人理化学研究所,板橋 健太,η′核分光実験によるQCD真空へのアプローチ,"ドイツ重イオン研究所にて実施したη′核分光実験(実験課題番号 S490)を実施した実験は約5日間のビームタイムで行われ 毎秒一億個程度の 2.5GeV 陽子ビームを炭素標的に照射し、12C(p,d)反応により前方に放出される重陽子と、標的周囲に放出される粒子を大立体角検出器WASAでコインシデンス計測 することで行った。現在、前方の破砕核分離装置 FRS と WASA のデータを結合した解析を行っており、解析の状況については国際会議を含む研究会等で発表し、プロシーディ ングの形で報告している。解析が終わり次第、論文執筆を行い、投稿、出版の予定である。",基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,η′,量子異常,軸性U(1)対称性,カイラル対称性,ハドロン,分光,イータプライム中間子,ドイツ重イオン研究所,中間子,η′中間子原子核,軸性U(1)量子異常,真空の構造,U(1)対称性,プラスティックシンチレータ,波形デジタイザ,η′中間子,低エネルギーQCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01241,国立研究開発法人理化学研究所,山口 敦史,「原子核時計」実現にむけたトリウム229核異性体準位のエネルギー測定,高分解能ガンマ線検出器である超伝導転移端センサーを用いた精密ガンマ線分光により、トリウム229(Th-229)の低エネルギー原子核励起状態(アイソマー状態)のエネルギーを8.30±0.92 eVと決定した。Th-229のアイソマー状態のエネルギーは、同時期に他のグループでも異なる実験手法で測定され、すべての測定値が不確かさの範囲内で一致し、実質的に値が確定された。これにより本研究は、原子核時計の実現に向けた次のステップである、Th-229原子核の直接レーザー分光の実現に道筋をつけた。,基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,原子核時計,ガンマ線分光,超伝導転移端センサー,原子時計,原子核分光,カロリーメーター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01240,大学共同利用機関法人高エネルギー加速器研究機構,西野 玄記,宇宙マイクロ波背景放射観測の高感度化を実現する観測システム,本研究は宇宙マイクロ波背景放射（CMB）観測の高精度化を実現することによるインフレーション理論の実験的な検証などを通じた宇宙論の進展を目的としたものである。CMB観測の高精度化の手段として、新たな環境モニターの開発とそれを導入するための観測・データ収集システムの開発を進めてきた。チリ・アタカマ砂漠におけるCMB偏光観測実験Simons Array実験においては本研究で開発された観測システムがその観測制御の要となり、同実験のCMB観測遂行の基礎的な役割を担っている。また、高精度な温度測定系、偏光変調装置のデータ収集系を開発するなど、将来のCMB偏光観測実験でも応用可能な観測システムを構築した。,基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,宇宙マイクロ波背景放射,インフレーション宇宙論,データ収集,CMB,インフレーション,データ収集系,偏光観測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01239,大学共同利用機関法人高エネルギー加速器研究機構,佐々木 憲一,精密物理実験のための超高均一磁場調整手法の開発,J-PARCで進められているミュオンを対象とした素粒子実験では、0.2 ppm p-pという非常に高い磁場均一度を持つ空間が要求されており、そのための磁場調整手法及び、超高精度な磁場分布測定装置の基礎開発を行った。磁場測定装置について、センサー直近に配置される電気回路の素子および設計見直しを行い小型化に成功した。また、複数chを並列配置するための条件を検討した。磁場調整手法について、従来用いられる小鉄片では大きすぎる飽和磁化により微調整には向かないため、体積飽和磁化が小さい磁性流体や磁性パテを用いる手法を検討した。磁性パテを用いた磁場調整試験を行い、0.17ppm p-pの均一度を達成した。,基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,超伝導磁石,精密磁場調整,磁場測定,磁性流体,磁性パテ,精密磁場測定,核磁気共鳴,磁場調整,NMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01238,大学共同利用機関法人高エネルギー加速器研究機構,豊田 晃久,極限放射線環境下における高感度非破壊プロファイルモニタの研究開発,本プロファイルモニタを実現するために必要なことは、機器の耐放射線性能が十分であること、必要測定分解能を満たすこと、信号量とS/Nが十分であることの3つである。耐放射線性能についてはシミュレーションで放射線場を計算してそれに耐える機器を設計した。測定分解能については電場と磁場の一様性と光学分解能をシミュレーションで最適化した。信号量とS/Nについては発光効率を実測し、バックグラウンドを計算で評価した。以上の設計に基づき機器を製作し、ビームタイムにて収量、S/Nおよび分解能について定量的な評価を行うことで、極限放射線環境下での高感度非破壊プロファイルモニタを実現できた。,基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,大強度ビームモニタ,耐放射線,ビームプロファイル,大強度ビーム計測,ビームプロファイル測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01237,国立研究開発法人日本原子力研究開発機構,橋本 直,K中間子重水素原子のX線分光,我々は世界初のK中間子重水素原子X線分光を行うことで、反K中間子と核子の相互作用をアイソスピンを分離して決定することを目指している。本研究ではまず実験の鍵となる大立体角シリコンX線検出器ユニットについてビーム試験で十分な性能を確認した。続いて低温高圧ガス標的システムにX線検出器を組み込んだ上でビームを用いた総合試験を行い、K中間子ヘリウム及びK中間子水素X線の検出に成功した。これらのテスト実験の結果をふまえて実験装置を改良、ビームラインの向上も検討することで、K中間子重水素原子X線分光の実現の目処が立った。,基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,K中間子原子,KbarN相互作用,J-PARC,X線分光,シリコンドリフト検出器,シリコンX線検出器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01236,国立研究開発法人日本原子力研究開発機構,土屋 晴文,雷や雷雲中の電子加速に由来する光核反応の検証,雷や雷雲が医療の現場にあるX線発生装置と同様な仕組み（制動放射）でX線を発生させる。加えて、近年では雷で発生した高エネルギー制動放射線が原子核とぶつかり、中性子をはじき出す光核反応を起こすことも明らかになった。本研究では光核反応を引き起こすガンマ線閃光の詳細を調べた。その結果、約100京個の高エネルギー電子がガンマ線閃光の発生に寄与し、光核反応で発生した中性子は発生点から1 kmにわたり広がり、その減衰時間が50ミリ秒ほどと推定された。,基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,粒子加速,ガンマ線計測,中性子計測,雷,雷雲,光核反応,放射線計測,即発ガンマ線,中性子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01235,国立天文台,LEONARDI MATTEO,Broadband quantum noise reduction via EPR squeezing,2015年に重力波が初めて検出されたことで、重力波天文学の時代が始まった。重力波の検出数を増やすためには、重力波検出器の感度を向上させる必要がある。重力波検出器の感度を制限する最も基本的な雑音は、光の量子雑音である。このノイズを抑制するためには、光の量子的な性質を操作して、スクイーズド真空場と呼ばれる状態を作る必要がある。,基盤研究(B),小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,freq. dep. squeezing,filter cavity,quantum optics,gravitational wave,KAGRA,frequency dep. squeezing,Quantum Optics,Gravitational Wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
