awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01389,芝浦工業大学,山田 純,形成外科治療におけるレーザー光と皮膚組織の微視的相互作用,レーザー治療は，皮膚のシミやほくろの除去，生まれつきのあざ，火傷や手術の傷跡の治療など，急速に利用が拡大している．多くの成果を上げている一方で，医療事故も少なくない。その原因は，照射されるレーザーと生体組織の相互作用が十分に理解されていないことにある。本研究では，その相互作用の詳細をコンピュータで予測するためのプログラムを開発した。これにより，レーザーの照射強度，照射時間などが，皮膚組織のダメージに与える影響を明らかにした。,基盤研究(B),小区分19020:熱工学関連,パルスレーザー,形成外科,生体,シミ,色素沈着,ふく射輸送,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01388,慶應義塾大学,田口 良広,モノリシック光電子ピンセットの創成とオンチップ分離濃縮・拡散センシングの実現,本研究では、プラスチック基板を用いたマイクロ流体デバイスで、ナノバイオ試料のサイズ、凝集性質や分子間相互作用を高速・簡易に分析可能なセンシングチップの開発を行った。本センシングチップでは、ナノバイオ試料の夾雑物を分離し、ナノバイオ試料の濃縮が可能である。ドラッグデリバリ等に応用可能な脂質二重膜であるリポソームを用いて、ピコリットルオーダの極微量液滴内でこれら操作が可能であることを実験的に検証し、提案手法の妥当性を明らかにした。,基盤研究(B),小区分19020:熱工学関連,光電子ピンセット,拡散係数,センシングチップ,熱物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01387,慶應義塾大学,松尾 亜紀子,多分散系微粉体がもたらす爆発被害：シミュレーションが解き明かす炭塵燃焼と安全評価,数値流体力学と離散要素法の組み合わせによる反応性粒子による圧縮性粒子流れに対する解析手法を新たに構築し，衝撃波による堆積粒子分散現象の関わる問題に対する粒子挙動を調べた．対象とする問題に対して従来用いられていた二流体モデルに基づく解析手法では捉えることの出来ない，粒子希薄領域での粒子挙動追跡を目的として新規解析モデルを構築した．また、衝撃波によって誘起される堆積炭塵燃焼に対する数値解析を行い，実験値との比較により本手法の多分散系燃焼問題に対する妥当性を示した．また，定常伝播時の燃焼波構造について解析結果から明らかにした。,基盤研究(B),小区分19020:熱工学関連,爆発,固気混相流,数値解析,燃焼,安全評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01386,学習院大学,渡邉 匡人,共鳴液滴振動法による高温融体の粘性測定と粘性率温度変化の再考,ガスジェット浮遊法で外力を印加して励起した液滴振動から粘性率を求める手法において，共鳴振動数付近での振幅変化から粘性による液滴振動の減衰定数を求める共鳴振動法の確立を目指し研究をおこなった．この結果，ガスジェット浮遊法で浮遊溶融した酸化物融体の粘性率を共鳴振動法で得られることを確認し，その方法を確立できた． また，ガラス化の指標となっているAngellプロットを測定した粘性率の温度変化から作成したところ，測定温度とガラス化温度の比を0.4以下にすることが困難であることがわかった．また，ガラス化するような融体の粘性は0.1mPa・s以下の低粘性に達するのが困難であることも示した．,基盤研究(B),小区分19020:熱工学関連,粘性,高温融体,ガラス化,無容器浮遊法,液滴振動,酸化物,粘性率,浮遊法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01385,九州工業大学,長山 暁子,固液気異相界面の界面抵抗と界面摩擦機構のマルチフィジックス,固体・液体・気体の異相間接触によって生じた界面抵抗は，系の代表寸法が小さくなるとその効果が相対的に増加し，従来のマクロ系の伝熱理論が成立しなくなる要因になる．本研究では，伝熱は伝熱面積，濡れは濡れ面積，電気化学反応は反応面積に支配されることに着目し，①固液気の異相間界面抵抗と熱・濡れ・電気化学特性との相関関係を解明するとともに，②スケール効果で顕著となる界面抵抗が摩擦界面の温度や粘性などに著しい影響を及ぼすため，摩擦機構における界面効果を明らかにすることを目的とした．,基盤研究(B),小区分19020:熱工学関連,固液気界面,界面抵抗,界面摩擦機構,接触面積,濡れ,摩擦機構,真実接触面積,マイクロ・ナノデバイス,ナノトライボロジー,分子動力学解析,固液気異相界面,界面摩擦,界面効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01384,九州大学,河野 正道,高圧ひずみを利用した熱・電子輸送の制御と環境親和型熱電材料への応用,本研究では重要な半導体材料である，シリコンやシリコンゲルマニウム混合材料に対して，高圧ひずみ加工（高い圧力を材料に加えることで，材料内部の微細な構造を変形させる）を施すことによって，準安定相（通常の構造とは異なる構造）を導入し，その物性を制御することを目的とした．高圧ひずみ加工を行うことにより，材料の熱伝導率や電気伝導率が大幅に変化することを観測したのと同時にその光物性も高圧ひずみ加工による構造変化の影響を受けることが分かった．また理論計算にて準安定相の熱伝導率の予測と物理的な理由を見いだすことも可能とした．,基盤研究(B),小区分19020:熱工学関連,高圧ひずみ,シリコン,熱伝導率,電気伝導率,比抵抗,準安定相,シリコンゲルマニウム,フォトルミネッセンス,熱輸送,熱物性,電子物性,SiGe,熱電材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01383,大阪大学,津島 将司,エネルギー損失最小化を実現する燃料電池電極触媒層の設計解の解明と実証,本研究では，固体高分子形燃料電池におけるエネルギー損失を最小化する電極触媒層の設計解を明らかにし，実証するための研究を実施しました．電極触媒層中の構成材料と空隙の体積分率に加えて，気液二相流を考慮した３次元反応輸送構造モデルを構築し，電極触媒層の設計因子とエネルギー損失に関する検討を行いました．実証については，マイクロプリンティング技術を展開し，マイクロプリンティング電極触媒層では空隙構造が異なることにより，電池性能が向上することを明らかにしました．これにより，エネルギー損失最小化を実現する燃料電池電極触媒層の設計解の解明と実証の基盤となる構造解析手法と構造制御技術を獲得しました．,基盤研究(B),小区分19020:熱工学関連,燃料電池,物質輸送,ナノマイクロ構造制御,数理最適化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01382,大阪大学,芝原 正彦,分子間エネルギー輸送機構に基づく，相変化を伴う複雑な流体－固体界面熱輸送の設計,相変化を伴う複雑な流体－固体界面熱輸送を精密に設計するための知見を得るために，分子動力学シミュレーションと実験の両面から研究を実施した．本研究で提案した分子間エネルギー輸送機構に基づいた高時空間分解したエネルギー輸送の可視化手法により，表面性状に依存した流体－固体界面熱輸送特性の向上や低下が，微細な局所構造を有する界面領域のどこでどの段階で生じたことに起因するのかについて，定常熱伝導，凝縮，凝固，蒸発，沸騰などの様々な熱輸送現象を対象に具体的に明らかにした．,基盤研究(B),小区分19020:熱工学関連,界面,エネルギー輸送,相変化,分子動力学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01381,京都大学,巽 和也,決定論と確率論を用いた空間連結モデルによる不連続性液体の対流伝熱特性の評価,現在，伝熱現象においてスケールが小さくなると全体の方向性を示す決定論に加えて，“ゆらぎ”の確率論的要素を考慮する必要がある．本研究では，確率連結型ネットワーク構造を有するナノワイヤ群の熱伝導率や粒子混合流体の対流熱伝達率を求めるため，2次元サーモリフレクタンス法に基づくナノスケールの空間・時間分解能を持つ固体表面温度計測装置を製作してナノワイヤ群の2次元温度分布と伝熱特性，マイクロ粒子が流れるマイクロ流路の輸送特性，そして高分子流体流れの熱伝達率を高い精度で測定することに成功した．これにより，平均の熱伝導率・熱伝達率とともに連結部や粒子通過時等における時間・空間的変動特性を評価した．,基盤研究(B),小区分19020:熱工学関連,決定論・確率論,2次元サーモリフレクタンス法,マイクロ流路,対流輸送,伝熱特性,高分子流体,粒子流れ,ナノワイヤ群,確率論,不連続性流体,ナノワイヤ,対流伝熱,不連続性,ナノ伝熱,熱伝導,粒子制御,ワイブル分布,固液界面,温度計測,確率統計,ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01380,横浜国立大学,森 昌司,自己組織化Hybridナノ堆積層とハニカム多孔体の連成による新規高効率沸騰の物理,電子機器の高発熱密度化、原子炉事故時の緊急冷却などに対応して、超高熱流束除熱を受動的に実現する冷却技術が切望されている。沸騰冷却の限界は、限界熱流束と呼ばれ、これを超えて熱負荷を増やすと熱機器は破損する。以上の背景下、これまでの研究でナノ流体とハニカム多孔質体の連成により大幅に限界熱流束が向上する結果を得たので、そのメカニズムについて実験的に検討を行った。その結果、ハニカム多孔質体による向上効果に加え，ナノ粒子層によって多孔質体からセルへ液を供給したことによるもの，dry spotの大きさ減少，wickability向上などによることなどが明らかになった。,基盤研究(B),小区分19020:熱工学関連,沸騰,限界熱流束,相変化,限界熱流束向上,ハニカム多孔質体,ナノ流体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
