awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01398,同志社大学,山本 浩司,軟骨遺伝子転写応答のin-situフィードバックによる最適力学負荷システムの開発,再生医療において，目的の組織を生体外でより効率的・効果的に再生できる培養環境の構築は極めて重要な課題である．本研究では培養とともに変化する組織状態に応じて刺激制御可能な新規培養システムの開発を行った．力学刺激の最適化により軟骨組織の基質合成を促進させることを目指し，本研究ではまず力学刺激に対して軟骨内のコラーゲン線維の向きが細胞応答に及ぼす影響を明らかにした．また，力学刺激がコラーゲン構造体の形態形成に及ぼす影響を検討し，コラーゲンの合成に関連した遺伝子の転写応答をライブモニタリングすることで，細胞の代謝活性に応じた外部刺激の最適化を図ることに成功した．,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,軟骨再生,再生医療,in-situフィードバック,力学刺激,転写応答,最適化,培養軟骨,遺伝子転写応答,in situフィードバック,メカニカルストレス,プロモーター,力学場,コラーゲン構造,組織培養,細胞外基質,in-situ観察,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01397,慶應義塾大学,石上 玄也,多角的な接触力学情報を統合したフィールドロボット動力学シミュレータの創出,本研究課題では，ロボットと不整地環境との接触情報を実機にて模擬するハードウェア・イン・ザ・ループ・シミュレータ（HILS）について，特に，車輪型移動ロボットならびに排土作業ブレードを対象としたHILSを構築するとともに，基盤となる接触力学モデルの洗練化を達成した．HILSの実証実験によりその有用性を確認するとともに，シミュレータモデルの減衰係数がHILSの高忠実度に大きく寄与することが，車輪走行・排土作業という異なる2つの実験対象から明確となった．本研究によって，不整地移動ロボティクス含め同様の接触問題をHILSによって解明する際の知見を得ることが出来たと考える．,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,ハードウェアインザループシミュレータ,ロボティクス,動力学,ハイブリッドシミュレータ,テラメカニクス,接触力学,フィールドロボティクス,ハードウェアインザシミュレータ,フィールドロボティスク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01396,大分大学,劉 孝宏,革新的振動減衰装置の開発と自動車用ATへの応用,本研究では，エンジンによる強制ねじり振動を低減するため，自動車用オートマチックトランスミッションに装着する新たな遠心振子式動吸振器を開発した．振子の軌道を回転角の多項式で仮定し，応答振幅が最も低減される最適軌道を数値計算により求めた．その結果，従来型より大きな制振効果が得られることがわかった．また，質量，イナーシャリング，スライダクランク連鎖からなるスライダクランク式動吸振器について，理論解析および数値計算を実施した．その結果，ねじり振動を最も低減可能な設計パラメータには最適値が存在すること，最適化したスライダクランク式動吸振器を用いることで飛躍的に大きな制振効果が実現できることがわかった．,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,回転体の振動,動吸振器,強制振動,非線形振動,オートマチックトランスミッション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01395,九州工業大学,川原 知洋,Egg-in-Cubeプラットホーム：3次元血管誘導と力学刺激応答試験への応用,本研究では，透明人工殻でニワトリ胚を長期培養しながら自在な観察・操作を行うことができる生体プラットホーム（Egg-in-Cube）について，人工殻表面に構造体を付加して２次元的に部分血管誘導を行う技術を発展させ，３次元的に血管誘導を行う方法論の確立を試みた．結果的に，人工殻表面に付加する構造体（四角形状のシリコンチューブ）の作製や，人工殻への統合方法を確立したことで，高い確率で血管の部分誘導を達成した．また，誘導した血管に対して観察や操作を加えるための周辺技術開発も行い，部分誘導した血管の力学刺激応答計測への応用可能性についても探索を行った．,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,生体シミュレータ,ニワトリ胚,機能性人工殻,血管誘導,力学刺激応答計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01394,九州工業大学,伊藤 高廣,自走式カプセル内視鏡の研究,振動を利用して生体内を自走できる、カプセルカメラを実現した。検査時に違和感や苦痛がなく、検査率の飛躍的向上へつなげる。本研究では、振動を利用して走行するカプセルが、生体を構成する柔らかい管の中で前後方向に走行できることを実証した。ヒトの腸と類似したイヌの腸内で走行させ、カプセルが画像を撮影しながら腸内走行する様子をビデオに収めることに、世界で初めて成功した。さらに、ワイヤレス給電によりイヌの腸内でカプセルを走行させることにも成功した。本技術による自走式カプセル内視鏡は、自宅にいながらにして腸内の検査ができるため、コロナ後の新生活における、在宅医療にも貢献することができる。,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,カプセル,内視鏡,自走,振動,医療機器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01393,電気通信大学,舩戸 徹郎,小脳における直立姿勢制御系の学習と機能回復の設計原理,小脳における学習を伴う姿勢制御の原理に、小脳障害ラット・患者の直立運動計測、直立ラットの外乱学習実験と数理モデルを通してアプローチを行った。下オリーブ核障害ラットでは非線形制御系、小脳疾患患者では積分制御機能が低下し、ともに内部モデル学習の障害による予測制御機能の低下が示唆された。内部モデルに基づく姿勢制御モデルを構築し、直立外乱学習の結果との比較により評価を行った。これにより、小脳における学習を伴う姿勢制御が、内部モデルに基づく予測制御によって説明できることが明らかになった。,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,姿勢制御,予期的姿勢調節,小脳,学習,モデル予測制御,運動学習,樟脳,予測制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01392,早稲田大学,金子 成彦,ドライバーの体調予測に資する数理モデルの構築,本研究は，自律神経の活動状態が心臓系に及ぼす影響を再現したモデルと末梢血管のモデルに心臓からの拍出流量のモデルと血管系のモデルを統合し，これに生理学・熱力学的な原理に基づいた人体の体温調節モデルを組み合わせて，温熱環境の変化と自律神経指標の変化の相関性を評価可能なモデルを提案した．実験では車室内環境を模擬したブースで室温を短時間の間に変化させながら被験者の心拍間隔を取得し，自律神経指標の変化を評価可能な実験環境を試作し，被験者による覚醒度の変化に関する実験を行い，提案したモデルの妥当性を検証した．,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,モデル化,自動車,交通事故,居眠り運転,体調モニタリング,生体信号処理,温熱環境,非侵襲計測,機械力学,数理モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01391,宇都宮大学,吉田 勝俊,自転車走行のふらつきを予測する数理モデルの構築とパラメータ同定,自転車の走行運動について，ロール運動，前輪接地点変位，操舵角からなる３自由度の測定実験に成功した．そのダイナミクスを再現する数理モデルを提案してパラメータ同定を行い，モデル適合度97％超の高精度モデルを得た．次に，予測処理のリアルタイム化に向けて，伊藤確率解析を駆使した新しい同定手法を提案し，計算効率の悪いモンテカルロ法をショートカットすることに成功した．さらに，同定計算の高速化に向けて，本研究で用いた粒子群最適化法を，新しい原理で独自に拡張し，複数のパラメータ探索結果を，１回の実行で得ることに成功した．,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,自転車,ふらつき走行,動的モデル,パラメータ同定,ゆらぎ,確率密度関数,走行実験,数理モデル,予測,モデル化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01390,東北大学,田中 秀治,圧電薄膜アクチュエータの高安定・高信頼性センシングと高精度制御,圧電MEMSアクチュエーターの位置決め精度と信頼性を確保する方法として，PZT圧電MEMSに埋め込みSiピエゾ抵抗センサーを適用する技術を実証した。デバイスを試作し，感度やノイズを評価するとともに，当該センサーを用いて振幅の制御を行った。,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,MEMS,圧電薄膜,PZT,ピエゾ抵抗センサー,エピタキシャル成長,信頼性,PMN-PT,圧電MEMS,ピエゾ抵抗,SmドープPMN-PT,アクチュエータ,センサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02098,東京都市大学,野中 謙一郎,動的環境の実時間SLAMの実現,SLAM(Simultaneous Localization and Mapping)は，センサ計測した周囲の形状から自己位置推定と地図構築を同時に行う手法で，今日では広く利用されている．しかし，周囲の移動体は一般に別処理で扱われるためプログラムが複雑になる．本研究では、MHE(Moving Horizon Estimation)によるベイズフィルタの枠組みを通じて移動体の位置推定もSLAMに統合し，モデル予測制御で発展した実時間最適化手法を応用して高速計算する．そして，電動車いすの人混みでの走行実験と，自動車の市街地走行実験により，人などに囲まれた環境における本手法の実用性を検証する．,基盤研究(B),小区分20010:機械力学およびメカトロニクス関連,SLAM,MHE,実時間最適化,動的環境,モデル予測制御,物体追跡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
