awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01415,関西大学,青柳 誠司,微細針による毛細血管・細静脈からの採血システムの開発（蚊のバイオミメティクス）,蚊の針の細さの摸倣のみならず，その穿刺動作を工学的に摸倣して新規な穿刺・採血メカニズムを提案・開発することを目標とする．具体的な成果は以下の通り．1)蚊が皮膚に針を刺し入れる際に針を回転させていること，血管を穿刺する際に血管を突いていることを，動物皮膚を用いて確認した．２）生分解プラスチック製の中空微細針を開発した．３）この針を回転させるデバイスを開発した．有限要素法により，回転による穿刺抵抗力低減，皮膚のたわみ低減の効果を確認した．４）皮膚に張力を与える治具を開発した．５）血管を可視化するシステムを開発した．６）人体を用いてほぼ無痛であること，吸血が可能であることを確認した．,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,マイクロナノデバイス,生体模倣,精密部品加工,FEMシミュレーション,医療・福祉,マイクロ・ナノデバイス,生体摸倣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01414,立命館大学,和田 隆広,反射眼球運動の数理モデリングと操作主体感の推定手法への応用,研究代表者らが過去に提案している，前庭感覚系による運動知覚機構に基づいた動揺病（酔い）のcybernetic modelに，同じ前庭感覚系（耳石器，半規管等）で表現可能な前庭動眼反射（Vestibulo-Ocular Reflex，以下VOR）（頭部運動によって生じる反射的眼球運動）を算出できるように発展させることに成功した．また，運動・操作に対して自らが主体的に行っている感覚を表す，操作主体感（SoA）が変化した場合に，提案モデルの特定のパラメータが変化することを明らかにした．また当該モデルに，運動予測の効果を表現する機能を追加することに成功した．,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,前庭動眼反射,操作主体感,計算モデル,前提動眼反射,自己運動感覚,動揺病,数理モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01413,大阪府立大学,萩原 将也,制御ー計測ー情報の高度融合による組織形成場におけるダイナミクス解析,本研究課題においては、in vitroの培養環境を微細加工を始めとする工学技術で制御した状態で長期に渡り細胞動態のデータを取得し、数理モデルに還元することで多細胞集団が特定パターンを形成する過程で場に働くダイナミクスの解析を行った。細胞が細胞外マトリックス内を移動する際には、ECMから抵抗力を受けており、この抵抗力は細胞の活動によりダイナミックにリモデリングされ、細胞が存在しやすい場を自ら作り上げていることを明らかにした。さらに人為的にECMを局所的に制御することで、細胞の移動方向を誘導可能であることを示し、三次元組織パターン形成においても場を支配することで制御できる可能性があることを示した。,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,培養環境制御,パターン形成,細胞行動,ECMリモデリング,微細加工,集団形成,初期形状制御,特徴量抽出,細胞集団行動,細胞環境制御,マクロピノサイトーシス,微細加工技術,行動モデル,細胞集団形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01412,広島大学,高木 健,多くのエネルギを取り出せる動力伝達系を実装した超高速4足歩行ロボットの実現,11個のリンクから構成される脚機構を提案し開発した．2つの入力をもちその入力は無限回転できる特長を持つ．また，足先軌道はこの2つの入力の位相差で調整することができる．開発したロボットの全長は1.0 mで，質量は電池を含めて17.9 kgである．一脚は3自由度あり，内2自由度が提案機構で，残り1自由度はロール方向の回転軸である．全体では自由度は12である．また，速度1.0 m/sの歩行を実現した．,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,4足歩行ロボット,機構,動力伝達機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01411,岡山大学,呉 景龍,記憶・想起の脳機能ネットワークの解明と認知症早期治療システムの構築,現時点では認知症を完全に治す薬がなく、症状の進行を食い止めるための非薬物的な早期治療が極めて重要である。本研究では、申請者らの脳機能ネットワークの解明とニューロフィードバックと経頭蓋電気刺激による早期治療に関する最新成果を活かして、高磁場環境で使用できる実験装置を独自に研究開発し、認知実験、脳波とfMRIを併用する手法によって、記憶脳機能ネットワークを研究し、認知症の早期治療方法を提案している。さらに、早期治療の実験によって認知症の早期治療モデルの有効性を検証し、記憶脳機能ネットワークに基づく視覚・聴覚・触覚の多感覚ニューロフィードバックの認知症早期治療システムを構築した。,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,記憶・想起,脳機能ネットワーク,認知症早期治療,多感覚処理,記憶・想起の脳機能ネットワーク,認知症,認知心理学,脳波,fMRI,記憶・想起脳機能ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01410,大阪大学,池本 周平,物理的拘束を利用する柔軟筋骨格ロボットアームの運動学習,本研究は，空気圧人工筋で駆動される柔軟な筋骨格ロボットアームを用い，学習初期において物理的な拘束下で試行錯誤を行った方が，最終的に拘束が無い状態で同様の運動を実現することが容易になるという実例を示すことを目標としている．具体的な例として，柔軟なロボットアームにクランクを把持させて回転させる運動に注目し，クランクを回転させることができる制御入力の探索問題に取り組んだ．その結果，筋骨格ロボットアームの柔軟性により，手先に与えられたクランクの物理的な拘束が自ずと運動に表れ，非常に簡単な方法であってもこの探索問題を解くことができることが分かった．,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,筋骨格ロボット,空気圧人工筋,筋骨格ロボットアーム,生物規範,筋骨格,生物規範ロボット,物理的拘束,運動学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01409,京都大学,中西 弘明,ロータフラップ角制御による超ロバストなスタビレス無人ヘリコプタの実現,スタビレス機の飛行実験を実施し，低速飛行時と高速飛行時ではその挙動が異なることを明らかにした．その説明のため，ロータ空力特性計測装置を構築し，誘起速度およびその分布のモデルを構築し，それに基づいてロータ空力特性の推定ができることを明らかにした．さらに，地面や天井などにロータが接近するに現れる壁面効果に提案法を適用し，地面効果および天井壁効果の新たなモデルを構築した．フラップ角制御において，インクリメンタル法を組み合わせることにより，空力パラメータの不確かさに対してロバスト性が高い飛行制御系を構築した．また，スタビライザを有する場合へ提案法を拡張し，様々な不確かさに対するロバスト性を確認した．,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,無人ヘリコプタ,スタビレス化,フラップ角制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01408,滋賀医科大学,山田 篤史,弾性ループ機構と同軸半割り機構を統合した新規弾性マイクロ波手術機器の開発と評価,本研究では，弾性ループ構造に着目することで，簡易な構造ながら，高度な屈曲性能やマニピュレーションを実現する医療機器用の屈曲機構を複数提案した．また，医療機器として近年応用されているマイクロ波の焼灼特性を調べるために，システムのインピーダンス変化を計測した．最後に，屈曲機構とマイクロ波機器の統合を検討した．,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,屈曲機構,弾性ループ機構,フレキシブルメカニズム,マイクロ波治療機器,操舵機構,Active Sheath機構,医療機器,弾性機構,マイクロ波機器,ロボット機構,MRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01407,北陸先端科学技術大学院大学,平塚 祐一,生体分子モータで駆動する自律振動型人工筋肉の光造形とマイクロロボットの開発,最近、研究代表者らは生体分子モーターを遺伝子工学的に改造することにより、光照射により形成できる人工筋肉を開発し、マイクロロボットの動力源として利用できることを示した。しかし、この人工筋肉は一回の収縮のみで実用にはまだ遠い。本研究では生体分子モーターの特長の一つである自律振動に注目し、自律振動を内包する鞭毛を含んだ人工筋肉の構築が可能かどうか検証し、自律振動するマイクロロボットの構築を目指した。従来のキネシン・微小管系人工筋肉システムの微小管の代わりにクラミドモナスから精製した鞭毛を利用し、鞭毛を含む人工筋肉の形成を可能とした。,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,モータータンパク質,人工筋肉,マイクロロボット,ロボット,分子モーター,アクチュエータ,分子ロボティクス,生物物理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01406,北陸先端科学技術大学院大学,Ho Anhvan,"Mechanics of Variable Afferent Network Morphology, with Design of Soft Sensing Devices",本研究では、変更可能な神経ネットワークの形態（VANmorph）の提案に基づいて、柔軟なボディにおける能動的な変形によりロボットの体の感覚や触覚など様々なセンシングへの実現ができることを検証した。具体的には、しわ形態などの概念を通じて、解析モデルや数値的なシミュレーションにより、ソフトなセンサに適切な駆動メカニズムを統合した上でVANmorphの実現を確認することもできた。また、そういったシステムは能動的な形態の変形で、単なセンシング素子（歪みゲージなど）でも、ボディの変形への検知やインタラクションにおける触覚などを備えることができる。最後に変形可能なロボットハンドやプロペラの提案も成功した。,基盤研究(B),小区分20020:ロボティクスおよび知能機械システム関連,ソフトロボット,形態の計算,しわの形態,触覚センサ,Beam Bundle Model,ロボットハンド,プロペラ,Vision-based sensor,Active morphology,VANmorph,Soft robotics,Tactile sensing,Large scale sensor,Whisker sensor,Light FEM,soft sensorized body,soft haptic interaction,形態計算,VariableAfferentNetwork,MorphologicalComputation,Wrinkle-inspired sensor,Large-scale sensing,Deformable propeller,soft haptics,morphological design,active sensing,wrinkle-based sensor,morphological computing,active tactile sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,
