awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01484,国立研究開発法人産業技術総合研究所,澤 彰仁,ハフニア系強誘電トンネル接合による人工シナプスの実現に向けた素子技術基盤の構築,強誘電トンネル接合（FTJ）の人工シナプスとしてのポテンシャル評価を目的に、BaTiO3を強誘電トンネル障壁層とするFTJによりスパイク時刻依存シナプス可塑性（STDP）特性を調べ、従来型の抵抗変化メモリを用いた素子に比べ、伝導度変化のばらつきが小さく、動作安定性の優れたSTDP人工シナプスとして機能することを実証した。また、表面平坦性塗膜厚均一性の高いHfO2系強誘電体薄膜の作製方法を開発し、同方法を用いて作製した膜厚2.4 nmのZrドープHfO2強誘電膜を強誘電トンネル障壁層とするFTJにおいて抵抗スイッチング効果を実証した。,基盤研究(B),小区分21050:電気電子材料工学関連,電子・電気材料,表面・界面物性,トンネル接合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01483,国立研究開発法人量子科学技術研究開発機構,佐藤 真一郎,量子センサーの電気的制御を室温で実現するランタノイド注入GaNダイオード,GaNにイオン注入したPrの発光を利用したナノスケール温度計測（量子センシング）を提案し、実証した。また、Prの間接励起発光による量子センシング、すなわち電気制御による量子センシングが可能であることを示した。これらの実現のために不可欠となるイオン注入したPrの高効率活性化を達成するため、イオン注入温度や熱処理条件に対するPrの活性化の変化を系統的に明らかにした。また、ナノスケール領域に注入されたPrおよびNdからの発光を高コントラストで検出するため、共鳴励起条件や励起光強度依存性、発光遷移寿命といった発光特性を詳細に明らかにし、Pr・Ndを高度に光制御するための知見を得た。,基盤研究(B),小区分21050:電気電子材料工学関連,半導体工学,材料科学,量子ビーム科学,量子技術,量子センシング,窒化ガリウム半導体,ランタノイド,発光ダイオード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01482,国立研究開発法人物質・材料研究機構,中払 周,原子薄膜半導体による超低消費電力トンネルトランジスタの開発,情報処理における消費電力を大きく削減すると期待されるトンネルトランジスタを２次元物質で構成し、そのデバイス動作実証を行った。チャネル層に遷移金属ダイカルコゲナイド系半導体材料である二テルル化モリブデンを、絶縁層に六方晶窒化硼素をそれぞれ用いて、金属電極として白金とニッケルを並列して設置する特殊な構成を用いた。これらの金属の仕事関数の違いを利用することで、ｎ型／ｐ型領域を２つの独立したゲート電極による電界ドープ法で形成した。２つのゲートに印加するバイアスの極性を調整して、デバイスを流れる電流を観測することで、バンド間トンネリングが生じていることを確認した。,基盤研究(B),小区分21050:電気電子材料工学関連,トランジスタ,バンド間トンネリング,２次元物質,遷移金属ダイカルコゲナイド,トンネルトランジスタ,低消費電力,トランジスタ極性,二次元物質,層状物質,半導体,二次元半導体,トンネル効果,原子薄膜,トンネル現象,低消費電力デバイス,2次元物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01481,国立研究開発法人物質・材料研究機構,早川 竜馬,分子を用いた単電子共鳴スピントランジスタの開発,“磁性分子”を“スピン量子ドット”に用いた新規縦型スピントランジスタを実現することを提案した。分子をトンネル絶縁膜に内包した2重トンネル接合を作製し、縦型トランジスタのチャネル層として用いた。分子軌道を反映した単一キャリアトンネル電流を観測し、ゲート電圧によるドレイン電流の変調を実現した。続いて強磁性電極を用いた2重トンネル接合素子を作製し、単一キャリア伝導と強磁性電極のスピン反転によるトンネル電流のスイッチングを実現した。さらに、有機ラジカル分子をスピン量子ドットとしてトンネル絶縁膜中に内包する技術を確立し、有機ラジカル分子の離散準位に起因するトンネル電流と負の磁気抵抗効果を観測した。,基盤研究(B),小区分21050:電気電子材料工学関連,分子スピントランジスタ,量子ドット,磁性分子,2重トンネル接合,縦型トランジスタ,縦型単電子スピントランジスタ,分子スピン,磁気トンネル接合,磁気抵抗効果,トンネル電流,トンネル2重接合,単電子トンネリング,高集積化,分子,単電子スピン操作,縦型スピントランジスタ,強磁性電極,スピントランジスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01480,上智大学,中岡 俊裕,レドックス型固体電離箱の探求と無給電ワイヤレス放射線センサーへの応用,"高線量でも動作しコンパクトかつワイヤレス化も可能な，新しい動作原理に基づく放射線センサーを提案，原理動作を目指し，Agカルコゲナイドにおいて，γ線によるAg拡散に起因する可逆な抵抗変化と不可逆な抵抗変化の双方を観測した。2 kGy/hの高線量下において4％程度の可逆な抵抗変化をリアルタイム測定し，センシング可能であることを実証した。複素インピーダンス測定とTOFSIMS,TEM観察，電子線回折を駆使した分析結果をふまえ，動作メカニズムのモデルを提案した。",基盤研究(B),小区分21050:電気電子材料工学関連,放射線センサ,異常拡散,電気化学反応,カルコゲナイド,抵抗変化,放射線センサー,フォトドーピング,Ag拡散,レドックス反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01479,大阪府立大学,高橋 和,高品質フォトニック結晶素子におけるインコヒーレント光励起誘導ラマン利得の研究,実用的なナノ共振器シリコンラマンレーザの開発に向けて研究した。インコヒーレント光によるナノ共振器からのラマン散乱スペクトルとコヒーレント光によるスペクトルを比較した。ラマンレーザ発振に期待が持てる結果が得られたが、インコヒーレント光では発振に十分な量の光を共振器内に注入できなかった。目的達成には発振閾値を下げる必要がある。そこで機械学習により設計Q値を高めたナノ共振器、閾値を半減できる短波長帯ラマンレーザ、ヘテロ反射ミラー付きラマンレーザを開発した。予期しない成果として、インコヒーレント光で励起されたシリコンナノ共振器による空間電荷センサ開発が有望な応用であることを実証した。,基盤研究(B),小区分21050:電気電子材料工学関連,ラマンレーザ,高Q値ナノ共振器,シリコンフォトニクス,誘導ラマン散乱,シリコンラマンレーザ,高Q値微小共振器,フォトニック結晶,誘導ラマン,シリコンレーザ,微小共振器,シリコンラマンレーザー,ナノ共振器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01478,九州工業大学,堀出 朋哉,超高性能超伝導線材開発に向けたポスト人工ピン技術の創生,YBa2Cu3O7超伝導テープ線材の臨界電流密度向上のための構造設計指針を示すことを目的に研究を行った。ナノロッドを有するYBa2Cu3O7膜において特性の異方性を解析し、ピンニング、線張力、磁束間相互作用が磁束配置に及ぼす影響を明らかにした。ナノロッドに加えてナノ粒子(人工的導入/自己組織化)を導入することにより磁束挙動を制御した。さらに積層欠陥による界面原子配置の変化とそれによる特性向上の機構を解明した。,基盤研究(B),小区分21050:電気電子材料工学関連,超伝導,薄膜,磁束ピンニング,ナノ構造,超伝導薄膜,ナノコンポジット,界面,ナノロッド,ダブルペロブスカイト,ナノ粒子,多層膜,高温超伝導,臨界電流密度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01477,九州工業大学,寺井 慶和,バンド軌道制御によるシリサイド半導体の光学機能創出,光通信波長帯1.5 umで発光・受光機能を示す新規光材料である鉄シリサイド半導体(β-FeSi2)を研究対象とし，その発光機能の向上を目的に第3元素添加による電子構造制御に関する研究を実施した．その結果，Feの一部を同族元素のRuで置換したβ-(Fe1-xRux)Si2の作製に成功し，x=0.57までの高濃度Ru添加が可能であることを見いだした．そして，Ru添加により目的とした電子構造変化を誘起し，1.5 um発光強度が増大することをはじめて明らかにした．,基盤研究(B),小区分21050:電気電子材料工学関連,シリサイド半導体,鉄シリサイド,電子構造制御,バンド軌道制御,光学機能の創出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01476,京都工芸繊維大学,山下 兼一,光子―励起子間相互作用の増強による有機半導体微小共振器の発光機能制御,本研究では、有機系半導体材料を用いた微小共振器における光子－励起子相互作用と、そこから発生するコヒーレント発光現象について包括的に調査を行った。材料としては主に、強い分子配向を有する有機結晶および鉛ハライドペロブスカイト結晶を用いた。これらの材料を用いた微小共振器を高Q値で作製することに成功した。さらに、角度分解発光特性、および時間分解発光特性などを測定することで、共振器内での光子と励起子状態間での結合強度、およびポラリトン状態への励起種の緩和メカニズムなどを明らかにした。海外研究機関とも積極的に連携し、有用な研究成果を取得している。,基盤研究(B),小区分21050:電気電子材料工学関連,ポラリトン,有機半導体結晶,微小共振器,ペロブスカイト,有機結晶,マイクロキャビティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01475,京都大学,田辺 克明,超高効率太陽電池の実現に向けた単原子層材料を介する新規高性能半導体接合技術の創出,本研究では、多岐に亘る新規高機能ウェハ接合技術の提案および実験的実証を行った。例えば、世界に先駆け、単原子層材料を介した半導体接合に成功した。また、半導体界面に接着性と柔軟性に富むハイドロジェルを導入することで、微粒子や表面の粗さといった接合阻害要因を緩和し、かつ高い光透過性と導電性を有する接合を実現した。さらに、ハイドロジェルに波長変換材料を担持することによって接合形成と光学的機能発現を同時に生み出す接合技術の開発を行った。また、液相より合成する透明導電材料を介した半導体接合も実現した。これらの新しい接合界面の特性として、高い接合強度、導電性、透光性、表面粗さ許容度を同時に達成した。,基盤研究(B),小区分21050:電気電子材料工学関連,半導体接合,ウェハ貼り合わせ,単原子層材料,機能性材料,透明導電酸化物,波長変換材料,太陽電池,光電子デバイス,量子ドット,ウェハ接合,ハイドロジェル,半導体,光・電子デバイス,接合,ダブルヘテロ構造,グラフェン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
