awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01600,東京理科大学,倉渕 隆,漏気の影響を考慮した空気循環系におけるトレーサガス実験法の開発,トレーサガス実験の空気齢測定について，実際に使用される居室への拡張を行うために，居室を模擬した空間での空気齢測定による循環系と開放系の対応を確認した。その後，空調機と空気清浄機が稼働する居室における定常濃度分布と空気齢分布の測定を試みた。完全混合に近い空間を対象とした実測が一様分布となることを踏まえ，空調機と空気清浄機それぞれが稼働する大空間での実測を実施した。CFDとの比較は，概ね対応は見られたことから空調機，空気清浄機が稼働する居室における空気齢測定が可能となった。,基盤研究(B),小区分23020:建築環境および建築設備関連,トレーサガス実験法,空気齢,動的定常濃度,循環系,開放系,漏気,CFD,空気齢測定,トレーサガス実験,換気効率,高応答濃度測定,空気循環系,定常濃度分布,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01599,東海大学,岩田 利枝,昼光不快グレア評価における知覚パラメータの関与の解明,室内の昼光によるまぶしさ（不快グレア）は、従来の刺激‐反応の関係による環境側パラメータによる指標では評価できない。本研究ではヒト側の評価過程を知覚パラメータとしてその関与を明らかにすることを目的とした。,基盤研究(B),小区分23020:建築環境および建築設備関連,不快グレア,輝度,知覚,窓面,眺望,心理影響,生理指標,評価構造,感覚,心理生理的影響,質的要因,視環境,心理評価,輝度分布,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01598,鹿児島大学,曽我 和弘,建築・設備の気候変動適応計画のための波長別日射量を含む全球の将来気象データの開発,本研究の目標は、気候変動に適応できる建築・設備の計画支援を意図して、日本と全球における建築環境シミュレーションに利用可能な将来気象データを開発することである。また、この将来気象データは、紫外から近赤外域の波長別日射量を含むものである。この開発に向けて、①紫外から近赤外までの波長別日射量の測定、②波長別日射量の推定法の開発、③長期再解析のバイアス補正法の開発が行われた。さらに、④長期再解析と気候変動シナリオを合成して将来気象データを作成する方法が開発された。,基盤研究(B),小区分23020:建築環境および建築設備関連,気候変動,波長別日射量,長期再解析,バイアス補正,気候変動シナリオ,将来気象データ,建築環境,全球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01597,神戸大学,森本 政之,多言語一斉通知による言語バリアフリーと時間短縮を両立する緊急避難放送の開発,本研究の目的は同時に多言語で緊急避難放送を行うシステムを開発し，言語バリアフリーと情報伝達の時間効率向上の両立することである。言語の組み合わせ，同時再生言語数，スピーカの空間配置，キャリアフレーズ（合図音）をパラメータとした音声の聴取実験を複数行い，以下を明らかにした。(1) 直前に合図となる音を出して音声の開始タイミングを予測可能とすれば了解度は上昇する。(2) 同時再生言語数が2であれば再生するスピーカを空間的に離さなくても高い了解度が得られる。(3) 同時再生言語数が4の場合は話者の声の高さやスピーカ配置の調整により了解度が向上するが，十分高い了解度を得るためにはさらに研究が必要である。,基盤研究(B),小区分23020:建築環境および建築設備関連,緊急避難放送,言語バリアフリー,多言語対応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01596,京都大学,小椋 大輔,歴史的組積造建物及び遺跡の塩類風化メカニズム解明と予防的保存対策の開発,本研究は、屋外文化財を対象に、塩類風化メカニズムを明らかにし予防的保存対策を提案することを目的として検討を行い、以下の主な結果を得た。１）既存の熱水分塩同時移動方程式を、材料表面で電荷を有する場合を考慮した式に拡張した。２）塩水を含んだ煉瓦の乾燥過程のＸ線CT撮影を行い、塩析出過程を明らかにした。３）凝灰岩の塩溶液の飽和時透塩水係数を測定し、ある濃度以下では材料表面の電気二重層が影響を与えハーゲンポアズイユ式の適用が難しいことを明らかにした。４）ハギア・ソフィア大聖堂を対象に数値解析モデルを用いて、吹き降り雨等が壁体含水率に及ぼす影響と、保存対策となる外装材の物理特性を明らかにした。,基盤研究(B),小区分23020:建築環境および建築設備関連,文化財,塩類風化,メカニズム,温湿度,歴史的煉瓦造建造物,磨崖仏,煉瓦造,脱塩,文化財保存,環境制御,歴史的組積造建物,遺跡,予防的保存対策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01595,京都大学,鉾井 修一,健康な入浴環境設計のための血圧予測モデルの作成,入浴時の人体生理応答と周辺温熱環境・被験者の行動との関係を被験者実験により調べた。入浴時の生理応答（皮膚・深部温度、血流、血圧、心拍数）とともに、血管系の時間的変化を超音波画像診断装置を用いて測定し、心拍出量の特徴、頭部、上下半身など身体各部の血流を明らかにした。測定結果をもとに入浴時における血圧や各部温度を再現する生理量予測モデルを作成した。このモデルは周辺環境の非一様性を考慮して皮膚温度や深部温度を予測するとともに、血圧・血流量を算定する心臓血管制御モデルを統合したものである。これを用いて入浴時の解析を行い、測定結果を再現できること、心拍数変化を考慮すると一致は更に良くなることを示した。,基盤研究(B),小区分23020:建築環境および建築設備関連,入浴環境,高齢者,非一様環境,非定常環境,血流分布,放熱特性,人体温熱モデル,心臓血管制御系,血圧予測モデル,入浴,健康環境,シャワー,浴室環境,血圧,超音波画像,心臓血管モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01594,信州大学,佐古井 智紀,大人と子供の温熱・空気環境の差異の定量的評価,本研究はサイズの異なるサーマルマネキンを作成し、身体の形状と熱上昇流を踏まえ、大人と子供の温熱環境の差異を定量的に明らかにすることを目的とした。,基盤研究(B),小区分23020:建築環境および建築設備関連,温熱環境,伝熱測定法,サーマルマネキン,不均一環境,作用温度,総合熱伝達率,子供,大人,幼児,乳幼児,空気環境,快適性,熱移動,空気質,計測器,測定器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01593,横浜国立大学,岡 泰資,質量保存流速モデルに基づく煙流動予測モデルの開発,質量保存流速モデルにもとづく煙流動予測ツール開発のための基礎研究を実施した。質量保存流速モデルでは，対象空間内に設定する一次推定速度の精度が，解析結果に影響を与える。本研究では，水平方向に細長い空間内で発生した火災により誘引される煙流動を予測するために，射流域と常流域の一次速度場を推定する予測式を，矩形断面アスペクト比の影響を組み込んだ形で構築した。,基盤研究(B),小区分23020:建築環境および建築設備関連,煙流動予測,質量保存流速モデル,火災リスク,煙流動,MASCONモデル,天井流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01592,東京工業大学,大風 翼,雪粒子の個別運動モデルと数値流体解析の連成による飛雪・積雪環境高精度予測法の開発,本研究では、乱流変動を高精度かつ非定常に風環境を予測可能なLarge-eddy simulationと粒子個々の運動を取り扱うラグランジュ的個別運動モデルを連成させた、吹雪の非定常現象を定量的に予測可能な新たな飛雪モデルを構築した。飛雪モデル検証のため、風洞実験や雪原での野外観測を実施し、風速と飛雪流量の統計量を取得した。観測値の選定のために、メソ気象解析を行い、冬季に風向が安定して強風が吹く北海道の弟子屈で観測を行うこととした。風洞実験や野外観測結果の比較に基づき、構築した飛雪モデルの予測精度の検証を行った。,基盤研究(B),小区分23020:建築環境および建築設備関連,吹雪,飛雪,数値流体解析,粒子飛散,吹きだまり,風洞実験,野外観測,境界層,ラージ・エディ・シミュレーション,質量フラックス,降雪,地吹雪,建物周辺気流,吹雪境界層,吹雪風洞実験,瞬間最大値,スプラッシュ,低温風洞実験,ハイスピードカメラ,飛雪現象,ラグランジュモデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01591,北海道大学,羽山 広文,生産施設用空調方式の高効率化と信頼性に関する研究,本研究は、データセンタと高発熱の工作機器を収容した精密機械工場の空調設備に関し、室内作業者の労働環境を確保しながら機器の発熱を確実に高効率で冷却することを目的に、以下の結果を得た。1) 空調効率の決定要因解明とIT機器と空調設備を連成した空調システムの開発、2) 冷涼な外気を活用した潜熱・顕熱冷却空調方式の開発、3) 空調設備の保全データの定量化と室温変化を伴う信頼性評価ツールの開発、4) 置換換気空調方式の温度成層形成要因のモデル化と予測手法の開発,基盤研究(B),小区分23020:建築環境および建築設備関連,生産施設,空調設備,信頼性評価,省エネルギー,高効率,空調システム,置換換気方式,外気冷房,高効率化,信頼性,データセンタ,CFD解析,データーセンタ,置換換気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02306,国立研究開発法人産業技術総合研究所,篠原 直秀,室内環境中のフタル酸エステル・2-エチル-1-ヘキサノールの動態解析/リスク評価,本研究では、,基盤研究(B),小区分23020:建築環境および建築設備関連,フタル酸エステル類,経皮曝露,ハウスダスト,移行量,代替フタル酸,2－エチルー1－ヘキサノール,フタル酸エステル,2-エチル-1-ヘキサノール,吸着,代替フタル酸エステル類,リン酸エステル類,経皮曝露量,室内,皮膚ガス,インターネットアンケート,挙動,2エチル1ヘキサノール,放散・吸脱着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02305,近畿大学,東 賢一,木質住環境における室内環境の質的変化と居住者の心理生理応答に関する長期実証研究,本研究では、無垢の木材を内装に使用した新築住宅を建築または現住宅をリフォーム予定の方を対象に、室内環境（温度、湿度、二酸化炭素、化学物質濃度、微生物濃度等）の質的変化と居住者の健康状態について、既存住宅における現状把握から、新築木造住宅入居後の状態までを経時的に調査する。長期的な縦断調査を通して無垢材等の自然素材を使用した住宅の居住性に及ぼす効果を明らかにし、健康維持増進や室内環境改善における木質住環境の作用効果を実住宅で検証する。,基盤研究(B),小区分23020:建築環境および建築設備関連,木質,室内環境,心理,生理,縦断研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
