awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01630,国立研究開発法人宇宙航空研究開発機構,小川 博之,宇宙環境下熱流動現象の理解に基づく機能的熱流体制御デバイスの創出,宇宙機のミッションの高度化，知能化を見据え，高い熱流束，小型軽量，大きな熱変動対応を満足するため，マルチエバポレータ型ループヒートパイプを主流とする熱流体制御ネットワークのコンセプトを提案し，蒸発器の高熱流束化，凝縮器の素過程理解による基礎学術的成果を元に高性能マルチエバポレータ型ループヒートパイプの構築ならびに宇宙模擬環境での高い熱輸送特性，自律熱制御機能の実証に成功した。,基盤研究(B),小区分24010:航空宇宙工学関連,宇宙機熱制御,ループヒートパイプ,超小型衛星,高熱流束,多孔体,凝縮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01629,国立研究開発法人宇宙航空研究開発機構,川口 淳一郎,宇宙機搭載用低温作動型推進系統合燃料電池及び水素キャリア新方式の産業応用の研究,宇宙機用液体推進剤を利用した燃料電池発電がシステムとして機能することが確認された。,基盤研究(B),小区分24010:航空宇宙工学関連,燃料電池,推進機関,亜酸化窒素,固体酸化物燃料電池,酸素改質,水素キャリア,宇宙機,宇宙探査機,固体酸化物セル,固体電解質,改質器,ダイレクトメタノール燃料電池,統合型電源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01628,国立研究開発法人宇宙航空研究開発機構,津田 雄一,強摂動環境下の天体力学の新展開 －超遠方天体への自律ランデブー技術の確立,本研究は，超遠方の天体への自律ランデブー誘導航法を実現を目指したものである．遠方・強摂動といった遠方天体ランデブー特有の力学環境を精緻にモデル化した上で，天体ないし，天体近傍での他宇宙機へのランデブー航法誘導の理論の構築と画像航法模擬実験を行った，自律性・信頼性・実時間性の高い天体相対光学航法アルゴリズムとして，VCC法を応用した天体輪郭とのテンプレートマッチング手法と，複数の人工標識を地表へ配置する能動的な対地相対航法アルゴリズムを案出した．両手法は，小惑星探査機はやぶさ２の実観測データを用いて有効性が評価された．また，それらを用いたミッション構想，キー技術抽出にも進展があった．,基盤研究(B),小区分24010:航空宇宙工学関連,誘導,航法,制御,太陽系探査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01627,東海大学,堀澤 秀之,紫外発光ダイオードと先進材料の光相互作用による非線形加速機構と超小型衛星への応用,本研究では，紫外発光ダイオード（uv-LED）が発する紫外光と有機ポリマーとの非線形光相互作用を利用した推進システムの作動実験ならびに推進剤の表面分析を行った．その結果，波長265nm，光出力25mWの紫外LEDを用い，推進剤としてPVCを用いた場合とナイロン6を用いた場合でLEDを照射したときに測定した推力は，PVCが11.8uN/Wで，ナイロン6が7.35 uN/Wであった．推進剤表面分析の結果，PVCの場合は塩素が表面から離脱し，ナイロン6の場合は窒素の離脱が確認された．従って，推力発生要因の一つとして，各元素がつくる気体の発生に伴う反力である可能性が高いといえる．,基盤研究(B),小区分24010:航空宇宙工学関連,uvLED推進機,uvLEDと有機材料の相互作用,超小型推進機,超小型人工衛星,低電力推進機,光推進,光化学反応,紫外光とプラスチック樹脂の相互作用,光解離反応に伴う推力発生,光解離反応に伴う分子流発生,小型人工衛星用推進システム,紫外光を利用するプラズマ源,推進・エンジン,低電力プラズマ源,小型衛星,非線形相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01626,大阪府立大学,新井 隆景,燃料濃度場・速度場同時計測による超音速縦渦混合過程の解明と混合促進法の提案,LIF（レーザ励起蛍光法）とPIV（粒子追従速度計測法）を組み合わせ，スクラムジェットエンジン開発に必須の超音速混合技術の確立と超音速乱流混合過程の解明を行った．申請者らは，ヨウ素のLIF画像をPIVの粒子画像と見なすことで，濃度場と速度場の同時計測を可能とする手法を提案した．この手法を用いて，擬似燃料ガスの流動と主流ならびに混合促進に用いる超音速縦渦の流動との関係を明らかにした．さらに，混合促進を諮るために，後退角を付与した超音速縦渦発生装置を考案し，その有効性を明らかにした．,基盤研究(B),小区分24010:航空宇宙工学関連,超音速混合,スクラムジェットエンジン,再使用型宇宙往還機,超音速縦渦,スクラムジェット,PIV,LIF,濃度場・速度場同時計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01625,山口大学,三上 真人,微小重力科学による素過程極限理解とエンジン用複雑系混相燃焼への展開,本研究の目的は，我々の研究グループが行った宇宙実験で観察された群燃焼発現限界の現象において重要となる冷炎の液滴間燃え広がりにおける役割を調べることである．そこで，宇宙実験におけるランダム分散液滴群の燃え広がり結果の解析を行い，群燃焼発現限界付近において生じる特異燃焼現象について詳細に調べた．また，それらの現象を模擬した液滴クラスター列実験により，冷炎の発生が示唆された．さらに，液滴群要素を用いた落下実験において，近赤外カメラを用いたTFP法により，燃え広がり限界外条件における液滴まわりの温度計測を行い，冷炎の発生する条件が存在することを示した．,基盤研究(B),小区分24010:航空宇宙工学関連,燃焼,液滴群,燃え広がり,微小重力場,液滴群燃焼,微小重力,液体燃料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01624,神戸大学,横田 久美子,超低高度に適用可能な高強度混合原子線照射技術と「つばめ」搭載超低軌道材料劣化解析,世界的に注目されている超低地球軌道（VLEO）領域の開拓には濃密な原子状酸素密度に加えて、高度に応じた窒素分子割合を再現できる地上試験技術の開発が要求さている。本研究では本申請者の有する超低軌道宇宙環境模擬技術をベースに超低軌道上環境曝露試験方法の開発、「つばめ（SLATS）」によって得られた世界初の超低軌道上環境曝露試験の結果と比較・解析を実施したものである。本研究の結果、VLEO地上対照実験に用いることのできるワンノズル・ツービーム技術の実現、世界初のVLEOフライトデータであるSLATS/AOFSデータ解析を実施し、両者の結果を統一的に解釈することに成功した。,基盤研究(B),小区分24010:航空宇宙工学関連,超低地球軌道,原子状酸素,窒素分子,材料劣化,SLATS,VLEO,地球高層大気,地上試験,超低軌道宇宙環境,SLATS（つばめ）,分子散乱,大気抵抗,つばめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01623,横浜国立大学,鷹尾 祥典,推力密度の飛躍的な増加と冗長系の確保が可能な超小型エレクトロスプレー宇宙推進機,超小型衛星にも搭載可能なイオン液体を利用したエレクトロスプレー推進機の推力密度向上を目指し、電界放出電子源の作製プロセスを応用した高実装密度エミッタアレイを作製し、従来比で４桁増となる１平方cm当たり400万個となるアレイ化を実現した。イオンビーム引き出し実験を行ったところ、最大で１平方cm当たり43 mAもの高電流密度となり、従来のエレクトロスプレースラスタと比較して100倍以上となる結果が得られた。,基盤研究(B),小区分24010:航空宇宙工学関連,エレクトロスプレー,イオン液体,イオンビーム,電気推進,超小型衛星,電界放出,高密度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01622,東京大学,姫野 武洋,極低温ロケットの多用途化に関わる界面相変化と熱流動現象の総合的研究,人類の活動領域が地球周回軌道上まで拡大するのに伴い、液体ロケットや人工衛星の推進薬タンクやエンジン、宇宙ステーションでの熱制御装置など、地上とは異なる加速度環境で液体を利用する場面が増えつつあります。しかし、このような環境では、貯蔵容器内の液体を望ましい位置に保持し、思い通りに外部へ搬送するなど、気液二相流を操るのがとても難しくなります。地上では再現が困難な熱流動現象に関する知見の獲得と蓄積が不可欠であり、理論と実験を補完する手段として数値シミュレーション技術の確立が期待されています。本研究では、実験と数値シミュレーションの両方から、宇宙で液体を操るための技術や知見を獲得しました。,基盤研究(B),小区分24010:航空宇宙工学関連,ロケット,極低温,気液二相流,液体水素,相変化,自由表面,軌道間輸送,CFD,スロッシング,タンク,気駅二相流,微小重力,数値流体解析,推進薬マネジメント,自由表面流,数値流体力学,沸騰,数値流体計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01621,東京大学,寺本 進,音響-流れ場同期可視化手法開発と、それを用いた超音速ジェット広帯域騒音の音源探査,高速のエンジン排気から生じる強い騒音の発生メカニズムを解明するために、「音響トリガ条件付き抽出法」を改良した上で、風洞試験で得られた音響信号と非定常可視化結果に適用した。その結果、従来概念的に提唱されているだけだった、大規模擾乱から音波が発生している様子を直接可視化する事に成功した。可視化結果を元に数値シミュレーションを行い、擾乱と衝撃波の干渉から音波が発生する具体的なメカニズムを明らかにできた。,基盤研究(B),小区分24010:航空宇宙工学関連,空力音響,超音速ジェット,条件付き抽出,ロケット,ロケット音響,衝突ジェット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01620,東北大学,河合 宗司,レイノルズ数効果の流体物理と内層乱流応力バランスモデリング,本研究では、航空機やロケットノズル設計など工学的に重要となる (1) 剥離・再付着を伴う非平衡乱流境界層現象、および (2) 壁面での加熱・冷却を伴う熱乱流境界層現象をターゲットとし、高レイノルズ数流れにLESを適用可能とするLESの内層乱流モデル（壁面モデル）の確立を目指し研究を進めた。本研究ではまず、高忠実な大規模LES解析を実施し、内層乱流現象の非平衡効果や熱との干渉効果における内層乱流応力バランスやその流体現象を明らかにした。また明らかした物理法則やその流体現象を考慮し、簡易で汎用的な非時間発展型・常微分方程式ベースの内層乱流モデルを提案し、その有効性を検証した。,基盤研究(B),小区分24010:航空宇宙工学関連,乱流境界層,高レイノルズ数流れ,数値流体力学,LES,データ駆動科学,航空宇宙流体力学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01619,東北大学,槙原 幹十朗,振動の完全予測を可能にする準能動制振と予測制御の統一制御理論に向けた研究,宇宙構造物の制振研究は重要であり，高性能な制振の要求は高い．本研究では，準能動制振の【低エネルギ消費】と【高制振性能】の達成を目指して，「準能動制振と予測制御を融合した統一制御理論」の創成に取り組んだ．本研究グループが研究を進めてきたエネルギ回生型準能動制振と，将来の振動状態を予測する予測制御を統一した．従来の概念では統一理論の構築は難しかったが，準能動制振の将来状態が予測でき，統一制御理論を構築できた．本研究では，構築する「準能動制振と予測制御を融合した統一制御理論」の制振・予測性能を明らかにした．,基盤研究(B),小区分24010:航空宇宙工学関連,振動制御,準能動制振,予測制御,圧電,宇宙構造物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02350,首都大学東京,淺井 雅人,遷移域を含めた乱流制御による翼の摩擦抵抗・騒音低減に関する研究,リブレットを用いた表面操作による遷移領域を含む摩擦抵抗低減および層流域での狭帯域音発生に対するラフネスの影響の解明と抑制制御の2つの主課題に取り組む．リブレットを乱流楔や乱流斑点の発達領域を含む遷移域にも適用し，乱流楔内の摩擦抵抗低減のみならず，乱流楔の成長抑制すなわち層流域の拡大によって更なる摩擦抵抗低減を目指す．また，層流域が拡大した場合，壁面のわずかな段差や孤立粗度があれば，それが起点として音響フィードバックループが形成され強い狭帯域音が発生する．このフィードバック音発生に対するラフネスの許容範囲を明らかにし，その抑制指針を確立する．,基盤研究(B),小区分24010:航空宇宙工学関連,流体工学,航空宇宙工学,乱流,乱流遷移,境界層,空力音,抵抗低減,リブレット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02349,九州工業大学,坪井 伸幸,極低温高圧条件下における多成分流体の混合拡散燃焼機構の解明,本研究の概要は，極低温超臨界圧下において，効率的な解析手法を導入した3次元非定常数値解析と高圧試験装置を用いて，ロケットエンジンやガスタービンエンジンなどで現れる多成分流体の混合拡散燃焼機構の解明を行う研究である．具体的な研究対象としては，化学種が異なる流体の同軸噴流の流動構造や燃焼機構を明らかにするものである．,基盤研究(B),小区分24010:航空宇宙工学関連,ロケット,航空宇宙工学,流体工学,熱工学,水素,超臨界流体,航空宇宙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
