awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01770,工学院大学,中尾 真一,革新的水処理用ファウリング防止膜の設計開発,水処理分野において，従来より主要ファウリング(＝汚れ)物質と考えられてきたタンパクに加え，近年になって多糖類やシリカ等の無機物質も主要ファウリング物質と指摘されている．本研究では，タンパクだけでなく，多糖類やシリカのファウリングも防止する膜の設計開発を行った．プラズマグラフト重合法と表面開始ATRP法を用いて，poly(2-methoxyethylacrylate)を修飾した膜は，これらの物質に対し優れたファウリング抑制能を示し，革新的な水処理膜であることを明らかにした．,基盤研究(B),小区分27010:移動現象および単位操作関連,化学工学,膜,ファウリング,水処理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01769,大阪府立大学,綿野 哲,次世代リチウムイオン電池の革新的な合成プロセスの創出,低炭素社会の実現に向けて、全固体リチウムイオン二次電池の放電容量を向上させる革新的な全固体リチウムイオン電池の創生プロセスの確立が求められる。本研究では、ナノサイズ固体電解質の液相合成、および活物質と固体電解質の液相複合化に焦点を当て、各工程におけるカギとなる物理化学現象を解明すると共に、複合粒子材料の新規合成プロセスを構築する。,基盤研究(B),小区分27010:移動現象および単位操作関連,全固体リチウムイオン二次電池,湿式コーティング,液相加振法,硫化物系固体電解質,全固体リチウムイオン２次電池,液相合成,リチウムイオン電池,全固体,合成プロセス,全固体リチウムイオン電池,複合粒子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01768,広島大学,金指 正言,アニオンドープによりサブナノ空間を精密制御した新規シリカ系分子ふるい膜の創製,本研究では，アニオンであるフッ素を用いシリカネットワークをチューニングすることで，目的分離対象に応じてネットワークサイズをtailor-madeした新規シリカ系分子ふるい膜を創製した。フッ素系シリカ膜は，ネットワーク構造におけるSi-OH基密度が従来のシリカ膜よりも小さいため，焼成によるSi-OH基の縮合反応が生じにくいことが明らかになった。これにより，高温（750℃）で焼成後もルースな構造形成が可能で，水熱雰囲気（＜500℃，水蒸気分圧：90 kPa）において極めて高い水熱安定性を示した。また，膜の細孔径はネットワーク構造におけるF濃度が高くなる程大きくなる傾向があった。,基盤研究(B),小区分27010:移動現象および単位操作関連,アモルファスシリカ,分離膜,細孔径制御,分子ふるい,透過特性,構造安定化,気体透過特性,サブナノ空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01767,岡山大学,小野 努,マイクロ空間における迅速な相転移誘起の制御と微細構造設計,マイクロ流路内における精密な異相界面形成に加えて，迅速な溶媒拡散作用を用いることで相分離を誘起すれば，微粒子，カプセル，繊維などの精密生産が可能なうえ，その微細構造を制御することが可能であることを実験的に示した。特に，このような非平衡状態における相転移現象を支配する操作因子についてをCFD解析や実験的検証によって明らかにして，それらを活用することで分子配向性を向上した繊維の調製やコアーシェル構造やヤヌス構造を制御したゲルおよび核生成を制御した単分散微粒子の迅速調製などが可能なことを明らかにした。,基盤研究(B),小区分27010:移動現象および単位操作関連,マイクロ流路,高分子微粒子,Microfluidics,フロープロセス,相分離,湿式紡糸,相転移,流動,重合誘起相分離,スピノーダル分解,微細構造,溶媒拡散,非相溶流体,マイクロ空間,フロー型反応器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01766,金沢大学,汲田 幹夫,複合収着材ナノ細孔内の金属塩の結晶性制御と次世代ケミカル冷凍機の実現,吸着式冷凍機の新規高伝熱性蓄熱材として考案した金属塩／アルミニウム複合材に関して、その水蒸気収着能を最大化するための金属塩の結晶性制御とナノ細孔を有する酸化皮膜への添着等について検討を行った。その結果、金属塩の結晶性は複合材調製時の焼成温度と添着量に依存すること、酸化皮膜の細孔構造は調製条件により制御できることなどが明らかとなった。また、複合材の水蒸気収着特性の評価と熱・物質移動解析から本複合材が高冷熱出力のケミカル冷凍機の蓄熱材になり得る可能性が示唆された。,基盤研究(B),小区分27010:移動現象および単位操作関連,金属塩複合材料,収着冷凍,結晶性金属塩,熱・物質移動,結晶性制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01765,東京農工大学,滝山 博志,鋳型界面での核化現象の解明と均質な結晶粒子群製造法への展開,結晶性化成品製造では、所望の粒径でかつ単一分散な粒子群が求められる。それを実現するためには、核化のより精密な制御が必須である。本研究で気液界面に展開されるソフト鋳型を用い、界面を昇温によって一度リセットすることで過飽和の局所的な残存に成功し、核化数の制御が可能となった。核化制御は多成分の共結晶でも重要な課題であり、共結晶に対する核化制御も行った。結果、核化と粒子群の均一性など粒子群品質との関係も整理できた。,基盤研究(B),小区分27010:移動現象および単位操作関連,鋳型界面,核化,共結晶,晶析,異相界面,粒径分布,結晶多形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01764,九州工業大学,齋藤 泰洋,非ニュートン流体の微粒化現象および付着現象に関するプロセス解析,自動車の噴霧塗装における微粒化現象および付着現象を実験および数値解析により検討した．既存の解析手法を高度化し，非ニュートン性粘度モデルを導入した．単一の液滴を固体壁に衝突させた際，衝突直後は流体の種類によらずいずれの流体の挙動は同様であったが，液滴が広がった後の収縮の段階では非ニュートン流体の挙動はニュートン流体の場合とは異なった．液体と気体のクロスフロー現象の実験において，液体の粘度が液柱の分裂に影響を及ぼすことを示した．数値解析により液体の非ニュートン性が液柱の微粒化の促進，先端到達距離を増加させることおよび液体のスパン方向への広がりを増加させることに影響を及ぼすことを示唆した．,基盤研究(B),小区分27010:移動現象および単位操作関連,微粒化,噴霧塗装,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02502,大阪府立大学,野村 俊之,コロイド科学的技法を駆使したバイオフィルムの形成抑制技術の開発,バイオフィルムが関係するトラブルには深刻な被害を及ぼすものが多いが、個々の問題に適切に対応できる技術は皆無である。申請者は、原子間力顕微鏡AFMを用いて、バブル－微生物間の付着力は基板－微生物間よりも1桁大きいことを見出した。そこで本研究では、AFMを駆使して、微生物－バブル・基板・薬物封入粒子間に働く相互作用力の直接測定を行い、得られた相互作用力の実測値に基づき、バイオフィルムの形成抑制技術をコロイド科学的見地から開発する。,基盤研究(B),小区分27010:移動現象および単位操作関連,バイオフィルム,原子間力顕微鏡,ノンケミカル洗浄,マイクロバブル,付着力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02501,広島大学,木原 伸一,ナノフィラーネットワーク形成プロセッシングによる機能性ポリマー材料の創出,本研究は、提案する「ナノフィラーネットワーク形成プロセッシング」により、従来きわめて困難な30vol%以上の高濃度でフィラー分散し、フィラー界面間を部分的に100nm間隔以下の拘束領域にし、その界面領域の非平衡特性を顕在化させた機能性材料の創出を目指す研究である。具体的なプロセッシングは、① 微細な多数の泡を使った温和なミキシング技術、② ポリマー発泡を利用したナノフィラー群の三次元界面領域を形成する、従来の視点とは異なる、ポリマー系ナノコンポジット開発方法である。本プロセッシングを実証し、高熱伝導性や高断熱性ポリマーを創出することを目標とする。,基盤研究(B),小区分27010:移動現象および単位操作関連,ポリマーナノコンポジット,ナノフィラーネットワーク,超臨界流体混練,泡,熱伝導性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02500,広島大学,荻 崇,階層的マクロポーラス微粒子の細孔空間の高度制御と界面における熱移動特性の評価,IoT、AI、ロボットなどに用いられる集積電子デバイスからの放熱や年間で1兆kWhともい,基盤研究(B),小区分27010:移動現象および単位操作関連,ナノ構造化微粒子,自己組織化,細孔制御,エアロゾルプロセス,熱移動特性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
