awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01819,国立研究開発法人理化学研究所,中島 峻,電子スピン量子計算の実現に向けたフィードフォワード制御,半導体量子ドット構造中の単一電子スピンを精密に制御し量子ビットとして利用することで、スケーラブルな量子コンピュータの実現に向けた研究開発が進められている。しかしながら量子ビットは環境の雑音に対して極めて敏感で、現実のデバイスにおいて量子的な安定性を保ちつつ精密に制御することは困難である。本研究では単一電子スピンの精密な測定・制御に基づき、雑音をリアルタイムで検出しフィードバック制御によって抑制する技術を確立し、スピン量子ビット系に初めて適用し効果を実証した。量子ビットの制御、測定、初期化といった量子コンピュータに必須の操作において、雑音に由来するエラーを大きく低減できることを明らかにした。,基盤研究(B),小区分28020:ナノ構造物理関連,量子ドット,電子スピン,量子ビット,量子コンピュータ,シリコン,誤り訂正,量子コヒーレンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01818,国立研究開発法人理化学研究所,下志万 貴博,超高速電子顕微鏡によるスキルミオンダイナミクスの観測と制御,磁気スキルミオンは粒子のように振る舞う安定なスピン渦として知られており、磁気メモリ素子の新たな情報担体として注目されています。実際の材料では格子欠陥や端面においてスキルミオンが容易に変形することが知られていますが、その柔軟な性質はよくわかっていません。本研究では、意図的に格子欠陥を導入したCo9Zn9Mn2薄片に対してナノ秒パルスレーザーを照射し、磁気スキルミオンが変形する過程を超高速ローレンツ電子顕微鏡により時分割計測しました。その結果、スキルミオンの生成、収縮、ドリフト、クラスター形成、消滅までの一連の過程がナノ秒からマイクロ秒の時間スケールで繰り返し生じることを発見しました。,基盤研究(B),小区分28020:ナノ構造物理関連,超高速電子顕微鏡,ローレンツ電子顕微鏡法,ポンププローブ法,スキルミオン,磁気スキルミオン,ダイナミクス,ローレンツ電子顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01817,沖縄科学技術大学院大学,久保 結丸,超伝導量子テクノロジーを用いた超高感度スピン共鳴,ダイヤモンド中の窒素中心をマイクロ波で強くポンプすることによって反転分布させ，メーザー（microwave amplification by stimulated emission of radiation，誘導放出によるマイクロ波増幅）増幅を実現した．この増幅器の特性や原理などを詳細に調べた結果，メーザー増幅器は極めて高い飽和パワーを持,基盤研究(B),小区分28020:ナノ構造物理関連,量子情報技術,スピン共鳴,極低温,ダイヤモンド,メーザー,量子テクノロジー,量子情報,ハイブリッド量子系,マイクロ波共振器,量子技術,マイクロ波増幅,電子スピン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01816,東京理科大学,山本 貴博,カーボンナノチューブによる熱電変換の学理深化と性能向上,本研究では，フレキシブルな環境調和型の熱電材料の候補であるカーボンナノチューブの熱電性能を向上させるべく、 (1) 1mV/Kの巨大ゼーベック係数の実現，(2) 大気中で安定なn型CNTの実現，(3) 1W/mKの低熱伝導率の実現を果たし，CNTの熱電性能を実用レベルまで高めることを行なった。さらに，(1)-(3)の研究を通して，(4) CNT熱電物性の学理を深化させ，精密科学に基づくCNT熱電技術の基盤構築を行った。特に，従来の理論では説明困難であった「強く乱れた系」に対しても、量子力学レベルでの取り扱いを可能にしたことは極めて大きな成果と言える。,基盤研究(B),小区分28020:ナノ構造物理関連,カーボンナノチューブ,熱電変換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01815,大阪大学,荒川 智紀,スピン流を利用した超高感度デバイスの提案と実証,本研究ではスピン流のコヒーレンスに注目し、スピン流を用いた超高感度デバイス実現に向けた研究を行った。非局所スピンバルブ素子におけるスピン注入過程の質を明らかにするために、ショット雑音測定を行いて強磁性体/非磁性体からなる接合の伝導過程を定量的に評価する方法を確立した。また、スピン流の生成・制御の新たな要素として円偏波のマイクロ波を用いた手法を開発し、左右の円偏波モードを用いた磁気ダイナミクスの極性分解での制御を実現した。ここでは、空洞共振器と交差マイクロストリップ線路を用いた2種類の方法を開発しており、それぞれ、電子スピンの精密な制御と広帯域な制御を実現するものである。,基盤研究(B),小区分28020:ナノ構造物理関連,マイクロ波,円偏波,磁性,スピントロニクス,電流ゆらぎ,メゾスコピック系,スピン流,スピントロにクス,空洞共振器,2DEG,円偏光,メーザー,YIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01814,大阪大学,赤井 恵,有機/ナノカーボン接合スパイクダイナミクス発生と高次情報システム応用への基礎展開,ニューラルネットワーク情報処理技術を基礎とし、ナノ材料の化学反応のダイナミクスやネットワークの乱雑性がもたらす、材料化学物質における情報処理能力を探求した。結果として、分子とカーボンナノチューブのネットーワークの接点において発生する非線型応答および信号ダイナミクスの効果と、溶液内電気化学反応を応用した現象において、それぞれ人工知能(AI)計算能力を示した。,基盤研究(B),小区分28020:ナノ構造物理関連,ニューロモルフィック,分子デバイス,カーボンナノチューブ,POM,双安定,コンダクタンススイッチング,ニューラルネットワーク,リザーバ計算,ポリ酸,ナノマテリアル,ダイナミクス,単分子,揺らぎ,スパイク,CNT,インパルス,リザーバ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01813,東京大学,松尾 貞茂,強いスピン軌道相互作用を持つ1次元電子系の物性解明と超伝導接合への展開,強いスピン軌道相互作用を有するInAs細線において朝永ラッティンジャー液体性を確認した。実験理論両面から、強いスピン軌道相互作用は朝永ラッティンジャー液体にほとんど影響を及ぼさないことを解明した。また二重InAsナノ細線のジョセフソン接合で、弾道的クーパー対分離を観測し、非局所的に超伝導近接効果が起きる際のエネルギーの評価を行った。単一ナノ細線ジョセフソン接合では、弾道性に起因する半整数シャピロ階段や磁束渦での準粒子トラップによる超伝導電流の増強効果を解明した。また、トポロジカル絶縁体のジョセフソン接合のシャピロ階段測定から、マヨラナ粒子検出のためのデバイス構造の設計指針を得た。,基盤研究(B),小区分28020:ナノ構造物理関連,朝永ラッティンジャー液体,スピン軌道相互作用,ジョセフソン接合,マヨラナ粒子,クーパー対分離,スケーリング,超伝導接合,超伝導,ナノ細線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01812,千葉大学,青木 伸之,グラフェン量子閉じ込め構造で発現されるバレースピン偏極電流の観測と制御,本研究では，六方晶窒化ホウ素（h-BN）と二層グラフェン（BLGr）で構成されるh-BN/BLGr/h-BN積層構造による高移動度化，およびスプリット型トップゲートとボトムバックゲートのデュアルゲート構造による電界閉じ込め型の量子ポイントコンタクト（QPC）構造を形成した。この積層構造に対してエッジコンタクトを実現した。このように形成したBLGr-QPC構造では，2e2/hを単位とするバレー偏極した量子化伝導度の観測に至った。また3層WSe2をチャネルとしたp型QPC構造を世界で初めて作製に成功し，ゼロ磁場でe2/hを単位とするバレーとスピンの両方の縮退が解けた伝導現象の観測に至った。,基盤研究(B),小区分28020:ナノ構造物理関連,量子ポイントコンタクト,２層グラフェン,量子化伝導度,遷移金属ダイカルコゲナイド,WSe2,バレー偏極,スピン偏極,スピン・軌道相互作用,ゼロ磁場スピン分裂,２次元物質,量子伝導現象,グラフェン,高移動度化,量子閉じ込め構造,バレー,垂直電場印加,高移動度,量子閉じ込め,バレースピン,カー効果,電界閉じ込め,六方晶窒化ホウ素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01811,東北大学,平山 祥郎,量子ポイントコンタクトにおける電子相関の研究,半導体量子構造の基礎になる量子ポイントコンタクト(QPC)の伝導物性について、抵抗で測定する新しいタイプのNMR（RDNMR）を用いて研究を進め、低磁場での特性評価や微細な歪の計測に成功した。さらに、対角抵抗が偶数分母状態に量子化する状況をQPC構造ではじめて実現し、対向するエッジチャネルの混合が寄与する可能性を示した。さらに、ナノプローブとRDNMRを組み合わせることで、半導体量子系でのMRIを実現し、トレンチゲートを用いることでInSb系でのQPC作製にも成功した。,基盤研究(B),小区分28020:ナノ構造物理関連,メゾスコピック系,量子ポイントコンタクト,電子相関,抵抗検出NMR,分数量子ホール効果,整数量子ホール効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01810,東北大学,齋藤 理一郎,低次元物質中における特異な円偏光物性,円偏光のフォトンは角運動量を持ち、回転対称性を持つ2次元物質との相互作用において、擬角運動量（離散的な角度の運動で定義される角運動量）が保存する。このとき、共鳴ラマン分光において、入射光と散乱光が円偏光の場合に、円偏光のヘリシティが変わらないラマン散乱と符号が反転するラマン散乱がある。本研究では、この現象を理論的に解析し、（1）角運動量保存の法則からラマン散乱におけるヘリシティの符号の関係を明らかにした。（2）またラマンテンソルの式から、現象を回転対称性を持たない系でも説明できることを示した。（3）さらに、第一原理計算から円偏光共鳴ラマン強度を計算するプログラムを作成し、計算した。,基盤研究(B),小区分28020:ナノ構造物理関連,円偏光,共鳴ラマン分光,ヘリシティ,2次元物質,第一原理計算,グラフェン,表面プラズモン,円偏光ラマン分光,分光エリプソメトリ,二次元物質,二重共鳴ラマン分光,バレー偏極,低次元物質,光吸収,ラマン分光,光渦,黒リン,角運動量,バレー分極,EL,ナノチューブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
