awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H01923,国立研究開発法人量子科学技術研究開発機構,八巻 徹也,荷電粒子照射による原子空孔を利用した単原子触媒：高活性化メカニズムと設計指針,固体高分子形燃料電池のカソードに使用されるPt触媒の高性能化が大きな課題の一つである。研究代表者らは、イオンビームを照射して原子空孔を導入した炭素担体上に載せたPtナノ微粒子の酸素還元反応活性が向上することを見出している。本研究では、さらなる高性能化のための指針を得ることを目的として、原子空孔によるPt触媒の活性向上メカニズムの解明に取り組んだ。その結果、原子空孔を有する炭素担体とPtナノ微粒子との電子的相互作用の強化によってPt表面への酸素吸着が抑制され、触媒活性が向上することを明らかにした。,基盤研究(B),小区分31010:原子力工学関連,固体高分子形燃料電池（PEFC）,電極触媒,酸素還元反応（ORR）,荷電粒子ビーム,界面構造,原子空孔,Pt触媒,炭素担体,原子空孔導入,固体高分子形燃料電池(PEFC),電極触媒荷,担体効果,炭素担持Pt触媒,界面電子状態,局所構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01922,国立研究開発法人日本原子力研究開発機構,宮部 昌文,放射性物質の遠隔同位体分析に向けた高分解能レーザープラズマ共鳴分光・分析法の開発,廃炉作業で生じる様々な高放射性分析試料に対し、遠隔性（非接触性）があり、速やかに結果の得られる分析法として、レーザーアブレーションとドップラーフリー共鳴蛍光分光を組み合わせた、高分解能分析法の開発を行った。これにより従来のドップラー拡がりのある共鳴分光法に比べて、波長分解能を10倍以上(100MHz）向上させることに成功した。本方法をコンクリート中の天然カルシウム同位体の分析に適用した結果、アバンダンス比が0.6%程度の42Caの検出も可能な感度を有することや、校正曲線の線形性にも問題がないことなどを確認した。,基盤研究(B),小区分31010:原子力工学関連,レーザーアブレーション,レーザー誘起共鳴蛍光,ドップラーフリー分光,多段階共鳴励起,同位体分析,カルシウム,蛍光分析,遠隔同位体分析法,共鳴蛍光分光,共鳴吸収分光,レーザー分光,遠隔分析,原子・分子物理,ドップラーフリー,飽和吸収分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01921,国立研究開発法人日本原子力研究開発機構,元川 竜平,中性子線による構造学的理解が拓くガラス固化技術の高度化,本研究では、中性子回折、中性子小角散乱法、及び中性子イメージング法を用いてガラス固化に用いられるホウケイ酸ガラスと模擬ガラス固化体のマルチスケール構造解析を行った。ホウケイ酸ガラスの構造解析では、ナトリウム、リチウム、カルシウム、亜鉛等の添加剤が微視的な構造に対して与える影響を明らかした。また、模擬ガラス固化体の中性子共鳴イメージング法を用いた検討では、目視レベルでの空間的不均一性と廃棄物の空間分布が一致しないこと等を明らかにした。ガラス内部のナノ・メソスケールの構造は理解が進んでおらず、これらの結果がガラス固化技術の高度化に寄与すると期待される。,基盤研究(B),小区分31010:原子力工学関連,中性子散乱,ガラス固化,ナノ構造,中性子回折,ガラス固化体,中性子小角散乱,中性子共鳴吸収イメージング,イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01920,富山高等専門学校,高田 英治,形状がフレキシブルな有機半導体放射線検出器の高度化と新しい放射線量計測手法の開発,有機半導体放射線検出器により立体形状内外の線量率を測定する手法を検討した。層状に切断された頭部ファントムの各層に検出器を設置し、X線照射実験を行ったところ、検出器からの発生電流と電離箱型線量率計による測定結果分布がよく一致した。提案する素子により人体内外の線量率分布を測定する可能性が示された。,基盤研究(B),小区分31010:原子力工学関連,有機半導体,線量率分布測定,X線,荷電粒子線,低負荷効果,インクジェット法,フレキシブル基板,ファントム,重粒子線,放射線検出器,結晶化,パルス計測化,線量計測,放射線計測,粒子線・中性子,インクジェット,中性子,単結晶化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01919,大阪大学,清水 喜久雄,放射線被ばく事故に対応したDNA損傷解析による被ばく線量評価法の開発と実用化,DNA損傷を評価する際に従来の一対のプライマーに代わり二対のプライマーを使用したところ検出感度が上昇した。,基盤研究(B),小区分31010:原子力工学関連,線量評価,qPCR,デジタルPCR,DNA損傷,緊急被ばく,DNA損傷評価,被ばく線量評価,バイオアッセイ,qPCR法,PCR法,被ばく線量,DNA線量計,緊急時被ばく線量評価,バイオドシメトリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01918,京都大学,黒崎 健,核分裂生成物の固体核燃料に対するぬれ性と放出挙動,固体核燃料と液体核分裂生成物（FP）化学種間のぬれ性に着目し、UO2をはじめとする蛍石型結晶構造を持つ固体とCsIをはじめとする各種セシウムハライド間のぬれ性評価試験ならびに模擬燃料からのFP放出試験を通じて、ぬれ性と燃料からのFP放出挙動の関係を明らかにすることを目的とした。,基盤研究(B),小区分31010:原子力工学関連,核燃料,ぬれ性,核分裂生成物,原子力,二酸化ウラン,ヨウ素酸セシウム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01917,京都大学,日野 正裕,多層膜中性子ミラーシートによる集光光学系開発と応用,京大複合研のイオンビームスパッタ装置(KUR-IBS)を用いて多層膜中性子ミラーシートによる実用的な集光デバイスの実現は未だ道半ばであるが、多層膜中性子ミラーの反射性能向上及び膜応力の制御研究を通じて成膜プロセスの高度化に成功した。そしてこの知見を活かし、高臨界角かつ高反射率な回転楕円体集光スーパーミラーの量産に成功するとともにその集光ミラーを評価し、新しい中性子散乱手法である集光TOF-MIEZE測定法の新たな可能性も実験的に示した。,基盤研究(B),小区分31010:原子力工学関連,中性子光学,多層膜,低速中性子集光,多層膜ミラーシート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01916,京都大学,大垣 英明,LCS-NRFによる同位体3Dイメージング法の基盤確立,本研究の成果は,基盤研究(B),小区分31010:原子力工学関連,同位体3Dイメージング,LCSガンマ線,NRF,NRF-CT,同位体,3次元画像,CT,同位体イメージング,NRF-CT[,レーザーコンプトンガンマ線,光核共鳴,光核共鳴散乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01915,京都大学,木村 晃彦,低放射化ODS鋼における耐照射脆性のナノ・メゾ組織定量化モデルの構築,酸化物分散強化（ODS）鋼の耐照射性（照射硬化を受けにくい性質）を材料組織学的に評価する方法を開発した。異なる酸化物粒子を包含する３種類のODS鋼にイオン照射を行い、硬度試験及び高分解能電子顕微鏡観察（HRTEM)により、照射硬化量および照射損傷組織を調べた。照射硬化量はODS鋼の種類、すなわち内包する酸化物粒子の種類、サイズ、数密度に依存することが判った。HRTEM観察の結果、酸化物粒子と母相の界面構造の変化により、照射硬化量が変化することが示唆された。さらに、照射硬化量が界面のモアレ単位パターンサイズと相関のあることが判明し、ODS鋼の耐照射性がTEM組織から定量化できることを見出した。,基盤研究(B),小区分31010:原子力工学関連,ODS鋼,酸化物粒子,耐照射性,イオン照射,先進鉄鋼材料,酸化物分散強化,酸化物分散強化鋼,中性子照射,照射硬化,転位ループ,溶接部,事故耐性燃料被覆管,相安定性,照射効果,耐照射脆化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01914,東京工業大学,塚原 剛彦,超臨界マイクロ流体化学分離システムの構築,数10 nm-数100umのマイクロ・ナノ流路内で、超臨界二酸化炭素(scCO2)を反応媒体として放射性核種を分離回収する超臨界マイクロ流体化学システムの技術と方法論を創成した。流路の形状・性状が異なるマイクロ・ナノ流路を作製すると共に、その中でscCO2/水セグメント流による標的金属元素の抽出を実現した。また、流路出口に設置したセパレータによりscCO2相と水相とを連続的に分離回収し、水相中の濃度を質量分析等で計測した結果、接触時間30秒ほどで、ウラン等をほぼ100%抽出できることを見出した。バルク抽出に比して、二次廃棄物を出すことなく3桁以上高速に分離を完了することができる。,基盤研究(B),小区分31010:原子力工学関連,超臨界二酸化炭素,核燃料サイクル,マイクロ流体,抽出分離,マイクロ化学,溶媒抽出,分離,超臨界抽出,マイクロ化学システム,超臨界,レアメタル,抽出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01913,東京大学,阿部 弘亨,照射効果に水素を重畳させると材料劣化は促進するか、それとも抑制できるか,Zr合金は原子炉燃料被覆管として利用され、使用環境下で腐食、水素吸収、照射損傷といった劣化が生じる。これら個々は詳細な知見があるが、重畳効果は明らかにはなっていない。そこで本研究では、Zr合金の水素化効果と照射効果の重畳効果の明確化を目的とした。,基盤研究(B),小区分31010:原子力工学関連,ジルカロイ合金,水素化,照射損傷,重畳効果,加速器結合型電子顕微鏡,腐食,照射効果,酸化物分散強化鋼,ジルコニウム合金,イオン照射,水素,ジルコニウム,鉄鋼材料,透過電子顕微鏡,超微小硬度,電子顕微鏡,照射その場観察法,照射誘起型固相反応現象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H01912,東京大学,斉藤 拓巳,地下深部に存在する天然有機物の多様性と核種移行への影響解明,本研究では，地質構造や深度，地下水の生成過程において異なる天然有機物（NOM）を整理，類型化し，地質環境パラメータとの相関から，その多様性の起源を調べると共に，核種移行に及ぼす結合量を評価することを目的とした．結晶質岩系，堆積岩系地下水に含まれるNOMの3次元蛍光分光測定から得られるEEMを多変量解析手法の一種であるPARAFACを用いて解析し，地下水中に含まれるNOMの起源とその分布を明らかにした．さらに，堆積岩系の地下水に対して，放射性廃棄物処分において重要となる核種の模擬としてEu3+を添加した試料のEEMを測定し，PARAFAC適用することで，異なるNOM成分との反応性を評価した．,基盤研究(B),小区分31010:原子力工学関連,天然有機物,深部地下,核種移行,蛍光,多変量解析,深部地下環境,PARAFAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
