awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02010,国立研究開発法人物質・材料研究機構,中西 淳,細胞メカノバイオロジーのためのアクティブ分析科学の基盤構築,細胞外基質の弾性率などの力学的特徴に対する「細胞力覚」のダイナミクスを理解するには，力学的特徴をその場で変化させる方法が有用である。本研究では，UV/VIS光照射に対して光異性化するアゾベンゼンを側鎖にもつ高分子からなるハイドロゲルを開発し，高分子の相分離現象を介したゲルの膨潤・収縮を誘発し，基質弾性率の動的変化を実現した。本手法を用い，乳がん細胞に動的な力学刺激を付与することで上皮間葉転換（EMT）現象を対象に適用することで，同材料に基づく細胞力覚のアクティブウォッチングの方法論を確立することに成功した。,基盤研究(B),小区分34020:分析化学関連,メカノバイオロジー,上皮間葉転換,がん,光異性化,相分離,時間分解分析,ハイドロゲル,細胞接着,細胞移動,光応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02009,東京薬科大学,梅村 知也,ナノワイヤデバイスが切り拓く次世代二次元TLC/ナノ構造支援LDI-MS,脂質分析に資する次世代の分析技術の開発を目指して、レーザー脱離イオン化質量分析法（LDI-MS）を基盤とする平面式の分離計測システムの開発を行った。本研究では、光熱変換機能を有し、レーザー加熱脱離/イオン化が期待される酸化亜鉛製のナノワイヤを分離媒体とする超薄層のクロマトグラフィーTLC（UTLC）の開発を試み、膜厚わずか5 μm、展開長1 cmで脂質３成分のUTLC分離に成功するとともに、プレート上でのLDI-MSイメージング分析も達成し、ナノワイヤベースのUTLC/LDI-MSの実現可能性を実証した。,基盤研究(B),小区分34020:分析化学関連,ナノワイヤ,酸化亜鉛,薄層クロマトグラフィー,レーザー脱離イオン化,質量分析,脂質,マトリックスフリー,超薄層クロマトグラフィー,MALDI,TLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02008,慶應義塾大学,チッテリオ ダニエル,血中抗体医薬品のPOC分析を可能にするマイクロ流体糸基板センサー,Point of Care (POC)での定期的な血中治療薬物濃度モニタリングは、毎日の通院を必要とせずに、患者個々に最適な薬物投与を可能にする。本研究では、抗体医薬品のPOCでの分析法の開発を目的として、指先の穿刺により1滴の血液を滴下し、スマートフォンによるカメラ撮影のみで抗体濃度測定を可能にする安価、簡便、使い捨ての糸基板マイクロ流体分析デバイス（microfluidic thread-based analytical devices; μTADs）を開発した。,基盤研究(B),小区分34020:分析化学関連,抗体医薬品,POCT,糸基板センサー,生物発光,マイクロ流体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02007,兵庫県立大学,村松 康司,放射光軟Ｘ線吸収分光法と第一原理計算による炭素材料の複雑構造解析技術の開発,本研究は「放射光軟Ｘ線吸収分光法と第一原理計算による炭素材料の複雑構造解析技術の開発」を目的とした。具体的には，工業的に重要であるにもかかわらずその複雑構造解析技術が確立していないカーボンブラック，タール・ピッチ，ゴム，潤滑油/金属摩擦界面に着目し，これらの複雑構造を放射光軟Ｘ線吸収分光法と第一原理計算で解き明かせることを実証した。特に，黒鉛系炭素のエッジ炭素とCK端XANES形状との関係を明らかにしたことは新規な炭素材料評価技術といえる。さらに，本研究を通して絶縁性試料に対する新規の軟Ｘ線吸収測定法を提案するとともに，Ｘ線吸収分光の基礎データとして有機薄膜の質量吸収係数を明らかにした。,基盤研究(B),小区分34020:分析化学関連,放射光,X線吸収分析,炭素材料,第一原理計算,軟X線吸収分光,構造解析,シンクロトロン放射光,Ｘ線吸収分光,軟Ｘ線吸収分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02006,広島大学,石坂 昌司,ドーナツビーム型エアロゾル粒子捕捉法の雲粒発生機構解明への応用,黒色炭素粒子は、温暖化と寒冷化の両方の因子として働くため、気候への影響を正確に見積もることが大変難しい。従来の単一集光レーザービーム型の光ピンセットは、光を吸収するススのような黒色の微粒子を気相中に安定に捕捉できないという課題を有していた。そこで、光の放射圧に代わって、光泳動力でエアロゾルを捕捉するドーナツビーム型のレーザー捕捉法を開発し、黒色炭素粒子を気相中に浮遊させることに成功した。,基盤研究(B),小区分34020:分析化学関連,界面・微粒子分析,レーザー分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02005,大阪大学,岡本 行広,脂質分子の個性を見分ける『脂質ナノ膜場電気泳動法』の創成,"脂質膜は厚さ5nm程度であるが，その特性は多岐にわたる．そこで，各種脂質膜(球状:リポソーム，平板上：バイセル，平面膜)の膜特性を分光法(蛍光，紫外可視，ラマン)，各種顕微鏡(原子間力顕微鏡, 蛍光顕微鏡)，動的光散乱法などを用いて明らかとした．そして，この特性解析に基づき，脂質平面膜での電気泳動法の原理を解明するための検討を実施し，脂質膜を用いた電気泳動法が分離法として有用であることを実証した．",基盤研究(B),小区分34020:分析化学関連,脂質ナノ膜場,脂質ナノ膜場特性解析,機能創発,外部場,電気泳動,脂質ナノ膜場構築,分離,脂質ナノ膜場解析,脂質分離,相互作用,リピドナノテクノロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02004,大阪大学,井上 豪,血液循環癌細胞の膜表面に特化したプロテオミクスによる抗体標的新規探索,抗体は分子量の問題から細胞内部には直接侵入できず、疾患組織の細胞表面に存在する膜表在性蛋白質を高精度に分析する技術の開発が必須である。本課題では、膜表在性蛋白質をイミノビオチン化試薬でラベル化し、ラベル化された蛋白質のみに特異性を示す改変型ストレプトアビジンを用いて精製する技術を確立した。,基盤研究(B),小区分34020:分析化学関連,癌,抗体医薬,標的探索,ストレプトアビジン,プロテオミクス,血管内皮,ビオチン化ラベル,抗体医薬品,抗体開発,抗体標的探索,抗原探索,血中循環細胞,ラベル化,質量分析,膜蛋白質,血中循環癌細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02003,東京工業大学,西野 智昭,刺激応答性分子探針による界面特性の単一分子スケール計測法の開発,近年，優れた機能を有するナノスケールの微小構造体が盛んに開発されており，その化学的特性，物性の評価に向け，高い空間分解能を有する分析法を開発することが喫緊の課題となっている．そこで本研究では，走査型トンネル顕微鏡の刺激応答性分子探針を開発し，単一分子スケールにて，界面特性を計測できる新規手法を開発した．単一分子スケールでの界面特性の評価法を開発することによって，機能性微小デバイスの実用化に貢献できる．また，開発した手法は新奇現象の探索を可能とし基礎科学の開拓につながる．,基盤研究(B),小区分34020:分析化学関連,単分子,温度計測,走査型トンネル顕微鏡,分子探針,ナノ科学,単一分子,単分子接合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02002,東京大学,吉本 敬太郎,核酸アプタマー選抜系への粒子支援型キャピラリー電気泳動の導入と検証,本研究課題では、申請者が見出したマイクロ粒子支援型キャピラリー電気泳動 MACE を、様々な標的分子を対象とする核酸アプタマー選抜実験（SELEX）系に導入し、従来有機合成化学的アプローチで改善が試みられていた SELEX 系に未だ大きな伸び代が存在すること、さらに“分析化学”的アプローチで SELEX 法の大幅な質の向上が可能であることを実証することを目的とした。その結果、MACE-SELEX 法が、可溶性蛋白質、膜タンパク質、低分子などの幅広い標的に対して機能し、高い結合親和性をもつ DNA アプタマーの獲得が可能であることを明らかとした。,基盤研究(B),小区分34020:分析化学関連,核酸化学,分離化学,核酸アプタマー,キャピラリー電気泳動,DNA,RNA,蛍光,バイオセンサー,核酸,低分子化合物,アプタマー,分子進化工学,核酸科学,分子認識化学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02001,筑波大学,鈴木 博章,バイポーラ電気化学マイクロデバイスの高性能化と高機能化,バイポーラ電気化学は、外部装置とは接続されない孤立した電極（バイポーラ電極）と接触する溶液の界面に電位差を生じさせ、これを酸化還元の駆動力として電気化学反応を解析する新手法である。バイポーラ電極の一部に銀／塩化銀またはナトリウムイオン感応膜を形成してその部分の界面電位を固定し、両極での酸化還元反応を制御した。また、バイポーラ電気化学をもとに、マイクロ電気化学デバイス上で分離された溶液間の電気的接続を、従来の液絡から金属接続に置換できることを示し、高度な集積化電気化学／マイクロフルイディクデバイスの実現の可能性が拓かれた。金属接続は、金属置換クーロメトリーの高感度化にも有効であることを示した。,基盤研究(B),小区分34020:分析化学関連,バイポーラ電気化学,銀／塩化銀,イオン感応膜,金属接続,クーロメトリー,マイクロフルイディクス,電位制御,電気化学発光,３電極系,レドックスサイクリング,バイオセンシング,非分極性電極,金属置換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
