awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02016,国立研究開発法人物質・材料研究機構,石原 伸輔,カスケード反応を用いた化学レジスタセンサの超高感度化,本研究では、温和で効率的な多段階化学反応を用いて、ドープ力の弱い有機ガスをドープ力の強い化学物質へと変換し、S-SWCNTセンサによる高感度検出を実現することを目的とする。植物ホルモンであるエチレンを選択的にアセトアルデヒドに変換する高活性触媒と、アセトアルデヒドと反応して酸性ガスを発生する試薬、そして酸性ガスを高感度に検出する単層カーボンナノチューブ（SWCNT）を担持した電極の三要素を組み合わせることで、エチレンを選択的かつ繰り返し高感度に検出できる小型センサの開発に成功した。青果物から発生するエチレンの常時モニタリングにより、食べごろ最適化やフードロス削減などへの応用が期待される。,基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,センサ,ガスセンサ,カスケード反応,カーボンナノチューブ,エチレン,化学反応,ガス,触媒,化学センサ,反応,分子変換,環境モニタリング,電気化学,ワッカー反応,半導体,IoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02015,九州工業大学,春山 哲也,励起ガス相／水相の相界面反応場を形成する励起ガス成分組成と反応速度の解明,相界面反応（Plasma/Liquid (P/L) reaction）は、活性化した窒素が、水から水素を引き抜き、窒素の還元（水素化）すなわちアンモニア合成を常温・常圧・無触媒で実現する研究代表者らが世界に先駆けて見出した反応である。窒素と水だけを原料として、水相では合成選択性100%でアンモニア合成が進行し、気相でNOとH2が生成する。以上の結果から、P/L反応は、窒素（N2)と水（H2O)だけを原料として、常温・常圧・無触媒で３つの生成物を同時合成できることを実証した。,基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,相界面反応,Plasma/Liquid reaction,アンモニア,水素,窒素,水,P/L反応,プラズマ,気液界面,放電,無触媒,グリーンアンモニア,窒素固定,元素循環,循環可能化学,無触媒アンモニア合成,CO2排出削減,常温常圧,グリーンケミストリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02014,立命館大学,菊嶌 孝太郎,バルク原料を出発物質とする低コストポリフルオロアルキル化反応の開発,工業的に大量合成が可能なバルク原料であるパーフルオロ化合物を出発物質に用いた種々の分子変換反応を開発し、有用な含フッ素有機化合物の新たな合成アプローチを提案した。ポリフルオロアレーンの芳香族求核置換反応、テトラフルオロエチレンの炭素―フッ素結合官能基化反応、およびフルオロカルボン酸のアリール化反応を活用して、種々の含フッ素有機化合物を合成した。機能有機分子や生物活性物質の合成にも展開してその有用性を示した。,基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,含フッ素有機化合物,芳香族求核置換反応,炭素―フッ素結合活性化,メタルフリーアリール化,超原子価ヨウ素,脱炭酸,炭素―炭素結合形成,フッ素,医薬品誘導体,アリール化,フルオロアルキル化,フルオロ酢酸,トリフルオロビニル,ヒドロキシ化,ポリフルオロアレーン,ヨードニウム塩,銀触媒,アセトキシ化,スルホニル化,トリフルオロメチル基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02013,三重大学,勝又 英之,分子内モディフィケーション高分子材料に立脚した太陽光広域利用型光触媒の高性能化,リンをドープした芳香族環構造を有するg-C3N4は、簡便な焼成法で合成することに成功した。 実験結果は、組み込まれたドーパントが可視光吸収と電荷キャリアの分離を促進することを示した。 最適なドープ量の芳香環とリンを含むリンと芳香環をドープしたg-C3N4は、550μmol/ h / gの水素生成速度を示した。これは、元のg-C3N4（120μmol/ h / g）よりも著しく高い水素生成速度である。 本研究は、リンと芳香環をドープしたg-C3N4が、効果的な太陽エネルギー変換を備えた潜在的な光触媒であることを示している。,基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,グラファイト状窒化炭素,分子内修飾,非金属ドープ,可視光,水分解,炭素ナノ粒子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02012,静岡大学,間瀬 暢之,ファインバブル有機合成の確立：日本で生まれた技術によるグリーンものづくりに向けて,気相－液相反応は、気相を液相から取り除く操作のみで精製可能なため、シンプルかつクリーンであり、グリーンケミストリーを指向した反応様式である。しかし、耐圧容器中、高圧下にて反応を効率化しており、安全・コストの面に課題があった。本研究課題において、難溶性の気体を効率的に液相に分散・溶解させることができるファインバブルを用いた常圧下での手法を開発した。通常のバブリングに比べ、空気酸化、水素還元、光酸化などで反応性向上を達成した。さらに、ファインバブル手法の連続化や、他手法との集積化も可能となった。以上、本手法の適用範囲は広く、研究室から生産レベルにおけるファインケミカルズ合成への貢献が期待される。,基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,グリーンものづくり,グリーンケミストリー,ファインバブル,マイクロバブル,ウルトラファインバブル,多相系反応,装置開発,フェアリー化合物,FB手法の集積化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02011,北海道大学,渥美 正太,藻類バイオマスから化成品を生産する一貫バイオプロセスの構築,"本研究では、未利用海洋バイオマス資源から、バイオ化製品生産を生産する技術の確立を目指し、モデル大腸菌に代謝工学的手法により、褐藻バイオマスに含まれるアルギン酸成分から1,4-butanediolの生産能力を付与することを目的とした。研究成果として、DEHUを単一炭素源とした最少液体培地において組換え大腸菌の生育が確認出来たことから、DEHUの細胞内代謝経路への取り込みが出来たと考えた。一方で、DEHUから目的生産物質である1,4-butanediolへの効率的な生産には至っておらず、さらなる研究実施が必要である。",基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,褐藻バイオマス,アルギン酸,代謝工学,"1,4-butanediol合成",DEHU,アルギン酸分解産物,大腸菌,"1,4-butanediol",１，４ブタンジオール,褐藻,バイオ燃料,icd欠損株,イソブタノール生産,酵素工学,褐藻分解,イソブタノール,バイオプロセス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02758,分子科学研究所,大迫 隆男,高難度分子変換を実現するグリーン・サスティナブル遷移金属フロー反応システムの開発,,基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02757,東京理科大学,杉本 裕,脱石油・二酸化炭素資源化を加速する環境対応・多用途二酸化炭素ポリマー,二酸化炭素とエポキシドとの交互共重合により合成される脂肪族ポリカーボネート（二酸化炭素ポリマー）は，脱石油・二酸化炭素資源化と環境負荷の低減を同時に満たす魅力ある樹脂材料であるが，性能の向上や用途の開発が遅れている。そこで本研究は，二酸化炭素ポリマーの優位的かつ加速的な実用化のため，シンプルな構造的修飾のみで高性能化・多機能化することを目的とする。具体的には，生分解性・高吸水性樹脂を始め，固体電解質，生分解性接着剤，二酸化炭素固定用樹脂など，複数の側鎖ヒドロキシ基を導入するだけで多面的な用途展開を期待できる二酸化炭素ポリマーの創出をめざす。,基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,二酸化炭素,エポキシド,交互共重合,ポリカルボナート,親水性高分子,分解性高分子,ポリカーボネート,生分解性,水溶性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02756,大阪府立大学,小川 昭弥,メタルフリー触媒によるイミン化合物群のグリーン合成と先端色素・医農薬創出への応用,C-N二重結合を有するイミン類は、先端色素材料や医農薬原料・製品に多用され、カルボニル化合物等価体であると同時に優れた含窒素ヘテロ環合成試剤として有機合成や工業化学で広く利用されている。しかしながら、古典的なカルボニル化合物からの合成法に頼っており、酸化剤として有毒性の金属酸化物や爆発性の過酸化物等を量論量または過剰に用いる方法も多く、環境に調和した酸化手法の開発が強く求められている。,基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,メタルフリー触媒系,one-potプロセス,医薬品分子短縮合成,機能性青色色素,常圧酸素(空気)酸化法,環境調和性,イミン鍵中間体,リサイクル触媒,メタルフリー,環境調和型反応,酸化反応,色素合成,有機典型元素化学,グリーンサステイナブルケケミストリー,環境化学,医薬品合成,グリーンサステイナブルケミストリー,環境科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02755,九州大学,徳永 信,セリアおよびジルコニア担持貴金属触媒を用いる実用的合成反応,無機酸化物担持貴金属触媒は、自動車触媒などで汎用化されており、低コスト、優れた耐久性、大量生産可能、焼成で触媒再生が可能などの利点があるが、有機合成、有機反応への適用が不十分で、未開発の機能が埋もれている。そこで我々は、金、白金、パラジウム、ルテニウムなどの担持触媒の新機能開発を行う。担体として、高活性を示すことが多いセリア(CeO2) やジルコニア (ZrO2) を用い、酸化還元機能とソフトルイス酸機能の解明と応用を行う。ソフトルイス酸機能はアルケン、アルキン、芳香族などのπ電子を活性化するソフトな金属特有の機能であるが担持貴金属触媒では触媒設計指針が確立されておらず、それを目指す。,基盤研究(B),小区分34030:グリーンサステイナブルケミストリーおよび環境化学関連,不均一系触媒,有機反応,ソフトルイス酸,触媒再利用,流通式反応,金,パラジウム,白金,ジルコニア,セリア,担持触媒,ソフトルイス酸機能,アルケン活性化,触媒担体,アルキニルカルボン酸,担持貴金属触媒,合成反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
