awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02132,国立研究開発法人産業技術総合研究所,松沢 智彦,微生物のオリゴ糖を介した環境認識,"麹菌Aspergillus oryzaeにおいて、キシログルカンおよびキシログルカンオリゴ糖の分解に重要な酵素（イソプリメべロース生成酵素、β-ガラクトシダーゼ、２つのα-キシロシダーゼ、２つのキシログルカン特異的β-1,4-グルカナーゼ）の同定と解析を実施した。これらの酵素のいくつかはキシログルカンオリゴ糖存在下においてその遺伝子の発現が誘導され、協調的にキシログルカンおよびキシログルカンオリゴ糖を分解していることが明らかになった。",基盤研究(B),小区分38020:応用微生物学関連,酵素,糖質,麹菌,微生物,オリゴ糖,糸状菌,転写制御,キシログルカン,Aspergillus oryzae,環境応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02131,国立研究開発法人理化学研究所,八代田 陽子,分裂酵母の窒素源シグナリング因子を介した細胞間コミュニケーションの解明,分裂酵母には、自身が微量に分泌する「窒素源シグナリング因子」を介した細胞間コミュニケーションが存在し、それにより窒素カタボライト抑制を解除し、窒素代謝を調節し「適応生育」現象を起こす。そのメカニズムを明らかにすることを目的とし、「窒素源シグナリング因子」の受容に関与する遺伝子を探索し、新たな適応生育誘導因子を同定した。また、適応生育現象は、その記憶維持機構も含めてエピジェネティックな制御を受けていることが示唆された。,基盤研究(B),小区分38020:応用微生物学関連,細胞間コミュニケーション,分裂酵母,窒素代謝,オキシリピン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02130,広島大学,加藤 純一,多数のケモセンサーを駆使する環境細菌の物質認識機構の革新的洞察,青枯病菌Ralstonia solanacearumは22種類の走化性センサーを有する。その走化性センサー遺伝子全破壊株(POC22株)でアミノ酸、L-リンゴ酸、ホウ酸の走化性センサーは機能するが、クエン酸(McpC)、酒石酸(McpT)の走化性センサーは機能しない。POC22にmcpCをknock-inした株を用いた相補試験からMcpCとMcpTはヘテロダイマーもしくはヘテロトリマーを形成して機能することが示唆された。また種々の走化性センサー遺伝子多重変異株にmcpCをプラスミドで導入した相補試験から、McpCはセンサーアレイのサイズに依存して機能的にアレイに組み込まれると示唆された。,基盤研究(B),小区分38020:応用微生物学関連,ケモセンサー,物質認識機構,走化性,青枯病菌,環境細菌,生物相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02129,岡山大学,谷 明生,微生物におけるランタノイド元素の意義,Methylobacterium属細菌は植物が放出するメタノールを利用して葉上で優占化する共生細菌である。本属細菌はメタノール代謝にカルシウム依存とランタノイド(Ln)依存の二種類のメタノール脱水素酵素(MDH)を利用する。これらのLnに依存した発現制御の機構について検討した。その結果両者を制御する因子を見いだした。またLn依存酵素は多くの微生物ゲノムに存在するため、Ln依存的メタノール資化性細菌の探索も行った。Ln依存的新種細菌を二種類見いだし、その基礎的特徴付けを行った。,基盤研究(B),小区分38020:応用微生物学関連,Methylotroph,Lanthanides,Methanol dehydrogenase,Methylotrophs,Methylobacterium,lanthanide,methylotrophs,lanthanides,xoxF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02128,神戸大学,吉田 健一,新たなゲノム機能調節機構の解明につながる好熱バチルスの制御因子Crhの解析,グラム陽性菌のCrhはグルコース・カタボライト抑制に関わると考えられてきたが、Geobacillus kaustophilus (GK)のイノシトール代謝系iol遺伝子群がグルコースによって全く抑制を受けないにも拘らずCrhの過剰なリン酸化によって抑制されることが判明し、リン酸化されたCrhがCcpAと複合体を形成することが示唆された。一方、iol遺伝子群がキシロースやリボースによって抑制されることが確認され、そのためにCrhが必要であることが示された。加えて、GKではhprの発現が顕著に低く、逆にcrhの発現が高く、5炭糖によるiol遺伝子群のカタボライト抑制をCrhが担うことが分かった。,基盤研究(B),小区分38020:応用微生物学関連,Geobacillus kaustophilus,inositol,catabolite repression,5-carbon sugar,transcription,カタボライト抑制,イノシトール,転写制御,タンパク質相互作用,5炭糖,リボース,キシロース,Crh,トランスクリプトーム,細胞内クロスリンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02127,京都大学,栗原 達夫,細菌細胞膜におけるリン脂質アシル鎖多様性創出のメカニズムと生理的意義の解明,生体膜リン脂質の sn-2 位アシル鎖多様性創出を担うリゾホスファチジン酸アシル基転移酵素 (LPAAT) の機能を解析した。Escherichia coli に新奇 LPAAT である YihG を見出し、基質特異性やべん毛形成との関係を明らかにした。好熱菌 Thermus thermophilus HB8 の LPAAT の精製に成功し、諸性質を明らかにした。低温菌 Shewanella livingstonensis Ac10 の LPAAT パラログ PlsC4 と PlsC5 を不活性化した変異株を作製し、それぞれの基質特異性や PlsC4 の低温適応への関与を示した。,基盤研究(B),小区分38020:応用微生物学関連,生体膜,リン脂質,リゾホスファチジン酸アシル基転移酵素,高度不飽和脂肪酸,PlsC,分岐鎖脂肪酸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02126,京都大学,片山 高嶺,新しい共培養モデルを用いたヒトー腸内細菌の共生の分子基盤解明と応用展開,単層化Caco-2細胞のアピカル側を嫌気環境としつつ、基底膜側を好気環境に維持することが可能なアピカル嫌気培養デバイスを開発した。本デバイスを用いCaco-2細胞を5日間培養したところ、アピカル側および基底膜側の溶存酸素濃度は0.3 %以下および60 %以上に保たれており、経上皮電気抵抗値は通常のCO2インキュベーターで培養した場合と同等であった。また、蛍光免疫染色によってもタイトジャンクション形成能の維持が確認された。アピカル側培地に嫌気性腸内細菌を添加したところ、その増殖が著しく促進された。本装置を用いることでヒト腸上皮細胞と偏性嫌気性腸内細菌の共培養が可能であることが明らかとなった。,基盤研究(B),小区分38020:応用微生物学関連,共培養,アピカル嫌気,嫌気性細菌,腸上皮細胞,腸管上皮細胞,偏性嫌気性細菌,腸上皮細胞株,共生,腸内細菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02125,名古屋大学,小林 哲夫,糸状菌多糖分解酵素遺伝子の転写抑制に関わる情報伝達ネットワークの解明,糸状菌における多糖分解酵素の生産は一般にカーボンカタボライト抑制（CCR）の制御下にある。Aspergillus nidulansではCCRに関わる因子として転写抑制因子CreAやcAMPシグナリングの構成因子であるPkaAやGanB、脱ユビキチン化酵素CreBなどが知られている。そこで、これらの因子間のかかわりについて検討するため、各因子の遺伝子の単独、ならびに多重破壊株を用い、各種酵素遺伝子の発現解析を行った。その結果、CreA、cAMPシグナリング、CreBは独立に機能していることが明らかとなった。また、cAMPシグナリングのPkaAの下流因子の有力候補を同定した。,基盤研究(B),小区分38020:応用微生物学関連,カーボンカタボライト抑制,Aspergillus nidulans,多糖分解酵素,転写制御,糸状菌,多糖分解酵素遺伝子,生産制御,cAMPシグナリング,パラログ間競合,情報伝達系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02124,東京工業大学,田中 寛,バクテリアにおけるエネルギー代謝ステート遷移の分子機構,バクテリアは生育環境の変化によりエネルギー獲得代謝の様式を大きく変化させる。本研究では大腸菌とシアノバクテリアを研究材料として、バクテリアが大きく代謝ステートを変化させる際の分子機構について解析した。大腸菌は培地中のグルコースの有無により代謝状態を大きく変えるが、従来はこのステート遷移は遺伝子発現状態の変化で説明されてきた。本研究では酢酸オーバーフロー代謝が特定の酵素OGDHの活性化に関わり、代謝フラックスの大規模な変化を誘導する分子機構を明らかにした。また、明暗状態のシフトに伴うシアノバクテリアの適応機構について、転写制御機構の観点からアプローチした。,基盤研究(B),小区分38020:応用微生物学関連,エネルギー代謝ステート,大腸菌,シアノバクテリア,中央代謝経路,明暗環境応答,光合成,酢酸オーバーフロー代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02123,東京大学,丸山 潤一,麹菌の多様形質創出を阻む不和合性の分子基盤研究,糸状菌では、遺伝的に不適合である株どうしの細胞融合体が死に至る「不和合性」という現象が存在する。有性世代が発見されていない麹菌の交配育種法の開発において不和合性の現象は重要であり、本研究では麹菌の株系統が和合性グループと相関し、異なる系統の株間では不和合性であることを明らかにした。また、麹菌の不和合性により誘導される細胞死をミトコンドリアの分裂が制御することを、糸状菌で初めて明らかにした。この発見は細胞死のメカニズムの全容解明の糸口となり、麹菌において不和合性を抑制できる可能性を見いだした。,基盤研究(B),小区分38020:応用微生物学関連,麹菌,不和合性,ゲノム編集,細胞融合,糸状菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
