awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02191,国立研究開発法人農業・食品産業技術総合研究機構,石丸 努,イネの開花時刻に関わる分子制御機構の解明,近年の温暖化傾向に伴い、世界的に高温不稔を軽減する作物の開発が喫緊の課題となっている。本研究では開花時刻を気温の低い早朝の時間帯に調節することで高温不稔を回避することのできるイネの品種開発を目指し、早朝開花性を決定する遺伝子の単離を試みた。遺伝子の特定までには至らなかったものの、ゲノム編集技術によりある遺伝子の機能を喪失させると開花パターンが著しく変化することが明らかとなり、有力な早朝開花性の原因遺伝子を見出すことに成功した。,基盤研究(B),小区分39020:作物生産科学関連,イネ,開花時刻,早朝開花性,高温不稔,遺伝子単離,光感受性,代謝産物,早朝開花,ゲノム編集,形態観察,ゲノム編集植物,遺伝子発現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02190,国立研究開発法人農業・食品産業技術総合研究機構,熊谷 悦史,高速形質評価・環境計測によるダイズ安定多収化に貢献する群落生産形質遺伝子座の探索,この研究では、日本のダイズ収量停滞と品種改良の問題に対処するため、効率的な形質評価法と遺伝子情報の活用を目指した。日本と米国のダイズ品種を比較し、日本品種の収量と個葉光合成能力の低さを明らかにした。さらに、地上部重、葉面積指数や個葉光合成能力などを対象にした非破壊で高速な形質評価法を開発しました。この評価法を用いると、個葉光合成能力は関連する既知の遺伝子領域にマッピングされ、形質評価法の有用性が示された。,基盤研究(B),小区分39020:作物生産科学関連,分光反射率,リモートセンシング,機械学習,ダイズ,ハイスループットフェノタイピング,環境計測,遺伝解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02189,九州大学,望月 俊宏,ダイズ根皮層組織におけるプログラム細胞死の生体機能,ダイズ耐湿性品種育成の指針を得るため、嫌気耐性品種‘伊豫大豆’と嫌気感受性品種‘タチナガハ’、およびNIL-9-4-5(遺伝的背景がタチナガハで、伊豫大豆由来の嫌気耐性遺伝子領域を持つ系統）を供試し、嫌気条件下における根の伸長と通気組織形成について調査した。,基盤研究(B),小区分39020:作物生産科学関連,ダイズ,湿害,嫌気耐性,耐湿性,通気組織,プログラム細胞死,根系形成,破生細胞間隙,不定根,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02188,名古屋大学,山内 章,異形根性に基づく水吸収輸送モデルの構築：細胞―根系間の階層的水分生理情報の統合,イネ根系の異形根性に着目し、構成根毎に水通導性と、水流を制御する形質を定量した。S型側根は、より単純な組織構造を有し、その表面積割合が大きいほど、根系全体および個根の水通導性が増加した。さらに、スベリン量が構成根間で最少で、アクアポリン遺伝子の発現が最も高く、これらの形質がS型側根の高い吸水能力に寄与していた。一方で、主軸根とL型側根は、より太い導管を多数形成し、水を効率良く地上部へ輸送し、通気組織を形成して、根の発育や分枝による根系の表面積拡大に貢献していた。本研究は、各構成根が、根系の水吸収・輸送機能において異なる役割を担っている実態を明らかにし、異形根性の機能的役割を明らかにした。,基盤研究(B),小区分39020:作物生産科学関連,アクアポリン,異形根,スベリン,プレッシャーチャンバー,水通導性,ルートプレッシャープローブ,異形根性,プレッシャーチャンバー法,セルフプレッシャープローブ,根,吸水,セルプレッシャープロ―ブ,セルプレッシャープローブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02187,名古屋大学,槇原 大悟,オリザ・ロンギスタミナータに由来するイネの環境ストレス耐性機構の解明と遺伝解析,アフリカの野生イネであるロンギスタミナータ由来の染色体断片を栽培イネ品種に導入した染色体断片置換系統群（LCSILs）の遺伝子型を次世代シーケンサーで解析するとともに、いもち病抵抗性、耐塩性および耐冷性を評価した。いもち病抵抗性には系統間で大きな変異が認められ、その違いはロンギスタミナータ由来遺伝子の供与親であるpLIA-1の染色体断片が導入されたためと考えられた。耐塩性を示した5系統におけるpLIA-1の染色体置換位置は既知の耐塩性QTLと一致していなかった。耐冷性の強い系統は見出されなかった。LCSILsはいもち病抵抗性および耐塩性育種のための交配材料として有用であることが示された。,基盤研究(B),小区分39020:作物生産科学関連,イネ,オリザ・ロンギスタミナータ,染色体断片置換系統,環境ストレス耐性,フェノタイピング,遺伝子解析,ロンギスタミナータ,環境ストレス耐性機構,遺伝解析,オリザ・ロンギスタミナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02186,東京大学,加藤 洋一郎,干ばつ・洪水下でも出芽するイネ新規遺伝資源の探索と出芽応答機構の解明,インド型イネを対象に干ばつ・洪水下の発芽・出芽に関する分子生理学・解剖学・遺伝学的機構の解明を目指した。水没下の発芽・出芽について、インド型品種IR64・日本型品種コシヒカリの染色体断片置換系統群を用いた解析から鞘葉伸長性に関わる新規の遺伝子座qACE3.1を検出した。また、種子発芽時の乾燥応答について、透過型電顕を用いてアリューロン細胞の三次元画像を構築して解析し、水ストレス下ではグリオキシソーム数が減少する一方で、個々のサイズは大きくなることを明らかにした。また、発芽時のイネ乾燥耐性の品種間差には、GAおよびABAの生合成や感受性が関与していることを明らかにした。,基盤研究(B),小区分39020:作物生産科学関連,イネ直播栽培,イネ,直播,出芽,発芽,ストレス生理,直播栽培,環境ストレス,熱帯アジア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02185,東京大学,矢守 航,変動する光環境下において優れた光合成能力を持つ植物の創出にむけた基盤研究,野外環境において植物の受ける光環境は、天候や植物体同士の相互被陰によって一日を通して常に変動している。長年、変動光に対する光合成応答メカニズムについては不明瞭な点が多い。本申請課題では、光が激しく変動する野外環境における光合成量の向上に寄与する諸反応の分子機作の解明を目指した。申請者らの研究成果によって、１）ヒメツリガネゴケ由来Flavodiiron protein（Flv）遺伝子導入による電子伝達系の改変、２）Rubisco活性化因子であるRubisco activaseの改変、３）気孔開閉の迅速化によって、変動光に対する光合成能力の向上に成功した。,基盤研究(B),小区分39020:作物生産科学関連,光合成,変動光,環境応答,気孔,電子伝達,Rubisco,光合成誘導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02944,高崎健康福祉大学,廣瀬 竜郎,イネ葉身の光合成産物転流能力に関する生理・遺伝学的解析,光合成産物の転流は植物の生産過程においてきわめて重要であるが、転流能力の高低が植物の生理過程や作物生産にどのような影響を及ぼすのか不明である。また、作物の品種・系統間での転流能力の遺伝的な差異の有無もわかっていない。そこで本研究では、研究代表者らが開発した転流能力の簡易な評価方法を用いて、世界および日本のイネの多様な品種の光合成産物転流速度を調べ、その高低を評価・整理する。そのうえで、転流能力の差異と、光合成や糖代謝関連の生理形質や生育・収量関連形質などとの関係を考察する。さらに、次世代シーケンスによる最新の解析技法により、転流能力の差異をもたらす遺伝子座や遺伝子の特定を目指す。,基盤研究(B),小区分39020:作物生産科学関連,イネ,転流,糖,遺伝子,トランスクリプトーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02943,岡山大学,齊藤 邦行,環境×遺伝子型相互作用にもとづくダイズの超多収生育型の設計,わが国のダイズ単位面積当たり収量は世界の主要生産国に比べて低いレベルにある．その原因はわが国の環境下でも太陽エネルギーを効率的に捉え，湿害や病害虫，倒伏等に対応した多収性品種の育成が遅れたことにある．本研究では，北海道から九州にわたる６地域の様々な栽培環境において収量制限要因を解析し，わが国の環境により適した超多収性ダイズの理想的生育型を設計する．,基盤研究(B),小区分39020:作物生産科学関連,ダイズ,環境×遺伝子型相互作用,多収性,米国産品種,準同質遺伝子系統,無限性品種,シグモイド型被覆尿素肥料,開花遺伝子,日長反応性,環境×遺伝子型の相互効果,理想的生育型,環境×遺伝子型の相互作用,収量ポテンシャル,カナダ産品種,窒素固定活性,晩播適性,窒素追肥効果,環境×遺伝子型の相互効効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02942,名古屋大学,三屋 史朗,イネ葉鞘における塩排除能の品種間差を生じる分子機構の解明,本研究の最終目的はイネの耐塩性を向上させることである。塩害下でイネは主に塩（NaCl）を吸収し、光合成を行う葉身に高濃度塩が蓄積すると光合成が阻害されて生育と収量が著しく減少する。そのため、イネの耐塩性には葉身の塩蓄積を増加させないため、塩排除能と呼ばれる機構が重要である。本研究ではイネの葉鞘が有する塩排除能に注目し、イネ葉鞘における塩排除能の向上の鍵となる遺伝子、分子機構を明らかにする。葉鞘における塩排除能に関わる遺伝子や品種間差を生じる分子機構が明らかになれば、葉鞘の塩排除能の活性を増加させる育種に繋がり、イネの耐塩性向上に繋がる。,基盤研究(B),小区分39020:作物生産科学関連,イネ,耐塩性,葉鞘,塩害,塩排除能,塩排除,カリウム,塩排出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
