awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02217,国立研究開発法人理化学研究所,グセフ オレグ,Cell type-specific mechanisms of desiccation tolerance in the anhydrobiotic insect,このプロジェクトは、唯一知られている無水生物昆虫であるP.vanderplanki（Pv）を使用して、完全な乾燥耐性の細胞型固有のメカニズムに関する新しい独自の情報を提供しました。ミクス分析を実施して、脳、脂肪体、腸、および胚性細胞塊由来のPv11細胞培養における水分喪失に対する分子シールドを提供する保護遺伝子の特定のセットを特定しました。 各組織には、遺伝子発現の一般的かつ固有の組織固有のシグネチャがあります。RNAiと遺伝子編集の新しいプロトコルを使用して、Hsf1を含む無水生物症の主要な転写マスターレギュレーターを特定し、乾燥耐性のゲノムワイドな調節に強く関与していることを示しました.,基盤研究(B),小区分39050:昆虫科学関連,anhydrobiosis,desiccation tolerance,gene expression,gene editing,sleeping chironomid,Polypedilum vanderplanki,scRNASeq,CAGEseq,nervous system,scRNAseq,glia cells,single cell sequencing,ahydrobiosis,brain,desiccation,Pv11 cells,promoters,enhancers,CAGE,transcriptome,the sleeping chironomid,10xGenomics platform,LEA proteins,single cell omics,RNAi,CRISPR,cell-type specific genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02216,沖縄科学技術大学院大学,ミケェエヴ アレクサンダー,"Origins, spread and evolution of novel honey bee parasites and diseases",寄生生物によるホストスイッチの成功は、新たな資源を獲得し種分化を起こす進化上の出来事である。観察は困難で世界的なパンデミックの要因である。我々は、外部寄生虫として世界的にミツバチ減少をもたらしているVarroa属の二種のダニについて、ホストスイッチの動態の変遷を再現した。このダニがクローン様に均質とする従来の考えと、世界的に広まる現状には遺伝学的な矛盾がある。我々は数百個体に相当する遺伝的多様性がホストスイッチに関与することを発見し、ダニが多様なミツバチ集団や殺虫剤に適応する根拠を見出した。これにより、ダニの動態に関わる変数のうち特に遺伝的多様性がホストスイッチに重要なことが明らかとなった。,基盤研究(B),小区分39050:昆虫科学関連,evolution,parasites,honey bees,Proteomics,Honey bees,Varroa,Transcriptomics,mites,viruses,coevolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02215,東京慈恵会医科大学,大手 学,共生細菌ボルバキアによるRNAウイルス抑制機構の全容解明,節足動物に広く感染する細胞内共生細菌ボルバキアは、宿主の雌化、雄殺し、細胞質不和合性といった性・生殖撹乱や、RNAウイルスの増殖抑制を引き起こす。このボルバキアの抗ウイルス効果のメカニズムを明らかにするため、ボルバキア共生ヤブカ培養細胞を用いた詳細な解析を行い、ボルバキアはウイルスの複製を阻害していることを明らかにし、標的候補となる複数の宿主RNA結合タンパク質を同定した。,基盤研究(B),小区分39050:昆虫科学関連,ボルバキア,RNA,ウイルス,ヤブカ,ショウジョウバエ,蚊,共生,デングウイルス,生殖細胞,TomO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02214,京都大学,小野 肇,昆虫ステロイドホルモン生合成経路の全容解明,"昆虫のステロイドホルモンのエクダイソンの生合成経路については、エクダイソンに特有の骨格が形成される過程が未解明である。この経路は律速段階となり、生体反応として重要な過程である。本研究では、2種類の新規化合物T1-a, T2-cが中間体候補物質と考えられる結果を得た。そこで、これらの化合物の重水素ラベル体の合成を行った。合成した重水素ラベル体をカイコのステロイドホルモン生合成組織である前胸腺に添加して器官培養した結果、ラベル体のエクダイソンへと変換されることを確認した。以上の結果から、化合物T1-aおよび化合物T2-cが未知経路の中間体であることが示唆された。",基盤研究(B),小区分39050:昆虫科学関連,エクダイソン,ステロイドホルモン,生合成,前胸腺,重水素ラベル体,生理活性物質,ショウジョウバエ,カイコ,立体異性体,有機合成,細胞培養,植物トリテルペノイド,生合成阻害,生合成酵素,S2細胞,脱皮・変態,7-デヒドロコレステロール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02213,名古屋大学,池田 素子,昆虫細胞における抗ウイルス応答としての全タンパク質合成停止機構の解明,カイコ細胞が核多角体病ウイルス（NPV）の感染に対する抗ウイルス応答として誘導する，rRNAの分解機構の解明を目的として行った．rRNA分解を誘導する，NPVのP143 (Ac-P143)の最小領域を決定し，最小領域と相互作用するカイコ細胞因子を探索した．蛍光標識したカイコリボソームの観察から，細胞質に存在するリボソームタンパク質あるいはリボソーム自体の分解が，NPV感染によって誘導されることを示した．,基盤研究(B),小区分39050:昆虫科学関連,核多角体病ウイルス,抗ウイルス応答,カイコ,全タンパク質合成停止,リボソーム分解,リボソームRNA分解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02212,東京農工大学,天竺桂 弘子,ユニークなmiRNAが制御する尿酸合成制御機構の解明,本研究では、BMmirmeguの機能解析を通して、抗酸化酵素を介した尿酸合成経路に与える影響をカイコを用いて解析した。その結果、BMmirmeguの発現は、カイコ発育段階の胚発生96時間後で高かった。次にJHとBMmirmeguの関係について検討したところ、カイコ幼虫にBMmirmeguミミックを注射すると、JH応答遺伝子の発現が上昇し、尿酸合成遺伝子の発現が低下する傾向を認めた。カイコ幼虫にJHを注射すると、BMmirmeguの発現が上昇した。以上のことから、BMmirmeguが、JHのような機能を有するmiRNAであることを明らかにした。,基盤研究(B),小区分39050:昆虫科学関連,miRNA,Dicer,ステムループ構造,尿酸,抗酸化酵素,JH,DJ-1,尿酸合成,Bombyx mori,カイコ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02211,東京農業大学,櫻井 健志,カイコガをモデルとしたガ類の交尾行動解発因子の同定と受容・情報処理機構の解明,本研究では、ガ類のモデル昆虫であるカイコガを用いて、オスが示すフェロモン源定位行動から交尾行動への行動スイッチングを解発する因子の同定とその受容、情報処理機構の解析を行った。高速度カメラを用いた詳細な行動解析から、オスの触角先端部と前脚ふ節に交尾行動の解発因子の受容部位があることを示した。また、脱脂したメスの鱗粉への接触により、通常の鱗粉と同様に交尾行動が解発されることから、鱗粉の化学物質の情報でなく鱗粉自体の構造に解発因子が存在することが示唆された。さらに受容部位のRNAseq解析から、解発因子の受容に関与する候補遺伝子を推定した。一方で、交尾行動発現の神経回路の同定にはいたらなかった。,基盤研究(B),小区分39050:昆虫科学関連,昆虫,カイコガ,配偶行動,行動スイッチング,性フェロモン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02973,国立研究開発法人産業技術総合研究所,森山 実,カメムシ類における共生細菌の体外保存機構の解明,カメムシ類昆虫では、自身の生存に不可欠な相利共生細菌を次世代へ受け継ぐ際、共生細菌を分泌物中に封入し、一時的に体外で保管するという興味深い行動が知られる。本研究は脆弱な共生細菌ですら野外の環境ストレス下において維持しうるカメムシ産生分泌物の細菌保護機能に着目し、チャバネアオカメムシの共生細菌をさまざまな分子遺伝学的操作が可能な大腸菌に人工的に置き換えた独自の共生系を利用することで、分子遺伝学的アプローチおよび生化学分析的アプローチを両輪として課題を推進し、カメムシ類が共生進化の過程で獲得した驚異の細菌保護能力の分子作用機構を世界に先駆けて解明することを目的とする。,基盤研究(B),小区分39050:昆虫科学関連,共生細菌,垂直伝達,ムチン,細菌保管,昆虫,共生微生物,カメムシ,産卵,細菌保護,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02972,国立研究開発法人農業・食品産業技術総合研究機構,陰山 大輔,共生細菌ボルバキアによる性染色体の伝達阻害・機能補完・非宿主の発生阻害の機構解明,メスヘテロ型の生物において細胞質因子は、性染色体（W染色体）と利害を共にしていることから密接な相互作用が予想される。本研究課題は、節足動物の細胞内共生細菌であるボルバキアが、宿主キタキチョウの性染色体の伝達や機能に与える影響について、その分子メカニズムの解明を目指すものである。本研究の遂行により、細胞内共生細菌が真核生物の生殖システムに対して、どこまで深く作用しているのかについての具体的な新規知見が得られるとともに、チョウ目昆虫全体の性決定に対する包括的理解が期待できる。また、この知見と理解を基盤として、ボルバキアによる生殖制御を介した新たな害虫管理技術確立への発展が期待できる。,基盤研究(B),小区分39050:昆虫科学関連,ボルバキア,生殖操作,細胞内共生細菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H02971,大阪市立大学,後藤 慎介,昆虫の光周性の変異を生み出す分子神経機構の解析,多くの昆虫は厳しい冬をやり過ごすため，秋の短い日長に反応して「休眠」と呼ばれる生理状態に入り，積極的に成長や繁殖を停止させる．このように生物が日の長さ（光周期）に反応する性質を「光周性」という．この光周性には種内でも違いがある．低緯度地域に生息する個体群は高緯度個体群に比べ，同一光周期条件下でも休眠に入る個体の割合が低い．また，メスはオスに比べて，同一光周期条件下でも休眠に入る個体の割合が低い．この地理系統差，性差の重要性は生態学的にも認められているが，どのような生理機構でこれらの違いが生み出されているのかは不明である．本研究は，この光周性の変異を生み出す分子生理機構を明らかにするものである．,基盤研究(B),小区分39050:昆虫科学関連,昆虫,光周性,休眠,変異,内分泌,概日時計,内分泌系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
