awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02259,国立研究開発法人産業技術総合研究所,光田 展隆,新しい細胞壁再構成系を用いたリグノセルロースの様態と細胞壁形質の連関解析,我々は繊維細胞において二次細胞壁を形成しないnst1 nst3二重変異体に、ERF転写因子を発現させることにより、一次壁成分を二次壁様に肥厚させることに成功した。さらに、追加でLXM転写因子を発現させてリグニンを追加沈着させることに成功し、強度が向上していることを確認した。しかし、Gリグニンに富んだ組成になっていることが示唆され、通常の野生株の繊維細胞に蓄積するリグニンとは異なるように思われた。そこで、リグニンのS/G比の制御にかかわる遺伝子をさらに追加で発現させたところ、Sリグニンの割合を増やせることが分かり、一次細胞壁様細胞壁にもSリグニンに富んだリグニンを形成させられることが分かった。,基盤研究(B),小区分40020:木質科学関連,細胞壁,木質,遺伝子,転写因子,リグニン,一次細胞壁,二次細胞壁,植物,セルロース,遺伝子改変,力学的強度,力学的性質,遺伝子発現,キシラン,シロイヌナズナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02258,国立研究開発法人森林研究・整備機構,黒田 克史,立木の幹内部を可視化する手法を用いた樹幹師部―木部の放射方向の物質移動機構の解明,立木（生きている樹木）の幹内部で起こる樹幹放射方向の物質移動実態を明らかにするために、内部で起きている現象をできるだけ再現する工夫をした可視化実験を行った。セシウムをトレーサーにした実験により、ミネラルは辺材内を拡散と柔細胞機能の複合で双方向に移動すること、辺材と心材間の輸送には拡散ではない未知の物質輸送メカニズムが存在することを明らかにした。また蛍光物質をトレーサーにした実験により、蛍光物質はシンプラスト（細胞膜で囲まれた細胞内空間）とアポプラスト（死細胞や細胞壁を含む細胞外空間）を往来しながら幹を放射方向に移動することを明らかにした。,基盤研究(B),小区分40020:木質科学関連,ミネラル,放射方向移動,蛍光トレーサー,柔細胞,セシウム,立木凍結固定,アポプラスト,シンプラスト,蛍光物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02257,宮崎大学,亀井 一郎,白色腐朽菌と共存細菌とのケミカル・トーキング～シグナル分子の解明と新機能発現～,細菌Curtobacterium sp. TN4W-19は白色腐朽菌Stereum sp. TN4Fの菌糸伸長を促進する。本研究で、TN4W-19液体培養液の酢酸エチル抽出物にTN4Fの菌糸伸長促進活性が見出された。また3つの化合物に白色腐朽菌菌糸伸長促進効果が見られた。すなわち化合物を介して菌糸伸長を促進することが示された。,基盤研究(B),小区分40020:木質科学関連,白色腐朽菌,細菌,木材腐朽,微生物間相互作用,シグナル物質,複合微生物系,バイオレメディエーション,共培養,共存細菌,菌糸伸長促進物質,ケミカルコミュニケーション,バイオリファイナリー,バイオマス,シグナル分子,環境浄化,木質バイオリファイナリー,リグニン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02256,大阪大学,古賀 大尚,樹木ナノセルロースの半導体化とセンサー機能創出,本研究では、環境調和型・持続性エレクトロニクスの実現に向け、樹木ナノセルロースの電子ナノ材料化に取り組んだ。まず、元は絶縁体であるナノセルロースの段階的炭化戦略により、その電気特性を絶縁体～半導体～準導体の広範囲で細かく制御（電気抵抗率：10の13乗～10の-2乗 Ω cm、バンドギャップ：5.3～0 eV）することに成功した。さらに、水蒸気選択センシング機能と飛沫モニタリング応用（半導体）から、バイオ燃料電池発電機能とグルコースセンシング応用・LED点灯（準導体）まで、幅広い用途における有用性を確認できた。以上の様に、次世代グリーン・サステイナブルエレクトロニクスに先鞭をつける成果を得た。,基盤研究(B),小区分40020:木質科学関連,ナノセルロース,ナノペーパー,ナノカーボン,半導体,炭化,グリーンエレクトロニクス,センサー,導体,炭素化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02255,京都大学,梅澤 俊明,植物由来抗腫瘍性リグナン生合成系の微生物における新規構築,ポドフィロトキシンは抗腫瘍性リグナンであり、その生物工学的生産が希求されている。本研究では、各種植物における独立したポドフィロトキシン合成系の酵素遺伝子を取得し、強力なポドフィロトキシン生産系構築を目指して研究を進めた。まず、ポドフィロトキシン産生の合成生物学系を構築する基盤として、ポドフィロトキシン合成経路におけるリグナンのO-メチル化段階を触媒するO-メチル基転移酵素（リグナンOMT）の種間多様性評価、フロフラン環形成酵素の遺伝子取得と機能解析及びヒドロキシ化を触媒する酵素の遺伝子取得を進めた。さらに、合成生物学的な代謝経路の構築に向け、これらの遺伝子の微生物における機能発現を進めた。,基盤研究(B),小区分40020:木質科学関連,リグナン,ポドフィロトキシン,OMT,2ODD,抗腫瘍性,生合成,合成生物学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02254,京都大学,本田 与一,木材腐朽菌のタンパク質分泌機構の強化と新規機能の付与,リグニン分解酵素の転写量を人為的に高めた場合に、それに見合う酵素活性が見られない理由としてこれまで「翻訳後調節機構」の存在が提案されてきたが、実際に解析した例はない。本課題ではこれまでに蛍光タンパク質(mCherry)やルシフェラーゼタンパク質をレポーターとして用い、 ゲノムよりサーベイしてきた各細胞内小器官に存在すると考えられるタンパク質のシグナル配列と連結することで、細胞内のタンパク質分泌系路について、蛍光顕微鏡を用いて分子細胞生物学的な解析手法の開発を行った。また、木材腐朽菌におけるゲノム編集系の開発を進め、任意のゲノム編集を可能とする技術基盤の開発にも成功した。,基盤研究(B),小区分40020:木質科学関連,木材腐朽菌,リグニン分解,タンパク質分泌系,担子菌,分泌系,細胞内小器官,白色腐朽菌,タンパク質分泌,木材分解酵素,遺伝子組換え,リグニン分解酵素,分泌酵素,ゲノム編集,糖鎖修飾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02253,金沢大学,高橋 憲司,イオン液体を用いた連続的バイオマス直接変換プロセス,バイオマス資源の活用を目的に、イオン液体を触媒かつ溶媒として用いたリグノセルロース類の樹脂化手法の開発とそれらの二軸混練機を用いたフロー反応への転換について研究を行った。分子変換におけるイオン液体の効果の詳細を明らかにし、リグノセルロース類の直接変換が可能となった。さらに、天然試薬のみを消費する環境負荷の低い新たなバイオマス変換法を開発し、二軸混練機を用いたフロー反応にも適用できることを明らかにした。,基盤研究(B),小区分40020:木質科学関連,イオン液体,バイオマス,連続変換プロセス,二軸混練,セルロース,二軸混錬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02252,東京農工大学,吉田 誠,褐色腐朽菌由来の全く新しいタイプのセルロース結合ドメインの機能解明とその応用,自然界において木材を分解する菌類の一種である褐色腐朽菌Gloeophyllum trabeumが有するセルロース結合ドメイン(CBD)が、これまでに知られているCBDと比較して、10倍以上の吸着効率で天然の結晶性セルロースに特異的に吸着することを明らかにした。このCBDは従来知られているものとは全く異なるメカニズムでセルロースに吸着することも明らかにした。さらに、この新規CBDをセルロース結晶領域の分布様式をモニタリングするツールとして利用することができる可能性を見出した。,基盤研究(B),小区分40020:木質科学関連,セルロース結合ドメイン,褐色腐朽菌,CBM,溶解性多糖モノオキシゲナーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02251,東京農工大学,船田 良,樹木細胞壁の階層構造構築機構の直接生体イメージング解析,再生可能な資源である木材など木質バイオマスの高度有効利用のためには、細胞壁階層構造の形成機構など樹木の二次木部細胞の分化機構を充分に解明することが不可欠である。本研究課題では、交雑ポプラやトチノキなど樹木の培養細胞から厚い二次壁を有し、有縁壁孔、らせん肥厚、せん孔など複雑な修飾構造を有する二次木部様細胞を直接誘導する新規モデル系の誘導条件を確立した。また、管状要素や形成層由来の二次木部細胞内の微小管やアクチンフィラメントなどの動的変化を可視化し、細胞骨格の配向や局在がセルロースミクロフィブリルの配向や局在の制御を行い、複雑な細胞壁階層構造の形成機構と密接な関連性があることを明らかにした。,基盤研究(B),小区分40020:木質科学関連,木質バイオマス,細胞壁,管状要素,微小管,培養細胞,セルロースミクロフィブリル,植物ホルモン,生体イメージング,細胞壁構造,イメージング解析,リグニン,セルロース・ミクロフィブリル,細胞骨格,樹木培養細胞,アクチンフィラメント,木部細胞分化,細胞壁階層構造,二次木部細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02250,東京農工大学,梶田 真也,加工適性の高い木材を産生し、かつ潜在的な高成長性を秘めた赤材桑の研究,我々は、リグニンモノマー生合成の最終段階を触媒するシンナミルアルコールデヒドロゲナーゼ（CAD）をコードする遺伝子を欠損した赤材桑（セキザイソウ）について研究した。赤材桑のゲノムを解析した結果、CADの基質の一つであるシナプルアルデヒドがリグニンに多量に取り込まれていることが判明した。また、代謝プロファイリングにより、シナップアルデヒドとそこから派生する生成物が強く蓄積していることが明らかになった。赤材桑のゲノムを解読し、3つの推定CAD遺伝子をアノテーションした。他の植物種でリグニン生合成に重要な役割を果たすCAD遺伝子と最も類似性の高いホモログの配列は、フレームシフト変異を起こしていた。,基盤研究(B),小区分40020:木質科学関連,リグニン,クワ,自然突然変異体,変異体,木材,パルプ,リグノセルロース,桑,ゲノム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
