awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02282,国立研究開発法人水産研究・教育機構,松山 知正,アワビ筋萎縮症をモデルとした貝類の宿主病原体相互作用の解明と防除技術の確立,"病原体を特定し,ゲノム構造とウイルス粒子形態がafrican swine fever virus(ASFV)と類似することから、Abalone asfa-like virus(AbALV)に命名した。本ウイルスは4種のアワビに感染し死因となることが明らかとなった。水温上昇によりウイルスがほとんど消失するが、水温を下げると再びウイルスが増殖し、治療は困難であった。poly I:Cを予め接種することでウイルスの増殖を抑制できたが、感染を防ぐことはできなかった。株間の全ゲノムを比較したところ、全長にわたって多くの変異が検出され、本ウイルスは古くから我が国に存在したことが示唆された。",基盤研究(B),小区分40040:水圏生命科学関連,アワビ,ウイルス,筋萎縮症,Abalone asfa-like virus,ASFV,アスファウイルス,筋委縮症,疾病,asfivirus,ゲノム,宿主応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02281,静岡県立大学,小林 亨,水産育種の新モデルとしてのキタノメダカ性分化・転換の分子機構解明とその応用,申請者はミナミメダカと同様な性分化・性転換のポテンシャルをもつ近縁種であるキタノメダカ（Oryzias sakaizumii）の性分化カスケードがミナミメダカ (O. latipes)とは異なり、水産有用種であるティラピア等と極めて類似していることを初めて見出した。そこで、水産増殖における性統御の技術開発に資するために、本種を新たなモデルとした研究を水産有用種であるティラピア、クエと比較検討しつつ行っている。今回、性決定から生殖腺分化および性転換の分子機構を検討した結果、雄への性転換には、Dmrt1は必要であるが、これまで知られていない新規の分化経路の存在が初めて示唆された。,基盤研究(B),小区分40040:水圏生命科学関連,性分化・性転換,メダカ,gsdf,dmrt１,amh,性分化関連遺伝子,クエ,性分化・転換,キタノメダカ,性分化,性転換,ミナミメダカ,性決定,水産育種モデル,ナイルティラピア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02280,九州大学,大嶋 雄治,魚類リポカリンタンパク質―性分化機構を中心とした機能の解明,"本研究ではTBT-bps機能解析のためKOメダカを解析した結果， 本メダカは成長に差がないが，コルチゾル曝露で機能的雄への性転換が起こりやすく，TBT-bp2が間接的に性決定に関与していると考えられた．またGFP遺伝子をTBT-bp2に導入したメダカの作製に成功し，その体内動態を観察可能となった．さらにTBT-bp2KOメダカに有害化学物質，魚病細菌，寄生虫を曝露した結果，本メダカは化学物質や白点虫に弱く，TBT-bp2がそれらの解毒もしくは生態防御に関わっていることが示唆された．さらに数種養殖魚でTBT-bp1, 2発現とストレスの関係を解析した結果，環境条件で変動することが明らかになった．",基盤研究(B),小区分40040:水圏生命科学関連,魚,リポカリン,性決定,解毒,生体防御,魚リポカリン,TBT-bp,遺伝子編集,高病性,白点虫感染,魚類リポカリン,ストレス応答,異物結合能,感染防御,ストレス,AGP,アルファ1酸性グリコプロテイン,リポカリンタンパク質,オス化,ノックアウト,TBT-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02279,京都大学,緒方 博之,巨大ウイルスが水圏低次生態系で果たす役割の包括的解明,Tara Oceansの大規模メタゲノムデータを利用して、巨大ウイルスの全球規模の生物地理を明らかにした。これにより、北極圏で固有種が多いこと、生物沈降に巨大ウイルスが関与している可能性が示唆された。後者を受け、生物炭素ポンプ効率をウイルス組成に基づき予測することに成功した。日本沿岸域においても多様な環境から試料を採取し巨大ウイルスの分布を調査し、巨大ウイルスの長距離にわたる拡散が推定された。沿岸域における時系列解析においては、真核生物と巨大ウイルス群集が密接に相関していること、両者とも四季変動を示すことを明らかにした。新規ウイルスの分離とそのゲノム解析にも成功した。,基盤研究(B),小区分40040:水圏生命科学関連,海洋ウイルス,巨大ウイルス,生物地理,多様性,水圏低次生態系,Tara Oceans,進化,生態,微生物群集動態,赤潮,宿主同定,海洋微生物生態系,ウイルス―宿主相互作用,生物炭素ポンプ,水圏微生物生態系,メガウイルス,環境ゲノミクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02278,東京農工大学,MORI TETSUSHI,海綿動物内の有用化合物産生菌獲得・保存に向けた新規種特異的生細胞染色識別技術開発,海綿動物内には有用化合物を産生する細菌種が多く共生し、その分離培養が求められている。しかし、海綿動物の細菌叢は多様多種、そして多くは未知・難培養性であるため、従来の技術ではこれらの細菌を生細胞そして特異的に分離することが非常に困難である。この問題を解決すべく、本研究では、膜透過性ペプチドを用いた核酸細胞内導入手法を原理とした新規種特異的生細胞染色識別単離法（LIVE-FISH法）の開発を行った。さらに、分離した細菌からその遺伝的特性や性質をドラフトゲノムレベルで解明可能な手法も確立した。本研究成果より、海綿動物の細菌叢から今までアクセスしにくい希少および有用性細菌の分離が大いに期待できる。,基盤研究(B),小区分40040:水圏生命科学関連,難培養性微生物,微生物の単離,微生物種特異的単離手,難培養微生物保,海洋海綿共生細菌,微生物種特異的単離手法,難培養微生物保存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02277,東京大学,菊池 潔,魚類の新規性決定遺伝子同定からみえる性決定と内分泌のクロストーク,水産魚の性決定遺伝子は典型的な有用遺伝子であるが、その特定は容易ではない。この問題を解決するため、申請者は、ブリ類とフグ類をモデルとした研究を継続しており、今回、ブリ類3種の性決定遺伝子がHsd17b1遺伝子であるという強い証拠を得ることに成功した。さらに、その遺伝産物の性ステロイド代謝活性が雌雄間で異なることを明示し、性ステロイドが性決定の最初のトリガーを引いていることを明らかとした。また、フグ類の研究では、性染色体の一部が、ゲノム全域に由来する多数の重複断片を吸収するかたちで急速に拡大することを示した。こういった性染色体をもつ水産魚は、これまで考えられてきた以上に多い可能性がある。,基盤研究(B),小区分40040:水圏生命科学関連,性決定遺伝子,水産育種,性決定,魚類,内分泌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02276,宇都宮大学,飯郷 雅之,新たに同定された「季節センサー」血管嚢の機能解析が解き明かす魚類の季節繁殖の謎,短日繁殖魚であるアユ，サクラマスを対象に重点的に研究を進めた．mRNA-seqを行い，血管嚢，松果体，網膜，脳，下垂体などで発現する遺伝子のカタログ化と，季節繁殖制御遺伝子群，光受容体遺伝子群，温度受容体遺伝子群などの網羅的同定を行なった．また，那珂川で7月-10月に採取された天然アユの血管嚢，脳，下垂体などからtotal RNAを抽出し，Lasy-SeqによるmRNA-seqを行い，全遺伝子のmRNA量の変化を明らかにした．サクラマスの血管嚢王冠細胞のシングルセルmRNA-seqを行い，個々細胞の遺伝子発現プロファイルを明らかにした．脳の透明化も試みた．,基盤研究(B),小区分40040:水圏生命科学関連,季節繁殖,性中枢,血管嚢,光受容体,温度受容体,mRNA-seq,シングルセル解析,硬骨魚類,魚類,季節センサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02275,北海道大学,井尻 成保,条鰭類を網羅する卵成熟誘起ホルモン産生分子機構の解明,本研究は、卵成熟を誘起する卵成熟誘起ホルモン（MIH；DHP）の産生制御機構を条鰭類の進化全体を通して明らかにしようとするものである。DHP産生はその前駆体ステロイド17OHPをDHPに転換する20β-HSD酵素の発現によって制御される。本研究まで、20β-HSDはカルボニル還元化酵素であるとされていたがそれは間違いであり、Hsd17b12Lが20β-HSDをコードする遺伝子であることを古代魚チョウザメ以降の条鰭類全体においての普遍性を証明した。DHP産生は、サケ科やメダカではHsd17b12L発現が鍵を握っており、ウナギやチョウザメでは17OHP産生が鍵であり、その制御様式は多様であった。,基盤研究(B),小区分40040:水圏生命科学関連,卵成熟誘起ホルモン,DHP,MIH,ティラピア,ウナギ,チョウザメ,条鰭類,メダカ,卵成熟誘起ステロイドホルモン,20β-HSD,20b-HSD,Hsd17β12L,サクラマス,ゼブラフィッシュ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02274,北海道大学,細川 雅史,海洋性カロテノイドの代謝物解析と臓器・細胞連関制御を介した生活習慣病予防の新展開,生活習慣病予防効果が期待されるフコキサンチンの新たな体内代謝物としてパラセントロンを同定した。また、肥満やNASHの発症に関わる活性化マクロファージに対し炎症因子産生を抑制することを見出した。さらに、アポ-10’-フコキサンチナール等にもIκBのリン酸化阻害を介した炎症因子の産生抑制効果を認めた。一方、β-アポ-8’-カロテナールは効果を示さず、フコキサンチンの部分構造をもつアポフコキサンチノイドの機能性を示した。また、炎症誘導した肝細胞に対し、フコキサンチン代謝物がケモカインのmRNA発現を抑制するのみならずマクロファージの遊走を抑制し、慢性炎症に関わる細胞間作用を制御することを見出した。,基盤研究(B),小区分40040:水圏生命科学関連,海洋性カロテノイド,生活習慣病予防,アポカロテノイド,フコキサンチン,パラセントロン,抗炎症作用,アポー10’-フコキサンチナール,miRNA,β-カロテン開裂物,アポアスタキサンチナール,臓器・細胞間相互作用,フコキサンチン開裂物,臓器間ネットワーク因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02273,北海道大学,都木 靖彰,魚類コラーゲンペプチドの医療分野への応用をめざした研究,水産廃棄物から得られるコラーゲンペプチド（CP）を「床ずれ」治療もしくは予防用クリームに利用することを目的に，まずCP生産の原料となる精製コラーゲンおよび高純度ゼラチンの製造技術開発をおこなった。その後，酵素を用いて製造したCPを高温高圧処理することでさらに低分子化できることを示すとともに，低分子化により抗酸化能が増すことを示した。しかし，高温高圧処理によっては皮膚線維芽細胞に対する機能性は高まらず，むしろ長時間の処理によっては細胞遊走が阻害されたりCPの細胞増殖活性化能がなくなった。これらの結果から，適度な高温高圧処理により抗酸化能が高く細胞活性化能を持つCPを合成できることを示した。,基盤研究(B),小区分40040:水圏生命科学関連,コラーゲンペプチド,水産廃棄物利用,創傷治癒,褥瘡軽減,慢性創傷（褥瘡）治癒,マトリカイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
