awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02287,農林水産省農林水産政策研究所,井上 荘太朗,越境Eコマースの市場拡大がアジア太平洋地域の食料・農業貿易に与える影響の分析,この研究では、web調査と現地実態調査を組み合わせて、中国及びASEAN諸国における食品の消費構造に関する情報収集を行った。そして計量分析手法を用いて、食品の消費者の意識を解明した。特に、消費者の輸入品や加工品などに対する嗜好や、オンラインによる購買への意識について詳細に分析した。研究期間は、新型コロナによる影響を受けた時期であったが、長期的な所得変化や、経済のデジタル化が食料消費と食品・農産物の貿易構造に変化を与えていることが示された。,基盤研究(B),小区分41010:食料農業経済関連,食品E-コマース,食品輸出促進,中国,ASEAN,インドネシア,輸入食品選好,消費者分析,Country of Brand,EC,日本産食品,食品購買行動,越境Eコマース,食料・農業貿易,ネットワーク分析,アジア太平洋,越境EC,消費者意識,COVID19,ポストコロナ,消費者調査,貿易分析,アジア,食料貿易,新小売,重力モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02286,九州大学,矢部 光保,耕作放棄地の自然再生と地域振興に向けた合意形成ー経済実験による価値観転換の検証ー,本研究は、自然再生を農業環境政策の中に位置付けるため、国内外の調査等を踏まえ、自然再生施策導入の条件や関連する地域振興政策を検討した。その結果、貴重な動植物の存在とその生息環境の保全が自然再生の原動力の一つとなっており、エコツーリズム等によって農家や事業者に経済的利益が及ぶ仕組みが導入され、また保全活動は地元の誇りにもなっていることなどが確認された。また、英国イングランドのELM制度では、「公的資金を公共財へ」という方針のもと、高い環境価値を生み出してきたが助成の恩恵が薄かった条件不利地域等に、より多くの助成を得る可能性や自然再生も含めた選択肢を提供していることを明らかにした。,基盤研究(B),小区分41010:食料農業経済関連,自然再生,耕作放棄地,限界地農業,生物多様性,荒廃農地,エコツーリズム,ELM事業,合意形成,英国農業政策,経済実験,RCT,ＲＣＴ,伝統的景観,農文化,ため池,実験経済学,RTC,農地の自然再生,移動式ラボ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02285,九州大学,前田 幸嗣,指定生乳生産者団体制度の改革が生乳市場構造と酪農経営に与える影響に関する計量研究,指定生乳生産者団体制度の改革が生乳市場にどのような影響を与えるか、またその影響が負であれば酪農政策を今後どのように設計すればよいか、実態調査分析及び計量分析を行った。今般の制度改革は生乳市場の競争を強め、指定団体の需給調整能力を長期的には低下させ、飲用乳価を下落させる可能性が高いこと、及び、わが国でも独占禁止法の適用除外と規定されている共販はむしろ強化されるべきであり、それと逆行する今般の制度改革は見直しを行う必要があることが明らかとなった。,基盤研究(B),小区分41010:食料農業経済関連,指定団体制度改革,市場競争構造,市場支配力,計量分析,酪農マルキン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02284,京都大学,伊藤 順一,日中農業における直接支払制度の経済分析,農業分野における価格政策から所得・経営政策への変化は，WTO（世界貿易機関）が定めた国際規律であり，消費者負担型から納税者負担型への政策転換と言いかえることができる。本研究では，２つのタイプの直接支払制度を分析の対象とした。１つは農業経営体に対して所得を補償するための制度であり，もう１つは農村の共有資源や農地を保全するために，集落を対象として補助金を交付する制度である。分析では，農家世帯と集落のパネル・データを利用して，日中両国の農業分野で導入が進む直接支払制度の成果（農業の生産性や効率性，資源保全の活動に及ぼす影響）を計量的な手法を用いて明らかにした。,基盤研究(B),小区分41010:食料農業経済関連,技術効率性,共有地問題,ソフトな予算制約,処理効果分析,日本型直接支払制度,直接支払制度,経営効率,インパクト評価,農業経済学,計量経済学,応用ミクロ経済学,中国農業論,直接支払,担い手,確率的フロンティア関数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02283,帯広畜産大学,金山 紀久,自由貿易推進下の戦略的農業技術開発と普及モデル構築のための比較制度研究,日本と海外の農業技術開発と普及制度の現状と歴史的経過について整理し，比較制度分析を行い，今後の日本の農業技術開発と普及モデルの構築を試みた。特に，デンマークの農業技術開発と普及体制が農業者によって主導されていることの歴史的経過とその特徴，アメリカの国と州の「協同農業普及事業」において大学が中心的な役割を担う歴史的経過とその特徴，日本の国，都道府県及び大学の農業技術開発と普及へ取り組み，民間における技術（搾乳ロボット技術）普及等について整理し，日本の制度改革の方向性を示した。また，農業技術開発と普及が輸出競争力の強化につながることから食品輸出の雇用関連効果を分析し，その効果が認められた。,基盤研究(B),小区分41010:食料農業経済関連,農業技術開発,普及,デンマーク,アメリカ,比較制度分析,大学,食品輸出,制度改革,品種改良,農業R&D,普及体制,農業試験場,バレイショ,連携,TMRセンター,農業技術普及,経済評価,協同農業普及事業,普及制度,搾乳ロボット,協同普及事業,クロスアポイントメント,韓国,ウィスコンシン大学,福井県,経済的評価,共同お農業普及事業,経済的評価手法,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03061,早稲田大学,弦間 正彦,Economic Analysis of Food Values: An International Comparison Study,"People’s food choices can be explained by their preferences for more abstract food quality attributes so called “food values”. This study proposes to examine food values using a stated preference method (i.e., best-worst scaling (BWS) approach) in Asia, the United States (US) and Europe.",基盤研究(B),小区分41010:食料農業経済関連,Food Values,Economic Analysis,International Comparison,Stated Preference Method,Sustainable Food,Organic Food,Food Value,Demographical data,Hypothetical Bias,Demographical Data,CVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03060,早稲田大学,下川 哲,持続可能な風評対策と放射性物質検査体制に関する実証的研究ー行動経済学による接近,本研究では、風評被害に関する新たな視点として「当初に誤解や偏見がなくても風評被害は発生しうる可能性」を実証的に検証するため、福島県産農産物の風評被害に注目する。また、このような可能性を考慮に入れた上で、福島県全体にとって最適な風評対策について考察する。国内外における聞き取り調査や経済実験を実施し、それぞれの利害関係者の異なる視点と行動様式を統合的に分析することで、より広い視野から福島県における米の放射性物質検査と情報提供の体制に関する政策的示唆を導き出す。,基盤研究(B),小区分41010:食料農業経済関連,風評被害,福島県産農産物,POSデータ,行動経済学,米,福島,需要,食料政策,限定合理性,福島産農産物,放射性物質検査,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03059,京都大学,仙田 徹志,高度経済成長期農家経済のミクロデータ分析－農業センサスの保存と活用の基盤確立ー,本研究は、戦後、高度経済成長期までの農林業センサスにかかわる関連資料の体系的保存とミクロデータとしての利用の基盤を確立することを目的とするものである。本研究では、高度経済成長期の農家調査資料の整理と復元をとおして、貴重な資料の利用基盤形成を図り、同時期の我が国の農業構造の多角的な実態解明や構造変動のミクロ計量経済学的な解明をめざす。,基盤研究(B),小区分41010:食料農業経済関連,農林業センサス,農家経済,高度経済成長期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03058,京都大学,浅野 耕太,農山漁村におけるインバウンド需要の潜在力と社会的受容性の解明,本研究は、農山漁村に蓄積されている自然資本を地域の魅力の源泉とみなし、それが湧出する生態系サービスを高度に活用し、農山漁村へのインバウンド需要を拡大させうる条件を実証的に解明し、地方創生の新たな展開戦略を構築しようとするものである。,基盤研究(B),小区分41010:食料農業経済関連,インバウンド,インバウンド需要,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03057,東京農工大学,千年 篤,熱帯における遷移型アグロフォレストリーの導入普及条件と持続可能性に関する国際研究,世界各地で極端気象による災害が頻発し、気象変動に適応した頑健な持続型農業システムの構築が求められているなか、国際社会ではアグロフォレストリーへの期待が高まっている。しかし、アフリカ等の熱帯の発展途上国ではアグロフォレストリーの普及が進んでいない。,基盤研究(B),小区分41010:食料農業経済関連,アグロフォレストリー,ブラジル・アマゾン,ガーナ,持続可能な農業システム,進化経済論的アプローチ,カカオ,アグロフォレスリー,農業普及,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
