awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02407,松本歯科大学,森山 芳則,ポリアミン作動性化学伝達を司るトランスポーターの構造・機能・生理的意義,シナプス小胞中のポリアミンは、開口放出され、NMDA受容体の結合部位に結合しグルタミン化学伝達を制御している。VPATはポリアミンの小胞濃縮を司るトランスポーターでありアミントランスポーターSLC18ファミリーの一つである。本研究において、精製VPAT封入リポソームを用い、ポリアミン輸送に必須のアミノ酸残基を同定した。VPATのモノアミンに対する輸送能が想定より低くポリアミンへの特異性が高いこと、蛍光性炎症マーカーを輸送することを実証した。ショウジョウバエ・ホモログもVPATと似た基質認識能を持っていた。これらの成果を統合し、化学伝達物質としてのポリアミンの生物学的意義を考察した。,基盤研究(B),小区分43030:機能生物化学関連,トランスポーター,化学伝達,ポリアミン,モノアミン,シナプス小胞,分泌顆粒,小胞型トランスポーター,スペルミン,メラトニン,マクロファージ,リポソーム,炎症バイオマーカー,SLC18B1,VPAT,SLC18,ATP,唾液腺,ショウジョウバエ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02406,九州大学,宇留野 武人,腫瘍の免疫回避機構におけるRac活性化因子DOCK1の機能,本研究課題は、がん細胞が免疫系の監視・攻撃から逃れる仕組み（免疫回避）におけるDOCK１及び関連分子の機能的重要性を調べた。DOCK1はRac活性化を介してインターフェロン誘導性遺伝子の発現及び転写因子STAT3の活性調節に関与し、腫瘍部への免疫細胞浸潤を制御することが判った。一方、腫瘍によって産生され、免疫細胞の遊走と活性化を制御するDOCK2の内因性阻害因子として働く脂質代謝産物を同定した。以上よりDOCK１及び関連分子の腫瘍-免疫相互作用における重要性が明らかになった。本成果は腫瘍免疫をターゲットにした新たな治療戦略の開発につながる可能性がある。,基盤研究(B),小区分43030:機能生物化学関連,腫瘍制御,細胞骨格,シグナル伝達,低分子量Gタンパク質,免疫回避,腫瘍免疫,インターフェロン,腫瘍微小環境,DOCK1,低分子量Ｇタンパク質,炎症制御,分子標的,腫瘍,がん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02405,奈良先端科学技術大学院大学,塚崎 智也,タンパク質膜透過チャネル複合体の構造基盤とそのしくみ,生物の本質を明らかにするためには、生物に基本のメカニズムを分子レベルで解明する必要がある。タンパク質の膜透過はすべての生物が持っている仕組みであり、モデル生物大腸菌などでは膜タンパク質SecYEG複合体を中心とした超分子複合体がタンパク質の膜透過に関わっている。本研究では、その超分子複合体の構造と機能を解明するため、X線結晶構造解析を進めるとともにクライオ電子顕微鏡、原子間力顕微鏡などを用いて測定を行なった。,基盤研究(B),小区分43030:機能生物化学関連,タンパク質の膜透過,構造生物学,膜蛋白質,タンパク質,トランスロコン,protein translocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02404,京都大学,秋山 芳展,大腸菌膜内切断プロテアーゼ RsePの生理機能と特異的基質切断機構,研究成果の概要(和文):大腸菌RsePは、S2Pファミリーに属する膜内切断プロテアーゼあり、大腸菌σE経路 表層ストレス応答における膜越えたシグナル伝達やシグナルペプチドの分解除去等により、細胞表層機能の維持に必須の役割を果たす。本研究では、スクリーニングによりRsePの新規基質同定し、その切断の意義を明らかにした。また、 in vitro で定量的にRseP活性を解析しうるアッセイシステムの構築を行った。これらの成果は、RsePの細胞機能と作用機序を明らかにする為に貢献するものと期待される。,基盤研究(B),小区分43030:機能生物化学関連,膜内切断プロテアーゼ,大腸菌,切断基質,膜内部でのタンパク質切断,S2Pプロテアーゼ,Fecオペロン,鉄取り込み,蛍光ペプチド,速度論的解析,小分子膜タンパク質,RseP,Toxin-antitoxin,HokB,Persister,small membrane protein,FRET,生体膜,プロテアーゼ,膜内切断,蛍光基質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02403,京都大学,加藤 洋平,多角的アプローチによる繊毛内タンパク質輸送システムの解明,一次繊毛は細胞のアンテナとして機能するオルガネラであり、その異常は多様な重篤症状を呈する繊毛病を引き起こす。一次繊毛の形成や機能維持において基盤となるのは繊毛内に受容体等を輸送する繊毛内タンパク質輸送装置（IFT装置）である。IFT装置は40種類以上のタンパク質から成る複雑な分子マシンである。本研究では、研究代表者が開発・改良した『観るだけでわかるタンパク質間相互作用解析法：VIPアッセイ』、『改良型CRISPR/Cas9ゲノム編集法』、『膨張顕微鏡法による超解像イメージング』を駆使した多角的なアプローチによる解析によって、IFT装置の構築様式および動作原理の一端を解明した。,基盤研究(B),小区分43030:機能生物化学関連,一次繊毛,繊毛病,IFT複合体,中心体,トランジションゾーン,モータータンパク質,BBSome複合体,リン酸化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02402,名古屋大学,廣田 毅,新規化合物を用いて迫る概日時計タンパク質CRY1とCRY2の特異性の分子基盤,哺乳類の概日時計を構成するCRYタンパク質には、CRY1とCRY2というよく似たホモログが存在する。これらの機能的な差異の解析は、概日時計がどのように正確に発振するのか、いかに生理機能を調節するのか、という根本的な疑問に対するよいモデル系となる。本研究では、CRY1とCRY2のそれぞれに選択的な新規化合物を見出し、その作用機序を解析することでCRY1とCRY2の特異性を生み出すメカニズムを明らかにした。,基盤研究(B),小区分43030:機能生物化学関連,概日時計,ケミカルバイオロジー,化合物,CRYタンパク質,選択性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02401,岐阜大学,鈴木 健一,糖脂質による受容体活性制御機構の高精度1分子観察による解明,ラフト親和性のガングリオシド蛍光プローブを新規合成し、それを生細胞の形質膜上で高精度１分子観察した結果、１）ガングリオシドのホモダイマー形成に一般性があること、２）ガングリオシドのホモダイマーは、特異的糖鎖相互作用により形成されること、３）ガングリオシドホモダイマーはラフト脂質をリクルートし、小さなラフトを形成することを見出した。さらに、４）糖鎖―糖鎖相互作用によるガングリオシドホモダイマー形成は、全原子の分子動力学計算により支持され、５）GM3ホモダイマーとEGF受容体とが、特定のN型糖鎖を介して相互作用することで、EGF受容体のダイマー化、活性化が抑制されることを明らかにした。,基盤研究(B),小区分43030:機能生物化学関連,ガングリオシド,ラフト,１分子観察,糖鎖,ダイマー,1分子観察,脂質ラフト,シグナル伝達,膜受容体,糖脂質,GPIアンカー型タンパク質,細胞膜ドメイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02400,新潟大学,中津 史,PI(4)P依存的な小胞体-細胞膜接触部位による細胞運動制御機構の解明,近年、オルガネラは互いに近接して“膜接触部位”を形成し、直接物質や情報をやり取りすることで細胞機能を維持していることがわかってきた。特に膜接触部位では脂質の輸送が制御されているが、その機能については不明な点が多く残されている。本研究から、小胞体と細胞膜、及び小胞体とエンドソームの間に形成される新たな膜接触部位の制御と機能が明らかになり、膜接触部位を介した脂質交換輸送の生理的役割の解明が期待される。,基盤研究(B),小区分43030:機能生物化学関連,膜接触部位,メンブレンコンタクト,イノシトールリン脂質,PI4P,PIP2,ホスファチジルセリン,リン酸化,脂質交換輸送,細胞運動,小胞体ー細胞膜接触部位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02399,東京工業大学,堀江 朋子,脂質からみたオートファジーの膜動態,オートファジーは細胞内分解システムである。オートファジーは膜に関連した事象であり、脂質の理解は、オートファゴソーム膜の形成とその分解の両プロセスを解析するために不可欠である。本研究では、オートファジー関連膜の脂質組成と、液胞における膜分解の分子機構を解明することを目的とした。本研究では、オートファジー関連膜を精製し、その脂質組成を決定した。また、オートファジー関連膜を分解するリパーゼであるAtg15の生化学的解析により、液胞内で起こる脂質分解を再構成し、その分子機構を解明することに成功した。,基盤研究(B),小区分43030:機能生物化学関連,脂質,分解,リピドーム解析,Atg15,リパーゼ,酵母,オートファジー,膜脂質,リン脂質,脂質組成,脂質分解,液胞/lysosome,脂質分析,液胞/リソソーム,オートファジックボディ,代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02398,東北大学,水野 健作,増殖抑制シグナル依存的な一次繊毛形成機構の解明,増殖抑制シグナル依存的な一次繊毛形成の分子機構を解明することを目的として研究を行い、以下の成果を得た。1）増殖抑制シグナルに応答してCEP97が母中心小体から除去されるが、CEP97の分解に関わるユビキチンリガーゼとしてCullin3-RBX1-KCTD10複合体を同定した。2）繊毛病の原因遺伝子の一つであるCEP104について、TOGドメインが微小管重合活性を持つことを解明し、その活性を介して、軸糸微小管の伸長とHedgehogシグナルの伝達に関与していることを解明した。3）Furryは、NDRの活性化とYAPへの直接結合によって、YAPの細胞質繋留に関与することを見出した。,基盤研究(B),小区分43030:機能生物化学関連,一次繊毛,ユビキチン化,ユビキチンリガーゼ,繊毛病,CEP97,CEP104,ヘッジホッグ,YAP,繊毛,細胞増殖,微小管,中心体,Hedgehog,細胞周期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
