awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02454,大学共同利用機関法人自然科学研究機構(新分野創成センター、アストロバイオロジーセンター、生命創成探究,高田 慎治,脊髄神経管発生をモデルにしたWntの空間分布制御機構の研究,マウス胚の神経管の背側領域で局所的に発現するWnt1とWnt3aの時空間的挙動を詳細に解析した結果、これらWntリガンドが発現細胞の頂端側に局在化することを見出した。これらのWntを発現する細胞は発生の進行に伴い大きく形態を変化させ、背腹軸方向に伸長するが、このような形態変化にはこれらWntの分泌が必要である。解析の結果、この形態変化にはWntシグナル伝達経路の一つであるWnt/b-catenin経路の活性化が重要であることが明らかになるとともに、Wntの頂端側への局在化が、背側領域でのWntシグナル活性を維持し、その結果として細胞骨格因子の活性化と細胞の形態変化が引き起こすと考えられた。,基盤研究(B),小区分44020:発生生物学関連,遺伝子,細胞,発生,シグナル伝達,発生・分化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02453,福島県立医科大学,井上 直和,受精の配偶子融合マシナリーの包括的解明,受精のクライマックスである精子と卵子の融合は、精子側のIZUMO1と、卵子側のJUNOの相互作用により活性化されたのち、卵子上のIZUMO1セカンドレセプターを含めた複数の因子群からなる分子間相互反応の結果、成立することが推測される。本研究では、無脊椎動物で受精必須因子として存在するDCST1とDCST2をマウスやヒトで同定することに成功した。Dcst1/2欠損マウスは、線虫やハエと同様に配偶子融合不全が原因で完全な雄性不妊になる。約10億年に渡って保存されてきたDCST1/2分子が機能する詳細な分子メカニズムの解析を通して、今後の受精研究が大きく前進するものと考えられる。,基盤研究(B),小区分44020:発生生物学関連,受精,精子,卵子,配偶子融合,膜融合,DCST1/2,IZUMO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02452,熊本大学,Sheng Guojun,Molecular regulation of mesothelial EMT in avian chorioallantoic fusion,鳥類の漿尿膜は、外界とのガス交換を通して胚発生期の肺機能を担い、哺乳類胎盤の進化的起源でもある。本研究では、鳥類漿尿膜の初期発生段階である漿膜と尿膜の融合に着目した。初期融合は約6時間(E3.75-4.0)のうちに進展することを見いだし、細胞組織解析、転写産物発現解析、組織移植によるキメラ解析、CRISPR転写活性調節などから初期融合を解析した。尿膜と漿膜双方の中皮EMTが融合に関与すること、尿膜中皮EMTは能動的かつ漿膜中皮EMTは受動的に起こること、EMT転写因子が漿尿膜融合中皮EMTに関与することなどを明らかにした。また、漿尿膜融合中皮EMTはpartial-EMTであると考えられた。,基盤研究(B),小区分44020:発生生物学関連,mesothelium,chicken,chorion,allantois,EMT,cancer,chorioallantoic membrane,mesoderm,chorioallantois,chiken,Mesothelium,Chorion,Allantois,Placenta,Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02451,奈良先端科学技術大学院大学,別所 康全,細胞の社会的ふるまいを軸とした発生過程のロバストな器官サイズ決定機構の新展開,生物の臓器・器官が適切なサイズに形成されることは、それらが効率的に機能するために重要である。本研究ではマウス、ゼブラフィッシュの体節やゼブラフィッシュの側線器官、クッペル胞をモデルとして、器官サイズが適切に調節されるしくみを明らかにすることを目的とした。体節形成は遺伝子発現振動によって制御されるが、遺伝子発現振動をなくした状態で、体節のサイズを解析した。クッペル胞は通常の飼育条件で発生させても個体ごとのばらつきが大きいことを見いだし、ばらつきがあっても正常に機能することを明らかにした。,基盤研究(B),小区分44020:発生生物学関連,器官サイズ,体節,側線器官,クッペル胞,ゼブラフィッシュ,マウス,遺伝子発現,有毛細胞,細胞の集団行動,細胞の社会性,神経,発生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02450,大阪大学,松野 健治,核移動の左右極性化をキューとする左右非対称性の新奇形成機構の解析,からだの左右非対称性が形成される機構は、進化的に多様で、無脊椎動物においてはよく理解されていない。本研究では、ショウジョウバエの胚消化管の左右非対称性形成機構を明かにすることを目的として研究を実施した。野生型胚の消化管を覆う筋肉細胞の核が、前後方向に整列し、密集して左右対称に並ぶことを示した。さらに、消化管の左右非対称性がランダム化する突然変異を用いた解析によって、核の整列が、消化管が左右非対称にするために必要であることを示した。核の密集配列は、Wntシグナル、LINC複合体に依存した。これらの研究によって、核が、その物理的な強度を利用して内臓の形態変化を制御していることを示唆した。,基盤研究(B),小区分44020:発生生物学関連,左右非対称性,核,形態形成,内臓筋,消化管,ショウジョウバエ,エンハンサー,画像解析,発生・分化,組織・形態,細胞・組織,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02449,京都大学,今吉 格,遺伝子発現の光操作技術を用いた神経幹細胞の制御機構の解析,遺伝子発現の光操作システムについて、改良を実施した。具体的には、低分子化合物Doxと青色光によって遺伝子発現誘導活性を制御できる、PA-Tetシステムの開発に成功した。PA-Tetシステムを利用して、神経幹細胞における遺伝子発現を操作し、休眠状態からの活性化やニューロン分化における分子メカニズムの解析を実施し、その一旦を明らかにした。加えて、PA-Tetシステムを利用して、マウス成体脳における神経幹細胞の光操作が可能であることを実証した。これにより、Ascl1やHes1の発現動態のダイナミックな変化が、神経幹細胞の制御において重要な役割を担っていることを明らかにした。,基盤研究(B),小区分44020:発生生物学関連,神経幹細胞,ニューロン新生,光遺伝学,転写因子,海馬,嗅覚,神経発生,神経再生,ライブイメージング,休眠,細胞分化,神経新生,遺伝子発現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02448,名古屋大学,日比 正彦,小脳神経回路形成に関わるニューロン分化の遺伝プログラムの解明,神経回路を構成するニューロンは、発生過程において神経幹細胞または神経前駆細胞から産生される。しかし、これらの細胞から複雑な神経回路構造を形成する個々のニューロンへ分化するメカニズムは未だ不明な点が多い。本研究では、小脳神経回路を構成する小脳プルキンエ細胞とその入力細胞である下オリーブ核ニューロンに焦点を当て、これらニューロンの分化および神経回路の形成過程を制御する遺伝プログラムの一端を解明した。,基盤研究(B),小区分44020:発生生物学関連,発生・分化,神経科学,脳・神経,遺伝学,遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02447,中央大学,平良 眞規,モルフォゲンの分布とシグナル範囲を規定するヘパラン硫酸クラスターの解析,胚発生の初期に高度硫酸化へパラン硫酸（HS）が存在するか否かを探るため、高度硫酸化HSに結合する単純ヘルペスウイルスのgDタンパク質に注目した。gDがHSへ結合するには3位のスルホン化が必要であり、それを触媒する酵素はHs3st3である。タグ付きgDをツメガエル胚に発現させ、細胞間隙へのgDの分布を免疫染色で検討した結果、原腸胚期では観察されず、hs3st3遺伝子が発現開始する神経胚期で検出された。原腸胚期で実際にgDが分泌されていることは、タグに対する抗体を発現させた細胞の周囲にはgDが結合したことから示された。従って、gDは高度硫酸化HSの検出プローブとして有効であることが示唆された。,基盤研究(B),小区分44020:発生生物学関連,へパラン硫酸,へパラン硫酸クラスター,へパラン硫酸修飾酵素,Hs3st3,N-acetylへパラン硫酸,N-sulfoへパラン硫酸,高度硫酸化へパラン硫酸,単純ヘルペスウイルスタンパク質gD,モルフォゲン,ヘパラン硫酸,パターン形成,シグナル伝達,ペプチド増殖因子,単純ヘルペスウイルス・エンベロープタンパク質gD,ヘパラン硫酸修飾酵素,ヘパラン硫酸結合タンパク質,アフリカツメガエル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02446,東北大学,田村 宏治,獲得・喪失・収斂に見る新規形態創出メカニズム,「ある動物グループに固有かつ共通の転調節配列が作用する形態形成メカニズムが、共有派生形質を生み出す」という概念を、新奇形質の獲得とその喪失さらに収斂という現象に対して実証していくことを目的とした。多種の全ゲノム配列が利用可能で（申請者の 自の系として）複数種の動物胚を入手できる鳥類を中心として、比較ゲノム解析とRNAseqを併用して候補配列と遺伝子を絞り込み、複数の鳥類胚および脊椎動物胚を用いて機能解析するという手法を用いた。鳥類の中で収斂形態である水かきの形成を主導する転調節配列とその近傍遺伝子に関して解析し、また魚類に関しても研究を行い、ヒレという新奇形質の成立に関する新規仮説を提案した。,基盤研究(B),小区分44020:発生生物学関連,収斂,獲得,新奇形質,共有派生形質,発生,進化,形態進化,形態形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02445,九州大学,齋藤 大介,生殖細胞が胚体外に生じる意義を問う,「生殖細胞が胚体外に生まれる意義」は発生生物学における大命題であるがいまだ不明である。我々は「生殖腺外での生殖細胞の維持機構と移動機構」の解明を通してこの問題に迫ることとした。材料は始原生殖細胞（PGC）が生殖線までの移動路として血管を使用する鳥類胚である。我々はPGCが血管内に位置を換える細胞機構（血管形成時の内皮細胞によるPGC取り込み）、PGCが血管内から血管外へ遊出する機構（PGC高弾性による毛細血管でのトラップと膜ブレブによる血管外遊走）を明らかにした。さらに、FGFシグナルの過剰インプットによりPGCが腸管膜内でクラスターを形成することも見出した。,基盤研究(B),小区分44020:発生生物学関連,始原生殖細胞,ニワトリ胚,うずら胚,鳥類胚,イメージング,細胞移動,細胞分化,幹細胞,血管,血管内皮細胞,転移,生殖腺,ニワトリ,移動,生殖細胞性,PGC,鳥類,細胞外環境,血行性転移,発生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
