awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H02475,法政大学,広野 雅文,繊毛と基底小体における「９」を基本とする微小管構造の機能的意義の解明,繊毛とその形成基部である基底小体は9本の微小管を基本とする構造をもつ。この構造パターンの機能的意義を探るため、クラミドモナスの遺伝子改変と遺伝学的な手法を用いて、微小管数の異常な繊毛の運動性を解析した。その過程で、微小管数の決定機構について、中心的役割をになうタンパク質の同定に成功し、さらに、微小管が10本の繊毛はほとんど運動性を示さないことを強く示唆する結果を得た。,基盤研究(B),小区分44040:形態および構造関連,中心子,カートホイール,トリプレット微小管,ダブレット微小管,繊毛軸糸,周辺微小管,クラミドモナス,基底小体,超解像蛍光顕微鏡,微小管,超解像顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02474,東京理科大学,宮川 信一,外生殖器の性分化を動かす力の探索,ホルモン環境によって制御される、外生殖器の性分化メカニズムには未だ不明な点が多い。本解析ではCTによる組織内部観察から、外生殖器のホルモン環境に依存したパラメータを見出すことに成功し、マウス外生殖器の表現型を定量的に評価することが可能となった。また、胎仔外生殖器の遺伝子発現をRNAシークエンスにより解析し、各種ホルモン投与による発現変動遺伝子を取得した。これらの研究結果は外生殖器の発生・発達の度合いや、雌雄の性分化の度合いを遺伝子レベルで正確に評価する根拠となることが期待される。,基盤研究(B),小区分44040:形態および構造関連,外生殖器,アンドロゲン,性分化,マウス,生殖器,発生,ホルモン,遺伝子発現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02473,富山大学,松田 恒平,脳ペプチドが紡ぐ行動と体色の協調的制御機構の解明,本研究によって、摂食行動を制御する多くの脳ペプチドは魚類の不安様行動を引き起こすことが解った。この生理的意義として、魚類は外敵等の脅威に曝されながらも、環境を探索し餌を摂らなければならず、不安様行動が惹起されやすい神経基盤を有する可能性が考えられた。さらに、これらの研究の過程で、脳ペプチドの投与により行動のみならず体色も大きく変化する可能性を見出した。これは行動の制御に関わる脳ペプチドが合目的的に体色調節を行う可能性が高いことを示している。つまり、摂食・情動行動と体色の調節は密接に関連しており、脳ペプチドは行動と体色を合目的的に制御していることが考えられた。,基盤研究(B),小区分44040:形態および構造関連,脳ペプチド,生得的行動,体色調節,キンギョ,ゼブラフィッシュ,α黒色素胞刺激ホルモン,コレシストキニン,行動制御,メダカ,生得的行動制御,体色制御,行動と体色,αーMSH,CCK,情動行動,摂食行動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H02472,東京農工大学,木村 郁夫,性差と高次生理機能：新規細胞膜上女性ステロイドホルモン受容体の生理病態機能解析,未だ不明であった性ステロイドホルモンによる多彩な機能のうちの即時性の反応について、本研究成果により、その一端が、細胞膜上のプロゲステロン受容体を介して発揮されていることを明らかにした。今後さらなる研究を進めることにより、性ステロイドホルモンの即時的反応の解明と、それに基づく情動、摂食、リズム、睡眠、そして記憶や学習を含む高次生理機能の理解を目指す。,基盤研究(B),小区分44040:形態および構造関連,プロゲステロン,GPCR,性ステロイドホルモン受容体,MAPR,mPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03260,日本女子大学,黒岩 常祥,オルガネラ分裂/増殖機構を基盤にした真核植物細胞の基のゲノム形態学的解明,"本研究の概要は、細胞質分裂に先立つオルガネラの分裂の共通機構を解明し、それを基盤に細胞分裂の全貌を明らかにすることである。ミトコンドリアと色素体(葉緑体)が核(核様体；DNAとタンパク質複合体)を持ち、核分裂後、分裂リング（PDリング, MDリング）とダイナミン等の複合体（分裂マシン）を使って分裂/増殖していることを発見した。最近単膜系のペルオキシソームでも分裂マシン（PODリング）を見出した。こうしたオルガネラの分裂/増殖の機構を基盤に、細胞質分裂に至る分裂系の全体像を解明することである。",基盤研究(B),小区分44040:形態および構造関連,オルガネラ分裂同調化,オルガネラ分裂装置,細胞質分裂,細胞核分裂,ミトコンドリア分裂,葉緑体分裂,ペルオキシソーム分裂,TOP,オルガネラ分裂高度同調化,オルガネラ分裂・細胞質分裂,ESCRT-III,VPS4,オルガネラ,ゲノム形態学,分裂マシン,超微細藻類,シゾン,メダカモ,高度同調培養系,オルガネラ分裂,DYNAMO-II,ミトコンドリア分裂装置,DYNAMO1,オーロラキナーゼ,ESCRT,超微細構造,ダイナミン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03259,東京大学,松永 幸大,植物再分化を制御するクロマチン構造変換メカニズムのイメージング解析,植物の強力な再分化能力を制御する遺伝子プライミング現象を発見し、その制御因子であるヒストン脱メチル化酵素LDL3を同定した（Nature Communications 2019)。シュート再生前のカルスの段階で、プライミング遺伝子群が転写スタンバイになりシュート形成時に一気に遺伝子発現がONになる。TOMEIを基盤としたディープイメージングや遺伝子座特異的クロマチン可視化技術を用いて、多細胞塊のカルスを研究材料にして解析する。この解析により従来の研究枠組みを突破し、組織内の細胞運命転換という形態形成の根本メカニズムを裏打ちするクロマチン構造変換の実態を明らかにする。,基盤研究(B),小区分44040:形態および構造関連,イメージング,ヒストン修飾,再生,エピジェネティクス,転写活性化,プライミング,クロマチン,エピジェネティックス,カルス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03258,広島大学,浮穴 和義,新規視床下部小タンパク質による末梢組織での脂肪蓄積作用メカニズムの解明,本研究課題では、我々が発見した新規脳因子（NPGLと命名）の脂肪蓄積作用の分子メカニズムを明らかにし、末梢組織での脂肪蓄積・合成を担う新しい中枢性制御機構を解明する研究を展開する。新規脳因子のNPGLは、80アミノ酸残基からなる分泌性小タンパク質であり、ラットとマウスを用いた解析により、NPGLは摂食促進やde novo脂肪合成を介して脂肪蓄積を促す作用を有することを見出している。本研究では、脂肪蓄積・合成の中枢性制御機構を解明するために、NPGLの標的作用部位・標的細胞、作用経路、ノックアウト動物、発現誘導因子、脂肪組織連関という5つの研究推進項目を効率よく展開する。,基盤研究(B),小区分44040:形態および構造関連,脂肪蓄積,視床下部,小タンパク質,白色脂肪組織,肝臓,エネルギー消費,分泌性小タンパク質,摂食行動,受容体,遺伝子改変マウス,脂肪組織,脂肪合成,末梢モルモン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03257,筑波大学,木村 圭志,核小体ダイナミクスによる細胞分裂の新規制御機構の解明,核小体は核内最大の構造体である。申請者は、間期細胞に種々のストレスを与えることで喚起される核小体の構造変化とその構成分子の局在変化（＝核小体ダイナミクス）が、多様な生命現象に関与することを見出した。一方、細胞分裂期（M期）には、細胞分裂に伴う核小体の構造変化により、その構成分子の大部分が局在を変化させるが、同現象の細胞生物学的な意義は不明である。そこで本計画では、M期における生理的条件下での核小体ダイナミクスが、細胞分裂といかに関わり、またその過程を制御するのかを明らかにすることを学術的問いとする。さらに、ストレスによる間期核小体ダイナミクスが、M期に及ぼす影響を解明する。,基盤研究(B),小区分44040:形態および構造関連,核小体,染色体,細胞分裂期,RNA,細胞周期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19H03256,弘前大学,小林 一也,プラナリアの有性化に必須な核内受容体に対する脂溶性リガンドの同定と解析,分化多能性幹細胞を持つ自由生活性の扁形動物であるプラナリアは、無性生殖が可能であり、必要な時に生殖器官を分化して有性生殖も行なうことができる。自然界では環境要因の変化が刺激となり有性化に必須な機構がオンになることで、分化多能性幹細胞から生殖器官への分化の休眠状態が打破されるが、これまで有性化に必須な機構は不明であった。申請者は環境刺激ではなく化学物質の刺激でプラナリアを有性化する系を用いて、ついに必須な分子機構として核内受容体Dr-NHR1の関与をつきとめた。本研究では、この核内受容体に対する脂溶性リガンドとその合成酵素遺伝子の同定を行ない、また、脂溶性リガンドの産生制御機構を明らかにする。,基盤研究(B),小区分44040:形態および構造関連,核内受容体,プラナリア,カンテツ,脂溶性リガンド,生殖様式転換,有性化,脂質性リガンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20H03290,久留米大学,中村 桂一郎,生体臓器・器官の結合組織内に分布する間質細胞の存在様式と動態の微細構造解析,"一夜で千枚の連続画像が取得できる新機軸電顕(FIB/SEM)および得られた連続画像による3次元再構築法(FIB/SEM tomography)により、様々な臓器・器官の結合組織に分布する間質細胞（線維芽細胞）の形状、大きさ、分布様式、隣接細胞との相互関係等の微細形態を""丸ごとの細胞""として解析し、このような細胞からなる結合組織の臓器毎の組織構築の差異に着目して身体各所の分布範囲・配置様式、さらに、血管、神経、筋線維の存在の場という観点から、機能、炎症等の病態との関連における医生物学的意義を見いだす糸口とする。このような形態研究はFIB/SEM tomographyによりはじめて可能となった。",基盤研究(B),小区分44040:形態および構造関連,間質細胞,線維芽細胞,結合組織・細胞構築,組織動態解析,三次元微細構造,FIB/SEM,volume EM,AI-assisted extraction,結合組織構築,組織機能解析,組織機能動態解析,結合組織細胞構築,3次元微細構造,SBF-SEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
